.HEADER
..NAMES
Time,V U1.AC16
.DATA
1.38265e-008,0.2173
1.38631e-008,0.2202
1.38998e-008,0.2221
1.39365e-008,0.2206
1.39732e-008,0.2179
1.40099e-008,0.2177
1.40465e-008,0.2244
1.40832e-008,0.2377
1.41199e-008,0.2508
1.41565e-008,0.2587
1.41932e-008,0.2652
1.42299e-008,0.2772
1.42666e-008,0.2998
1.43033e-008,0.3325
1.43399e-008,0.3682
1.43766e-008,0.3972
1.44133e-008,0.4118
1.44499e-008,0.4104
1.44866e-008,0.3979
1.45233e-008,0.3844
1.45600e-008,0.3777
1.45967e-008,0.3817
1.46333e-008,0.3947
1.46700e-008,0.4107
1.47067e-008,0.4222
1.47433e-008,0.4239
1.47800e-008,0.4156
1.48167e-008,0.4028
1.48534e-008,0.3926
1.48901e-008,0.3892
1.49267e-008,0.3930
1.49634e-008,0.4012
1.50001e-008,0.4100
1.50368e-008,0.4165
1.50734e-008,0.4191
1.51101e-008,0.4175
1.51468e-008,0.4118
1.51834e-008,0.4023
1.52201e-008,0.3896
1.52568e-008,0.3750
1.52935e-008,0.3602
1.53301e-008,0.3472
1.53668e-008,0.3381
1.54035e-008,0.3338
1.54402e-008,0.3337
1.54769e-008,0.3353
1.55135e-008,0.3353
1.55502e-008,0.3318
1.55869e-008,0.3255
1.56236e-008,0.3192
1.56602e-008,0.3161
1.56969e-008,0.3182
1.57336e-008,0.3247
1.57703e-008,0.3330
1.58069e-008,0.3396
1.58436e-008,0.3421
1.58803e-008,0.3395
1.59169e-008,0.3327
1.59536e-008,0.3240
1.59903e-008,0.3159
1.60270e-008,0.3109
1.60636e-008,0.3100
1.61003e-008,0.3129
1.61370e-008,0.3179
1.61737e-008,0.3236
1.62104e-008,0.3283
1.62470e-008,0.3313
1.62837e-008,0.3320
1.63204e-008,0.3302
1.63571e-008,0.3263
1.63937e-008,0.3212
1.64304e-008,0.3166
1.64671e-008,0.3140
1.65037e-008,0.3143
1.65404e-008,0.3174
1.65771e-008,0.3218
1.66138e-008,0.3259
1.66504e-008,0.3282
1.66871e-008,0.3279
1.67238e-008,0.3254
1.67605e-008,0.3218
1.67972e-008,0.3186
1.68338e-008,0.3168
1.68705e-008,0.3172
1.69072e-008,0.3192
1.69439e-008,0.3220
1.69805e-008,0.3246
1.70172e-008,0.3261
1.70539e-008,0.3265
1.70905e-008,0.3259
1.71272e-008,0.3247
1.71639e-008,0.3233
1.72006e-008,0.3220
1.72372e-008,0.3211
1.72739e-008,0.3209
1.73106e-008,0.3214
1.73473e-008,0.3224
1.73840e-008,0.3235
1.74206e-008,0.3244
1.74573e-008,0.3247
1.74940e-008,0.3244
1.75307e-008,0.3235
1.75673e-008,0.3224
1.76040e-008,0.3216
1.76407e-008,0.3213
1.76773e-008,0.3217
1.77140e-008,0.3225
1.77507e-008,0.3235
1.77874e-008,0.3241
1.78240e-008,0.3244
1.78607e-008,0.3241
1.78974e-008,0.3236
1.79341e-008,0.3247
1.79708e-008,0.3328
1.80074e-008,0.3587
1.80441e-008,0.4195
1.80808e-008,0.5190
1.81175e-008,0.6441
1.81541e-008,0.7677
1.81908e-008,0.8592
1.82275e-008,0.9245
1.82641e-008,0.9734
1.83008e-008,1.0123
1.83375e-008,1.0442
1.83742e-008,1.0688
1.84108e-008,1.0858
1.84475e-008,1.0977
1.84842e-008,1.1059
1.85209e-008,1.1117
1.85576e-008,1.1159
1.85942e-008,1.1188
1.86309e-008,1.1196
1.86676e-008,1.1171
1.87043e-008,1.1103
1.87409e-008,1.1003
1.87776e-008,1.0903
1.88143e-008,1.0835
1.88509e-008,1.0800
1.88876e-008,1.0740
1.89243e-008,1.0612
1.89610e-008,1.0425
1.89976e-008,1.0222
1.90343e-008,1.0076
1.90710e-008,1.0031
1.91077e-008,1.0086
1.91444e-008,1.0198
1.91810e-008,1.0306
1.92177e-008,1.0359
1.92544e-008,1.0336
1.92911e-008,1.0253
1.93277e-008,1.0145
1.93644e-008,1.0059
1.94011e-008,1.0027
1.94377e-008,1.0056
1.94744e-008,1.0121
1.95111e-008,1.0184
1.95478e-008,1.0215
1.95844e-008,1.0211
1.96211e-008,1.0189
1.96578e-008,1.0164
1.96945e-008,1.0150
1.97312e-008,1.0157
1.97678e-008,1.0183
1.98045e-008,1.0234
1.98412e-008,1.0333
1.98779e-008,1.0424
1.99145e-008,1.0379
1.99512e-008,1.0008
1.99879e-008,0.9131
2.00245e-008,0.7938
2.00612e-008,0.6720
2.00979e-008,0.5636
2.01346e-008,0.4787
2.01712e-008,0.4194
2.02079e-008,0.3815
2.02446e-008,0.3584
2.02813e-008,0.3427
2.03179e-008,0.3303
2.03546e-008,0.3186
2.03913e-008,0.3072
2.04280e-008,0.2972
2.04647e-008,0.2902
2.05013e-008,0.2868
2.05380e-008,0.2879
2.05747e-008,0.2945
2.06114e-008,0.3069
2.06480e-008,0.3231
2.06847e-008,0.3371
2.07214e-008,0.3444
2.07580e-008,0.3491
2.07947e-008,0.3653
2.08314e-008,0.4109
2.08681e-008,0.5089
2.09047e-008,0.6536
2.09414e-008,0.8183
2.09781e-008,0.9523
2.10148e-008,1.0319
2.10515e-008,1.0731
2.10881e-008,1.0953
2.11248e-008,1.1136
2.11615e-008,1.1342
2.11982e-008,1.1563
2.12348e-008,1.1776
2.12715e-008,1.1950
2.13082e-008,1.2058
2.13448e-008,1.2092
2.13815e-008,1.2079
2.14182e-008,1.2046
2.14549e-008,1.2004
2.14915e-008,1.1946
2.15282e-008,1.1854
2.15649e-008,1.1740
2.16016e-008,1.1646
2.16383e-008,1.1605
2.16749e-008,1.1585
2.17116e-008,1.1531
2.17483e-008,1.1371
2.17850e-008,1.1008
2.18216e-008,1.0301
2.18583e-008,0.9068
2.18950e-008,0.7525
2.19316e-008,0.6120
2.19683e-008,0.5040
2.20050e-008,0.4271
2.20417e-008,0.3697
2.20783e-008,0.3223
2.21150e-008,0.2798
2.21517e-008,0.2450
2.21884e-008,0.2213
2.22251e-008,0.2118
2.22617e-008,0.2148
2.22984e-008,0.2243
2.23351e-008,0.2331
2.23718e-008,0.2358
2.24084e-008,0.2325
