.HEADER
..NAMES
Time,V U1.AE16
.DATA
1.61003e-008,1.1670
1.61370e-008,1.1524
1.61737e-008,1.1301
1.62104e-008,1.1039
1.62470e-008,1.0822
1.62837e-008,1.0704
1.63204e-008,1.0666
1.63571e-008,1.0638
1.63937e-008,1.0569
1.64304e-008,1.0463
1.64671e-008,1.0356
1.65037e-008,1.0280
1.65404e-008,1.0250
1.65771e-008,1.0262
1.66138e-008,1.0300
1.66504e-008,1.0333
1.66871e-008,1.0341
1.67238e-008,1.0318
1.67605e-008,1.0274
1.67972e-008,1.0228
1.68338e-008,1.0197
1.68705e-008,1.0194
1.69072e-008,1.0217
1.69439e-008,1.0247
1.69805e-008,1.0264
1.70172e-008,1.0259
1.70539e-008,1.0247
1.70905e-008,1.0259
1.71272e-008,1.0324
1.71639e-008,1.0438
1.72006e-008,1.0572
1.72372e-008,1.0688
1.72739e-008,1.0767
1.73106e-008,1.0816
1.73473e-008,1.0846
1.73840e-008,1.0866
1.74206e-008,1.0877
1.74573e-008,1.0883
1.74940e-008,1.0885
1.75307e-008,1.0889
1.75673e-008,1.0894
1.76040e-008,1.0902
1.76407e-008,1.0911
1.76773e-008,1.0922
1.77140e-008,1.0931
1.77507e-008,1.0937
1.77874e-008,1.0939
1.78240e-008,1.0935
1.78607e-008,1.0932
1.78974e-008,1.0938
1.79341e-008,1.0963
1.79708e-008,1.1028
1.80074e-008,1.1062
1.80441e-008,1.0942
1.80808e-008,1.0463
1.81175e-008,0.9468
1.81541e-008,0.8160
1.81908e-008,0.6836
1.82275e-008,0.5692
1.82641e-008,0.4835
1.83008e-008,0.4268
1.83375e-008,0.3899
1.83742e-008,0.3650
1.84108e-008,0.3461
1.84475e-008,0.3316
1.84842e-008,0.3202
1.85209e-008,0.3119
1.85576e-008,0.3063
1.85942e-008,0.3029
1.86309e-008,0.3005
1.86676e-008,0.2990
1.87043e-008,0.2985
1.87409e-008,0.2995
1.87776e-008,0.3021
1.88143e-008,0.3057
1.88509e-008,0.3086
1.88876e-008,0.3135
1.89243e-008,0.3309
1.89610e-008,0.3772
1.89976e-008,0.4749
1.90343e-008,0.6187
1.90710e-008,0.7840
1.91077e-008,0.9166
1.91444e-008,0.9987
1.91810e-008,1.0449
1.92177e-008,1.0739
1.92544e-008,1.0990
1.92911e-008,1.1248
1.93277e-008,1.1493
1.93644e-008,1.1686
1.94011e-008,1.1807
1.94377e-008,1.1862
1.94744e-008,1.1874
1.95111e-008,1.1872
1.95478e-008,1.1878
1.95844e-008,1.1897
1.96211e-008,1.1918
1.96578e-008,1.1927
1.96945e-008,1.1909
1.97312e-008,1.1870
1.97678e-008,1.1825
1.98045e-008,1.1782
1.98412e-008,1.1753
1.98779e-008,1.1667
1.99145e-008,1.1391
1.99512e-008,1.0745
1.99879e-008,0.9549
2.00245e-008,0.8037
2.00612e-008,0.6589
2.00979e-008,0.5373
2.01346e-008,0.4429
2.01712e-008,0.3736
2.02079e-008,0.3243
2.02446e-008,0.2903
2.02813e-008,0.2678
2.03179e-008,0.2546
2.03546e-008,0.2479
2.03913e-008,0.2443
2.04280e-008,0.2407
2.04647e-008,0.2357
2.05013e-008,0.2292
2.05380e-008,0.2227
2.05747e-008,0.2185
2.06114e-008,0.2187
2.06480e-008,0.2236
2.06847e-008,0.2309
2.07214e-008,0.2367
2.07580e-008,0.2391
2.07947e-008,0.2405
2.08314e-008,0.2477
2.08681e-008,0.2679
2.09047e-008,0.3015
2.09414e-008,0.3385
2.09781e-008,0.3658
2.10148e-008,0.3775
2.10515e-008,0.3773
2.10881e-008,0.3744
2.11248e-008,0.3742
2.11615e-008,0.3780
2.11982e-008,0.3841
2.12348e-008,0.3901
2.12715e-008,0.3934
2.13082e-008,0.3930
2.13448e-008,0.3903
2.13815e-008,0.3878
2.14182e-008,0.3871
2.14549e-008,0.3888
2.14915e-008,0.3925
2.15282e-008,0.3966
2.15649e-008,0.3989
2.16016e-008,0.3984
2.16383e-008,0.3959
2.16749e-008,0.3951
2.17116e-008,0.4037
2.17483e-008,0.4319
2.17850e-008,0.4949
2.18216e-008,0.5988
2.18583e-008,0.7190
2.18950e-008,0.8324
2.19316e-008,0.9071
2.19683e-008,0.9546
2.20050e-008,0.9896
2.20417e-008,1.0197
2.20783e-008,1.0464
2.21150e-008,1.0693
2.21517e-008,1.0865
2.21884e-008,1.0984
2.22251e-008,1.1067
2.22617e-008,1.1131
2.22984e-008,1.1182
2.23351e-008,1.1219
2.23718e-008,1.1240
2.24084e-008,1.1241
2.24451e-008,1.1217
2.24818e-008,1.1172
2.25184e-008,1.1127
2.25551e-008,1.1095
2.25918e-008,1.1077
2.26285e-008,1.1039
