.HEADER
..NAMES
Time,V U1.AB13
.DATA
1.77874e-008,0.1971
1.78240e-008,0.2026
1.78607e-008,0.2179
1.78974e-008,0.2410
1.79341e-008,0.2672
1.79708e-008,0.2957
1.80074e-008,0.3280
1.80441e-008,0.3609
1.80808e-008,0.3880
1.81175e-008,0.4034
1.81541e-008,0.4048
1.81908e-008,0.3959
1.82275e-008,0.3845
1.82641e-008,0.3793
1.83008e-008,0.3846
1.83375e-008,0.3988
1.83742e-008,0.4154
1.84108e-008,0.4263
1.84475e-008,0.4268
1.84842e-008,0.4176
1.85209e-008,0.4039
1.85576e-008,0.3928
1.85942e-008,0.3890
1.86309e-008,0.3936
1.86676e-008,0.4047
1.87043e-008,0.4176
1.87409e-008,0.4268
1.87776e-008,0.4294
1.88143e-008,0.4253
1.88509e-008,0.4165
1.88876e-008,0.4053
1.89243e-008,0.3937
1.89610e-008,0.3830
1.89976e-008,0.3734
1.90343e-008,0.3646
1.90710e-008,0.3564
1.91077e-008,0.3487
1.91444e-008,0.3421
1.91810e-008,0.3363
1.92177e-008,0.3308
1.92544e-008,0.3253
1.92911e-008,0.3202
1.93277e-008,0.3174
1.93644e-008,0.3183
1.94011e-008,0.3231
1.94377e-008,0.3301
1.94744e-008,0.3366
1.95111e-008,0.3401
1.95478e-008,0.3391
1.95844e-008,0.3341
1.96211e-008,0.3272
1.96578e-008,0.3209
1.96945e-008,0.3168
1.97312e-008,0.3153
1.97678e-008,0.3159
1.98045e-008,0.3185
1.98412e-008,0.3269
1.98779e-008,0.3500
1.99145e-008,0.4038
1.99512e-008,0.4960
1.99879e-008,0.6151
2.00245e-008,0.7398
2.00612e-008,0.8359
2.00979e-008,0.9069
2.01346e-008,0.9602
2.01712e-008,1.0020
2.02079e-008,1.0341
2.02446e-008,1.0580
2.02813e-008,1.0750
2.03179e-008,1.0875
2.03546e-008,1.0972
2.03913e-008,1.1051
2.04280e-008,1.1115
2.04647e-008,1.1168
2.05013e-008,1.1210
2.05380e-008,1.1235
2.05747e-008,1.1232
2.06114e-008,1.1181
2.06480e-008,1.1077
2.06847e-008,1.0934
2.07214e-008,1.0756
2.07580e-008,1.0588
