.HEADER
..NAMES
Time,V U1.AB12
.DATA
1.98412e-008,1.0209
1.98779e-008,1.0287
1.99145e-008,1.0381
1.99512e-008,1.0474
1.99879e-008,1.0558
2.00245e-008,1.0639
2.00612e-008,1.0721
2.00979e-008,1.0800
2.01346e-008,1.0860
2.01712e-008,1.0890
2.02079e-008,1.0889
2.02446e-008,1.0871
2.02813e-008,1.0854
2.03179e-008,1.0854
2.03546e-008,1.0874
2.03913e-008,1.0906
2.04280e-008,1.0936
2.04647e-008,1.0954
2.05013e-008,1.0956
2.05380e-008,1.0946
2.05747e-008,1.0933
2.06114e-008,1.0925
2.06480e-008,1.0931
2.06847e-008,1.0951
2.07214e-008,1.0976
2.07580e-008,1.0993
2.07947e-008,1.0995
2.08314e-008,1.0985
2.08681e-008,1.0971
2.09047e-008,1.0961
2.09414e-008,1.0957
2.09781e-008,1.0958
2.10148e-008,1.0962
2.10515e-008,1.0967
2.10881e-008,1.0975
2.11248e-008,1.0984
2.11615e-008,1.0991
2.11982e-008,1.0993
2.12348e-008,1.0988
2.12715e-008,1.0980
2.13082e-008,1.0972
2.13448e-008,1.0969
2.13815e-008,1.0972
2.14182e-008,1.0979
2.14549e-008,1.0988
2.14915e-008,1.0993
2.15282e-008,1.0993
2.15649e-008,1.0987
2.16016e-008,1.0976
2.16383e-008,1.0974
2.16749e-008,1.0981
2.17116e-008,1.1022
2.17483e-008,1.1060
2.17850e-008,1.0986
2.18216e-008,1.0630
2.18583e-008,0.9778
2.18950e-008,0.8528
2.19316e-008,0.7190
2.19683e-008,0.5979
2.20050e-008,0.5026
2.20417e-008,0.4354
2.20783e-008,0.3916
2.21150e-008,0.3622
2.21517e-008,0.3422
2.21884e-008,0.3279
2.22251e-008,0.3179
2.22617e-008,0.3107
2.22984e-008,0.3057
2.23351e-008,0.3020
2.23718e-008,0.2991
2.24084e-008,0.2967
2.24451e-008,0.2951
2.24818e-008,0.2943
2.25184e-008,0.2952
2.25551e-008,0.2981
2.25918e-008,0.3027
2.26285e-008,0.3105
2.26651e-008,0.3325
2.27018e-008,0.3833
2.27385e-008,0.4835
2.27752e-008,0.6281
2.28119e-008,0.7880
2.28485e-008,0.9173
2.28852e-008,0.9922
2.29219e-008,1.0356
2.29586e-008,1.0693
2.29952e-008,1.1035
2.30319e-008,1.1370
2.30686e-008,1.1630
2.31052e-008,1.1786
2.31419e-008,1.1851
2.31786e-008,1.1863
2.32153e-008,1.1863
2.32519e-008,1.1878
2.32886e-008,1.1918
2.33253e-008,1.1972
2.33620e-008,1.2020
2.33987e-008,1.2042
2.34353e-008,1.2021
2.34720e-008,1.1959
2.35087e-008,1.1870
2.35454e-008,1.1754
2.35820e-008,1.1584
2.36187e-008,1.1338
2.36554e-008,1.1052
2.36920e-008,1.0818
2.37287e-008,1.0713
2.37654e-008,1.0713
2.38021e-008,1.0725
2.38387e-008,1.0661
2.38754e-008,1.0509
2.39121e-008,1.0327
2.39488e-008,1.0191
2.39855e-008,1.0145
2.40221e-008,1.0185
2.40588e-008,1.0267
2.40955e-008,1.0334
2.41322e-008,1.0349
2.41688e-008,1.0308
2.42055e-008,1.0235
2.42422e-008,1.0163
2.42788e-008,1.0116
2.43155e-008,1.0106
2.43522e-008,1.0129
2.43889e-008,1.0165
2.44255e-008,1.0184
2.44622e-008,1.0177
2.44989e-008,1.0163
2.45356e-008,1.0179
2.45723e-008,1.0246
2.46089e-008,1.0351
2.46456e-008,1.0466
2.46823e-008,1.0571
2.47190e-008,1.0663
2.47556e-008,1.0748
2.47923e-008,1.0825
2.48290e-008,1.0880
2.48657e-008,1.0901
2.49023e-008,1.0888
2.49390e-008,1.0855
2.49757e-008,1.0826
2.50123e-008,1.0822
2.50490e-008,1.0847
2.50857e-008,1.0889
2.51224e-008,1.0928
2.51590e-008,1.0949
2.51957e-008,1.0947
2.52324e-008,1.0927
2.52691e-008,1.0902
2.53058e-008,1.0886
2.53424e-008,1.0892
2.53791e-008,1.0922
2.54158e-008,1.0962
2.54525e-008,1.0992
2.54891e-008,1.0999
2.55258e-008,1.0985
2.55625e-008,1.0962
2.55991e-008,1.0945
2.56358e-008,1.0940
2.56725e-008,1.0945
2.57092e-008,1.0955
2.57458e-008,1.0965
2.57825e-008,1.0974
2.58192e-008,1.0981
2.58559e-008,1.0986
2.58926e-008,1.0985
2.59292e-008,1.0979
2.59659e-008,1.0970
2.60026e-008,1.0961
2.60393e-008,1.0959
2.60759e-008,1.0964
2.61126e-008,1.0973
2.61493e-008,1.0984
2.61859e-008,1.0990
2.62226e-008,1.0991
2.62593e-008,1.0983
2.62960e-008,1.0971
2.63326e-008,1.0967
2.63693e-008,1.0974
2.64060e-008,1.1020
2.64427e-008,1.1053
2.64794e-008,1.0958
2.65160e-008,1.0555
2.65527e-008,0.9640
2.65894e-008,0.8361
2.66261e-008,0.7023
2.66627e-008,0.5835
2.66994e-008,0.4919
2.67361e-008,0.4283
2.67727e-008,0.3868
2.68094e-008,0.3593
2.68461e-008,0.3399
2.68828e-008,0.3262
2.69194e-008,0.3164
2.69561e-008,0.3094
2.69928e-008,0.3045
2.70295e-008,0.3010
2.70662e-008,0.2983
2.71028e-008,0.2961
2.71395e-008,0.2946
2.71762e-008,0.2940
2.72129e-008,0.2951
2.72495e-008,0.2981
2.72862e-008,0.3030
2.73229e-008,0.3108
2.73595e-008,0.3240
2.73962e-008,0.3445
2.74329e-008,0.3697
2.74696e-008,0.3920
2.75062e-008,0.4047
2.75429e-008,0.4054
2.75796e-008,0.3982
2.76163e-008,0.3902
2.76530e-008,0.3875
2.76896e-008,0.3911
2.77263e-008,0.3984
2.77630e-008,0.4050
2.77997e-008,0.4075
2.78363e-008,0.4054
2.78730e-008,0.4010
2.79097e-008,0.3970
2.79463e-008,0.3956
2.79830e-008,0.3971
2.80197e-008,0.4007
2.80564e-008,0.4049
2.80930e-008,0.4079
