.HEADER
..NAMES
Time,V U1.AC15
.DATA
2.54158e-008,0.4083
2.54525e-008,0.4055
2.54891e-008,0.4025
2.55258e-008,0.3983
2.55625e-008,0.3918
2.55991e-008,0.3832
2.56358e-008,0.3735
2.56725e-008,0.3637
2.57092e-008,0.3541
2.57458e-008,0.3448
2.57825e-008,0.3363
2.58192e-008,0.3294
2.58559e-008,0.3251
2.58926e-008,0.3241
2.59292e-008,0.3258
2.59659e-008,0.3289
2.60026e-008,0.3316
2.60393e-008,0.3325
2.60759e-008,0.3310
2.61126e-008,0.3278
2.61493e-008,0.3240
2.61859e-008,0.3210
2.62226e-008,0.3199
2.62593e-008,0.3207
2.62960e-008,0.3227
2.63326e-008,0.3247
2.63693e-008,0.3263
2.64060e-008,0.3317
2.64427e-008,0.3510
2.64794e-008,0.4013
2.65160e-008,0.4923
2.65527e-008,0.6137
2.65894e-008,0.7437
2.66261e-008,0.8441
2.66627e-008,0.9161
2.66994e-008,0.9679
2.67361e-008,1.0074
2.67727e-008,1.0384
2.68094e-008,1.0623
2.68461e-008,1.0791
2.68828e-008,1.0906
2.69194e-008,1.0990
2.69561e-008,1.1057
2.69928e-008,1.1113
2.70295e-008,1.1160
2.70662e-008,1.1195
2.71028e-008,1.1214
2.71395e-008,1.1214
2.71762e-008,1.1189
2.72129e-008,1.1146
2.72495e-008,1.1098
2.72862e-008,1.1035
2.73229e-008,1.0964
2.73595e-008,1.0870
2.73962e-008,1.0655
2.74329e-008,1.0190
2.74696e-008,0.9274
2.75062e-008,0.7912
2.75429e-008,0.6505
2.75796e-008,0.5316
2.76163e-008,0.4388
2.76530e-008,0.3686
2.76896e-008,0.3165
2.77263e-008,0.2800
2.77630e-008,0.2563
2.77997e-008,0.2434
2.78363e-008,0.2370
2.78730e-008,0.2338
2.79097e-008,0.2308
2.79463e-008,0.2265
2.79830e-008,0.2210
2.80197e-008,0.2154
2.80564e-008,0.2108
2.80930e-008,0.2085
2.81297e-008,0.2097
2.81664e-008,0.2145
2.82031e-008,0.2213
2.82398e-008,0.2282
2.82764e-008,0.2372
2.83131e-008,0.2538
2.83498e-008,0.2825
2.83865e-008,0.3188
2.84231e-008,0.3517
2.84598e-008,0.3721
2.84965e-008,0.3775
2.85331e-008,0.3737
2.85698e-008,0.3708
2.86065e-008,0.3745
2.86432e-008,0.3837
2.86798e-008,0.3937
2.87165e-008,0.4000
2.87532e-008,0.4004
2.87899e-008,0.3963
2.88266e-008,0.3913
2.88632e-008,0.3884
2.88999e-008,0.3894
2.89366e-008,0.3938
2.89733e-008,0.3997
2.90099e-008,0.4051
2.90466e-008,0.4081
2.90833e-008,0.4080
2.91199e-008,0.4055
2.91566e-008,0.4033
2.91933e-008,0.4066
2.92300e-008,0.4216
2.92666e-008,0.4584
2.93033e-008,0.5334
2.93400e-008,0.6402
2.93767e-008,0.7594
2.94133e-008,0.8624
2.94500e-008,0.9290
2.94867e-008,0.9729
2.95234e-008,1.0053
2.95601e-008,1.0318
2.95967e-008,1.0555
2.96334e-008,1.0757
2.96701e-008,1.0928
2.97068e-008,1.1070
2.97434e-008,1.1176
2.97801e-008,1.1239
2.98168e-008,1.1264
2.98534e-008,1.1262
2.98901e-008,1.1246
2.99268e-008,1.1228
2.99635e-008,1.1212
3.00002e-008,1.1193
3.00368e-008,1.1174
3.00735e-008,1.1142
3.01102e-008,1.1070
3.01469e-008,1.0952
3.01835e-008,1.0765
3.02202e-008,1.0433
3.02569e-008,0.9844
3.02935e-008,0.8815
3.03302e-008,0.7480
3.03669e-008,0.6209
3.04036e-008,0.5126
3.04403e-008,0.4241
3.04769e-008,0.3542
3.05136e-008,0.3030
3.05503e-008,0.2688
3.05869e-008,0.2495
3.06236e-008,0.2399
3.06603e-008,0.2357
3.06970e-008,0.2329
3.07336e-008,0.2294
3.07703e-008,0.2244
3.08070e-008,0.2186
3.08437e-008,0.2130
3.08804e-008,0.2089
3.09170e-008,0.2074
3.09537e-008,0.2096
3.09904e-008,0.2149
3.10270e-008,0.2214
3.10637e-008,0.2289
3.11004e-008,0.2413
3.11371e-008,0.2642
3.11738e-008,0.2982
3.12104e-008,0.3351
3.12471e-008,0.3634
3.12838e-008,0.3771
3.13205e-008,0.3777
3.13571e-008,0.3734
3.13938e-008,0.3731
3.14305e-008,0.3792
3.14671e-008,0.3885
3.15038e-008,0.3963
3.15405e-008,0.3996
3.15772e-008,0.3978
3.16139e-008,0.3935
3.16505e-008,0.3898
3.16872e-008,0.3889
3.17239e-008,0.3916
3.17605e-008,0.3967
3.17972e-008,0.4022
3.18339e-008,0.4064
3.18706e-008,0.4079
3.19072e-008,0.4067
3.19439e-008,0.4043
3.19806e-008,0.4033
3.20173e-008,0.4046
3.20540e-008,0.4060
3.20906e-008,0.4041
3.21273e-008,0.3967
3.21640e-008,0.3848
3.22006e-008,0.3717
3.22373e-008,0.3601
3.22740e-008,0.3506
3.23107e-008,0.3428
3.23474e-008,0.3358
3.23840e-008,0.3299
3.24207e-008,0.3265
3.24574e-008,0.3262
3.24941e-008,0.3286
3.25307e-008,0.3319
3.25674e-008,0.3341
3.26041e-008,0.3340
3.26407e-008,0.3317
3.26774e-008,0.3281
3.27141e-008,0.3247
3.27508e-008,0.3226
3.27875e-008,0.3225
3.28241e-008,0.3240
3.28608e-008,0.3263
3.28975e-008,0.3277
3.29341e-008,0.3270
3.29708e-008,0.3242
3.30075e-008,0.3204
3.30442e-008,0.3177
3.30808e-008,0.3173
3.31175e-008,0.3189
3.31542e-008,0.3212
3.31909e-008,0.3230
3.32276e-008,0.3237
3.32642e-008,0.3234
3.33009e-008,0.3228
3.33376e-008,0.3220
3.33742e-008,0.3211
3.34109e-008,0.3202
3.34476e-008,0.3194
3.34843e-008,0.3190
3.35210e-008,0.3193
3.35576e-008,0.3202
3.35943e-008,0.3211
3.36310e-008,0.3218
3.36677e-008,0.3219
3.37043e-008,0.3214
3.37410e-008,0.3206
3.37777e-008,0.3196
3.38143e-008,0.3190
3.38510e-008,0.3190
3.38877e-008,0.3199
3.39244e-008,0.3214
3.39611e-008,0.3228
3.39977e-008,0.3235
3.40344e-008,0.3231
3.40711e-008,0.3222
3.41077e-008,0.3212
3.41444e-008,0.3208
3.41811e-008,0.3211
3.42178e-008,0.3216
3.42545e-008,0.3221
3.42911e-008,0.3223
3.43278e-008,0.3222
3.43645e-008,0.3220
3.44012e-008,0.3217
3.44378e-008,0.3215
3.44745e-008,0.3214
3.45112e-008,0.3214
3.45478e-008,0.3216
3.45845e-008,0.3218
3.46212e-008,0.3220
3.46579e-008,0.3221
3.46946e-008,0.3222
3.47312e-008,0.3221
3.47679e-008,0.3221
3.48046e-008,0.3225
3.48412e-008,0.3274
3.48779e-008,0.3453
3.49146e-008,0.3912
3.49513e-008,0.4783
3.49879e-008,0.5964
3.50246e-008,0.7279
3.50613e-008,0.8322
3.50980e-008,0.9061
3.51347e-008,0.9590
3.51713e-008,0.9994
3.52080e-008,1.0327
3.52447e-008,1.0592
3.52813e-008,1.0791
3.53180e-008,1.0930
3.53547e-008,1.1024
3.53914e-008,1.1089
3.54281e-008,1.1136
3.54647e-008,1.1170
3.55014e-008,1.1197
3.55381e-008,1.1216
3.55748e-008,1.1224
3.56114e-008,1.1212
3.56481e-008,1.1182
3.56848e-008,1.1130
3.57214e-008,1.1061
3.57581e-008,1.0964
3.57948e-008,1.0818
3.58315e-008,1.0620
3.58682e-008,1.0405
3.59048e-008,1.0245
3.59415e-008,1.0195
3.59782e-008,1.0238
3.60148e-008,1.0316
3.60515e-008,1.0359
3.60882e-008,1.0333
3.61249e-008,1.0258
3.61615e-008,1.0181
3.61982e-008,1.0138
3.62349e-008,1.0142
3.62716e-008,1.0179
3.63083e-008,1.0222
3.63449e-008,1.0248
3.63816e-008,1.0246
3.64183e-008,1.0219
3.64549e-008,1.0179
3.64916e-008,1.0144
3.65283e-008,1.0124
3.65650e-008,1.0124
3.66017e-008,1.0141
3.66383e-008,1.0162
3.66750e-008,1.0178
3.67117e-008,1.0193
3.67484e-008,1.0224
3.67850e-008,1.0286
3.68217e-008,1.0379
3.68584e-008,1.0487
3.68950e-008,1.0587
3.69317e-008,1.0671
3.69684e-008,1.0742
3.70051e-008,1.0806
3.70418e-008,1.0864
3.70784e-008,1.0905
3.71151e-008,1.0922
3.71518e-008,1.0914
3.71884e-008,1.0893
3.72251e-008,1.0876
3.72618e-008,1.0874
3.72985e-008,1.0891
3.73351e-008,1.0919
3.73718e-008,1.0950
3.74085e-008,1.0971
3.74452e-008,1.0977
3.74819e-008,1.0969
3.75185e-008,1.0954
3.75552e-008,1.0942
3.75919e-008,1.0951
3.76285e-008,1.0982
3.76652e-008,1.1052
3.77019e-008,1.1092
3.77386e-008,1.0982
3.77753e-008,1.0534
3.78119e-008,0.9563
3.78486e-008,0.8249
3.78853e-008,0.6899
3.79220e-008,0.5722
3.79586e-008,0.4832
3.79953e-008,0.4234
3.80320e-008,0.3847
3.80686e-008,0.3600
3.81053e-008,0.3424
3.81420e-008,0.3296
3.81787e-008,0.3197
3.82154e-008,0.3122
3.82520e-008,0.3064
3.82887e-008,0.3022
3.83254e-008,0.2993
3.83620e-008,0.2975
3.83987e-008,0.2966
3.84354e-008,0.2969
3.84721e-008,0.2987
3.85088e-008,0.3020
3.85454e-008,0.3059
3.85821e-008,0.3127
3.86188e-008,0.3342
3.86555e-008,0.3873
3.86921e-008,0.4940
3.87288e-008,0.6458
3.87655e-008,0.8135
3.88021e-008,0.9434
3.88388e-008,1.0162
3.88755e-008,1.0538
3.89122e-008,1.0789
3.89489e-008,1.1058
3.89855e-008,1.1355
3.90222e-008,1.1619
3.90589e-008,1.1805
3.90955e-008,1.1901
3.91322e-008,1.1924
3.91689e-008,1.1912
3.92056e-008,1.1902
3.92422e-008,1.1916
3.92789e-008,1.1953
