.HEADER
..NAMES
Time,V U1.W14
.DATA
1.43033e-008,1.0896
1.43399e-008,1.0263
1.43766e-008,0.9140
1.44133e-008,0.7812
1.44499e-008,0.6538
1.44866e-008,0.5482
1.45233e-008,0.4704
1.45600e-008,0.4171
1.45967e-008,0.3813
1.46333e-008,0.3560
1.46700e-008,0.3386
1.47067e-008,0.3269
1.47433e-008,0.3195
1.47800e-008,0.3147
1.48167e-008,0.3109
1.48534e-008,0.3072
1.48901e-008,0.3033
1.49267e-008,0.2998
1.49634e-008,0.2976
1.50001e-008,0.2976
1.50368e-008,0.3000
1.50734e-008,0.3045
1.51101e-008,0.3113
1.51468e-008,0.3219
1.51834e-008,0.3386
1.52201e-008,0.3616
1.52568e-008,0.3872
1.52935e-008,0.4088
1.53301e-008,0.4207
1.53668e-008,0.4204
1.54035e-008,0.4109
1.54402e-008,0.3998
1.54769e-008,0.3941
1.55135e-008,0.3967
1.55502e-008,0.4056
1.55869e-008,0.4157
1.56236e-008,0.4218
1.56602e-008,0.4214
1.56969e-008,0.4160
1.57336e-008,0.4092
1.57703e-008,0.4046
1.58069e-008,0.4040
1.58436e-008,0.4071
1.58803e-008,0.4122
1.59169e-008,0.4172
1.59536e-008,0.4206
1.59903e-008,0.4218
1.60270e-008,0.4207
1.60636e-008,0.4217
1.61003e-008,0.4315
1.61370e-008,0.4634
1.61737e-008,0.5366
1.62104e-008,0.6443
1.62470e-008,0.7666
1.62837e-008,0.8705
1.63204e-008,0.9376
1.63571e-008,0.9812
1.63937e-008,1.0122
1.64304e-008,1.0360
1.64671e-008,1.0550
1.65037e-008,1.0693
1.65404e-008,1.0819
1.65771e-008,1.0947
1.66138e-008,1.1073
1.66504e-008,1.1179
1.66871e-008,1.1249
1.67238e-008,1.1276
1.67605e-008,1.1264
1.67972e-008,1.1225
1.68338e-008,1.1175
1.68705e-008,1.1120
1.69072e-008,1.1059
1.69439e-008,1.0978
1.69805e-008,1.0857
1.70172e-008,1.0680
1.70539e-008,1.0455
1.70905e-008,1.0229
1.71272e-008,1.0069
1.71639e-008,1.0024
1.72006e-008,1.0078
1.72372e-008,1.0171
1.72739e-008,1.0235
1.73106e-008,1.0227
1.73473e-008,1.0155
1.73840e-008,1.0060
1.74206e-008,0.9989
1.74573e-008,0.9965
1.74940e-008,0.9983
1.75307e-008,1.0016
1.75673e-008,1.0038
1.76040e-008,1.0037
1.76407e-008,1.0014
1.76773e-008,0.9981
1.77140e-008,0.9949
1.77507e-008,0.9922
1.77874e-008,0.9905
1.78240e-008,0.9902
1.78607e-008,0.9931
1.78974e-008,0.9985
