.HEADER
..NAMES
Time,V U1.AD23&AE23
.DATA
1.38870e-008,-0.8391
1.39256e-008,-0.8379
1.39641e-008,-0.8174
1.40027e-008,-0.7435
1.40413e-008,-0.5944
1.40799e-008,-0.3907
1.41185e-008,-0.1376
1.41570e-008,0.1183
1.41956e-008,0.3331
1.42342e-008,0.5182
1.42728e-008,0.6587
1.43113e-008,0.7588
1.43499e-008,0.8518
1.43885e-008,0.9045
1.44270e-008,0.9157
1.44656e-008,0.8711
1.45042e-008,0.7259
1.45428e-008,0.4833
1.45814e-008,0.1756
1.46199e-008,-0.1420
1.46585e-008,-0.4147
1.46971e-008,-0.6076
1.47357e-008,-0.7276
1.47742e-008,-0.7917
1.48128e-008,-0.8286
1.48514e-008,-0.8436
1.48899e-008,-0.8229
1.49285e-008,-0.7763
1.49671e-008,-0.6472
1.50057e-008,-0.4624
1.50443e-008,-0.2202
1.50828e-008,0.0405
1.51214e-008,0.2689
1.51600e-008,0.4639
1.51985e-008,0.6197
1.52371e-008,0.7305
1.52757e-008,0.8175
1.53143e-008,0.8953
1.53528e-008,0.9126
1.53914e-008,0.8952
1.54300e-008,0.7827
1.54686e-008,0.5698
1.55071e-008,0.2762
1.55457e-008,-0.0432
1.55843e-008,-0.3369
1.56229e-008,-0.5553
1.56615e-008,-0.6967
1.57000e-008,-0.7764
1.57386e-008,-0.8158
1.57772e-008,-0.8448
1.58158e-008,-0.8258
1.58543e-008,-0.8008
1.58929e-008,-0.6953
1.59315e-008,-0.5270
1.59701e-008,-0.3008
1.60086e-008,-0.0411
1.60472e-008,0.2018
1.60858e-008,0.4052
1.61243e-008,0.5758
1.61629e-008,0.6991
1.62015e-008,0.7889
1.62401e-008,0.8800
1.62786e-008,0.9097
1.63172e-008,0.9101
1.63558e-008,0.8296
1.63944e-008,0.6477
1.64329e-008,0.3744
1.64715e-008,0.0575
1.65101e-008,-0.2508
1.65487e-008,-0.4951
1.65873e-008,-0.6593
1.66258e-008,-0.7564
1.66644e-008,-0.8064
1.67030e-008,-0.8413
1.67416e-008,-0.8368
1.67801e-008,-0.8173
1.68187e-008,-0.7374
1.68573e-008,-0.5854
1.68959e-008,-0.3786
1.69344e-008,-0.1241
1.69730e-008,0.1301
1.70116e-008,0.3436
1.70501e-008,0.5268
1.70887e-008,0.6646
1.71273e-008,0.7633
1.71659e-008,0.8545
1.72044e-008,0.9052
1.72430e-008,0.9143
1.72816e-008,0.8659
1.73202e-008,0.7154
1.73588e-008,0.4686
1.73973e-008,0.1594
1.74359e-008,-0.1578
1.74745e-008,-0.4266
1.75131e-008,-0.6155
1.75516e-008,-0.7320
1.75902e-008,-0.7938
1.76288e-008,-0.8320
1.76674e-008,-0.8433
1.77059e-008,-0.8254
1.77445e-008,-0.7720
1.77831e-008,-0.6390
1.78216e-008,-0.4515
1.78602e-008,-0.2070
1.78988e-008,0.0529
1.79374e-008,0.2793
1.79759e-008,0.4733
1.80145e-008,0.6263
1.80531e-008,0.7352
1.80917e-008,0.8214
1.81302e-008,0.8964
1.81688e-008,0.9119
1.82074e-008,0.8914
1.82460e-008,0.7739
1.82846e-008,0.5560
1.83231e-008,0.2602
1.83617e-008,-0.0596
1.84003e-008,-0.3504
1.84389e-008,-0.5644
1.84774e-008,-0.7021
1.85160e-008,-0.7790
1.85546e-008,-0.8170
1.85932e-008,-0.8456
1.86317e-008,-0.8239
1.86703e-008,-0.7983
1.87089e-008,-0.6877
1.87474e-008,-0.5174
1.87860e-008,-0.2881
1.88246e-008,-0.0281
1.88632e-008,0.2125
1.89017e-008,0.4153
1.89403e-008,0.5833
1.89789e-008,0.7044
1.90175e-008,0.7928
1.90560e-008,0.8820
1.90946e-008,0.9098
1.91332e-008,0.9075
1.91718e-008,0.8225
1.92104e-008,0.6353
1.92489e-008,0.3587
1.92875e-008,0.0410
1.93261e-008,-0.2657
1.93647e-008,-0.5054
1.94032e-008,-0.6660
1.94418e-008,-0.7598
1.94804e-008,-0.8079
1.95190e-008,-0.8413
1.95575e-008,-0.8352
1.95961e-008,-0.8139
1.96347e-008,-0.7312
1.96732e-008,-0.5763
1.97118e-008,-0.3664
1.97504e-008,-0.1109
1.97890e-008,0.1423
1.98275e-008,0.3533
1.98661e-008,0.5349
1.99047e-008,0.6705
1.99433e-008,0.7673
1.99819e-008,0.8605
2.00204e-008,0.9065
2.00590e-008,0.9150
2.00976e-008,0.8610
2.01362e-008,0.7052
2.01747e-008,0.4537
2.02133e-008,0.1427
2.02519e-008,-0.1732
2.02905e-008,-0.4381
2.03290e-008,-0.6232
2.03676e-008,-0.7364
2.04062e-008,-0.7963
2.04447e-008,-0.8328
2.04833e-008,-0.8422
2.05219e-008,-0.8225
2.05605e-008,-0.7667
2.05990e-008,-0.6308
2.06376e-008,-0.4399
2.06762e-008,-0.1936
2.07148e-008,0.0661
2.07533e-008,0.2899
2.07919e-008,0.4818
2.08305e-008,0.6328
2.08691e-008,0.7397
2.09077e-008,0.8303
2.09462e-008,0.8987
2.09848e-008,0.9145
2.10234e-008,0.8885
2.10620e-008,0.7654
2.11005e-008,0.5426
2.11391e-008,0.2436
2.11777e-008,-0.0757
2.12163e-008,-0.3632
2.12548e-008,-0.5732
2.12934e-008,-0.7073
2.13320e-008,-0.7820
2.13705e-008,-0.8185
2.14091e-008,-0.8452
2.14477e-008,-0.8215
2.14863e-008,-0.7938
2.15248e-008,-0.6804
2.15634e-008,-0.5069
2.16020e-008,-0.2752
2.16406e-008,-0.0145
2.16791e-008,0.2238
2.17177e-008,0.4245
2.17563e-008,0.5905
2.17949e-008,0.7095
2.18335e-008,0.7964
2.18720e-008,0.8857
2.19106e-008,0.9101
2.19492e-008,0.9062
2.19878e-008,0.8154
2.20263e-008,0.6234
2.20649e-008,0.3427
2.21035e-008,0.0247
2.21420e-008,-0.2797
2.21806e-008,-0.5155
2.22192e-008,-0.6723
2.22578e-008,-0.7633
2.22963e-008,-0.8097
2.23349e-008,-0.8430
2.23735e-008,-0.8339
2.24121e-008,-0.8131
2.24506e-008,-0.7246
2.24892e-008,-0.5672
2.25278e-008,-0.3539
2.25664e-008,-0.0974
2.26050e-008,0.1537
2.26435e-008,0.3638
2.26821e-008,0.5433
2.27207e-008,0.6763
2.27593e-008,0.7717
2.27978e-008,0.8630
2.28364e-008,0.9070
2.28750e-008,0.9134
