.HEADER
..NAMES
Time,V U1.AA25&AA24
.DATA
1.28455e-008,0.9021
1.28841e-008,0.9679
1.29226e-008,1.0234
1.29612e-008,1.0628
1.29998e-008,1.0792
1.30383e-008,1.0767
1.30769e-008,1.1033
1.31155e-008,1.1097
1.31541e-008,1.0945
1.31926e-008,1.0660
1.32312e-008,0.9769
1.32698e-008,0.8500
1.33084e-008,0.7459
1.33470e-008,0.6378
1.33855e-008,0.5311
1.34241e-008,0.4573
1.34627e-008,0.4105
1.35012e-008,0.3905
1.35398e-008,0.3850
1.35784e-008,0.3987
1.36170e-008,0.4384
1.36555e-008,0.5170
1.36941e-008,0.6356
1.37327e-008,0.7696
1.37713e-008,0.8771
1.38099e-008,0.9489
1.38484e-008,1.0070
1.38870e-008,1.0526
1.39256e-008,1.0767
1.39641e-008,1.0785
1.40027e-008,1.0976
1.40413e-008,1.1098
1.40799e-008,1.0996
1.41185e-008,1.0799
1.41570e-008,1.0122
1.41956e-008,0.8899
1.42342e-008,0.7764
1.42728e-008,0.6736
1.43113e-008,0.5624
1.43499e-008,0.4768
1.43885e-008,0.4227
1.44270e-008,0.3937
1.44656e-008,0.3852
1.45042e-008,0.3928
1.45428e-008,0.4222
1.45814e-008,0.4872
1.46199e-008,0.5952
1.46585e-008,0.7269
1.46971e-008,0.8487
1.47357e-008,0.9286
1.47742e-008,0.9894
1.48128e-008,1.0402
1.48514e-008,1.0717
1.48899e-008,1.0796
1.49285e-008,1.0807
1.49671e-008,1.1064
1.50057e-008,1.1064
1.50443e-008,1.0878
1.50828e-008,1.0408
1.51214e-008,0.9309
1.51600e-008,0.8079
1.51985e-008,0.7087
1.52371e-008,0.5972
1.52757e-008,0.4994
1.53143e-008,0.4372
1.53528e-008,0.3997
1.53914e-008,0.3907
1.54300e-008,0.3879
1.54686e-008,0.4092
1.55071e-008,0.4619
1.55457e-008,0.5569
1.55843e-008,0.6844
1.56229e-008,0.8155
1.56615e-008,0.9058
1.57000e-008,0.9712
1.57386e-008,1.0260
1.57772e-008,1.0641
1.58158e-008,1.0794
1.58543e-008,1.0762
1.58929e-008,1.1026
1.59315e-008,1.1097
1.59701e-008,1.0939
1.60086e-008,1.0627
1.60472e-008,0.9706
1.60858e-008,0.8439
1.61243e-008,0.7406
1.61629e-008,0.6328
1.62015e-008,0.5266
1.62401e-008,0.4538
1.62786e-008,0.4089
1.63172e-008,0.3905
1.63558e-008,0.3844
1.63944e-008,0.3998
1.64329e-008,0.4414
1.64715e-008,0.5218
1.65101e-008,0.6424
1.65487e-008,0.7768
1.65873e-008,0.8811
1.66258e-008,0.9522
1.66644e-008,1.0100
1.67030e-008,1.0543
1.67416e-008,1.0774
1.67801e-008,1.0784
1.68187e-008,1.0967
1.68573e-008,1.1096
1.68959e-008,1.0995
1.69344e-008,1.0777
1.69730e-008,1.0067
1.70116e-008,0.8834
1.70501e-008,0.7710
1.70887e-008,0.6685
1.71273e-008,0.5577
1.71659e-008,0.4729
1.72044e-008,0.4203
1.72430e-008,0.3931
1.72816e-008,0.3836
1.73202e-008,0.3933
1.73588e-008,0.4249
1.73973e-008,0.4912
1.74359e-008,0.6014
1.74745e-008,0.7344
1.75131e-008,0.8535
1.75516e-008,0.9321
1.75902e-008,0.9926
1.76288e-008,1.0422
1.76674e-008,1.0726
1.77059e-008,1.0796
1.77445e-008,1.0865
1.77831e-008,1.1074
1.78216e-008,1.1050
1.78602e-008,1.0870
1.78988e-008,1.0369
1.79374e-008,0.9244
1.79759e-008,0.8025
1.80145e-008,0.7029
1.80531e-008,0.5912
1.80917e-008,0.4957
1.81302e-008,0.4347
1.81688e-008,0.3985
1.82074e-008,0.3909
1.82460e-008,0.3893
1.82846e-008,0.4110
1.83231e-008,0.4659
1.83617e-008,0.5629
1.84003e-008,0.6911
1.84389e-008,0.8213
1.84774e-008,0.9098
1.85160e-008,0.9739
1.85546e-008,1.0284
1.85932e-008,1.0657
1.86317e-008,1.0796
1.86703e-008,1.0759
1.87089e-008,1.1047
1.87474e-008,1.1091
1.87860e-008,1.0929
1.88246e-008,1.0601
1.88632e-008,0.9646
1.89017e-008,0.8377
1.89403e-008,0.7359
1.89789e-008,0.6263
1.90175e-008,0.5219
1.90560e-008,0.4513
1.90946e-008,0.4072
1.91332e-008,0.3902
1.91718e-008,0.3857
1.92104e-008,0.4011
1.92489e-008,0.4444
1.92875e-008,0.5276
1.93261e-008,0.6490
1.93647e-008,0.7831
1.94032e-008,0.8856
1.94418e-008,0.9552
1.94804e-008,1.0126
1.95190e-008,1.0563
1.95575e-008,1.0779
1.95961e-008,1.0781
1.96347e-008,1.0999
1.96732e-008,1.1101
1.97118e-008,1.0979
1.97504e-008,1.0762
1.97890e-008,1.0014
1.98275e-008,0.8768
1.98661e-008,0.7666
1.99047e-008,0.6622
1.99433e-008,0.5520
1.99819e-008,0.4701
2.00204e-008,0.4185
2.00590e-008,0.3922
2.00976e-008,0.3846
2.01362e-008,0.3946
2.01747e-008,0.4272
2.02133e-008,0.4964
2.02519e-008,0.6080
2.02905e-008,0.7410
2.03290e-008,0.8585
2.03676e-008,0.9354
2.04062e-008,0.9952
2.04447e-008,1.0445
2.04833e-008,1.0736
2.05219e-008,1.0793
2.05605e-008,1.0863
2.05990e-008,1.1075
2.06376e-008,1.1047
2.06762e-008,1.0854
2.07148e-008,1.0322
2.07533e-008,0.9178
2.07919e-008,0.7972
2.08305e-008,0.6979
2.08691e-008,0.5859
2.09077e-008,0.4916
2.09462e-008,0.4323
2.09848e-008,0.3976
2.10234e-008,0.3880
2.10620e-008,0.3894
2.11005e-008,0.4131
2.11391e-008,0.4695
2.11777e-008,0.5691
2.12163e-008,0.6983
2.12548e-008,0.8270
2.12934e-008,0.9134
2.13320e-008,0.9771
2.13705e-008,1.0309
2.14091e-008,1.0669
2.14477e-008,1.0797
2.14863e-008,1.0754
2.15248e-008,1.1040
2.15634e-008,1.1091
2.16020e-008,1.0921
2.16406e-008,1.0563
2.16791e-008,0.9582
2.17177e-008,0.8318
2.17563e-008,0.7306
2.17949e-008,0.6212
2.18335e-008,0.5175
2.18720e-008,0.4480
2.19106e-008,0.4057
2.19492e-008,0.3903
2.19878e-008,0.3853
2.20263e-008,0.4025
2.20649e-008,0.4476
2.21035e-008,0.5328
2.21420e-008,0.6559
2.21806e-008,0.7900
2.22192e-008,0.8894
2.22578e-008,0.9584
2.22963e-008,1.0154
2.23349e-008,1.0578
2.23735e-008,1.0783
2.24121e-008,1.0779
2.24506e-008,1.0990
2.24892e-008,1.1100
2.25278e-008,1.0976
2.25664e-008,1.0736
2.26050e-008,0.9957
2.26435e-008,0.8703
2.26821e-008,0.7613
2.27207e-008,0.6570
2.27593e-008,0.5473
2.27978e-008,0.4665
2.28364e-008,0.4163
2.28750e-008,0.3919
2.29136e-008,0.3834
2.29521e-008,0.3952
2.29907e-008,0.4300
2.30293e-008,0.5007
2.30678e-008,0.6144
2.31064e-008,0.7484
2.31450e-008,0.8629
2.31836e-008,0.9388
2.32221e-008,0.9983
2.32607e-008,1.0463
2.32993e-008,1.0744
2.33379e-008,1.0793
2.33764e-008,1.0908
2.34150e-008,1.1083
2.34536e-008,1.1033
2.34922e-008,1.0846
2.35308e-008,1.0279
2.35693e-008,0.9112
2.36079e-008,0.7920
2.36465e-008,0.6920
2.36851e-008,0.5801
2.37236e-008,0.4881
2.37622e-008,0.4298
2.38008e-008,0.3965
2.38394e-008,0.3886
2.38779e-008,0.3907
2.39165e-008,0.4150
2.39551e-008,0.4737
2.39936e-008,0.5753
2.40322e-008,0.7050
2.40708e-008,0.8327
2.41094e-008,0.9171
2.41479e-008,0.9799
2.41865e-008,1.0333
2.42251e-008,1.0684
2.42637e-008,1.0799
2.43023e-008,1.0750
2.43408e-008,1.1058
2.43794e-008,1.1081
2.44180e-008,1.0912
2.44566e-008,1.0533
2.44951e-008,0.9519
2.45337e-008,0.8259
2.45723e-008,0.7256
2.46109e-008,0.6147
2.46494e-008,0.5131
2.46880e-008,0.4457
2.47266e-008,0.4041
2.47651e-008,0.3901
2.48037e-008,0.3867
2.48423e-008,0.4039
2.48809e-008,0.4509
2.49194e-008,0.5388
2.49580e-008,0.6625
2.49966e-008,0.7961
2.50352e-008,0.8938
2.50737e-008,0.9614
2.51123e-008,1.0179
2.51509e-008,1.0596
2.51895e-008,1.0786
2.52281e-008,1.0776
2.52666e-008,1.1018
2.53052e-008,1.1102
2.53438e-008,1.0962
2.53824e-008,1.0718
2.54209e-008,0.9901
2.54595e-008,0.8638
2.54981e-008,0.7569
2.55367e-008,0.6505
2.55752e-008,0.5418
2.56138e-008,0.4640
2.56524e-008,0.4146
2.56909e-008,0.3912
2.57295e-008,0.3846
2.57681e-008,0.3964
2.58067e-008,0.4325
2.58452e-008,0.5061
2.58838e-008,0.6211
2.59224e-008,0.7549
2.59610e-008,0.8677
2.59995e-008,0.9421
2.60381e-008,1.0010
2.60767e-008,1.0485
2.61153e-008,1.0753
2.61539e-008,1.0790
2.61924e-008,1.0904
2.62310e-008,1.1084
2.62696e-008,1.1028
2.63082e-008,1.0827
2.63467e-008,1.0228
2.63853e-008,0.9045
2.64239e-008,0.7868
2.64625e-008,0.6870
2.65010e-008,0.5748
2.65396e-008,0.4842
2.65782e-008,0.4275
2.66167e-008,0.3958
2.66553e-008,0.3863
2.66939e-008,0.3909
2.67325e-008,0.4173
2.67710e-008,0.4776
2.68096e-008,0.5816
2.68482e-008,0.7122
2.68868e-008,0.8378
2.69254e-008,0.9207
2.69639e-008,0.9832
2.70025e-008,1.0356
2.70411e-008,1.0695
2.70797e-008,1.0800
2.71182e-008,1.0745
2.71568e-008,1.1052
2.71954e-008,1.1080
2.72340e-008,1.0902
2.72725e-008,1.0493
2.73111e-008,0.9453
2.73497e-008,0.8201
2.73882e-008,0.7203
2.74268e-008,0.6097
2.74654e-008,0.5087
2.75040e-008,0.4426
2.75425e-008,0.4027
2.75811e-008,0.3904
2.76197e-008,0.3865
2.76583e-008,0.4056
2.76968e-008,0.4542
2.77354e-008,0.5441
2.77740e-008,0.6695
2.78126e-008,0.8027
2.78512e-008,0.8975
2.78897e-008,0.9647
2.79283e-008,1.0206
2.79669e-008,1.0610
2.80055e-008,1.0790
2.80440e-008,1.0773
2.80826e-008,1.1010
2.81212e-008,1.1101
2.81598e-008,1.0958
2.81983e-008,1.0688
2.82369e-008,0.9840
2.82755e-008,0.8575
2.83140e-008,0.7515
2.83526e-008,0.6454
2.83912e-008,0.5372
2.84298e-008,0.4604
2.84683e-008,0.4126
2.85069e-008,0.3911
2.85455e-008,0.3837
2.85841e-008,0.3973
2.86226e-008,0.4354
2.86612e-008,0.5106
2.86998e-008,0.6278
2.87384e-008,0.7622
2.87770e-008,0.8719
2.88155e-008,0.9454
2.88541e-008,1.0040
2.88927e-008,1.0503
2.89313e-008,1.0760
2.89698e-008,1.0789
2.90084e-008,1.0941
2.90470e-008,1.1091
2.90855e-008,1.1014
2.91241e-008,1.0816
2.91627e-008,1.0182
2.92013e-008,0.8979
2.92398e-008,0.7819
2.92784e-008,0.6809
2.93170e-008,0.5692
2.93556e-008,0.4808
2.93941e-008,0.4251
2.94327e-008,0.3948
2.94713e-008,0.3870
2.95099e-008,0.3922
2.95485e-008,0.4193
2.95870e-008,0.4821
2.96256e-008,0.5878
2.96642e-008,0.7189
2.97028e-008,0.8432
2.97413e-008,0.9243
2.97799e-008,0.9859
2.98185e-008,1.0379
2.98570e-008,1.0707
2.98956e-008,1.0800
2.99342e-008,1.0809
2.99728e-008,1.1068
3.00113e-008,1.1067
3.00499e-008,1.0894
3.00885e-008,1.0459
3.01271e-008,0.9388
3.01657e-008,0.8145
3.02042e-008,0.7150
3.02428e-008,0.6034
3.02814e-008,0.5045
3.03199e-008,0.4404
3.03585e-008,0.4011
3.03971e-008,0.3903
3.04357e-008,0.3878
3.04743e-008,0.4071
3.05128e-008,0.4579
3.05514e-008,0.5502
3.05900e-008,0.6761
3.06285e-008,0.8085
3.06671e-008,0.9017
3.07057e-008,0.9675
3.07443e-008,1.0231
3.07829e-008,1.0626
3.08214e-008,1.0792
3.08600e-008,1.0768
3.08986e-008,1.1035
3.09372e-008,1.1098
3.09757e-008,1.0947
3.10143e-008,1.0666
3.10529e-008,0.9781
3.10914e-008,0.8512
3.11300e-008,0.7469
3.11686e-008,0.6389
3.12072e-008,0.5321
3.12458e-008,0.4580
3.12843e-008,0.4110
3.13229e-008,0.3906
3.13615e-008,0.3849
3.14000e-008,0.3985
3.14386e-008,0.4381
3.14772e-008,0.5162
3.15158e-008,0.6345
3.15544e-008,0.7686
3.15929e-008,0.8765
3.16315e-008,0.9485
3.16701e-008,1.0067
3.17087e-008,1.0524
3.17472e-008,1.0767
3.17858e-008,1.0786
3.18244e-008,1.0977
3.18629e-008,1.1099
3.19015e-008,1.0998
3.19401e-008,1.0804
3.19787e-008,1.0132
3.20173e-008,0.8912
3.20558e-008,0.7774
3.20944e-008,0.6747
3.21330e-008,0.5634
3.21715e-008,0.4776
3.22101e-008,0.4232
3.22487e-008,0.3939
3.22873e-008,0.3851
3.23259e-008,0.3927
3.23644e-008,0.4219
3.24030e-008,0.4864
3.24416e-008,0.5941
3.24801e-008,0.7258
3.25187e-008,0.8480
3.25573e-008,0.9282
3.25959e-008,0.9890
3.26344e-008,1.0399
3.26730e-008,1.0716
3.27116e-008,1.0798
3.27502e-008,1.0808
3.27888e-008,1.1065
3.28273e-008,1.1065
3.28659e-008,1.0881
3.29045e-008,1.0417
3.29430e-008,0.9322
3.29816e-008,0.8090
3.30202e-008,0.7097
3.30588e-008,0.5982
3.30974e-008,0.5002
3.31359e-008,0.4377
3.31745e-008,0.4000
3.32131e-008,0.3907
3.32516e-008,0.3878
3.32902e-008,0.4091
3.33288e-008,0.4613
3.33674e-008,0.5559
3.34060e-008,0.6832
3.34445e-008,0.8146
3.34831e-008,0.9053
3.35217e-008,0.9708
3.35603e-008,1.0256
3.35988e-008,1.0640
3.36374e-008,1.0795
3.36760e-008,1.0764
3.37145e-008,1.1027
3.37531e-008,1.1098
3.37917e-008,1.0941
3.38303e-008,1.0634
3.38689e-008,0.9718
3.39074e-008,0.8450
3.39460e-008,0.7416
3.39846e-008,0.6338
3.40231e-008,0.5275
3.40617e-008,0.4545
3.41003e-008,0.4092
3.41389e-008,0.3906
3.41775e-008,0.3843
3.42160e-008,0.3997
3.42546e-008,0.4410
3.42932e-008,0.5209
3.43318e-008,0.6413
3.43703e-008,0.7757
3.44089e-008,0.8805
3.44475e-008,0.9518
3.44860e-008,1.0096
3.45246e-008,1.0540
3.45632e-008,1.0774
3.46018e-008,1.0785
3.46404e-008,1.0969
3.46789e-008,1.1096
3.47175e-008,1.0996
3.47561e-008,1.0782
3.47946e-008,1.0078
3.48332e-008,0.8847
3.48718e-008,0.7720
3.49104e-008,0.6695
3.49490e-008,0.5586
3.49875e-008,0.4737
3.50261e-008,0.4208
3.50647e-008,0.3933
3.51032e-008,0.3859
3.51418e-008,0.3938
3.51804e-008,0.4241
3.52190e-008,0.4910
3.52575e-008,0.6006
3.52961e-008,0.7331
3.53347e-008,0.8531
3.53733e-008,0.9312
3.54119e-008,0.9917
3.54504e-008,1.0422
3.54890e-008,1.0727
3.55276e-008,1.0797
3.55661e-008,1.0868
3.56047e-008,1.1078
3.56433e-008,1.1051
3.56819e-008,1.0873
3.57205e-008,1.0378
3.57590e-008,0.9256
3.57976e-008,0.8037
3.58362e-008,0.7040
3.58747e-008,0.5921
3.59133e-008,0.4964
3.59519e-008,0.4354
3.59905e-008,0.3988
3.60290e-008,0.3909
3.60676e-008,0.3892
3.61062e-008,0.4107
3.61448e-008,0.4653
3.61834e-008,0.5621
3.62219e-008,0.6899
3.62605e-008,0.8203
3.62991e-008,0.9093
3.63376e-008,0.9736
3.63762e-008,1.0281
3.64148e-008,1.0656
3.64534e-008,1.0796
3.64920e-008,1.0760
3.65305e-008,1.1048
3.65691e-008,1.1092
3.66077e-008,1.0931
3.66462e-008,1.0607
3.66848e-008,0.9658
3.67234e-008,0.8389
3.67620e-008,0.7369
3.68006e-008,0.6273
3.68391e-008,0.5228
3.68777e-008,0.4520
3.69163e-008,0.4076
3.69549e-008,0.3902
3.69934e-008,0.3856
3.70320e-008,0.4009
