.HEADER
..NAMES
Time,V U1.AD15&AE15
.DATA
2.57825e-008,-0.3849
2.58192e-008,-0.5646
2.58559e-008,-0.6917
2.58926e-008,-0.8369
2.59292e-008,-0.9160
2.59659e-008,-0.9429
2.60026e-008,-0.9357
2.60393e-008,-0.8810
2.60759e-008,-0.7638
2.61126e-008,-0.5768
2.61493e-008,-0.3439
2.61859e-008,-0.0942
2.62226e-008,0.1467
2.62593e-008,0.3656
2.62960e-008,0.5960
2.63326e-008,0.7401
2.63693e-008,0.8362
2.64060e-008,0.9064
2.64427e-008,0.9570
2.64794e-008,0.9552
2.65160e-008,0.8932
2.65527e-008,0.7617
2.65894e-008,0.5643
2.66261e-008,0.3089
2.66627e-008,0.0166
2.66994e-008,-0.2535
2.67361e-008,-0.4685
2.67727e-008,-0.6240
2.68094e-008,-0.7455
2.68461e-008,-0.8787
2.68828e-008,-0.9319
2.69194e-008,-0.9445
2.69561e-008,-0.9195
2.69928e-008,-0.8398
2.70295e-008,-0.6921
2.70662e-008,-0.4818
2.71028e-008,-0.2383
2.71395e-008,0.0095
2.71762e-008,0.2428
2.72129e-008,0.4728
2.72495e-008,0.6645
2.72862e-008,0.7846
2.73229e-008,0.8687
2.73595e-008,0.9277
2.73962e-008,0.9634
2.74329e-008,0.9367
2.74696e-008,0.8462
2.75062e-008,0.6851
2.75429e-008,0.4628
2.75796e-008,0.1863
2.76163e-008,-0.1031
2.76530e-008,-0.3521
2.76896e-008,-0.5412
2.77263e-008,-0.6753
2.77630e-008,-0.8189
2.77997e-008,-0.9091
2.78363e-008,-0.9414
2.78730e-008,-0.9393
2.79097e-008,-0.8927
2.79463e-008,-0.7859
2.79830e-008,-0.6090
2.80197e-008,-0.3811
2.80564e-008,-0.1322
2.80930e-008,0.1111
2.81297e-008,0.3343
2.81664e-008,0.5697
2.82031e-008,0.7226
2.82398e-008,0.8239
2.82764e-008,0.8976
2.83131e-008,0.9511
2.83498e-008,0.9589
2.83865e-008,0.9066
2.84231e-008,0.7865
2.84598e-008,0.5985
2.84965e-008,0.3513
2.85331e-008,0.0606
2.85698e-008,-0.2161
2.86065e-008,-0.4402
2.86432e-008,-0.6034
2.86798e-008,-0.7212
2.87165e-008,-0.8658
2.87532e-008,-0.9270
2.87899e-008,-0.9449
2.88266e-008,-0.9272
2.88632e-008,-0.8568
2.88999e-008,-0.7197
2.89366e-008,-0.5168
2.89733e-008,-0.2763
2.90099e-008,-0.0274
2.90466e-008,0.2084
2.90833e-008,0.4371
2.91199e-008,0.6422
2.91566e-008,0.7696
2.91933e-008,0.8579
2.92300e-008,0.9206
2.92666e-008,0.9618
2.93033e-008,0.9443
2.93400e-008,0.8643
2.93767e-008,0.7139
2.94133e-008,0.5004
2.94500e-008,0.2306
2.94867e-008,-0.0612
2.95234e-008,-0.3183
2.95601e-008,-0.5162
2.95967e-008,-0.6578
2.96334e-008,-0.7941
2.96701e-008,-0.8995
2.97068e-008,-0.9387
2.97434e-008,-0.9421
2.97801e-008,-0.9035
2.98168e-008,-0.8071
2.98534e-008,-0.6405
2.98901e-008,-0.4181
2.99268e-008,-0.1704
2.99635e-008,0.0748
3.00002e-008,0.3019
3.00368e-008,0.5368
3.00735e-008,0.7027
3.01102e-008,0.8105
3.01469e-008,0.8874
3.01835e-008,0.9450
3.02202e-008,0.9620
3.02569e-008,0.9186
3.02935e-008,0.8091
3.03302e-008,0.6305
3.03669e-008,0.3925
3.04036e-008,0.1054
3.04403e-008,-0.1764
3.04769e-008,-0.4099
3.05136e-008,-0.5823
3.05503e-008,-0.7047
3.05869e-008,-0.8498
3.06236e-008,-0.9212
3.06603e-008,-0.9442
3.06970e-008,-0.9325
3.07336e-008,-0.8708
3.07703e-008,-0.7448
3.08070e-008,-0.5505
3.08437e-008,-0.3144
3.08804e-008,-0.0651
3.09170e-008,0.1738
3.09537e-008,0.3896
3.09904e-008,0.6163
3.10270e-008,0.7535
3.10637e-008,0.8457
3.11004e-008,0.9125
3.11371e-008,0.9595
3.11738e-008,0.9508
3.12104e-008,0.8810
3.12471e-008,0.7410
3.12838e-008,0.5361
3.13205e-008,0.2743
3.13571e-008,-0.0180
3.13938e-008,-0.2825
3.14305e-008,-0.4901
3.14671e-008,-0.6398
3.15038e-008,-0.7729
3.15405e-008,-0.8902
3.15772e-008,-0.9358
3.16139e-008,-0.9439
3.16505e-008,-0.9126
3.16872e-008,-0.8259
3.17239e-008,-0.6699
3.17605e-008,-0.4542
3.17972e-008,-0.2086
3.18339e-008,0.0383
3.18706e-008,0.2692
3.19072e-008,0.5062
3.19439e-008,0.6831
3.19806e-008,0.7968
3.20173e-008,0.8774
3.20540e-008,0.9355
3.20906e-008,0.9630
3.21273e-008,0.9289
3.21640e-008,0.8305
3.22006e-008,0.6619
3.22373e-008,0.4324
3.22740e-008,0.1505
3.23107e-008,-0.1369
3.23474e-008,-0.3789
3.23840e-008,-0.5601
3.24207e-008,-0.6881
3.24574e-008,-0.8329
3.24941e-008,-0.9144
3.25307e-008,-0.9430
3.25674e-008,-0.9375
3.26041e-008,-0.8847
3.26407e-008,-0.7694
3.26774e-008,-0.5839
3.27141e-008,-0.3518
3.27508e-008,-0.1025
3.27875e-008,0.1386
3.28241e-008,0.3583
3.28608e-008,0.5908
3.28975e-008,0.7364
3.29341e-008,0.8336
3.29708e-008,0.9046
3.30075e-008,0.9549
3.30442e-008,0.9556
3.30808e-008,0.8958
3.31175e-008,0.7667
3.31542e-008,0.5714
3.31909e-008,0.3176
3.32276e-008,0.0253
3.32642e-008,-0.2462
3.33009e-008,-0.4631
3.33376e-008,-0.6200
3.33742e-008,-0.7428
3.34109e-008,-0.8763
3.34476e-008,-0.9310
3.34843e-008,-0.9446
3.35210e-008,-0.9212
3.35576e-008,-0.8436
3.35943e-008,-0.6985
3.36310e-008,-0.4898
3.36677e-008,-0.2468
3.37043e-008,0.0016
3.37410e-008,0.2355
3.37777e-008,0.4667
3.38143e-008,0.6602
3.38510e-008,0.7814
3.38877e-008,0.8664
3.39244e-008,0.9263
3.39611e-008,0.9634
3.39977e-008,0.9382
3.40344e-008,0.8498
3.40711e-008,0.6910
3.41077e-008,0.4706
3.41444e-008,0.1952
3.41811e-008,-0.0948
3.42178e-008,-0.3455
3.42545e-008,-0.5363
3.42911e-008,-0.6717
3.43278e-008,-0.8113
3.43645e-008,-0.9064
3.44012e-008,-0.9409
3.44378e-008,-0.9405
3.44745e-008,-0.8956
3.45112e-008,-0.7909
3.45478e-008,-0.6160
3.45845e-008,-0.3892
3.46212e-008,-0.1407
3.46579e-008,0.1028
3.46946e-008,0.3271
3.47312e-008,0.5604
3.47679e-008,0.7176
3.48046e-008,0.8206
3.48412e-008,0.8949
3.48779e-008,0.9498
3.49146e-008,0.9596
3.49513e-008,0.9091
3.49879e-008,0.7909
3.50246e-008,0.6045
3.50613e-008,0.3595
3.50980e-008,0.0699
3.51347e-008,-0.2076
3.51713e-008,-0.4340
3.52080e-008,-0.5995
3.52447e-008,-0.7172
3.52813e-008,-0.8617
3.53180e-008,-0.9258
3.53547e-008,-0.9446
3.53914e-008,-0.9279
3.54281e-008,-0.8593
3.54647e-008,-0.7249
3.55014e-008,-0.5243
3.55381e-008,-0.2849
3.55748e-008,-0.0356
3.56114e-008,0.2013
3.56481e-008,0.4312
3.56848e-008,0.6380
3.57214e-008,0.7664
3.57581e-008,0.8550
3.57948e-008,0.9186
3.58315e-008,0.9615
3.58682e-008,0.9460
3.59048e-008,0.8679
3.59415e-008,0.7191
3.59782e-008,0.5072
3.60148e-008,0.2395
3.60515e-008,-0.0520
3.60882e-008,-0.3107
3.61249e-008,-0.5110
3.61615e-008,-0.6546
3.61982e-008,-0.7898
3.62349e-008,-0.8981
3.62716e-008,-0.9384
3.63083e-008,-0.9430
3.63449e-008,-0.9060
3.63816e-008,-0.8116
3.64183e-008,-0.6470
3.64549e-008,-0.4258
3.64916e-008,-0.1788
3.65283e-008,0.0663
3.65650e-008,0.2942
3.66017e-008,0.5311
3.66383e-008,0.6989
3.66750e-008,0.8081
3.67117e-008,0.8856
3.67484e-008,0.9418
3.67850e-008,0.9615
3.68217e-008,0.9204
3.68584e-008,0.8135
3.68950e-008,0.6373
3.69317e-008,0.4010
3.69684e-008,0.1147
3.70051e-008,-0.1685
3.70418e-008,-0.4037
3.70784e-008,-0.5778
3.71151e-008,-0.7013
3.71518e-008,-0.8464
