.HEADER
..NAMES
Time,V U1.AD12
.DATA
1.24695e-008,0.9603
1.25062e-008,0.8450
1.25429e-008,0.7182
1.25795e-008,0.6021
1.26162e-008,0.5099
1.26529e-008,0.4457
1.26895e-008,0.4047
1.27262e-008,0.3760
1.27629e-008,0.3527
1.27996e-008,0.3310
1.28363e-008,0.3112
1.28729e-008,0.2958
1.29096e-008,0.2875
1.29463e-008,0.2869
1.29829e-008,0.2917
1.30196e-008,0.2984
1.30563e-008,0.3036
1.30930e-008,0.3052
1.31297e-008,0.3038
1.31663e-008,0.3027
1.32030e-008,0.3060
1.32397e-008,0.3159
1.32763e-008,0.3321
1.33130e-008,0.3539
1.33497e-008,0.3805
1.33864e-008,0.4066
1.34231e-008,0.4251
1.34597e-008,0.4310
1.34964e-008,0.4241
1.35331e-008,0.4087
1.35697e-008,0.3934
1.36064e-008,0.3851
1.36431e-008,0.3866
1.36798e-008,0.3959
1.37165e-008,0.4078
1.37531e-008,0.4165
1.37898e-008,0.4184
1.38265e-008,0.4140
1.38631e-008,0.4067
1.38998e-008,0.4004
1.39365e-008,0.3978
1.39732e-008,0.3993
1.40099e-008,0.4038
1.40465e-008,0.4093
1.40832e-008,0.4135
1.41199e-008,0.4141
1.41565e-008,0.4109
1.41932e-008,0.4090
1.42299e-008,0.4167
1.42666e-008,0.4485
1.43033e-008,0.5224
1.43399e-008,0.6283
1.43766e-008,0.7491
1.44133e-008,0.8505
1.44499e-008,0.9186
1.44866e-008,0.9647
1.45233e-008,0.9978
1.45600e-008,1.0237
1.45967e-008,1.0460
1.46333e-008,1.0648
1.46700e-008,1.0814
1.47067e-008,1.0966
1.47433e-008,1.1105
1.47800e-008,1.1215
1.48167e-008,1.1284
1.48534e-008,1.1307
1.48901e-008,1.1286
1.49267e-008,1.1232
1.49634e-008,1.1160
1.50001e-008,1.1074
1.50368e-008,1.0968
1.50734e-008,1.0845
1.51101e-008,1.0709
1.51468e-008,1.0559
1.51834e-008,1.0392
1.52201e-008,1.0213
1.52568e-008,1.0072
1.52935e-008,1.0029
1.53301e-008,1.0086
1.53668e-008,1.0198
1.54035e-008,1.0292
1.54402e-008,1.0319
1.54769e-008,1.0270
1.55135e-008,1.0178
1.55502e-008,1.0096
1.55869e-008,1.0060
1.56236e-008,1.0081
1.56602e-008,1.0134
1.56969e-008,1.0181
1.57336e-008,1.0195
1.57703e-008,1.0173
1.58069e-008,1.0133
1.58436e-008,1.0098
1.58803e-008,1.0083
1.59169e-008,1.0092
1.59536e-008,1.0124
1.59903e-008,1.0181
1.60270e-008,1.0252
1.60636e-008,1.0336
1.61003e-008,1.0443
1.61370e-008,1.0493
1.61737e-008,1.0355
1.62104e-008,0.9815
1.62470e-008,0.8792
1.62837e-008,0.7559
1.63204e-008,0.6370
1.63571e-008,0.5368
1.63937e-008,0.4626
1.64304e-008,0.4134
1.64671e-008,0.3806
1.65037e-008,0.3557
1.65404e-008,0.3352
1.65771e-008,0.3177
1.66138e-008,0.3040
1.66504e-008,0.2958
