.HEADER
..NAMES
Time,V U1.AC10&AB10
.DATA
1.75131e-008,0.3815
1.75516e-008,0.3731
1.75902e-008,0.3871
1.76288e-008,0.4192
1.76674e-008,0.4771
1.77059e-008,0.5756
1.77445e-008,0.7202
1.77831e-008,0.8602
1.78216e-008,0.9628
1.78602e-008,1.0312
1.78988e-008,1.0648
1.79374e-008,1.0712
1.79759e-008,1.0749
1.80145e-008,1.0983
1.80531e-008,1.1137
1.80917e-008,1.1196
1.81302e-008,1.1099
1.81688e-008,1.0627
1.82074e-008,0.9484
1.82460e-008,0.8085
1.82846e-008,0.6731
1.83231e-008,0.5472
1.83617e-008,0.4546
1.84003e-008,0.4063
1.84389e-008,0.3844
1.84774e-008,0.3739
1.85160e-008,0.3806
1.85546e-008,0.4064
1.85932e-008,0.4562
1.86317e-008,0.5388
1.86703e-008,0.6712
1.87089e-008,0.8196
1.87474e-008,0.9342
1.87860e-008,1.0132
1.88246e-008,1.0582
1.88632e-008,1.0705
1.89017e-008,1.0735
1.89403e-008,1.0841
1.89789e-008,1.1101
1.90175e-008,1.1194
1.90560e-008,1.1152
1.90946e-008,1.0858
1.91332e-008,0.9897
1.91718e-008,0.8526
1.92104e-008,0.7154
1.92489e-008,0.5846
1.92875e-008,0.4789
1.93261e-008,0.4178
1.93647e-008,0.3891
1.94032e-008,0.3802
1.94418e-008,0.3757
1.94804e-008,0.3961
1.95190e-008,0.4372
1.95575e-008,0.5070
1.95961e-008,0.6248
1.96347e-008,0.7755
1.96732e-008,0.9021
1.97118e-008,0.9921
1.97504e-008,1.0478
1.97890e-008,1.0689
1.98275e-008,1.0721
1.98661e-008,1.0770
1.99047e-008,1.1064
1.99433e-008,1.1179
1.99819e-008,1.1184
2.00204e-008,1.1015
2.00590e-008,1.0268
2.00976e-008,0.8969
2.01362e-008,0.7581
2.01747e-008,0.6246
2.02133e-008,0.5080
2.02519e-008,0.4325
2.02905e-008,0.3960
2.03290e-008,0.3811
2.03676e-008,0.3738
2.04062e-008,0.3886
2.04447e-008,0.4216
2.04833e-008,0.4813
2.05219e-008,0.5819
2.05605e-008,0.7277
2.05990e-008,0.8664
2.06376e-008,0.9671
2.06762e-008,1.0337
2.07148e-008,1.0657
2.07533e-008,1.0715
2.07919e-008,1.0753
2.08305e-008,1.1010
2.08691e-008,1.1152
2.09077e-008,1.1199
2.09462e-008,1.1096
2.09848e-008,1.0580
2.10234e-008,0.9411
2.10620e-008,0.8016
2.11005e-008,0.6665
2.11391e-008,0.5414
