.HEADER
..NAMES
Time,V U1.AE7
.DATA
1.26912e-008,0.3213
1.27297e-008,0.3088
1.27683e-008,0.2977
1.28069e-008,0.2913
1.28455e-008,0.2923
1.28841e-008,0.2990
1.29226e-008,0.3115
1.29612e-008,0.3290
1.29998e-008,0.3462
1.30383e-008,0.3561
1.30769e-008,0.3581
1.31155e-008,0.3551
1.31541e-008,0.3509
1.31926e-008,0.3563
1.32312e-008,0.3902
1.32698e-008,0.4735
1.33084e-008,0.6036
1.33470e-008,0.7609
1.33855e-008,0.8912
1.34241e-008,0.9803
1.34627e-008,1.0371
1.35012e-008,1.0753
1.35398e-008,1.1049
1.35784e-008,1.1339
1.36170e-008,1.1572
1.36555e-008,1.1728
1.36941e-008,1.1821
1.37327e-008,1.1858
1.37713e-008,1.1833
1.38099e-008,1.1757
1.38484e-008,1.1668
1.38870e-008,1.1565
1.39256e-008,1.1473
1.39641e-008,1.1437
1.40027e-008,1.1486
1.40413e-008,1.1568
1.40799e-008,1.1644
1.41185e-008,1.1710
1.41570e-008,1.1765
1.41956e-008,1.1796
1.42342e-008,1.1804
1.42728e-008,1.1808
1.43113e-008,1.1813
1.43499e-008,1.1819
1.43885e-008,1.1823
1.44270e-008,1.1827
1.44656e-008,1.1830
1.45042e-008,1.1834
1.45428e-008,1.1862
1.45814e-008,1.1925
1.46199e-008,1.1927
1.46585e-008,1.1691
1.46971e-008,1.0938
1.47357e-008,0.9597
1.47742e-008,0.8060
1.48128e-008,0.6601
1.48514e-008,0.5365
1.48899e-008,0.4473
1.49285e-008,0.3901
1.49671e-008,0.3545
1.50057e-008,0.3264
1.50443e-008,0.3050
1.50828e-008,0.3143
1.51214e-008,0.3581
1.51600e-008,0.4517
1.51985e-008,0.5979
1.52371e-008,0.7668
1.52757e-008,0.9041
1.53143e-008,1.0109
1.53528e-008,1.0866
1.53914e-008,1.1327
1.54300e-008,1.1603
1.54686e-008,1.1835
1.55071e-008,1.2336
1.55457e-008,1.2421
1.55843e-008,1.2270
1.56229e-008,1.1734
1.56615e-008,1.0490
1.57000e-008,0.8748
1.57386e-008,0.7078
1.57772e-008,0.5553
1.58158e-008,0.4368
1.58543e-008,0.3633
1.58929e-008,0.3319
1.59315e-008,0.3145
1.59701e-008,0.3036
1.60086e-008,0.2970
1.60472e-008,0.2909
1.60858e-008,0.2827
1.61243e-008,0.2815
1.61629e-008,0.2916
1.62015e-008,0.3063
1.62401e-008,0.3235
1.62786e-008,0.3417
1.63172e-008,0.3561
1.63558e-008,0.3598
1.63944e-008,0.3565
1.64329e-008,0.3523
1.64715e-008,0.3569
1.65101e-008,0.3856
1.65487e-008,0.4616
1.65873e-008,0.5876
1.66258e-008,0.7439
1.66644e-008,0.8782
1.67030e-008,0.9714
1.67416e-008,1.0325
1.67801e-008,1.0724
1.68187e-008,1.1017
1.68573e-008,1.1307
1.68959e-008,1.1555
1.69344e-008,1.1714
1.69730e-008,1.1808
1.70116e-008,1.1856
1.70501e-008,1.1840
1.70887e-008,1.1764
1.71273e-008,1.1676
1.71659e-008,1.1577
1.72044e-008,1.1482
1.72430e-008,1.1436
1.72816e-008,1.1478
1.73202e-008,1.1560
1.73588e-008,1.1635
1.73973e-008,1.1701
1.74359e-008,1.1760
1.74745e-008,1.1795
1.75131e-008,1.1803
1.75516e-008,1.1806
1.75902e-008,1.1813
1.76288e-008,1.1819
1.76674e-008,1.1822
1.77059e-008,1.1826
1.77445e-008,1.1830
1.77831e-008,1.1833
1.78216e-008,1.1841
1.78602e-008,1.1852
1.78988e-008,1.1856
1.79374e-008,1.1851
1.79759e-008,1.1848
1.80145e-008,1.1848
1.80531e-008,1.1845
1.80917e-008,1.1841
1.81302e-008,1.1842
1.81688e-008,1.1845
1.82074e-008,1.1846
1.82460e-008,1.1845
1.82846e-008,1.1845
1.83231e-008,1.1846
1.83617e-008,1.1846
1.84003e-008,1.1846
1.84389e-008,1.1846
1.84774e-008,1.1845
1.85160e-008,1.1844
1.85546e-008,1.1844
1.85932e-008,1.1845
1.86317e-008,1.1845
1.86703e-008,1.1844
1.87089e-008,1.1845
1.87474e-008,1.1846
1.87860e-008,1.1892
1.88246e-008,1.1932
1.88632e-008,1.1826
1.89017e-008,1.1330
1.89403e-008,1.0213
1.89789e-008,0.8699
1.90175e-008,0.7204
1.90560e-008,0.5853
1.90946e-008,0.4808
1.91332e-008,0.4107
1.91718e-008,0.3674
1.92104e-008,0.3405
1.92489e-008,0.3238
1.92875e-008,0.3109
1.93261e-008,0.2995
1.93647e-008,0.2916
1.94032e-008,0.2912
1.94418e-008,0.2969
1.94804e-008,0.3081
1.95190e-008,0.3247
1.95575e-008,0.3427
1.95961e-008,0.3545
1.96347e-008,0.3578
1.96732e-008,0.3557
1.97118e-008,0.3512
1.97504e-008,0.3533
1.97890e-008,0.3790
1.98275e-008,0.4509
1.98661e-008,0.5723
1.99047e-008,0.7269
1.99433e-008,0.8665
1.99819e-008,0.9640
2.00204e-008,1.0266
2.00590e-008,1.0678
2.00976e-008,1.0984
2.01362e-008,1.1275
2.01747e-008,1.1527
2.02133e-008,1.1698
2.02519e-008,1.1803
2.02905e-008,1.1853
2.03290e-008,1.1842
2.03676e-008,1.1773
2.04062e-008,1.1687
2.04447e-008,1.1586
2.04833e-008,1.1487
2.05219e-008,1.1436
2.05605e-008,1.1468
2.05990e-008,1.1548
2.06376e-008,1.1661
2.06762e-008,1.1793
2.07148e-008,1.1853
2.07533e-008,1.1669
2.07919e-008,1.0956
2.08305e-008,0.9629
2.08691e-008,0.8092
2.09077e-008,0.6640
2.09462e-008,0.5394
2.09848e-008,0.4486
2.10234e-008,0.3904
2.10620e-008,0.3545
2.11005e-008,0.3328
2.11391e-008,0.3192
2.11777e-008,0.3075
2.12163e-008,0.2964
2.12548e-008,0.2905
2.12934e-008,0.2928
2.13320e-008,0.3005
2.13705e-008,0.3136
2.14091e-008,0.3315
2.14477e-008,0.3484
2.14863e-008,0.3570
2.15248e-008,0.3577
2.15634e-008,0.3538
2.16020e-008,0.3459
2.16406e-008,0.3353
2.16791e-008,0.3257
2.17177e-008,0.3202
2.17563e-008,0.3174
2.17949e-008,0.3161
2.18335e-008,0.3161
2.18720e-008,0.3164
2.19106e-008,0.3163
2.19492e-008,0.3162
2.19878e-008,0.3161
2.20263e-008,0.3152
2.20649e-008,0.3139
2.21035e-008,0.3129
2.21420e-008,0.3128
2.21806e-008,0.3127
2.22192e-008,0.3128
2.22578e-008,0.3133
2.22963e-008,0.3140
2.23349e-008,0.3144
2.23735e-008,0.3143
2.24121e-008,0.3142
2.24506e-008,0.3142
2.24892e-008,0.3141
2.25278e-008,0.3168
2.25664e-008,0.3289
2.26050e-008,0.3651
2.26435e-008,0.4454
2.26821e-008,0.5725
2.27207e-008,0.7304
2.27593e-008,0.8697
2.27978e-008,0.9655
2.28364e-008,1.0266
2.28750e-008,1.0669
2.29136e-008,1.0972
2.29521e-008,1.1268
2.29907e-008,1.1823
2.30293e-008,1.2183
2.30678e-008,1.2246
2.31064e-008,1.1986
2.31450e-008,1.1140
2.31836e-008,0.9574
2.32221e-008,0.7872
2.32607e-008,0.6266
2.32993e-008,0.4893
2.33379e-008,0.3942
2.33764e-008,0.3460
2.34150e-008,0.3245
2.34536e-008,0.3021
2.34922e-008,0.2916
2.35308e-008,0.3095
2.35693e-008,0.3603
2.36079e-008,0.4558
2.36465e-008,0.6087
2.36851e-008,0.7796
2.37236e-008,0.9158
2.37622e-008,1.0195
2.38008e-008,1.0946
2.38394e-008,1.1399
2.38779e-008,1.1653
2.39165e-008,1.2003
2.39551e-008,1.2388
2.39936e-008,1.2430
2.40322e-008,1.2219
2.40708e-008,1.1595
2.41094e-008,1.0240
2.41479e-008,0.8494
2.41865e-008,0.6832
2.42251e-008,0.5357
2.42637e-008,0.4239
2.43023e-008,0.3568
2.43408e-008,0.3283
2.43794e-008,0.3122
2.44180e-008,0.2888
2.44566e-008,0.2978
2.44951e-008,0.3382
2.45337e-008,0.4195
2.45723e-008,0.5540
2.46109e-008,0.7279
2.46494e-008,0.8761
2.46880e-008,0.9899
2.47266e-008,1.0728
2.47651e-008,1.1285
2.48037e-008,1.1581
2.48423e-008,1.1810
2.48809e-008,1.1959
2.49194e-008,1.2004
2.49580e-008,1.1980
2.49966e-008,1.1964
2.50352e-008,1.1916
2.50737e-008,1.1805
2.51123e-008,1.1688
2.51509e-008,1.1584
2.51895e-008,1.1496
2.52281e-008,1.1446
2.52666e-008,1.1484
2.53052e-008,1.1562
2.53438e-008,1.1634
2.53824e-008,1.1692
2.54209e-008,1.1754
2.54595e-008,1.1794
2.54981e-008,1.1802
2.55367e-008,1.1806
2.55752e-008,1.1817
2.56138e-008,1.1827
2.56524e-008,1.1823
2.56909e-008,1.1825
2.57295e-008,1.1831
2.57681e-008,1.1836
2.58067e-008,1.1840
2.58452e-008,1.1851
2.58838e-008,1.1856
2.59224e-008,1.1851
2.59610e-008,1.1847
2.59995e-008,1.1847
2.60381e-008,1.1845
2.60767e-008,1.1840
2.61153e-008,1.1842
2.61539e-008,1.1845
2.61924e-008,1.1845
2.62310e-008,1.1843
2.62696e-008,1.1866
2.63082e-008,1.1920
2.63467e-008,1.1913
2.63853e-008,1.1663
2.64239e-008,1.0882
2.64625e-008,0.9522
2.65010e-008,0.7987
2.65396e-008,0.6540
2.65782e-008,0.5318
2.66167e-008,0.4439
2.66553e-008,0.3877
2.66939e-008,0.3531
2.67325e-008,0.3319
2.67710e-008,0.3175
2.68096e-008,0.3053
2.68482e-008,0.2951
2.68868e-008,0.2905
2.69254e-008,0.2933
2.69639e-008,0.3014
2.70025e-008,0.3154
2.70411e-008,0.3335
2.70797e-008,0.3494
2.71182e-008,0.3570
2.71568e-008,0.3575
2.71954e-008,0.3532
2.72340e-008,0.3449
2.72725e-008,0.3341
2.73111e-008,0.3249
2.73497e-008,0.3197
2.73882e-008,0.3171
2.74268e-008,0.3161
2.74654e-008,0.3161
2.75040e-008,0.3162
2.75425e-008,0.3162
2.75811e-008,0.3162
2.76197e-008,0.3159
2.76583e-008,0.3149
2.76968e-008,0.3183
2.77354e-008,0.3342
2.77740e-008,0.3799
2.78126e-008,0.4726
2.78512e-008,0.6093
2.78897e-008,0.7693
2.79283e-008,0.8980
2.79669e-008,0.9845
2.80055e-008,1.0387
2.80440e-008,1.0753
2.80826e-008,1.1048
2.81212e-008,1.1344
2.81598e-008,1.1964
2.81983e-008,1.2224
2.82369e-008,1.2214
2.82755e-008,1.1832
2.83140e-008,1.0785
2.83526e-008,0.9116
2.83912e-008,0.7446
2.84298e-008,0.5874
2.84683e-008,0.4601
2.85069e-008,0.3776
2.85455e-008,0.3391
2.85841e-008,0.3195
2.86226e-008,0.3076
2.86612e-008,0.3011
2.86998e-008,0.2941
2.87384e-008,0.2849
2.87770e-008,0.2809
2.88155e-008,0.2890
2.88541e-008,0.3022
