.HEADER
..NAMES
Time,V U1.Y16
.DATA
2.83131e-008,0.4282
2.83498e-008,0.4732
2.83865e-008,0.5569
2.84231e-008,0.6624
2.84598e-008,0.7733
2.84965e-008,0.8561
2.85331e-008,0.9155
2.85698e-008,0.9619
2.86065e-008,1.0005
2.86432e-008,1.0326
2.86798e-008,1.0581
2.87165e-008,1.0775
2.87532e-008,1.0927
2.87899e-008,1.1052
2.88266e-008,1.1158
2.88632e-008,1.1243
2.88999e-008,1.1293
2.89366e-008,1.1298
2.89733e-008,1.1247
2.90099e-008,1.1140
2.90466e-008,1.1002
2.90833e-008,1.0879
2.91199e-008,1.0812
2.91566e-008,1.0779
2.91933e-008,1.0747
2.92300e-008,1.0693
2.92666e-008,1.0529
2.93033e-008,1.0146
2.93400e-008,0.9342
2.93767e-008,0.8071
2.94133e-008,0.6694
2.94500e-008,0.5514
2.94867e-008,0.4583
2.95234e-008,0.3864
2.95601e-008,0.3313
2.95967e-008,0.2889
2.96334e-008,0.2580
2.96701e-008,0.2379
2.97068e-008,0.2274
2.97434e-008,0.2235
2.97801e-008,0.2222
2.98168e-008,0.2199
2.98534e-008,0.2151
2.98901e-008,0.2095
2.99268e-008,0.2066
2.99635e-008,0.2099
3.00002e-008,0.2209
3.00368e-008,0.2359
3.00735e-008,0.2495
3.01102e-008,0.2598
3.01469e-008,0.2707
3.01835e-008,0.2876
3.02202e-008,0.3135
3.02569e-008,0.3459
3.02935e-008,0.3768
3.03302e-008,0.3981
3.03669e-008,0.4053
3.04036e-008,0.4008
3.04403e-008,0.3915
3.04769e-008,0.3856
3.05136e-008,0.3869
3.05503e-008,0.3953
3.05869e-008,0.4065
3.06236e-008,0.4147
3.06603e-008,0.4159
3.06970e-008,0.4103
3.07336e-008,0.4022
3.07703e-008,0.3973
3.08070e-008,0.3988
3.08437e-008,0.4061
3.08804e-008,0.4160
3.09170e-008,0.4240
3.09537e-008,0.4268
3.09904e-008,0.4238
3.10270e-008,0.4172
3.10637e-008,0.4122
3.11004e-008,0.4153
3.11371e-008,0.4371
3.11738e-008,0.4939
3.12104e-008,0.5863
3.12471e-008,0.6966
3.12838e-008,0.8028
3.13205e-008,0.8795
3.13571e-008,0.9360
3.13938e-008,0.9797
3.14305e-008,1.0135
3.14671e-008,1.0383
3.15038e-008,1.0559
3.15405e-008,1.0686
3.15772e-008,1.0815
3.16139e-008,1.0963
3.16505e-008,1.1114
3.16872e-008,1.1231
3.17239e-008,1.1279
3.17605e-008,1.1236
3.17972e-008,1.1104
3.18339e-008,1.0916
3.18706e-008,1.0730
3.19072e-008,1.0612
3.19439e-008,1.0578
3.19806e-008,1.0585
3.20173e-008,1.0555
3.20540e-008,1.0448
3.20906e-008,1.0284
3.21273e-008,1.0131
3.21640e-008,1.0055
3.22006e-008,1.0073
3.22373e-008,1.0151
3.22740e-008,1.0228
3.23107e-008,1.0259
3.23474e-008,1.0237
3.23840e-008,1.0188
3.24207e-008,1.0145
3.24574e-008,1.0134
3.24941e-008,1.0156
3.25307e-008,1.0195
3.25674e-008,1.0223
3.26041e-008,1.0224
3.26407e-008,1.0200
3.26774e-008,1.0170
3.27141e-008,1.0159
3.27508e-008,1.0179
3.27875e-008,1.0220
3.28241e-008,1.0260
3.28608e-008,1.0285
3.28975e-008,1.0301
3.29341e-008,1.0332
3.29708e-008,1.0394
3.30075e-008,1.0484
3.30442e-008,1.0584
3.30808e-008,1.0675
3.31175e-008,1.0747
3.31542e-008,1.0805
3.31909e-008,1.0858
3.32276e-008,1.0913
3.32642e-008,1.0969
3.33009e-008,1.1009
3.33376e-008,1.1019
3.33742e-008,1.0988
3.34109e-008,1.0923
3.34476e-008,1.0849
3.34843e-008,1.0797
3.35210e-008,1.0785
3.35576e-008,1.0812
3.35943e-008,1.0863
3.36310e-008,1.0916
3.36677e-008,1.0952
3.37043e-008,1.0963
3.37410e-008,1.0952
3.37777e-008,1.0929
3.38143e-008,1.0915
3.38510e-008,1.0904
3.38877e-008,1.0907
3.39244e-008,1.0934
3.39611e-008,1.0910
3.39977e-008,1.0716
3.40344e-008,1.0149
3.40711e-008,0.9133
3.41077e-008,0.7918
3.41444e-008,0.6708
3.41811e-008,0.5641
3.42178e-008,0.4801
3.42545e-008,0.4208
3.42911e-008,0.3823
3.43278e-008,0.3582
3.43645e-008,0.3441
3.44012e-008,0.3348
