.HEADER
..NAMES
Time,V U1.AD18&AE18
.DATA
3.17472e-008,0.9585
3.17858e-008,1.0330
3.18244e-008,1.0725
3.18629e-008,1.0773
3.19015e-008,1.0546
3.19401e-008,1.0656
3.19787e-008,1.0661
3.20173e-008,1.0793
3.20558e-008,1.0825
3.20944e-008,1.0282
3.21330e-008,0.9346
3.21715e-008,0.7973
3.22101e-008,0.6635
3.22487e-008,0.5378
3.22873e-008,0.4392
3.23259e-008,0.3963
3.23644e-008,0.3927
3.24030e-008,0.4065
3.24416e-008,0.4272
3.24801e-008,0.4591
3.25187e-008,0.5090
3.25573e-008,0.5909
3.25959e-008,0.7027
3.26344e-008,0.8287
3.26730e-008,0.9294
3.27116e-008,1.0131
3.27502e-008,1.0640
3.27888e-008,1.0786
3.28273e-008,1.0636
3.28659e-008,1.0554
3.29045e-008,1.0683
3.29430e-008,1.0735
3.29816e-008,1.0860
3.30202e-008,1.0523
3.30588e-008,0.9688
3.30974e-008,0.8414
3.31359e-008,0.7050
3.31745e-008,0.5758
3.32131e-008,0.4650
3.32516e-008,0.4054
3.32902e-008,0.3892
3.33288e-008,0.4075
3.33674e-008,0.4173
3.34060e-008,0.4483
3.34445e-008,0.4901
3.34831e-008,0.5609
3.35217e-008,0.6647
3.35603e-008,0.7915
3.35988e-008,0.8991
3.36374e-008,0.9898
3.36760e-008,1.0519
3.37145e-008,1.0773
3.37531e-008,1.0714
3.37917e-008,1.0451
3.38303e-008,1.0705
3.38689e-008,1.0684
3.39074e-008,1.0847
3.39460e-008,1.0706
3.39846e-008,0.9976
3.40231e-008,0.8859
3.40617e-008,0.7472
3.41003e-008,0.6155
3.41389e-008,0.4964
3.41775e-008,0.4181
3.42160e-008,0.3902
3.42546e-008,0.4005
3.42932e-008,0.4096
3.43318e-008,0.4387
3.43703e-008,0.4739
3.44089e-008,0.5346
3.44475e-008,0.6297
3.44860e-008,0.7508
3.45246e-008,0.8678
3.45632e-008,0.9632
3.46018e-008,1.0361
3.46404e-008,1.0733
3.46789e-008,1.0766
3.47175e-008,1.0531
3.47561e-008,1.0648
3.47946e-008,1.0663
3.48332e-008,1.0795
3.48718e-008,1.0813
3.49104e-008,1.0238
3.49490e-008,0.9287
3.49875e-008,0.7909
3.50261e-008,0.6566
3.50647e-008,0.5319
3.51032e-008,0.4354
3.51418e-008,0.3954
3.51804e-008,0.3931
3.52190e-008,0.4053
3.52575e-008,0.4291
3.52961e-008,0.4606
3.53347e-008,0.5125
3.53733e-008,0.5958
3.54119e-008,0.7094
3.54504e-008,0.8348
3.54890e-008,0.9341
3.55276e-008,1.0166
3.55661e-008,1.0654
3.56047e-008,1.0786
3.56433e-008,1.0619
3.56819e-008,1.0546
3.57205e-008,1.0682
3.57590e-008,1.0739
3.57976e-008,1.0857
