.HEADER
..NAMES
Time,V U4.P8
.DATA
2.64427e-008,0.4432
2.64794e-008,0.4404
2.65160e-008,0.4487
2.65527e-008,0.4597
2.65894e-008,0.4673
2.66261e-008,0.4684
2.66627e-008,0.4627
2.66994e-008,0.4521
2.67361e-008,0.4400
2.67727e-008,0.4295
2.68094e-008,0.4222
2.68461e-008,0.4171
2.68828e-008,0.4117
2.69194e-008,0.4033
2.69561e-008,0.3906
2.69928e-008,0.3745
2.70295e-008,0.3571
2.70662e-008,0.3418
2.71028e-008,0.3316
2.71395e-008,0.3283
2.71762e-008,0.3315
2.72129e-008,0.3388
2.72495e-008,0.3465
2.72862e-008,0.3516
2.73229e-008,0.3519
2.73595e-008,0.3468
2.73962e-008,0.3372
2.74329e-008,0.3259
2.74696e-008,0.3162
2.75062e-008,0.3106
2.75429e-008,0.3098
2.75796e-008,0.3129
2.76163e-008,0.3182
2.76530e-008,0.3233
2.76896e-008,0.3265
2.77263e-008,0.3269
2.77630e-008,0.3249
2.77997e-008,0.3215
2.78363e-008,0.3181
2.78730e-008,0.3162
2.79097e-008,0.3168
2.79463e-008,0.3197
2.79830e-008,0.3242
2.80197e-008,0.3287
2.80564e-008,0.3321
2.80930e-008,0.3337
2.81297e-008,0.3334
2.81664e-008,0.3315
2.82031e-008,0.3291
2.82398e-008,0.3269
2.82764e-008,0.3253
2.83131e-008,0.3245
2.83498e-008,0.3245
2.83865e-008,0.3249
2.84231e-008,0.3253
2.84598e-008,0.3255
2.84965e-008,0.3254
2.85331e-008,0.3251
2.85698e-008,0.3249
2.86065e-008,0.3250
2.86432e-008,0.3254
2.86798e-008,0.3260
2.87165e-008,0.3268
2.87532e-008,0.3278
2.87899e-008,0.3304
2.88266e-008,0.3377
2.88632e-008,0.3553
2.88999e-008,0.3890
2.89366e-008,0.4422
2.89733e-008,0.5131
2.90099e-008,0.5959
2.90466e-008,0.6840
2.90833e-008,0.7700
2.91199e-008,0.8452
2.91566e-008,0.9008
2.91933e-008,0.9337
2.92300e-008,0.9477
2.92666e-008,0.9504
2.93033e-008,0.9487
2.93400e-008,0.9474
2.93767e-008,0.9493
2.94133e-008,0.9549
2.94500e-008,0.9634
2.94867e-008,0.9732
2.95234e-008,0.9823
2.95601e-008,0.9894
2.95967e-008,0.9947
2.96334e-008,1.0005
2.96701e-008,1.0093
2.97068e-008,1.0229
2.97434e-008,1.0409
2.97801e-008,1.0591
2.98168e-008,1.0686
2.98534e-008,1.0583
2.98901e-008,1.0196
2.99268e-008,0.9528
2.99635e-008,0.8645
3.00002e-008,0.7626
3.00368e-008,0.6569
3.00735e-008,0.5620
3.01102e-008,0.4922
3.01469e-008,0.4541
3.01835e-008,0.4442
3.02202e-008,0.4528
3.02569e-008,0.4683
3.02935e-008,0.4812
3.03302e-008,0.4864
3.03669e-008,0.4830
3.04036e-008,0.4728
3.04403e-008,0.4594
3.04769e-008,0.4467
3.05136e-008,0.4381
3.05503e-008,0.4343
3.05869e-008,0.4329
3.06236e-008,0.4294
3.06603e-008,0.4207
3.06970e-008,0.4085
3.07336e-008,0.4005
3.07703e-008,0.4080
3.08070e-008,0.4406
3.08437e-008,0.5010
3.08804e-008,0.5845
3.09170e-008,0.6824
3.09537e-008,0.7840
3.09904e-008,0.8753
3.10270e-008,0.9420
3.10637e-008,0.9766
3.11004e-008,0.9822
3.11371e-008,0.9691
3.11738e-008,0.9494
3.12104e-008,0.9336
3.12471e-008,0.9278
3.12838e-008,0.9329
3.13205e-008,0.9463
3.13571e-008,0.9633
3.13938e-008,0.9787
3.14305e-008,0.9888
3.14671e-008,0.9928
3.15038e-008,0.9935
3.15405e-008,0.9956
3.15772e-008,1.0036
3.16139e-008,1.0191
3.16505e-008,1.0394
3.16872e-008,1.0562
3.17239e-008,1.0573
3.17605e-008,1.0316
3.17972e-008,0.9757
3.18339e-008,0.8934
3.18706e-008,0.7925
3.19072e-008,0.6836
3.19439e-008,0.5819
3.19806e-008,0.5026
3.20173e-008,0.4539
3.20540e-008,0.4354
3.20906e-008,0.4395
3.21273e-008,0.4548
3.21640e-008,0.4701
3.22006e-008,0.4783
3.22373e-008,0.4772
3.22740e-008,0.4682
3.23107e-008,0.4548
3.23474e-008,0.4416
3.23840e-008,0.4324
3.24207e-008,0.4286
3.24574e-008,0.4282
3.24941e-008,0.4270
3.25307e-008,0.4215
3.25674e-008,0.4121
3.26041e-008,0.4048
3.26407e-008,0.4101
3.26774e-008,0.4381
3.27141e-008,0.4931
3.27508e-008,0.5718
3.27875e-008,0.6666
3.28241e-008,0.7676
3.28608e-008,0.8612
3.28975e-008,0.9328
3.29341e-008,0.9733
3.29708e-008,0.9844
3.30075e-008,0.9751
3.30442e-008,0.9569
3.30808e-008,0.9401
3.31175e-008,0.9317
3.31542e-008,0.9338
3.31909e-008,0.9449
3.32276e-008,0.9608
3.32642e-008,0.9765
3.33009e-008,0.9877
3.33376e-008,0.9932
3.33742e-008,0.9949
3.34109e-008,0.9974
3.34476e-008,1.0049
3.34843e-008,1.0198
3.35210e-008,1.0402
3.35576e-008,1.0588
3.35943e-008,1.0638
3.36310e-008,1.0435
3.36677e-008,0.9928
3.37043e-008,0.9149
3.37410e-008,0.8165
3.37777e-008,0.7077
3.38143e-008,0.6028
3.38510e-008,0.5180
3.38877e-008,0.4634
3.39244e-008,0.4399
3.39611e-008,0.4406
3.39977e-008,0.4544
3.40344e-008,0.4701
3.40711e-008,0.4798
3.41077e-008,0.4806
3.41444e-008,0.4731
3.41811e-008,0.4604
3.42178e-008,0.4468
3.42545e-008,0.4364
3.42911e-008,0.4312
3.43278e-008,0.4300
3.43645e-008,0.4287
