.HEADER
..NAMES
Time,V U5.A2
.DATA
1.72430e-008,0.5072
1.72816e-008,0.4547
1.73202e-008,0.4141
1.73588e-008,0.3819
1.73973e-008,0.3676
1.74359e-008,0.3832
1.74745e-008,0.4389
1.75131e-008,0.5360
1.75516e-008,0.6594
1.75902e-008,0.7763
1.76288e-008,0.8677
1.76674e-008,0.9361
1.77059e-008,0.9894
1.77445e-008,1.0335
1.77831e-008,1.0746
1.78216e-008,1.1208
1.78602e-008,1.1583
1.78988e-008,1.1693
1.79374e-008,1.1439
1.79759e-008,1.0734
1.80145e-008,0.9592
1.80531e-008,0.8328
1.80917e-008,0.7149
1.81302e-008,0.6110
1.81688e-008,0.5280
1.82074e-008,0.4695
1.82460e-008,0.4261
1.82846e-008,0.3905
1.83231e-008,0.3691
1.83617e-008,0.3743
1.84003e-008,0.4167
1.84389e-008,0.5011
1.84774e-008,0.6196
1.85160e-008,0.7416
1.85546e-008,0.8418
1.85932e-008,0.9164
1.86317e-008,0.9739
1.86703e-008,1.0202
1.87089e-008,1.0603
1.87474e-008,1.0927
1.87860e-008,1.1158
1.88246e-008,1.1322
1.88632e-008,1.1439
1.89017e-008,1.1509
1.89403e-008,1.1572
1.89789e-008,1.1652
1.90175e-008,1.1720
1.90560e-008,1.1743
1.90946e-008,1.1730
1.91332e-008,1.1707
1.91718e-008,1.1701
1.92104e-008,1.1735
1.92489e-008,1.1802
1.92875e-008,1.1824
1.93261e-008,1.1663
1.93647e-008,1.1122
1.94032e-008,1.0104
1.94418e-008,0.8828
1.94804e-008,0.7606
1.95190e-008,0.6551
1.95575e-008,0.5667
1.95961e-008,0.4981
1.96347e-008,0.4483
1.96732e-008,0.4134
1.97118e-008,0.3877
1.97504e-008,0.3659
1.97890e-008,0.3486
1.98275e-008,0.3392
1.98661e-008,0.3334
1.99047e-008,0.3261
1.99433e-008,0.3189
1.99819e-008,0.3161
2.00204e-008,0.3177
2.00590e-008,0.3206
2.00976e-008,0.3224
2.01362e-008,0.3233
2.01747e-008,0.3241
2.02133e-008,0.3244
2.02519e-008,0.3232
2.02905e-008,0.3214
2.03290e-008,0.3210
2.03676e-008,0.3218
2.04062e-008,0.3220
2.04447e-008,0.3209
2.04833e-008,0.3201
2.05219e-008,0.3202
2.05605e-008,0.3207
2.05990e-008,0.3206
2.06376e-008,0.3201
2.06762e-008,0.3199
2.07148e-008,0.3200
2.07533e-008,0.3199
2.07919e-008,0.3196
2.08305e-008,0.3195
2.08691e-008,0.3198
2.09077e-008,0.3201
2.09462e-008,0.3200
2.09848e-008,0.3197
2.10234e-008,0.3197
2.10620e-008,0.3200
2.11005e-008,0.3223
2.11391e-008,0.3320
2.11777e-008,0.3604
2.12163e-008,0.4219
2.12548e-008,0.5222
2.12934e-008,0.6488
2.13320e-008,0.7701
2.13705e-008,0.8611
2.14091e-008,0.9243
2.14477e-008,0.9751
2.14863e-008,1.0199
2.15248e-008,1.0601
2.15634e-008,1.1072
2.16020e-008,1.1508
2.16406e-008,1.1691
2.16791e-008,1.1522
2.17177e-008,1.0933
2.17563e-008,0.9869
2.17949e-008,0.8614
2.18335e-008,0.7422
2.18720e-008,0.6350
2.19106e-008,0.5455
2.19492e-008,0.4819
2.19878e-008,0.4362
2.20263e-008,0.3989
2.20649e-008,0.3731
2.21035e-008,0.3702
2.21420e-008,0.4015
2.21806e-008,0.4747
2.22192e-008,0.5860
2.22578e-008,0.7103
2.22963e-008,0.8180
2.23349e-008,0.8992
2.23735e-008,0.9605
2.24121e-008,1.0087
2.24506e-008,1.0503
2.24892e-008,1.0937
2.25278e-008,1.1384
2.25664e-008,1.1664
2.26050e-008,1.1634
2.26435e-008,1.1206
2.26821e-008,1.0295
2.27207e-008,0.9061
2.27593e-008,0.7818
2.27978e-008,0.6695
2.28364e-008,0.5732
2.28750e-008,0.5011
2.29136e-008,0.4501
2.29521e-008,0.4134
2.29907e-008,0.3876
2.30293e-008,0.3679
2.30678e-008,0.3507
2.31064e-008,0.3392
2.31450e-008,0.3319
2.31836e-008,0.3247
2.32221e-008,0.3182
2.32607e-008,0.3160
2.32993e-008,0.3170
2.33379e-008,0.3192
2.33764e-008,0.3216
2.34150e-008,0.3233
2.34536e-008,0.3241
2.34922e-008,0.3242
2.35308e-008,0.3234
2.35693e-008,0.3219
2.36079e-008,0.3211
2.36465e-008,0.3215
2.36851e-008,0.3215
2.37236e-008,0.3209
2.37622e-008,0.3204
2.38008e-008,0.3204
2.38394e-008,0.3205
2.38779e-008,0.3207
2.39165e-008,0.3229
2.39551e-008,0.3330
2.39936e-008,0.3626
2.40322e-008,0.4259
2.40708e-008,0.5277
2.41094e-008,0.6552
2.41479e-008,0.7759
2.41865e-008,0.8654
2.42251e-008,0.9273
2.42637e-008,0.9774
2.43023e-008,1.0220
2.43408e-008,1.0620
2.43794e-008,1.1086
2.44180e-008,1.1516
2.44566e-008,1.1691
2.44951e-008,1.1505
2.45337e-008,1.0890
2.45723e-008,0.9806
2.46109e-008,0.8548
2.46494e-008,0.7364
2.46880e-008,0.6300
2.47266e-008,0.5415
2.47651e-008,0.4791
2.48037e-008,0.4345
2.48423e-008,0.4027
2.48809e-008,0.3800
2.49194e-008,0.3614
2.49580e-008,0.3458
2.49966e-008,0.3365
2.50352e-008,0.3292
2.50737e-008,0.3215
2.51123e-008,0.3166
2.51509e-008,0.3164
2.51895e-008,0.3182
2.52281e-008,0.3202
2.52666e-008,0.3223
2.53052e-008,0.3237
2.53438e-008,0.3242
2.53824e-008,0.3240
2.54209e-008,0.3229
2.54595e-008,0.3213
2.54981e-008,0.3212
2.55367e-008,0.3216
2.55752e-008,0.3212
2.56138e-008,0.3205
2.56524e-008,0.3204
2.56909e-008,0.3205
2.57295e-008,0.3205
2.57681e-008,0.3210
2.58067e-008,0.3251
2.58452e-008,0.3407
2.58838e-008,0.3814
2.59224e-008,0.4591
2.59610e-008,0.5730
2.59995e-008,0.7021
2.60381e-008,0.8129
2.60767e-008,0.8905
2.61153e-008,0.9465
2.61539e-008,0.9945
2.61924e-008,1.0369
2.62310e-008,1.0728
2.62696e-008,1.1010
2.63082e-008,1.1216
2.63467e-008,1.1363
2.63853e-008,1.1457
2.64239e-008,1.1516
2.64625e-008,1.1589
2.65010e-008,1.1678
2.65396e-008,1.1733
2.65782e-008,1.1728
2.66167e-008,1.1699
2.66553e-008,1.1688
2.66939e-008,1.1708
2.67325e-008,1.1767
2.67710e-008,1.1826
2.68096e-008,1.1785
2.68482e-008,1.1469
2.68868e-008,1.0697
2.69254e-008,0.9511
2.69639e-008,0.8230
2.70025e-008,0.7088
2.70411e-008,0.6117
2.70797e-008,0.5320
2.71182e-008,0.4724
2.71568e-008,0.4290
2.71954e-008,0.3935
2.72340e-008,0.3703
2.72725e-008,0.3745
2.73111e-008,0.4191
2.73497e-008,0.5066
2.73882e-008,0.6266
2.74268e-008,0.7471
2.74654e-008,0.8440
2.75040e-008,0.9169
2.75425e-008,0.9748
2.75811e-008,1.0212
2.76197e-008,1.0613
2.76583e-008,1.1068
2.76968e-008,1.1496
2.77354e-008,1.1696
2.77740e-008,1.1560
2.78126e-008,1.1013
2.78512e-008,0.9989
2.78897e-008,0.8735
2.79283e-008,0.7516
2.79669e-008,0.6420
2.80055e-008,0.5510
2.80440e-008,0.4861
2.80826e-008,0.4394
2.81212e-008,0.4059
2.81598e-008,0.3822
2.81983e-008,0.3633
2.82369e-008,0.3471
2.82755e-008,0.3371
2.83140e-008,0.3299
2.83526e-008,0.3226
2.83912e-008,0.3174
2.84298e-008,0.3163
2.84683e-008,0.3175
2.85069e-008,0.3197
2.85455e-008,0.3221
2.85841e-008,0.3242
2.86226e-008,0.3292
2.86612e-008,0.3462
2.86998e-008,0.3882
2.87384e-008,0.4671
2.87770e-008,0.5827
2.88155e-008,0.7117
2.88541e-008,0.8200
2.88927e-008,0.8953
2.89313e-008,0.9506
2.89698e-008,0.9981
2.90084e-008,1.0400
2.90470e-008,1.0753
2.90855e-008,1.1026
2.91241e-008,1.1226
2.91627e-008,1.1371
2.92013e-008,1.1460
2.92398e-008,1.1517
2.92784e-008,1.1593
2.93170e-008,1.1684
2.93556e-008,1.1735
2.93941e-008,1.1726
2.94327e-008,1.1698
2.94713e-008,1.1688
2.95099e-008,1.1704
2.95485e-008,1.1729
2.95870e-008,1.1745
2.96256e-008,1.1755
2.96642e-008,1.1764
2.97028e-008,1.1765
2.97413e-008,1.1757
2.97799e-008,1.1756
2.98185e-008,1.1770
2.98570e-008,1.1783
2.98956e-008,1.1783
2.99342e-008,1.1775
2.99728e-008,1.1773
3.00113e-008,1.1798
3.00499e-008,1.1838
3.00885e-008,1.1807
3.01271e-008,1.1531
3.01657e-008,1.0821
3.02042e-008,0.9683
3.02428e-008,0.8397
3.02814e-008,0.7218
3.03199e-008,0.6214
3.03585e-008,0.5397
3.03971e-008,0.4786
3.04357e-008,0.4350
3.04743e-008,0.4043
3.05128e-008,0.3797
3.05514e-008,0.3588
3.05900e-008,0.3442
3.06285e-008,0.3369
3.06671e-008,0.3310
3.07057e-008,0.3235
3.07443e-008,0.3176
3.07829e-008,0.3164
3.08214e-008,0.3186
3.08600e-008,0.3212
3.08986e-008,0.3227
3.09372e-008,0.3246
3.09757e-008,0.3316
3.10143e-008,0.3525
3.10529e-008,0.4012
3.10914e-008,0.4885
3.11300e-008,0.6102
3.11686e-008,0.7377
3.12072e-008,0.8388
3.12458e-008,0.9078
3.12843e-008,0.9605
3.13229e-008,1.0072
3.13615e-008,1.0482
3.14000e-008,1.0818
3.14386e-008,1.1073
3.14772e-008,1.1261
3.15158e-008,1.1395
3.15544e-008,1.1473
3.15929e-008,1.1530
3.16315e-008,1.1612
3.16701e-008,1.1701
3.17087e-008,1.1739
3.17472e-008,1.1720
3.17858e-008,1.1692
3.18244e-008,1.1690
3.18629e-008,1.1711
3.19015e-008,1.1734
3.19401e-008,1.1748
3.19787e-008,1.1757
3.20173e-008,1.1765
3.20558e-008,1.1764
3.20944e-008,1.1755
3.21330e-008,1.1757
3.21715e-008,1.1773
3.22101e-008,1.1785
3.22487e-008,1.1782
3.22873e-008,1.1774
3.23259e-008,1.1776
3.23644e-008,1.1806
3.24030e-008,1.1842
3.24416e-008,1.1776
3.24801e-008,1.1423
3.25187e-008,1.0612
3.25573e-008,0.9415
3.25959e-008,0.8137
3.26344e-008,0.6992
3.26730e-008,0.6026
3.27116e-008,0.5252
3.27502e-008,0.4682
3.27888e-008,0.4277
3.28273e-008,0.3988
3.28659e-008,0.3750
3.29045e-008,0.3551
3.29430e-008,0.3422
3.29816e-008,0.3357
3.30202e-008,0.3295
3.30588e-008,0.3220
3.30974e-008,0.3169
3.31359e-008,0.3167
3.31745e-008,0.3192
3.32131e-008,0.3216
3.32516e-008,0.3230
3.32902e-008,0.3254
3.33288e-008,0.3344
3.33674e-008,0.3599
3.34060e-008,0.4161
3.34445e-008,0.5117
3.34831e-008,0.6376
3.35217e-008,0.7617
3.35603e-008,0.8554
3.35988e-008,0.9196
3.36374e-008,0.9707
3.36760e-008,1.0163
3.37145e-008,1.0564
3.37531e-008,1.1010
3.37917e-008,1.1454
3.38303e-008,1.1685
3.38689e-008,1.1564
3.39074e-008,1.1022
3.39460e-008,1.0001
3.39846e-008,0.8750
3.40231e-008,0.7550
3.40617e-008,0.6465
3.41003e-008,0.5539
3.41389e-008,0.4875
3.41775e-008,0.4410
3.42160e-008,0.4074
3.42546e-008,0.3833
3.42932e-008,0.3642
3.43318e-008,0.3480
3.43703e-008,0.3379
3.44089e-008,0.3305
3.44475e-008,0.3227
3.44860e-008,0.3170
3.45246e-008,0.3163
3.45632e-008,0.3180
3.46018e-008,0.3198
3.46404e-008,0.3219
3.46789e-008,0.3240
3.47175e-008,0.3288
3.47561e-008,0.3447
3.47946e-008,0.3848
3.48332e-008,0.4615
3.48718e-008,0.5755
3.49104e-008,0.7049
3.49490e-008,0.8149
3.49875e-008,0.8916
3.50261e-008,0.9477
3.50647e-008,0.9957
3.51032e-008,1.0379
3.51418e-008,1.0735
3.51804e-008,1.1012
3.52190e-008,1.1216
3.52575e-008,1.1365
3.52961e-008,1.1457
3.53347e-008,1.1514
3.53733e-008,1.1588
3.54119e-008,1.1680
3.54504e-008,1.1734
3.54890e-008,1.1727
3.55276e-008,1.1699
3.55661e-008,1.1688
3.56047e-008,1.1709
3.56433e-008,1.1767
3.56819e-008,1.1826
3.57205e-008,1.1785
3.57590e-008,1.1472
3.57976e-008,1.0702
3.58362e-008,0.9516
3.58747e-008,0.8235
3.59133e-008,0.7093
3.59519e-008,0.6121
3.59905e-008,0.5323
3.60290e-008,0.4726
3.60676e-008,0.4292
3.61062e-008,0.3936
3.61448e-008,0.3704
3.61834e-008,0.3744
3.62219e-008,0.4188
3.62605e-008,0.5061
3.62991e-008,0.6260
3.63376e-008,0.7465
3.63762e-008,0.8435
3.64148e-008,0.9166
3.64534e-008,0.9746
3.64920e-008,1.0210
3.65305e-008,1.0612
3.65691e-008,1.1067
3.66077e-008,1.1495
3.66462e-008,1.1696
3.66848e-008,1.1561
3.67234e-008,1.1016
3.67620e-008,0.9995
3.68006e-008,0.8741
3.68391e-008,0.7521
3.68777e-008,0.6425
3.69163e-008,0.5514
3.69549e-008,0.4863
3.69934e-008,0.4395
3.70320e-008,0.4060
3.70706e-008,0.3823
3.71091e-008,0.3634
3.71477e-008,0.3472
3.71863e-008,0.3371
3.72249e-008,0.3300
3.72635e-008,0.3227
3.73020e-008,0.3174
3.73406e-008,0.3163
3.73792e-008,0.3175
3.74177e-008,0.3197
3.74563e-008,0.3221
3.74949e-008,0.3237
3.75335e-008,0.3242
3.75721e-008,0.3241
3.76106e-008,0.3231
3.76492e-008,0.3215
3.76878e-008,0.3211
3.77263e-008,0.3215
3.77649e-008,0.3214
3.78035e-008,0.3207
3.78421e-008,0.3205
3.78806e-008,0.3204
3.79192e-008,0.3205
3.79578e-008,0.3209
3.79964e-008,0.3244
3.80350e-008,0.3381
3.80735e-008,0.3752
3.81121e-008,0.4484
3.81507e-008,0.5590
3.81892e-008,0.6880
3.82278e-008,0.8021
3.82664e-008,0.8832
3.83050e-008,0.9408
3.83436e-008,0.9894
3.83821e-008,1.0325
3.84207e-008,1.0738
3.84593e-008,1.1216
3.84978e-008,1.1594
3.85364e-008,1.1680
3.85750e-008,1.1394
3.86136e-008,1.0651
3.86521e-008,0.9486
3.86907e-008,0.8235
