.HEADER
..NAMES
Time,V U3.D3
.DATA
1.73588e-008,0.3241
1.73973e-008,0.3353
1.74359e-008,0.3668
1.74745e-008,0.4315
1.75131e-008,0.5288
1.75516e-008,0.6469
1.75902e-008,0.7555
1.76288e-008,0.8464
1.76674e-008,0.9258
1.77059e-008,0.9910
1.77445e-008,1.0394
1.77831e-008,1.0739
1.78216e-008,1.1186
1.78602e-008,1.1481
1.78988e-008,1.1554
1.79374e-008,1.1454
1.79759e-008,1.0916
1.80145e-008,0.9927
1.80531e-008,0.8757
1.80917e-008,0.7563
1.81302e-008,0.6430
1.81688e-008,0.5474
1.82074e-008,0.4754
1.82460e-008,0.4242
1.82846e-008,0.3856
1.83231e-008,0.3660
1.83617e-008,0.3711
1.84003e-008,0.4050
1.84389e-008,0.4753
1.84774e-008,0.5794
1.85160e-008,0.6980
1.85546e-008,0.8017
1.85932e-008,0.8935
1.86317e-008,0.9697
1.86703e-008,1.0286
1.87089e-008,1.0691
1.87474e-008,1.0959
1.87860e-008,1.1144
1.88246e-008,1.1289
1.88632e-008,1.1412
1.89017e-008,1.1524
1.89403e-008,1.1625
1.89789e-008,1.1699
1.90175e-008,1.1713
1.90560e-008,1.1709
1.90946e-008,1.1712
1.91332e-008,1.1716
1.91718e-008,1.1714
1.92104e-008,1.1712
1.92489e-008,1.1720
1.92875e-008,1.1732
1.93261e-008,1.1744
1.93647e-008,1.1755
1.94032e-008,1.1762
1.94418e-008,1.1765
1.94804e-008,1.1762
1.95190e-008,1.1761
1.95575e-008,1.1764
1.95961e-008,1.1769
1.96347e-008,1.1770
1.96732e-008,1.1776
1.97118e-008,1.1813
1.97504e-008,1.1831
1.97890e-008,1.1722
1.98275e-008,1.1311
1.98661e-008,1.0475
1.99047e-008,0.9405
1.99433e-008,0.8301
1.99819e-008,0.7161
2.00204e-008,0.6100
2.00590e-008,0.5227
2.00976e-008,0.4591
2.01362e-008,0.4151
2.01747e-008,0.3857
2.02133e-008,0.3665
2.02519e-008,0.3531
2.02905e-008,0.3419
2.03290e-008,0.3302
2.03676e-008,0.3214
2.04062e-008,0.3182
2.04447e-008,0.3173
2.04833e-008,0.3170
2.05219e-008,0.3184
2.05605e-008,0.3214
2.05990e-008,0.3238
2.06376e-008,0.3266
2.06762e-008,0.3369
2.07148e-008,0.3655
2.07533e-008,0.4256
2.07919e-008,0.5190
2.08305e-008,0.6360
2.08691e-008,0.7477
2.09077e-008,0.8398
2.09462e-008,0.9200
2.09848e-008,0.9863
2.10234e-008,1.0363
2.10620e-008,1.0705
2.11005e-008,1.0952
2.11391e-008,1.1134
2.11777e-008,1.1284
2.12163e-008,1.1424
2.12548e-008,1.1548
2.12934e-008,1.1645
2.13320e-008,1.1691
2.13705e-008,1.1688
2.14091e-008,1.1689
2.14477e-008,1.1702
2.14863e-008,1.1711
2.15248e-008,1.1711
2.15634e-008,1.1742
2.16020e-008,1.1801
2.16406e-008,1.1792
2.16791e-008,1.1606
