.HEADER
..NAMES
Time,V U3.C7&B7
.DATA
1.40799e-008,0.0657
1.41185e-008,0.2761
1.41570e-008,0.4429
1.41956e-008,0.5621
1.42342e-008,0.6490
1.42728e-008,0.7288
1.43113e-008,0.7919
1.43499e-008,0.8022
1.43885e-008,0.7676
1.44270e-008,0.6589
1.44656e-008,0.4504
1.45042e-008,0.2044
1.45428e-008,-0.0276
1.45814e-008,-0.2412
1.46199e-008,-0.4152
1.46585e-008,-0.5419
1.46971e-008,-0.6339
1.47357e-008,-0.7130
1.47742e-008,-0.7860
1.48128e-008,-0.8029
1.48514e-008,-0.7776
1.48899e-008,-0.6827
1.49285e-008,-0.4887
1.49671e-008,-0.2411
1.50057e-008,-0.0060
1.50443e-008,0.2135
1.50828e-008,0.3955
1.51214e-008,0.5287
1.51600e-008,0.6241
1.51985e-008,0.7024
1.52371e-008,0.7792
1.52757e-008,0.8025
1.53143e-008,0.7858
1.53528e-008,0.7032
1.53914e-008,0.5255
1.54300e-008,0.2814
1.54686e-008,0.0445
1.55071e-008,-0.1767
1.55457e-008,-0.3654
1.55843e-008,-0.5065
1.56229e-008,-0.6075
1.56615e-008,-0.6872
1.57000e-008,-0.7688
1.57386e-008,-0.8020
1.57772e-008,-0.7922
1.58158e-008,-0.7220
1.58543e-008,-0.5606
1.58929e-008,-0.3191
1.59315e-008,-0.0792
1.59701e-008,0.1469
1.60086e-008,0.3431
1.60472e-008,0.4916
1.60858e-008,0.5969
1.61243e-008,0.6773
1.61629e-008,0.7598
1.62015e-008,0.7997
1.62401e-008,0.7973
1.62786e-008,0.7379
1.63172e-008,0.5931
1.63558e-008,0.3596
1.63944e-008,0.1178
1.64329e-008,-0.1091
1.64715e-008,-0.3106
1.65101e-008,-0.4670
1.65487e-008,-0.5788
1.65873e-008,-0.6627
1.66258e-008,-0.7455
1.66644e-008,-0.7979
1.67030e-008,-0.8003
1.67416e-008,-0.7525
1.67801e-008,-0.6236
1.68187e-008,-0.3981
1.68573e-008,-0.1533
1.68959e-008,0.0773
1.69344e-008,0.2859
1.69730e-008,0.4500
1.70116e-008,0.5672
1.70501e-008,0.6531
1.70887e-008,0.7350
