.HEADER
..NAMES
Time,V U4.P3
.DATA
1.40465e-008,1.0898
1.40832e-008,1.0917
1.41199e-008,1.0931
1.41565e-008,1.0936
1.41932e-008,1.0931
1.42299e-008,1.0917
1.42666e-008,1.0899
1.43033e-008,1.0883
1.43399e-008,1.0872
1.43766e-008,1.0872
1.44133e-008,1.0881
1.44499e-008,1.0898
1.44866e-008,1.0918
1.45233e-008,1.0934
1.45600e-008,1.0942
1.45967e-008,1.0938
1.46333e-008,1.0926
1.46700e-008,1.0911
1.47067e-008,1.0903
1.47433e-008,1.0907
1.47800e-008,1.0906
1.48167e-008,1.0854
1.48534e-008,1.0670
1.48901e-008,1.0275
1.49267e-008,0.9640
1.49634e-008,0.8777
1.50001e-008,0.7749
1.50368e-008,0.6673
1.50734e-008,0.5686
1.51101e-008,0.4895
1.51468e-008,0.4372
1.51834e-008,0.4147
1.52201e-008,0.4183
1.52568e-008,0.4389
1.52935e-008,0.4645
1.53301e-008,0.4833
1.53668e-008,0.4883
1.54035e-008,0.4784
1.54402e-008,0.4578
1.54769e-008,0.4332
1.55135e-008,0.4110
1.55502e-008,0.3953
1.55869e-008,0.3865
1.56236e-008,0.3825
1.56602e-008,0.3798
1.56969e-008,0.3747
1.57336e-008,0.3649
1.57703e-008,0.3502
1.58069e-008,0.3333
1.58436e-008,0.3183
1.58803e-008,0.3094
1.59169e-008,0.3093
1.59536e-008,0.3176
1.59903e-008,0.3314
1.60270e-008,0.3456
1.60636e-008,0.3552
1.61003e-008,0.3570
1.61370e-008,0.3500
1.61737e-008,0.3363
1.62104e-008,0.3199
1.62470e-008,0.3054
1.62837e-008,0.2967
1.63204e-008,0.2955
1.63571e-008,0.3013
1.63937e-008,0.3117
1.64304e-008,0.3231
1.64671e-008,0.3321
1.65037e-008,0.3364
1.65404e-008,0.3357
1.65771e-008,0.3322
1.66138e-008,0.3306
1.66504e-008,0.3386
1.66871e-008,0.3653
1.67238e-008,0.4164
1.67605e-008,0.4923
1.67972e-008,0.5866
1.68338e-008,0.6883
1.68705e-008,0.7855
1.69072e-008,0.8673
1.69439e-008,0.9256
1.69805e-008,0.9580
1.70172e-008,0.9671
1.70539e-008,0.9589
1.70905e-008,0.9425
1.71272e-008,0.9285
1.71639e-008,0.9248
1.72006e-008,0.9342
1.72372e-008,0.9539
1.72739e-008,0.9779
1.73106e-008,0.9997
1.73473e-008,1.0158
1.73840e-008,1.0252
1.74206e-008,1.0297
1.74573e-008,1.0324
1.74940e-008,1.0365
1.75307e-008,1.0444
