.HEADER
..NAMES
Time,V U3.E7
.DATA
1.40027e-008,0.3209
1.40413e-008,0.3209
1.40799e-008,0.3209
1.41185e-008,0.3208
1.41570e-008,0.3208
1.41956e-008,0.3208
1.42342e-008,0.3208
1.42728e-008,0.3208
1.43113e-008,0.3208
1.43499e-008,0.3208
1.43885e-008,0.3208
1.44270e-008,0.3208
1.44656e-008,0.3208
1.45042e-008,0.3217
1.45428e-008,0.3265
1.45814e-008,0.3424
1.46199e-008,0.3814
1.46585e-008,0.4529
1.46971e-008,0.5555
1.47357e-008,0.6713
1.47742e-008,0.7764
1.48128e-008,0.8618
1.48514e-008,0.9334
1.48899e-008,0.9941
1.49285e-008,1.0431
1.49671e-008,1.0876
1.50057e-008,1.1299
1.50443e-008,1.1606
1.50828e-008,1.1655
1.51214e-008,1.1355
1.51600e-008,1.0583
1.51985e-008,0.9468
1.52371e-008,0.8274
1.52757e-008,0.7130
1.53143e-008,0.6121
1.53528e-008,0.5289
1.53914e-008,0.4626
1.54300e-008,0.4140
1.54686e-008,0.3781
1.55071e-008,0.3583
1.55457e-008,0.3681
1.55843e-008,0.4162
1.56229e-008,0.5074
1.56615e-008,0.6294
1.57000e-008,0.7507
1.57386e-008,0.8509
1.57772e-008,0.9297
1.58158e-008,0.9919
1.58543e-008,1.0419
1.58929e-008,1.0836
1.59315e-008,1.1249
1.59701e-008,1.1583
1.60086e-008,1.1708
1.60472e-008,1.1545
1.60858e-008,1.0919
1.61243e-008,0.9867
1.61629e-008,0.8654
1.62015e-008,0.7465
1.62401e-008,0.6400
1.62786e-008,0.5514
1.63172e-008,0.4801
1.63558e-008,0.4281
1.63944e-008,0.3932
1.64329e-008,0.3671
1.64715e-008,0.3470
1.65101e-008,0.3332
1.65487e-008,0.3236
1.65873e-008,0.3181
1.66258e-008,0.3172
1.66644e-008,0.3193
1.67030e-008,0.3228
1.67416e-008,0.3254
1.67801e-008,0.3261
1.68187e-008,0.3262
1.68573e-008,0.3272
1.68959e-008,0.3328
1.69344e-008,0.3520
1.69730e-008,0.3977
1.70116e-008,0.4770
1.70501e-008,0.5845
1.70887e-008,0.6988
1.71273e-008,0.7984
1.71659e-008,0.8791
1.72044e-008,0.9475
1.72430e-008,1.0054
1.72816e-008,1.0516
1.73202e-008,1.0860
1.73588e-008,1.1108
1.73973e-008,1.1300
1.74359e-008,1.1446
1.74745e-008,1.1545
1.75131e-008,1.1610
1.75516e-008,1.1645
1.75902e-008,1.1652
1.76288e-008,1.1652
1.76674e-008,1.1663
1.77059e-008,1.1685
1.77445e-008,1.1708
1.77831e-008,1.1733
1.78216e-008,1.1773
1.78602e-008,1.1799
1.78988e-008,1.1702
1.79374e-008,1.1318
1.79759e-008,1.0540
1.80145e-008,0.9482
