.HEADER
..NAMES
Time,V U3.H7
.DATA
1.32312e-008,1.1773
1.32698e-008,1.1773
1.33084e-008,1.1773
1.33470e-008,1.1773
1.33855e-008,1.1774
1.34241e-008,1.1774
1.34627e-008,1.1774
1.35012e-008,1.1774
1.35398e-008,1.1774
1.35784e-008,1.1788
1.36170e-008,1.1814
1.36555e-008,1.1802
1.36941e-008,1.1631
1.37327e-008,1.1137
1.37713e-008,1.0267
1.38099e-008,0.9170
1.38484e-008,0.8009
1.38870e-008,0.6879
1.39256e-008,0.5869
1.39641e-008,0.5047
1.40027e-008,0.4442
1.40413e-008,0.4033
1.40799e-008,0.3756
1.41185e-008,0.3557
1.41570e-008,0.3414
1.41956e-008,0.3305
1.42342e-008,0.3219
1.42728e-008,0.3172
1.43113e-008,0.3166
1.43499e-008,0.3184
1.43885e-008,0.3209
1.44270e-008,0.3230
1.44656e-008,0.3246
1.45042e-008,0.3262
1.45428e-008,0.3300
1.45814e-008,0.3433
1.46199e-008,0.3785
1.46585e-008,0.4460
1.46971e-008,0.5460
1.47357e-008,0.6626
1.47742e-008,0.7721
1.48128e-008,0.8629
1.48514e-008,0.9375
1.48899e-008,0.9976
1.49285e-008,1.0441
1.49671e-008,1.0851
1.50057e-008,1.1248
1.50443e-008,1.1553
1.50828e-008,1.1639
1.51214e-008,1.1417
1.51600e-008,1.0726
1.51985e-008,0.9641
1.52371e-008,0.8421
1.52757e-008,0.7217
1.53143e-008,0.6143
1.53528e-008,0.5275
1.53914e-008,0.4603
1.54300e-008,0.4139
1.54686e-008,0.3842
1.55071e-008,0.3620
1.55457e-008,0.3451
1.55843e-008,0.3329
1.56229e-008,0.3228
1.56615e-008,0.3164
1.57000e-008,0.3150
1.57386e-008,0.3167
1.57772e-008,0.3201
1.58158e-008,0.3232
1.58543e-008,0.3247
1.58929e-008,0.3256
1.59315e-008,0.3258
1.59701e-008,0.3249
1.60086e-008,0.3237
1.60472e-008,0.3230
1.60858e-008,0.3226
1.61243e-008,0.3225
1.61629e-008,0.3227
1.62015e-008,0.3225
1.62401e-008,0.3221
1.62786e-008,0.3215
1.63172e-008,0.3210
1.63558e-008,0.3207
1.63944e-008,0.3222
1.64329e-008,0.3290
1.64715e-008,0.3496
1.65101e-008,0.3961
1.65487e-008,0.4758
1.65873e-008,0.5842
1.66258e-008,0.7007
1.66644e-008,0.8044
1.67030e-008,0.8898
1.67416e-008,0.9600
1.67801e-008,1.0159
1.68187e-008,1.0581
1.68573e-008,1.0890
1.68959e-008,1.1116
1.69344e-008,1.1297
1.69730e-008,1.1444
1.70116e-008,1.1552
1.70501e-008,1.1627
1.70887e-008,1.1666
1.71273e-008,1.1671
1.71659e-008,1.1667
1.72044e-008,1.1672
1.72430e-008,1.1686
1.72816e-008,1.1703
1.73202e-008,1.1731
1.73588e-008,1.1774
1.73973e-008,1.1796
1.74359e-008,1.1687
1.74745e-008,1.1289
1.75131e-008,1.0506
1.75516e-008,0.9449
1.75902e-008,0.8297
1.76288e-008,0.7159
1.76674e-008,0.6115
1.77059e-008,0.5245
1.77445e-008,0.4582
1.77831e-008,0.4126
1.78216e-008,0.3821
1.78602e-008,0.3602
1.78988e-008,0.3446
1.79374e-008,0.3330
1.79759e-008,0.3236
1.80145e-008,0.3180
1.80531e-008,0.3165
1.80917e-008,0.3178
1.81302e-008,0.3203
1.81688e-008,0.3225
1.82074e-008,0.3242
1.82460e-008,0.3255
1.82846e-008,0.3257
1.83231e-008,0.3249
1.83617e-008,0.3238
1.84003e-008,0.3230
1.84389e-008,0.3226
1.84774e-008,0.3224
1.85160e-008,0.3225
1.85546e-008,0.3223
1.85932e-008,0.3219
1.86317e-008,0.3214
1.86703e-008,0.3210
1.87089e-008,0.3207
1.87474e-008,0.3206
1.87860e-008,0.3205
1.88246e-008,0.3204
1.88632e-008,0.3205
1.89017e-008,0.3206
1.89403e-008,0.3207
1.89789e-008,0.3207
1.90175e-008,0.3206
1.90560e-008,0.3206
1.90946e-008,0.3205
1.91332e-008,0.3206
1.91718e-008,0.3207
1.92104e-008,0.3224
1.92489e-008,0.3298
1.92875e-008,0.3513
1.93261e-008,0.3993
1.93647e-008,0.4806
1.94032e-008,0.5900
1.94418e-008,0.7063
1.94804e-008,0.8093
1.95190e-008,0.8939
1.95575e-008,0.9633
1.95961e-008,1.0184
1.96347e-008,1.0599
1.96732e-008,1.0903
1.97118e-008,1.1125
1.97504e-008,1.1305
1.97890e-008,1.1450
1.98275e-008,1.1556
1.98661e-008,1.1630
1.99047e-008,1.1667
1.99433e-008,1.1671
1.99819e-008,1.1667
2.00204e-008,1.1672
2.00590e-008,1.1686
2.00976e-008,1.1703
2.01362e-008,1.1715
2.01747e-008,1.1725
2.02133e-008,1.1736
2.02519e-008,1.1745
2.02905e-008,1.1750
2.03290e-008,1.1752
2.03676e-008,1.1754
2.04062e-008,1.1757
2.04447e-008,1.1762
2.04833e-008,1.1768
2.05219e-008,1.1772
2.05605e-008,1.1774
2.05990e-008,1.1774
2.06376e-008,1.1773
2.06762e-008,1.1773
2.07148e-008,1.1773
2.07533e-008,1.1773
2.07919e-008,1.1773
2.08305e-008,1.1773
2.08691e-008,1.1773
2.09077e-008,1.1774
2.09462e-008,1.1774
2.09848e-008,1.1774
2.10234e-008,1.1773
2.10620e-008,1.1773
2.11005e-008,1.1773
2.11391e-008,1.1773
2.11777e-008,1.1774
2.12163e-008,1.1774
2.12548e-008,1.1774
2.12934e-008,1.1774
2.13320e-008,1.1774
2.13705e-008,1.1774
2.14091e-008,1.1774
2.14477e-008,1.1774
2.14863e-008,1.1774
2.15248e-008,1.1777
2.15634e-008,1.1796
2.16020e-008,1.1819
2.16406e-008,1.1774
2.16791e-008,1.1518
2.17177e-008,1.0903
2.17563e-008,0.9941
2.17949e-008,0.8809
2.18335e-008,0.7650
2.18720e-008,0.6547
2.19106e-008,0.5591
2.19492e-008,0.4835
2.19878e-008,0.4296
2.20263e-008,0.3936
2.20649e-008,0.3687
2.21035e-008,0.3507
2.21420e-008,0.3378
2.21806e-008,0.3275
2.22192e-008,0.3199
2.22578e-008,0.3167
2.22963e-008,0.3170
2.23349e-008,0.3191
2.23735e-008,0.3216
2.24121e-008,0.3235
2.24506e-008,0.3251
2.24892e-008,0.3259
2.25278e-008,0.3254
2.25664e-008,0.3243
2.26050e-008,0.3234
2.26435e-008,0.3228
2.26821e-008,0.3225
2.27207e-008,0.3225
2.27593e-008,0.3225
2.27978e-008,0.3222
2.28364e-008,0.3217
2.28750e-008,0.3212
2.29136e-008,0.3208
2.29521e-008,0.3206
2.29907e-008,0.3205
2.30293e-008,0.3205
2.30678e-008,0.3205
2.31064e-008,0.3206
2.31450e-008,0.3207
2.31836e-008,0.3207
2.32221e-008,0.3207
2.32607e-008,0.3206
2.32993e-008,0.3206
2.33379e-008,0.3206
2.33764e-008,0.3206
2.34150e-008,0.3214
2.34536e-008,0.3255
2.34922e-008,0.3397
2.35308e-008,0.3751
2.35693e-008,0.4421
2.36079e-008,0.5413
2.36465e-008,0.6578
2.36851e-008,0.7681
2.37236e-008,0.8599
2.37622e-008,0.9357
2.38008e-008,0.9968
2.38394e-008,1.0439
2.38779e-008,1.0787
2.39165e-008,1.1038
2.39551e-008,1.1233
2.39936e-008,1.1394
2.40322e-008,1.1516
2.40708e-008,1.1603
2.41094e-008,1.1657
2.41479e-008,1.1672
2.41865e-008,1.1668
2.42251e-008,1.1668
2.42637e-008,1.1680
2.43023e-008,1.1696
2.43408e-008,1.1717
2.43794e-008,1.1757
2.44180e-008,1.1796
2.44566e-008,1.1751
2.44951e-008,1.1481
2.45337e-008,1.0840
2.45723e-008,0.9861
2.46109e-008,0.8728
2.46494e-008,0.7577
2.46880e-008,0.6486
2.47266e-008,0.5545
2.47651e-008,0.4803
2.48037e-008,0.4275
2.48423e-008,0.3922
2.48809e-008,0.3675
2.49194e-008,0.3498
2.49580e-008,0.3370
2.49966e-008,0.3268
2.50352e-008,0.3195
2.50737e-008,0.3166
2.51123e-008,0.3172
2.51509e-008,0.3193
2.51895e-008,0.3217
2.52281e-008,0.3236
2.52666e-008,0.3251
2.53052e-008,0.3270
2.53438e-008,0.3331
2.53824e-008,0.3528
2.54209e-008,0.3991
2.54595e-008,0.4790
2.54981e-008,0.5879
2.55367e-008,0.7042
2.55752e-008,0.8073
2.56138e-008,0.8918
2.56524e-008,0.9609
2.56909e-008,1.0160
2.57295e-008,1.0579
