.HEADER
..NAMES
Time,V U3.J3
.DATA
2.96334e-008,0.3989
2.96701e-008,0.3823
2.97068e-008,0.3717
2.97434e-008,0.3668
2.97801e-008,0.3653
2.98168e-008,0.3646
2.98534e-008,0.3634
2.98901e-008,0.3636
2.99268e-008,0.3710
2.99635e-008,0.3947
3.00002e-008,0.4426
3.00368e-008,0.5172
3.00735e-008,0.6133
3.01102e-008,0.7183
3.01469e-008,0.8162
3.01835e-008,0.8928
3.02202e-008,0.9406
3.02569e-008,0.9602
3.02935e-008,0.9593
3.03302e-008,0.9500
3.03669e-008,0.9442
3.04036e-008,0.9491
3.04403e-008,0.9660
3.04769e-008,0.9908
3.05136e-008,1.0166
3.05503e-008,1.0372
3.05869e-008,1.0492
3.06236e-008,1.0528
3.06603e-008,1.0512
3.06970e-008,1.0487
3.07336e-008,1.0490
3.07703e-008,1.0546
3.08070e-008,1.0649
3.08437e-008,1.0760
3.08804e-008,1.0806
3.09170e-008,1.0689
3.09537e-008,1.0324
3.09904e-008,0.9673
3.10270e-008,0.8768
3.10637e-008,0.7712
3.11004e-008,0.6653
3.11371e-008,0.5737
3.11738e-008,0.5068
3.12104e-008,0.4682
3.12471e-008,0.4545
3.12838e-008,0.4565
3.13205e-008,0.4631
3.13571e-008,0.4654
3.13938e-008,0.4587
3.14305e-008,0.4428
3.14671e-008,0.4217
3.15038e-008,0.4004
3.15405e-008,0.3832
3.15772e-008,0.3722
3.16139e-008,0.3672
3.16505e-008,0.3661
3.16872e-008,0.3656
3.17239e-008,0.3631
3.17605e-008,0.3572
3.17972e-008,0.3483
3.18339e-008,0.3384
3.18706e-008,0.3302
3.19072e-008,0.3258
3.19439e-008,0.3261
3.19806e-008,0.3298
3.20173e-008,0.3346
3.20540e-008,0.3381
3.20906e-008,0.3387
3.21273e-008,0.3360
3.21640e-008,0.3312
3.22006e-008,0.3260
3.22373e-008,0.3222
3.22740e-008,0.3206
3.23107e-008,0.3212
3.23474e-008,0.3230
3.23840e-008,0.3246
3.24207e-008,0.3251
3.24574e-008,0.3242
3.24941e-008,0.3225
3.25307e-008,0.3206
3.25674e-008,0.3192
3.26041e-008,0.3189
3.26407e-008,0.3196
3.26774e-008,0.3212
3.27141e-008,0.3234
3.27508e-008,0.3257
3.27875e-008,0.3279
3.28241e-008,0.3297
3.28608e-008,0.3309
3.28975e-008,0.3316
3.29341e-008,0.3319
3.29708e-008,0.3318
3.30075e-008,0.3315
3.30442e-008,0.3310
3.30808e-008,0.3303
3.31175e-008,0.3296
3.31542e-008,0.3290
3.31909e-008,0.3287
3.32276e-008,0.3287
3.32642e-008,0.3291
3.33009e-008,0.3297
3.33376e-008,0.3304
3.33742e-008,0.3309
3.34109e-008,0.3310
3.34476e-008,0.3307
3.34843e-008,0.3302
3.35210e-008,0.3299
3.35576e-008,0.3302
3.35943e-008,0.3323
3.36310e-008,0.3387
3.36677e-008,0.3537
3.37043e-008,0.3829
3.37410e-008,0.4311
3.37777e-008,0.4997
3.38143e-008,0.5850
3.38510e-008,0.6783
3.38877e-008,0.7683
3.39244e-008,0.8441
3.39611e-008,0.8990
3.39977e-008,0.9317
3.40344e-008,0.9461
3.40711e-008,0.9501
3.41077e-008,0.9522
3.41444e-008,0.9590
3.41811e-008,0.9730
3.42178e-008,0.9929
3.42545e-008,1.0149
3.42911e-008,1.0347
3.43278e-008,1.0490
3.43645e-008,1.0572
3.44012e-008,1.0604
3.44378e-008,1.0612
3.44745e-008,1.0624
3.45112e-008,1.0659
3.45478e-008,1.0722
3.45845e-008,1.0800
3.46212e-008,1.0873
3.46579e-008,1.0922
