.HEADER
..NAMES
Time,V U2.F8
.DATA
1.35784e-008,1.0654
1.36170e-008,1.1114
1.36555e-008,1.1493
1.36941e-008,1.1517
1.37327e-008,1.1405
1.37713e-008,1.0907
1.38099e-008,0.9951
1.38484e-008,0.8843
1.38870e-008,0.7712
1.39256e-008,0.6568
1.39641e-008,0.5608
1.40027e-008,0.4892
1.40413e-008,0.4393
1.40799e-008,0.4032
1.41185e-008,0.3787
1.41570e-008,0.3655
1.41956e-008,0.3537
1.42342e-008,0.3445
1.42728e-008,0.3386
1.43113e-008,0.3295
1.43499e-008,0.3211
1.43885e-008,0.3183
1.44270e-008,0.3168
1.44656e-008,0.3165
1.45042e-008,0.3188
1.45428e-008,0.3226
1.45814e-008,0.3305
1.46199e-008,0.3517
1.46585e-008,0.4010
1.46971e-008,0.4864
1.47357e-008,0.5989
1.47742e-008,0.7191
1.48128e-008,0.8130
1.48514e-008,0.8893
1.48899e-008,0.9575
1.49285e-008,1.0137
1.49671e-008,1.0542
1.50057e-008,1.0909
1.50443e-008,1.1398
1.50828e-008,1.1532
1.51214e-008,1.1486
1.51600e-008,1.1172
1.51985e-008,1.0412
1.52371e-008,0.9339
1.52757e-008,0.8234
1.53143e-008,0.7068
1.53528e-008,0.5994
1.53914e-008,0.5163
1.54300e-008,0.4584
1.54686e-008,0.4178
1.55071e-008,0.3876
1.55457e-008,0.3707
1.55843e-008,0.3593
1.56229e-008,0.3480
1.56615e-008,0.3410
1.57000e-008,0.3337
1.57386e-008,0.3243
1.57772e-008,0.3191
1.58158e-008,0.3175
1.58543e-008,0.3160
1.58929e-008,0.3170
1.59315e-008,0.3204
1.59701e-008,0.3258
1.60086e-008,0.3390
1.60472e-008,0.3730
1.60858e-008,0.4415
1.61243e-008,0.5426
1.61629e-008,0.6633
1.62015e-008,0.7719
1.62401e-008,0.8540
1.62786e-008,0.9263
1.63172e-008,0.9888
1.63558e-008,1.0367
1.63944e-008,1.0715
1.64329e-008,1.1172
1.64715e-008,1.1515
1.65101e-008,1.1522
1.65487e-008,1.1368
1.65873e-008,1.0828
1.66258e-008,0.9862
1.66644e-008,0.8761
1.67030e-008,0.7625
1.67416e-008,0.6477
1.67801e-008,0.5524
1.68187e-008,0.4830
1.68573e-008,0.4354
1.68959e-008,0.3943
1.69344e-008,0.3683
1.69730e-008,0.3805
1.70116e-008,0.4150
1.70501e-008,0.4848
1.70887e-008,0.5902
1.71273e-008,0.7033
1.71659e-008,0.7957
1.72044e-008,0.8799
1.72430e-008,0.9520
1.72816e-008,1.0098
1.73202e-008,1.0539
1.73588e-008,1.0983
1.73973e-008,1.1439
1.74359e-008,1.1515
1.74745e-008,1.1467
1.75131e-008,1.1089
1.75516e-008,1.0222
1.75902e-008,0.9128
1.76288e-008,0.8028
1.76674e-008,0.6866
1.77059e-008,0.5837
1.77445e-008,0.5054
1.77831e-008,0.4505
1.78216e-008,0.4086
1.78602e-008,0.3731
1.78988e-008,0.3743
1.79374e-008,0.4002
1.79759e-008,0.4580
1.80145e-008,0.5544
1.80531e-008,0.6692
1.80917e-008,0.7672
1.81302e-008,0.8539
1.81688e-008,0.9309
1.82074e-008,0.9931
1.82460e-008,1.0412
1.82846e-008,1.0773
1.83231e-008,1.1033
1.83617e-008,1.1186
1.84003e-008,1.1305
1.84389e-008,1.1418
1.84774e-008,1.1504
1.85160e-008,1.1597
1.85546e-008,1.1697
1.85932e-008,1.1739
1.86317e-008,1.1730
1.86703e-008,1.1732
1.87089e-008,1.1738
1.87474e-008,1.1741
1.87860e-008,1.1742
1.88246e-008,1.1747
1.88632e-008,1.1748
1.89017e-008,1.1747
1.89403e-008,1.1754
1.89789e-008,1.1761
1.90175e-008,1.1767
1.90560e-008,1.1780
1.90946e-008,1.1785
1.91332e-008,1.1775
1.91718e-008,1.1770
1.92104e-008,1.1775
1.92489e-008,1.1803
1.92875e-008,1.1844
1.93261e-008,1.1794
1.93647e-008,1.1490
1.94032e-008,1.0738
1.94418e-008,0.9629
1.94804e-008,0.8503
1.95190e-008,0.7403
1.95575e-008,0.6348
1.95961e-008,0.5458
1.96347e-008,0.4790
1.96732e-008,0.4326
1.97118e-008,0.3928
1.97504e-008,0.3684
1.97890e-008,0.3801
1.98275e-008,0.4207
1.98661e-008,0.4963
1.99047e-008,0.6008
1.99433e-008,0.7104
1.99819e-008,0.8027
2.00204e-008,0.8875
2.00590e-008,0.9592
2.00976e-008,1.0156
2.01362e-008,1.0576
2.01747e-008,1.1004
2.02133e-008,1.1452
2.02519e-008,1.1520
2.02905e-008,1.1453
2.03290e-008,1.1056
2.03676e-008,1.0182
2.04062e-008,0.9078
2.04447e-008,0.7960
2.04833e-008,0.6802
2.05219e-008,0.5793
2.05605e-008,0.5024
2.05990e-008,0.4485
2.06376e-008,0.4060
2.06762e-008,0.3715
2.07148e-008,0.3752
2.07533e-008,0.4026
2.07919e-008,0.4622
2.08305e-008,0.5602
2.08691e-008,0.6752
2.09077e-008,0.7720
2.09462e-008,0.8579
2.09848e-008,0.9342
2.10234e-008,0.9961
2.10620e-008,1.0436
2.11005e-008,1.0840
2.11391e-008,1.1345
2.11777e-008,1.1516
2.12163e-008,1.1499
2.12548e-008,1.1238
2.12934e-008,1.0492
2.13320e-008,0.9420
2.13705e-008,0.8330
2.14091e-008,0.7170
2.14477e-008,0.6086
2.14863e-008,0.5238
2.15248e-008,0.4633
2.15634e-008,0.4212
2.16020e-008,0.3901
2.16406e-008,0.3718
2.16791e-008,0.3599
2.17177e-008,0.3486
2.17563e-008,0.3419
2.17949e-008,0.3346
2.18335e-008,0.3245
2.18720e-008,0.3193
2.19106e-008,0.3179
2.19492e-008,0.3162
2.19878e-008,0.3170
2.20263e-008,0.3202
2.20649e-008,0.3232
2.21035e-008,0.3242
2.21420e-008,0.3243
2.21806e-008,0.3245
2.22192e-008,0.3238
2.22578e-008,0.3230
2.22963e-008,0.3228
2.23349e-008,0.3218
2.23735e-008,0.3208
2.24121e-008,0.3214
2.24506e-008,0.3217
2.24892e-008,0.3216
2.25278e-008,0.3237
2.25664e-008,0.3332
2.26050e-008,0.3596
2.26435e-008,0.4185
2.26821e-008,0.5141
2.27207e-008,0.6340
2.27593e-008,0.7489
2.27978e-008,0.8360
2.28364e-008,0.9108
2.28750e-008,0.9753
2.29136e-008,1.0266
2.29521e-008,1.0638
2.29907e-008,1.1056
2.30293e-008,1.1474
2.30678e-008,1.1522
2.31064e-008,1.1426
2.31450e-008,1.0984
2.31836e-008,1.0095
2.32221e-008,0.9002
2.32607e-008,0.7880
2.32993e-008,0.6713
2.33379e-008,0.5708
2.33764e-008,0.4957
2.34150e-008,0.4442
2.34536e-008,0.4070
2.34922e-008,0.3809
2.35308e-008,0.3670
2.35693e-008,0.3554
2.36079e-008,0.3454
2.36465e-008,0.3390
2.36851e-008,0.3306
2.37236e-008,0.3220
2.37622e-008,0.3185
2.38008e-008,0.3168
2.38394e-008,0.3158
2.38779e-008,0.3178
2.39165e-008,0.3216
2.39551e-008,0.3285
2.39936e-008,0.3466
2.40322e-008,0.3903
2.40708e-008,0.4700
2.41094e-008,0.5789
2.41479e-008,0.7004
2.41865e-008,0.7992
2.42251e-008,0.8773
2.42637e-008,0.9470
2.43023e-008,1.0054
2.43408e-008,1.0484
2.43794e-008,1.0791
2.44180e-008,1.1018
2.44566e-008,1.1179
2.44951e-008,1.1292
2.45337e-008,1.1385
2.45723e-008,1.1491
2.46109e-008,1.1603
2.46494e-008,1.1699
2.46880e-008,1.1737
2.47266e-008,1.1718
2.47651e-008,1.1710
2.48037e-008,1.1724
2.48423e-008,1.1734
2.48809e-008,1.1734
2.49194e-008,1.1739
2.49580e-008,1.1746
2.49966e-008,1.1750
2.50352e-008,1.1752
2.50737e-008,1.1758
2.51123e-008,1.1770
2.51509e-008,1.1782
2.51895e-008,1.1784
2.52281e-008,1.1773
2.52666e-008,1.1766
2.53052e-008,1.1772
2.53438e-008,1.1802
2.53824e-008,1.1843
2.54209e-008,1.1800
2.54595e-008,1.1516
2.54981e-008,1.0793
2.55367e-008,0.9692
2.55752e-008,0.8561
2.56138e-008,0.7464
2.56524e-008,0.6404
2.56909e-008,0.5501
2.57295e-008,0.4819
2.57681e-008,0.4348
2.58067e-008,0.4019
2.58452e-008,0.3778
2.58838e-008,0.3624
2.59224e-008,0.3535
2.59610e-008,0.3467
2.59995e-008,0.3382
2.60381e-008,0.3271
2.60767e-008,0.3198
2.61153e-008,0.3187
2.61539e-008,0.3184
2.61924e-008,0.3182
2.62310e-008,0.3198
2.62696e-008,0.3230
2.63082e-008,0.3312
2.63467e-008,0.3532
2.63853e-008,0.4035
2.64239e-008,0.4908
2.64625e-008,0.6056
2.65010e-008,0.7246
2.65396e-008,0.8161
2.65782e-008,0.8924
2.66167e-008,0.9607
2.66553e-008,1.0163
2.66939e-008,1.0561
2.67325e-008,1.0846
2.67710e-008,1.1056
2.68096e-008,1.1207
2.68482e-008,1.1314
2.68868e-008,1.1407
2.69254e-008,1.1516
2.69639e-008,1.1630
2.70025e-008,1.1717
2.70411e-008,1.1736
2.70797e-008,1.1714
2.71182e-008,1.1714
2.71568e-008,1.1731
2.71954e-008,1.1745
2.72340e-008,1.1800
2.72725e-008,1.1828
2.73111e-008,1.1718
2.73497e-008,1.1290
2.73882e-008,1.0396
2.74268e-008,0.9256
2.74654e-008,0.8158
2.75040e-008,0.7064
2.75425e-008,0.6044
2.75811e-008,0.5209
2.76197e-008,0.4612
2.76583e-008,0.4200
2.76968e-008,0.3814
2.77354e-008,0.3687
2.77740e-008,0.3891
2.78126e-008,0.4404
2.78512e-008,0.5259
2.78897e-008,0.6359
2.79283e-008,0.7404
2.79669e-008,0.8300
2.80055e-008,0.9116
2.80440e-008,0.9783
2.80826e-008,1.0297
2.81212e-008,1.0688
2.81598e-008,1.1167
2.81983e-008,1.1506
2.82369e-008,1.1514
2.82755e-008,1.1377
2.83140e-008,1.0829
2.83526e-008,0.9841
2.83912e-008,0.8733
2.84298e-008,0.7596
2.84683e-008,0.6463
2.85069e-008,0.5527
2.85455e-008,0.4833
2.85841e-008,0.4349
2.86226e-008,0.3927
2.86612e-008,0.3686
2.86998e-008,0.3815
2.87384e-008,0.4169
2.87770e-008,0.4890
2.88155e-008,0.5961
2.88541e-008,0.7078
2.88927e-008,0.7991
2.89313e-008,0.8832
2.89698e-008,0.9550
2.90084e-008,1.0124
2.90470e-008,1.0557
2.90855e-008,1.0881
2.91241e-008,1.1098
2.91627e-008,1.1229
2.92013e-008,1.1350
2.92398e-008,1.1453
2.92784e-008,1.1536
2.93170e-008,1.1636
2.93556e-008,1.1723
2.93941e-008,1.1739
2.94327e-008,1.1729
2.94713e-008,1.1735
2.95099e-008,1.1741
2.95485e-008,1.1742
2.95870e-008,1.1744
2.96256e-008,1.1749
2.96642e-008,1.1747
2.97028e-008,1.1750
2.97413e-008,1.1758
2.97799e-008,1.1764
2.98185e-008,1.1771
2.98570e-008,1.1785
2.98956e-008,1.1783
2.99342e-008,1.1772
2.99728e-008,1.1771
3.00113e-008,1.1776
3.00499e-008,1.1778
3.00885e-008,1.1778
3.01271e-008,1.1780
3.01657e-008,1.1780
3.02042e-008,1.1779
3.02428e-008,1.1780
3.02814e-008,1.1780
3.03199e-008,1.1780
3.03585e-008,1.1782
3.03971e-008,1.1782
3.04357e-008,1.1779
3.04743e-008,1.1778
3.05128e-008,1.1780
3.05514e-008,1.1781
3.05900e-008,1.1781
3.06285e-008,1.1781
3.06671e-008,1.1781
3.07057e-008,1.1781
3.07443e-008,1.1781
3.07829e-008,1.1781
3.08214e-008,1.1781
3.08600e-008,1.1781
3.08986e-008,1.1782
3.09372e-008,1.1783
3.09757e-008,1.1810
3.10143e-008,1.1849
3.10529e-008,1.1790
3.10914e-008,1.1467
3.11300e-008,1.0693
3.11686e-008,0.9575
3.12072e-008,0.8451
3.12458e-008,0.7352
3.12843e-008,0.6302
3.13229e-008,0.5421
3.13615e-008,0.4765
3.14000e-008,0.4312
3.14386e-008,0.3921
3.14772e-008,0.3685
3.15158e-008,0.3813
3.15544e-008,0.4236
3.15929e-008,0.5007
3.16315e-008,0.6061
3.16701e-008,0.7151
3.17087e-008,0.8068
3.17472e-008,0.8913
3.17858e-008,0.9622
3.18244e-008,1.0179
3.18629e-008,1.0592
3.19015e-008,1.0903
3.19401e-008,1.1113
3.19787e-008,1.1238
3.20173e-008,1.1350
3.20558e-008,1.1459
3.20944e-008,1.1554
3.21330e-008,1.1647
3.21715e-008,1.1721
3.22101e-008,1.1737
3.22487e-008,1.1733
3.22873e-008,1.1739
3.23259e-008,1.1744
3.23644e-008,1.1761
3.24030e-008,1.1823
3.24416e-008,1.1824
3.24801e-008,1.1644
3.25187e-008,1.1097
3.25573e-008,1.0108
3.25959e-008,0.8966
3.26344e-008,0.7870
3.26730e-008,0.6783
3.27116e-008,0.5808
3.27502e-008,0.5035
3.27888e-008,0.4497
3.28273e-008,0.4095
3.28659e-008,0.3736
3.29045e-008,0.3718
3.29430e-008,0.3992
3.29816e-008,0.4595
3.30202e-008,0.5528
3.30588e-008,0.6652
3.30974e-008,0.7647
3.31359e-008,0.8524
3.31745e-008,0.9304
3.32131e-008,0.9933
3.32516e-008,1.0409
3.32902e-008,1.0764
3.33288e-008,1.1026
3.33674e-008,1.1182
3.34060e-008,1.1296
3.34445e-008,1.1410
3.34831e-008,1.1508
3.35217e-008,1.1600
3.35603e-008,1.1691
3.35988e-008,1.1736
