.HEADER
..NAMES
Time,V U5.K9
.DATA
1.92911e-008,0.9841
1.93277e-008,0.9994
1.93644e-008,1.0146
1.94011e-008,1.0264
1.94377e-008,1.0331
1.94744e-008,1.0357
1.95111e-008,1.0374
1.95478e-008,1.0418
1.95844e-008,1.0513
1.96211e-008,1.0657
1.96578e-008,1.0821
1.96945e-008,1.0965
1.97312e-008,1.1052
1.97678e-008,1.1061
1.98045e-008,1.0996
1.98412e-008,1.0887
1.98779e-008,1.0791
1.99145e-008,1.0753
1.99512e-008,1.0789
1.99879e-008,1.0876
2.00245e-008,1.0975
2.00612e-008,1.1048
2.00979e-008,1.1075
2.01346e-008,1.1053
2.01712e-008,1.1000
2.02079e-008,1.0937
2.02446e-008,1.0895
2.02813e-008,1.0886
2.03179e-008,1.0877
2.03546e-008,1.0775
2.03913e-008,1.0441
2.04280e-008,0.9784
2.04647e-008,0.8850
2.05013e-008,0.7765
2.05380e-008,0.6668
2.05747e-008,0.5717
2.06114e-008,0.5051
2.06480e-008,0.4712
2.06847e-008,0.4634
2.07214e-008,0.4697
2.07580e-008,0.4777
2.07947e-008,0.4787
2.08314e-008,0.4704
2.08681e-008,0.4561
2.09047e-008,0.4408
2.09414e-008,0.4294
2.09781e-008,0.4244
2.10148e-008,0.4253
2.10515e-008,0.4299
2.10881e-008,0.4351
2.11248e-008,0.4377
2.11615e-008,0.4358
2.11982e-008,0.4284
2.12348e-008,0.4166
2.12715e-008,0.4032
2.13082e-008,0.3917
2.13448e-008,0.3844
2.13815e-008,0.3811
2.14182e-008,0.3798
2.14549e-008,0.3772
2.14915e-008,0.3704
2.15282e-008,0.3590
2.15649e-008,0.3443
2.16016e-008,0.3293
2.16383e-008,0.3173
2.16749e-008,0.3116
2.17116e-008,0.3133
2.17483e-008,0.3203
2.17850e-008,0.3286
2.18216e-008,0.3340
2.18583e-008,0.3345
2.18950e-008,0.3302
2.19316e-008,0.3232
2.19683e-008,0.3162
2.20050e-008,0.3116
2.20417e-008,0.3108
2.20783e-008,0.3138
2.21150e-008,0.3192
2.21517e-008,0.3252
2.21884e-008,0.3298
2.22251e-008,0.3319
2.22617e-008,0.3316
2.22984e-008,0.3295
2.23351e-008,0.3271
2.23718e-008,0.3254
2.24084e-008,0.3253
2.24451e-008,0.3268
2.24818e-008,0.3293
2.25184e-008,0.3317
2.25551e-008,0.3327
2.25918e-008,0.3315
2.26285e-008,0.3284
2.26651e-008,0.3247
2.27018e-008,0.3216
2.27385e-008,0.3202
2.27752e-008,0.3212
2.28119e-008,0.3239
2.28485e-008,0.3272
2.28852e-008,0.3298
2.29219e-008,0.3308
2.29586e-008,0.3299
2.29952e-008,0.3277
2.30319e-008,0.3255
2.30686e-008,0.3260
2.31052e-008,0.3343
2.31419e-008,0.3581
2.31786e-008,0.4059
2.32153e-008,0.4797
2.32519e-008,0.5739
2.32886e-008,0.6733
2.33253e-008,0.7639
2.33620e-008,0.8365
2.33987e-008,0.8863
2.34353e-008,0.9126
2.34720e-008,0.9229
2.35087e-008,0.9274
2.35454e-008,0.9340
2.35820e-008,0.9449
2.36187e-008,0.9583
2.36554e-008,0.9706
2.36920e-008,0.9789
2.37287e-008,0.9825
2.37654e-008,0.9825
2.38021e-008,0.9811
2.38387e-008,0.9802
2.38754e-008,0.9814
2.39121e-008,0.9853
2.39488e-008,0.9918
2.39855e-008,1.0006
2.40221e-008,1.0117
2.40588e-008,1.0212
2.40955e-008,1.0204
2.41322e-008,0.9954
2.41688e-008,0.9356
2.42055e-008,0.8462
2.42422e-008,0.7436
2.42788e-008,0.6429
2.43155e-008,0.5574
2.43522e-008,0.4992
2.43889e-008,0.4720
2.44255e-008,0.4677
2.44622e-008,0.4730
2.44989e-008,0.4762
2.45356e-008,0.4714
2.45723e-008,0.4599
2.46089e-008,0.4473
2.46456e-008,0.4385
2.46823e-008,0.4356
2.47190e-008,0.4377
2.47556e-008,0.4419
2.47923e-008,0.4454
2.48290e-008,0.4461
2.48657e-008,0.4434
2.49023e-008,0.4370
2.49390e-008,0.4282
2.49757e-008,0.4217
2.50123e-008,0.4266
2.50490e-008,0.4568
2.50857e-008,0.5211
2.51224e-008,0.6158
2.51590e-008,0.7219
2.51957e-008,0.8182
2.52324e-008,0.8911
2.52691e-008,0.9334
2.53058e-008,0.9448
2.53424e-008,0.9358
2.53791e-008,0.9228
2.54158e-008,0.9192
2.54525e-008,0.9300
2.54891e-008,0.9513
2.55258e-008,0.9735
2.55625e-008,0.9879
2.55991e-008,0.9911
2.56358e-008,0.9852
2.56725e-008,0.9754
2.57092e-008,0.9670
2.57458e-008,0.9635
2.57825e-008,0.9662
2.58192e-008,0.9745
2.58559e-008,0.9869
2.58926e-008,1.0011
2.59292e-008,1.0146
2.59659e-008,1.0247
2.60026e-008,1.0302
2.60393e-008,1.0324
2.60759e-008,1.0342
2.61126e-008,1.0390
2.61493e-008,1.0488
2.61859e-008,1.0635
2.62226e-008,1.0804
2.62593e-008,1.0951
2.62960e-008,1.1040
2.63326e-008,1.1051
2.63693e-008,1.0986
2.64060e-008,1.0880
2.64427e-008,1.0785
2.64794e-008,1.0750
2.65160e-008,1.0789
2.65527e-008,1.0880
2.65894e-008,1.0981
2.66261e-008,1.1052
2.66627e-008,1.1075
2.66994e-008,1.1049
2.67361e-008,1.0993
2.67727e-008,1.0932
2.68094e-008,1.0894
2.68461e-008,1.0893
2.68828e-008,1.0891
2.69194e-008,1.0796
2.69561e-008,1.0467
2.69928e-008,0.9810
2.70295e-008,0.8874
2.70662e-008,0.7787
2.71028e-008,0.6688
2.71395e-008,0.5733
2.71762e-008,0.5062
2.72129e-008,0.4718
2.72495e-008,0.4637
2.72862e-008,0.4699
2.73229e-008,0.4779
2.73595e-008,0.4789
2.73962e-008,0.4707
2.74329e-008,0.4562
2.74696e-008,0.4409
2.75062e-008,0.4295
2.75429e-008,0.4244
2.75796e-008,0.4254
2.76163e-008,0.4300
2.76530e-008,0.4352
2.76896e-008,0.4379
2.77263e-008,0.4359
2.77630e-008,0.4285
2.77997e-008,0.4166
2.78363e-008,0.4032
2.78730e-008,0.3918
2.79097e-008,0.3845
2.79463e-008,0.3814
2.79830e-008,0.3802
2.80197e-008,0.3776
2.80564e-008,0.3708
2.80930e-008,0.3592
2.81297e-008,0.3445
2.81664e-008,0.3293
2.82031e-008,0.3173
2.82398e-008,0.3116
2.82764e-008,0.3132
2.83131e-008,0.3202
2.83498e-008,0.3286
2.83865e-008,0.3340
2.84231e-008,0.3345
2.84598e-008,0.3302
2.84965e-008,0.3231
2.85331e-008,0.3161
2.85698e-008,0.3115
2.86065e-008,0.3107
2.86432e-008,0.3137
2.86798e-008,0.3191
2.87165e-008,0.3251
2.87532e-008,0.3297
2.87899e-008,0.3318
2.88266e-008,0.3315
2.88632e-008,0.3294
2.88999e-008,0.3269
2.89366e-008,0.3253
2.89733e-008,0.3252
2.90099e-008,0.3267
2.90466e-008,0.3293
2.90833e-008,0.3317
2.91199e-008,0.3326
2.91566e-008,0.3314
2.91933e-008,0.3284
2.92300e-008,0.3246
2.92666e-008,0.3215
2.93033e-008,0.3201
2.93400e-008,0.3211
2.93767e-008,0.3238
2.94133e-008,0.3271
2.94500e-008,0.3298
2.94867e-008,0.3308
2.95234e-008,0.3299
2.95601e-008,0.3276
2.95967e-008,0.3254
2.96334e-008,0.3258
2.96701e-008,0.3338
2.97068e-008,0.3571
2.97434e-008,0.4041
2.97801e-008,0.4772
2.98168e-008,0.5710
2.98534e-008,0.6706
2.98901e-008,0.7615
2.99268e-008,0.8348
2.99635e-008,0.8852
3.00002e-008,0.9122
3.00368e-008,0.9227
3.00735e-008,0.9273
3.01102e-008,0.9337
3.01469e-008,0.9445
