.HEADER
..NAMES
Time,V U3.F3&G3
.DATA
1.24983e-008,1.1609
1.25369e-008,1.1579
1.25755e-008,1.1204
1.26140e-008,1.0377
1.26526e-008,0.9249
1.26912e-008,0.8012
1.27297e-008,0.6781
1.27683e-008,0.5699
1.28069e-008,0.4854
1.28455e-008,0.4249
1.28841e-008,0.3858
1.29226e-008,0.3656
1.29612e-008,0.3653
1.29998e-008,0.3923
1.30383e-008,0.4546
1.30769e-008,0.5520
1.31155e-008,0.6686
1.31541e-008,0.7824
1.31926e-008,0.8823
1.32312e-008,0.9657
1.32698e-008,1.0305
1.33084e-008,1.0761
1.33470e-008,1.1097
1.33855e-008,1.1381
1.34241e-008,1.1577
1.34627e-008,1.1617
1.35012e-008,1.1372
1.35398e-008,1.0683
1.35784e-008,0.9625
1.36170e-008,0.8408
1.36555e-008,0.7161
1.36941e-008,0.6017
1.37327e-008,0.5095
1.37713e-008,0.4415
1.38099e-008,0.3958
1.38484e-008,0.3699
1.38870e-008,0.3628
1.39256e-008,0.3802
1.39641e-008,0.4307
1.40027e-008,0.5179
1.40413e-008,0.6311
1.40799e-008,0.7477
1.41185e-008,0.8525
1.41570e-008,0.9413
1.41956e-008,1.0121
1.42342e-008,1.0636
1.42728e-008,1.0999
1.43113e-008,1.1300
1.43499e-008,1.1530
1.43885e-008,1.1628
1.44270e-008,1.1493
1.44656e-008,1.0951
1.45042e-008,0.9986
1.45428e-008,0.8801
1.45814e-008,0.7551
1.46199e-008,0.6358
1.46585e-008,0.5361
1.46971e-008,0.4604
1.47357e-008,0.4084
1.47742e-008,0.3768
1.48128e-008,0.3632
1.48514e-008,0.3717
1.48899e-008,0.4111
1.49285e-008,0.4869
1.49671e-008,0.5939
1.50057e-008,0.7116
1.50443e-008,0.8208
1.50828e-008,0.9150
1.51214e-008,0.9919
1.51600e-008,1.0494
1.51985e-008,1.0894
1.52371e-008,1.1212
1.52757e-008,1.1471
1.53143e-008,1.1616
1.53528e-008,1.1572
1.53914e-008,1.1174
1.54300e-008,1.0326
1.54686e-008,0.9189
1.55071e-008,0.7947
1.55457e-008,0.6719
1.55843e-008,0.5650
1.56229e-008,0.4818
1.56615e-008,0.4225
1.57000e-008,0.3847
1.57386e-008,0.3653
1.57772e-008,0.3661
1.58158e-008,0.3948
1.58543e-008,0.4589
1.58929e-008,0.5577
1.59315e-008,0.6746
1.59701e-008,0.7879
1.60086e-008,0.8870
1.60472e-008,0.9696
1.60858e-008,1.0333
1.61243e-008,1.0781
1.61629e-008,1.1119
1.62015e-008,1.1401
1.62401e-008,1.1587
1.62786e-008,1.1615
1.63172e-008,1.1350
1.63558e-008,1.0637
1.63944e-008,0.9567
1.64329e-008,0.8344
1.64715e-008,0.7097
1.65101e-008,0.5964
1.65487e-008,0.5056
1.65873e-008,0.4387
1.66258e-008,0.3944
1.66644e-008,0.3694
1.67030e-008,0.3632
1.67416e-008,0.3821
1.67801e-008,0.4346
1.68187e-008,0.5233
1.68573e-008,0.6372
1.68959e-008,0.7533
1.69344e-008,0.8573
1.69730e-008,0.9454
1.70116e-008,1.0153
1.70501e-008,1.0657
1.70887e-008,1.1020
1.71273e-008,1.1321
1.71659e-008,1.1543
1.72044e-008,1.1630
1.72430e-008,1.1479
1.72816e-008,1.0912
1.73202e-008,0.9930
1.73588e-008,0.8738
1.73973e-008,0.7486
1.74359e-008,0.6301
1.74745e-008,0.5317
1.75131e-008,0.4573
1.75516e-008,0.4061
1.75902e-008,0.3753
1.76288e-008,0.3628
1.76674e-008,0.3727
1.77059e-008,0.4139
1.77445e-008,0.4916
1.77831e-008,0.5998
1.78216e-008,0.7175
1.78602e-008,0.8261
1.78988e-008,0.9194
1.79374e-008,0.9953
1.79759e-008,1.0518
1.80145e-008,1.0909
1.80531e-008,1.1220
1.80917e-008,1.1476
1.81302e-008,1.1616
1.81688e-008,1.1560
1.82074e-008,1.1140
1.82460e-008,1.0272
1.82846e-008,0.9126
1.83231e-008,0.7884
1.83617e-008,0.6661
1.84003e-008,0.5602
1.84389e-008,0.4781
1.84774e-008,0.4199
1.85160e-008,0.3829
1.85546e-008,0.3646
1.85932e-008,0.3666
1.86317e-008,0.3970
1.86703e-008,0.4631
1.87089e-008,0.5634
1.87474e-008,0.6807
1.87860e-008,0.7933
1.88246e-008,0.8916
1.88632e-008,0.9732
1.89017e-008,1.0360
1.89403e-008,1.0799
1.89789e-008,1.1128
1.90175e-008,1.1406
1.90560e-008,1.1589
1.90946e-008,1.1608
1.91332e-008,1.1323
1.91718e-008,1.0588
1.92104e-008,0.9504
1.92489e-008,0.8280
1.92875e-008,0.7036
1.93261e-008,0.5912
1.93647e-008,0.5014
1.94032e-008,0.4359
1.94418e-008,0.3923
1.94804e-008,0.3682
1.95190e-008,0.3633
1.95575e-008,0.3837
1.95961e-008,0.4380
1.96347e-008,0.5287
1.96732e-008,0.6432
1.97118e-008,0.7591
1.97504e-008,0.8623
1.97890e-008,0.9494
1.98275e-008,1.0183
1.98661e-008,1.0678
1.99047e-008,1.1032
1.99433e-008,1.1328
1.99819e-008,1.1547
2.00204e-008,1.1627
2.00590e-008,1.1459
2.00976e-008,1.0869
