.HEADER
..NAMES
Time,V U5.T7
.DATA
1.63937e-008,0.9891
1.64304e-008,0.9947
1.64671e-008,1.0017
1.65037e-008,1.0092
1.65404e-008,1.0158
1.65771e-008,1.0201
1.66138e-008,1.0224
1.66504e-008,1.0247
1.66871e-008,1.0296
1.67238e-008,1.0390
1.67605e-008,1.0531
1.67972e-008,1.0700
1.68338e-008,1.0860
1.68705e-008,1.0975
1.69072e-008,1.1027
1.69439e-008,1.1019
1.69805e-008,1.0975
1.70172e-008,1.0926
1.70539e-008,1.0903
1.70905e-008,1.0918
1.71272e-008,1.0961
1.71639e-008,1.1009
1.72006e-008,1.1045
1.72372e-008,1.1061
1.72739e-008,1.1059
1.73106e-008,1.1044
1.73473e-008,1.1024
1.73840e-008,1.1005
1.74206e-008,1.0999
1.74573e-008,1.1006
1.74940e-008,1.0986
1.75307e-008,1.0849
1.75673e-008,1.0462
1.76040e-008,0.9746
1.76407e-008,0.8760
1.76773e-008,0.7644
1.77140e-008,0.6555
1.77507e-008,0.5663
1.77874e-008,0.5087
1.78240e-008,0.4824
1.78607e-008,0.4773
1.78974e-008,0.4800
1.79341e-008,0.4804
1.79708e-008,0.4740
1.80074e-008,0.4623
1.80441e-008,0.4492
1.80808e-008,0.4390
1.81175e-008,0.4340
1.81541e-008,0.4340
1.81908e-008,0.4368
1.82275e-008,0.4396
1.82641e-008,0.4401
1.83008e-008,0.4373
1.83375e-008,0.4313
1.83742e-008,0.4250
1.84108e-008,0.4264
1.84475e-008,0.4494
1.84842e-008,0.5069
1.85209e-008,0.5989
1.85576e-008,0.7109
1.85942e-008,0.8171
1.86309e-008,0.8979
1.86676e-008,0.9427
1.87043e-008,0.9524
1.87409e-008,0.9387
1.87776e-008,0.9214
1.88143e-008,0.9158
1.88509e-008,0.9265
1.88876e-008,0.9480
1.89243e-008,0.9703
1.89610e-008,0.9849
1.89976e-008,0.9889
1.90343e-008,0.9842
1.90710e-008,0.9756
1.91077e-008,0.9678
1.91444e-008,0.9644
1.91810e-008,0.9668
1.92177e-008,0.9747
1.92544e-008,0.9868
1.92911e-008,1.0015
1.93277e-008,1.0162
1.93644e-008,1.0252
1.94011e-008,1.0197
1.94377e-008,0.9889
1.94744e-008,0.9273
1.95111e-008,0.8420
1.95478e-008,0.7462
1.95844e-008,0.6532
1.96211e-008,0.5759
1.96578e-008,0.5233
1.96945e-008,0.4942
1.97312e-008,0.4804
1.97678e-008,0.4725
1.98045e-008,0.4649
1.98412e-008,0.4563
1.98779e-008,0.4491
1.99145e-008,0.4452
1.99512e-008,0.4449
1.99879e-008,0.4464
2.00245e-008,0.4484
2.00612e-008,0.4495
2.00979e-008,0.4484
2.01346e-008,0.4448
2.01712e-008,0.4389
2.02079e-008,0.4307
2.02446e-008,0.4223
2.02813e-008,0.4197
2.03179e-008,0.4342
2.03546e-008,0.4786
2.03913e-008,0.5572
2.04280e-008,0.6614
2.04647e-008,0.7689
2.05013e-008,0.8589
2.05380e-008,0.9184
2.05747e-008,0.9440
2.06114e-008,0.9427
2.06480e-008,0.9308
2.06847e-008,0.9240
2.07214e-008,0.9300
2.07580e-008,0.9463
2.07947e-008,0.9654
2.08314e-008,0.9795
2.08681e-008,0.9852
2.09047e-008,0.9836
2.09414e-008,0.9781
2.09781e-008,0.9722
2.10148e-008,0.9690
2.10515e-008,0.9699
2.10881e-008,0.9752
2.11248e-008,0.9842
2.11615e-008,0.9963
2.11982e-008,1.0102
2.12348e-008,1.0211
2.12715e-008,1.0202
2.13082e-008,0.9958
2.13448e-008,0.9395
2.13815e-008,0.8557
2.14182e-008,0.7580
2.14549e-008,0.6611
2.14915e-008,0.5792
2.15282e-008,0.5229
2.15649e-008,0.4929
2.16016e-008,0.4807
2.16383e-008,0.4756
2.16749e-008,0.4700
2.17116e-008,0.4615
2.17483e-008,0.4521
2.17850e-008,0.4453
2.18216e-008,0.4425
2.18583e-008,0.4430
2.18950e-008,0.4453
2.19316e-008,0.4478
2.19683e-008,0.4487
2.20050e-008,0.4469
2.20417e-008,0.4423
2.20783e-008,0.4348
2.21150e-008,0.4250
2.21517e-008,0.4145
2.21884e-008,0.4057
2.22251e-008,0.4004
2.22617e-008,0.3982
2.22984e-008,0.3973
2.23351e-008,0.3951
2.23718e-008,0.3883
2.24084e-008,0.3753
2.24451e-008,0.3578
2.24818e-008,0.3397
2.25184e-008,0.3254
2.25551e-008,0.3176
2.25918e-008,0.3170
2.26285e-008,0.3218
2.26651e-008,0.3281
2.27018e-008,0.3323
2.27385e-008,0.3324
2.27752e-008,0.3291
2.28119e-008,0.3243
2.28485e-008,0.3200
2.28852e-008,0.3174
2.29219e-008,0.3166
2.29586e-008,0.3175
2.29952e-008,0.3197
2.30319e-008,0.3237
2.30686e-008,0.3317
2.31052e-008,0.3495
2.31419e-008,0.3873
2.31786e-008,0.4526
2.32153e-008,0.5437
2.32519e-008,0.6489
2.32886e-008,0.7493
2.33253e-008,0.8309
2.33620e-008,0.8860
2.33987e-008,0.9142
2.34353e-008,0.9225
2.34720e-008,0.9235
2.35087e-008,0.9273
2.35454e-008,0.9373
2.35820e-008,0.9514
2.36187e-008,0.9653
2.36554e-008,0.9758
2.36920e-008,0.9815
2.37287e-008,0.9832
2.37654e-008,0.9824
2.38021e-008,0.9812
2.38387e-008,0.9814
2.38754e-008,0.9843
2.39121e-008,0.9898
2.39488e-008,0.9976
2.39855e-008,1.0065
2.40221e-008,1.0147
2.40588e-008,1.0202
2.40955e-008,1.0226
2.41322e-008,1.0237
2.41688e-008,1.0267
2.42055e-008,1.0342
2.42422e-008,1.0474
2.42788e-008,1.0648
2.43155e-008,1.0828
2.43522e-008,1.0969
2.43889e-008,1.1041
2.44255e-008,1.1041
2.44622e-008,1.0991
2.44989e-008,1.0925
2.45356e-008,1.0881
2.45723e-008,1.0883
2.46089e-008,1.0927
2.46456e-008,1.0990
2.46823e-008,1.1043
2.47190e-008,1.1072
2.47556e-008,1.1075
2.47923e-008,1.1056
2.48290e-008,1.1023
2.48657e-008,1.0986
2.49023e-008,1.0954
2.49390e-008,1.0934
2.49757e-008,1.0930
2.50123e-008,1.0935
2.50490e-008,1.0942
2.50857e-008,1.0943
2.51224e-008,1.0933
2.51590e-008,1.0915
2.51957e-008,1.0894
2.52324e-008,1.0882
2.52691e-008,1.0885
2.53058e-008,1.0906
2.53424e-008,1.0938
2.53791e-008,1.0970
2.54158e-008,1.0989
2.54525e-008,1.0988
2.54891e-008,1.0971
2.55258e-008,1.0945
2.55625e-008,1.0923
2.55991e-008,1.0913
2.56358e-008,1.0917
2.56725e-008,1.0930
2.57092e-008,1.0946
2.57458e-008,1.0956
2.57825e-008,1.0958
2.58192e-008,1.0953
2.58559e-008,1.0943
2.58926e-008,1.0932
2.59292e-008,1.0922
2.59659e-008,1.0918
2.60026e-008,1.0919
2.60393e-008,1.0922
2.60759e-008,1.0927
2.61126e-008,1.0930
2.61493e-008,1.0931
2.61859e-008,1.0927
2.62226e-008,1.0921
2.62593e-008,1.0915
2.62960e-008,1.0912
2.63326e-008,1.0914
2.63693e-008,1.0920
2.64060e-008,1.0928
2.64427e-008,1.0934
2.64794e-008,1.0935
2.65160e-008,1.0931
2.65527e-008,1.0924
2.65894e-008,1.0918
2.66261e-008,1.0914
2.66627e-008,1.0916
2.66994e-008,1.0920
2.67361e-008,1.0926
2.67727e-008,1.0931
2.68094e-008,1.0933
2.68461e-008,1.0931
2.68828e-008,1.0928
2.69194e-008,1.0923
2.69561e-008,1.0920
2.69928e-008,1.0919
2.70295e-008,1.0920
2.70662e-008,1.0921
2.71028e-008,1.0924
2.71395e-008,1.0926
2.71762e-008,1.0926
2.72129e-008,1.0925
2.72495e-008,1.0923
2.72862e-008,1.0920
2.73229e-008,1.0919
2.73595e-008,1.0919
2.73962e-008,1.0920
2.74329e-008,1.0923
2.74696e-008,1.0925
2.75062e-008,1.0926
2.75429e-008,1.0926
2.75796e-008,1.0924
2.76163e-008,1.0921
2.76530e-008,1.0919
2.76896e-008,1.0918
2.77263e-008,1.0920
2.77630e-008,1.0922
2.77997e-008,1.0924
2.78363e-008,1.0925
2.78730e-008,1.0925
2.79097e-008,1.0923
2.79463e-008,1.0922
2.79830e-008,1.0921
2.80197e-008,1.0920
2.80564e-008,1.0920
2.80930e-008,1.0920
2.81297e-008,1.0921
2.81664e-008,1.0922
2.82031e-008,1.0923
2.82398e-008,1.0923
2.82764e-008,1.0922
2.83131e-008,1.0921
2.83498e-008,1.0920
2.83865e-008,1.0920
2.84231e-008,1.0920
2.84598e-008,1.0920
2.84965e-008,1.0921
2.85331e-008,1.0922
2.85698e-008,1.0922
2.86065e-008,1.0923
2.86432e-008,1.0929
2.86798e-008,1.0944
2.87165e-008,1.0967
2.87532e-008,1.0961
2.87899e-008,1.0847
2.88266e-008,1.0500
2.88632e-008,0.9837
2.88999e-008,0.8897
2.89366e-008,0.7796
2.89733e-008,0.6692
2.90099e-008,0.5757
2.90466e-008,0.5121
2.90833e-008,0.4797
2.91199e-008,0.4703
2.91566e-008,0.4718
2.91933e-008,0.4735
2.92300e-008,0.4697
2.92666e-008,0.4605
2.93033e-008,0.4490
2.93400e-008,0.4392
2.93767e-008,0.4334
2.94133e-008,0.4321
2.94500e-008,0.4337
2.94867e-008,0.4359
2.95234e-008,0.4366
2.95601e-008,0.4345
2.95967e-008,0.4296
2.96334e-008,0.4246
2.96701e-008,0.4274
2.97068e-008,0.4519
2.97434e-008,0.5106
2.97801e-008,0.6036
2.98168e-008,0.7160
2.98534e-008,0.8223
2.98901e-008,0.9031
2.99268e-008,0.9476
2.99635e-008,0.9565
3.00002e-008,0.9417
3.00368e-008,0.9231
3.00735e-008,0.9161
3.01102e-008,0.9254
3.01469e-008,0.9459
3.01835e-008,0.9680
3.02202e-008,0.9832
3.02569e-008,0.9882
3.02935e-008,0.9846
3.03302e-008,0.9764
3.03669e-008,0.9686
3.04036e-008,0.9648
3.04403e-008,0.9666
3.04769e-008,0.9739
3.05136e-008,0.9852
3.05503e-008,0.9986
3.05869e-008,1.0111
3.06236e-008,1.0195
3.06603e-008,1.0227
3.06970e-008,1.0228
3.07336e-008,1.0242
3.07703e-008,1.0308
3.08070e-008,1.0449
3.08437e-008,1.0653
3.08804e-008,1.0871
3.09170e-008,1.1040
3.09537e-008,1.1116
3.09904e-008,1.1092
3.10270e-008,1.0995
3.10637e-008,1.0879
3.11004e-008,1.0802
3.11371e-008,1.0798
3.11738e-008,1.0864
3.12104e-008,1.0960
3.12471e-008,1.1043
3.12838e-008,1.1085
3.13205e-008,1.1083
3.13571e-008,1.1049
3.13938e-008,1.1003
3.14305e-008,1.0960
3.14671e-008,1.0936
3.15038e-008,1.0942
3.15405e-008,1.0963
3.15772e-008,1.0935
3.16139e-008,1.0740
3.16505e-008,1.0243
3.16872e-008,0.9413
3.17239e-008,0.8354
3.17605e-008,0.7220
3.17972e-008,0.6181
3.18339e-008,0.5400
3.18706e-008,0.4957
3.19072e-008,0.4801
3.19439e-008,0.4803
3.19806e-008,0.4830
3.20173e-008,0.4800
3.20540e-008,0.4695
3.20906e-008,0.4551
3.21273e-008,0.4417
3.21640e-008,0.4334
3.22006e-008,0.4314
3.22373e-008,0.4342
3.22740e-008,0.4385
3.23107e-008,0.4411
3.23474e-008,0.4402
3.23840e-008,0.4353
3.24207e-008,0.4270
3.24574e-008,0.4165
3.24941e-008,0.4066
3.25307e-008,0.4001
3.25674e-008,0.3977
3.26041e-008,0.3980
3.26407e-008,0.3981
3.26774e-008,0.3944
3.27141e-008,0.3840
3.27508e-008,0.3670
3.27875e-008,0.3467
3.28241e-008,0.3281
3.28608e-008,0.3154
3.28975e-008,0.3112
3.29341e-008,0.3149
3.29708e-008,0.3230
3.30075e-008,0.3306
3.30442e-008,0.3337
3.30808e-008,0.3315
3.31175e-008,0.3256
3.31542e-008,0.3190
3.31909e-008,0.3140
3.32276e-008,0.3121
3.32642e-008,0.3133
3.33009e-008,0.3167
3.33376e-008,0.3217
3.33742e-008,0.3290
3.34109e-008,0.3427
3.34476e-008,0.3716
3.34843e-008,0.4258
3.35210e-008,0.5074
3.35576e-008,0.6091
3.35943e-008,0.7132
3.36310e-008,0.8034
3.36677e-008,0.8693
3.37043e-008,0.9078
3.37410e-008,0.9223
3.37777e-008,0.9245
3.38143e-008,0.9258
3.38510e-008,0.9325
3.38877e-008,0.9446
3.39244e-008,0.9585
3.39611e-008,0.9708
3.39977e-008,0.9791
3.40344e-008,0.9832
3.40711e-008,0.9838
3.41077e-008,0.9826
3.41444e-008,0.9817
3.41811e-008,0.9827
3.42178e-008,0.9869
3.42545e-008,0.9941
3.42911e-008,1.0041
3.43278e-008,1.0156
3.43645e-008,1.0239
3.44012e-008,1.0196
3.44378e-008,0.9904
3.44745e-008,0.9279
3.45112e-008,0.8383
3.45478e-008,0.7376
3.45845e-008,0.6409
3.46212e-008,0.5617
3.46579e-008,0.5104
3.46946e-008,0.4865
3.47312e-008,0.4799
3.47679e-008,0.4784
3.48046e-008,0.4741
3.48412e-008,0.4653
3.48779e-008,0.4549
3.49146e-008,0.4468
3.49513e-008,0.4429
3.49879e-008,0.4429
3.50246e-008,0.4456
3.50613e-008,0.4488
3.50980e-008,0.4503
3.51347e-008,0.4485
3.51713e-008,0.4433
3.52080e-008,0.4348
3.52447e-008,0.4242
3.52813e-008,0.4131
3.53180e-008,0.4044
3.53547e-008,0.3997
3.53914e-008,0.3982
3.54281e-008,0.3977
3.54647e-008,0.3951
3.55014e-008,0.3872
3.55381e-008,0.3728
3.55748e-008,0.3542
3.56114e-008,0.3358
3.56481e-008,0.3220
3.56848e-008,0.3155
3.57214e-008,0.3164
3.57581e-008,0.3225
3.57948e-008,0.3296
3.58315e-008,0.3336
3.58682e-008,0.3329
3.59048e-008,0.3284
3.59415e-008,0.3228
3.59782e-008,0.3182
3.60148e-008,0.3157
3.60515e-008,0.3155
3.60882e-008,0.3173
3.61249e-008,0.3203
3.61615e-008,0.3246
3.61982e-008,0.3323
3.62349e-008,0.3487
3.62716e-008,0.3839
3.63083e-008,0.4463
3.63449e-008,0.5351
3.63816e-008,0.6396
3.64183e-008,0.7409
3.64549e-008,0.8245
