.HEADER
..NAMES
Time,V U2.C8
.DATA
2.51123e-008,1.1758
2.51509e-008,1.1764
2.51895e-008,1.1776
2.52281e-008,1.1780
2.52666e-008,1.1775
2.53052e-008,1.1772
2.53438e-008,1.1770
2.53824e-008,1.1771
2.54209e-008,1.1774
2.54595e-008,1.1777
2.54981e-008,1.1777
2.55367e-008,1.1776
2.55752e-008,1.1778
2.56138e-008,1.1778
2.56524e-008,1.1776
2.56909e-008,1.1775
2.57295e-008,1.1778
2.57681e-008,1.1781
2.58067e-008,1.1797
2.58452e-008,1.1829
2.58838e-008,1.1809
2.59224e-008,1.1574
2.59610e-008,1.0930
2.59995e-008,0.9867
2.60381e-008,0.8632
2.60767e-008,0.7462
2.61153e-008,0.6416
2.61539e-008,0.5505
2.61924e-008,0.4811
2.62310e-008,0.4351
2.62696e-008,0.4048
2.63082e-008,0.3808
2.63467e-008,0.3619
2.63853e-008,0.3498
2.64239e-008,0.3432
2.64625e-008,0.3380
2.65010e-008,0.3313
2.65396e-008,0.3236
2.65782e-008,0.3180
2.66167e-008,0.3172
2.66553e-008,0.3191
2.66939e-008,0.3206
2.67325e-008,0.3217
2.67710e-008,0.3240
2.68096e-008,0.3260
2.68482e-008,0.3258
2.68868e-008,0.3240
2.69254e-008,0.3231
2.69639e-008,0.3234
2.70025e-008,0.3234
2.70411e-008,0.3226
2.70797e-008,0.3216
2.71182e-008,0.3213
2.71568e-008,0.3218
2.71954e-008,0.3229
2.72340e-008,0.3272
2.72725e-008,0.3423
2.73111e-008,0.3817
2.73497e-008,0.4573
2.73882e-008,0.5679
2.74268e-008,0.6934
2.74654e-008,0.8034
2.75040e-008,0.8854
2.75425e-008,0.9486
2.75811e-008,1.0027
2.76197e-008,1.0455
2.76583e-008,1.0819
2.76968e-008,1.1235
2.77354e-008,1.1563
2.77740e-008,1.1606
2.78126e-008,1.1293
2.78512e-008,1.0588
2.78897e-008,0.9500
2.79283e-008,0.8269
2.79669e-008,0.7115
2.80055e-008,0.6098
2.80440e-008,0.5226
2.80826e-008,0.4586
2.81212e-008,0.4186
2.81598e-008,0.3924
2.81983e-008,0.3708
2.82369e-008,0.3553
2.82755e-008,0.3475
2.83140e-008,0.3414
2.83526e-008,0.3337
2.83912e-008,0.3263
2.84298e-008,0.3208
2.84683e-008,0.3170
2.85069e-008,0.3164
2.85455e-008,0.3184
2.85841e-008,0.3204
2.86226e-008,0.3220
2.86612e-008,0.3241
2.86998e-008,0.3258
2.87384e-008,0.3253
2.87770e-008,0.3236
2.88155e-008,0.3230
2.88541e-008,0.3234
2.88927e-008,0.3228
2.89313e-008,0.3216
2.89698e-008,0.3212
2.90084e-008,0.3216
2.90470e-008,0.3219
2.90855e-008,0.3235
2.91241e-008,0.3308
2.91627e-008,0.3533
2.92013e-008,0.4049
2.92398e-008,0.4943
2.92784e-008,0.6142
2.93170e-008,0.7370
2.93556e-008,0.8365
2.93941e-008,0.9099
2.94327e-008,0.9695
2.94713e-008,1.0199
2.95099e-008,1.0579
2.95485e-008,1.0852
2.95870e-008,1.1063
2.96256e-008,1.1236
2.96642e-008,1.1358
2.97028e-008,1.1441
2.97413e-008,1.1514
2.97799e-008,1.1599
2.98185e-008,1.1686
2.98570e-008,1.1744
2.98956e-008,1.1750
2.99342e-008,1.1724
2.99728e-008,1.1709
3.00113e-008,1.1718
3.00499e-008,1.1731
3.00885e-008,1.1734
3.01271e-008,1.1739
3.01657e-008,1.1753
3.02042e-008,1.1762
3.02428e-008,1.1760
3.02814e-008,1.1758
3.03199e-008,1.1766
3.03585e-008,1.1777
3.03971e-008,1.1779
3.04357e-008,1.1774
3.04743e-008,1.1768
3.05128e-008,1.1767
3.05514e-008,1.1772
3.05900e-008,1.1776
3.06285e-008,1.1776
3.06671e-008,1.1775
3.07057e-008,1.1777
3.07443e-008,1.1778
3.07829e-008,1.1777
3.08214e-008,1.1774
3.08600e-008,1.1775
3.08986e-008,1.1778
3.09372e-008,1.1779
3.09757e-008,1.1777
3.10143e-008,1.1776
3.10529e-008,1.1776
3.10914e-008,1.1778
3.11300e-008,1.1778
3.11686e-008,1.1778
3.12072e-008,1.1777
3.12458e-008,1.1778
3.12843e-008,1.1778
3.13229e-008,1.1778
3.13615e-008,1.1777
3.14000e-008,1.1780
3.14386e-008,1.1801
3.14772e-008,1.1833
3.15158e-008,1.1799
3.15544e-008,1.1528
3.15929e-008,1.0838
3.16315e-008,0.9743
3.16701e-008,0.8508
3.17087e-008,0.7350
3.17472e-008,0.6315
3.17858e-008,0.5423
3.18244e-008,0.4754
3.18629e-008,0.4316
3.19015e-008,0.4021
3.19401e-008,0.3786
3.19787e-008,0.3603
3.20173e-008,0.3490
3.20558e-008,0.3427
3.20944e-008,0.3374
3.21330e-008,0.3305
3.21715e-008,0.3229
3.22101e-008,0.3178
3.22487e-008,0.3173
3.22873e-008,0.3193
3.23259e-008,0.3207
3.23644e-008,0.3229
3.24030e-008,0.3316
3.24416e-008,0.3548
3.24801e-008,0.4038
3.25187e-008,0.4882
3.25573e-008,0.6048
3.25959e-008,0.7288
3.26344e-008,0.8308
3.26730e-008,0.9049
3.27116e-008,0.9642
3.27502e-008,1.0158
3.27888e-008,1.0557
