.HEADER
..NAMES
Time,V U5.P7
.DATA
1.53301e-008,1.0922
1.53668e-008,1.0921
1.54035e-008,1.0921
1.54402e-008,1.0921
1.54769e-008,1.0921
1.55135e-008,1.0922
1.55502e-008,1.0922
1.55869e-008,1.0922
1.56236e-008,1.0922
1.56602e-008,1.0922
1.56969e-008,1.0922
1.57336e-008,1.0921
1.57703e-008,1.0921
1.58069e-008,1.0921
1.58436e-008,1.0921
1.58803e-008,1.0921
1.59169e-008,1.0921
1.59536e-008,1.0921
1.59903e-008,1.0921
1.60270e-008,1.0921
1.60636e-008,1.0921
1.61003e-008,1.0921
1.61370e-008,1.0921
1.61737e-008,1.0921
1.62104e-008,1.0921
1.62470e-008,1.0921
1.62837e-008,1.0921
1.63204e-008,1.0921
1.63571e-008,1.0921
1.63937e-008,1.0921
1.64304e-008,1.0921
1.64671e-008,1.0921
1.65037e-008,1.0921
1.65404e-008,1.0921
1.65771e-008,1.0921
1.66138e-008,1.0920
1.66504e-008,1.0920
1.66871e-008,1.0920
1.67238e-008,1.0920
1.67605e-008,1.0920
1.67972e-008,1.0920
1.68338e-008,1.0920
1.68705e-008,1.0921
1.69072e-008,1.0920
1.69439e-008,1.0920
1.69805e-008,1.0920
1.70172e-008,1.0920
1.70539e-008,1.0920
1.70905e-008,1.0920
1.71272e-008,1.0920
1.71639e-008,1.0920
1.72006e-008,1.0920
1.72372e-008,1.0920
1.72739e-008,1.0920
1.73106e-008,1.0920
1.73473e-008,1.0920
1.73840e-008,1.0920
1.74206e-008,1.0920
1.74573e-008,1.0920
1.74940e-008,1.0919
1.75307e-008,1.0920
1.75673e-008,1.0920
1.76040e-008,1.0920
1.76407e-008,1.0920
1.76773e-008,1.0920
1.77140e-008,1.0920
1.77507e-008,1.0920
1.77874e-008,1.0919
1.78240e-008,1.0919
1.78607e-008,1.0919
1.78974e-008,1.0919
1.79341e-008,1.0919
1.79708e-008,1.0919
1.80074e-008,1.0919
1.80441e-008,1.0919
1.80808e-008,1.0919
1.81175e-008,1.0919
1.81541e-008,1.0919
1.81908e-008,1.0919
1.82275e-008,1.0919
1.82641e-008,1.0919
1.83008e-008,1.0922
1.83375e-008,1.0930
1.83742e-008,1.0948
1.84108e-008,1.0969
1.84475e-008,1.0949
1.84842e-008,1.0799
1.85209e-008,1.0393
1.85576e-008,0.9650
1.85942e-008,0.8600
1.86309e-008,0.7353
1.86676e-008,0.6114
1.87043e-008,0.5124
1.87409e-008,0.4526
1.87776e-008,0.4330
1.88143e-008,0.4428
1.88509e-008,0.4643
1.88876e-008,0.4815
1.89243e-008,0.4855
1.89610e-008,0.4751
1.89976e-008,0.4557
1.90343e-008,0.4353
1.90710e-008,0.4203
1.91077e-008,0.4136
1.91444e-008,0.4145
1.91810e-008,0.4200
1.92177e-008,0.4267
1.92544e-008,0.4308
1.92911e-008,0.4303
1.93277e-008,0.4283
1.93644e-008,0.4336
1.94011e-008,0.4606
1.94377e-008,0.5225
1.94744e-008,0.6215
1.95111e-008,0.7440
1.95478e-008,0.8639
1.95844e-008,0.9553
1.96211e-008,0.9993
1.96578e-008,0.9936
1.96945e-008,0.9564
1.97312e-008,0.9142
1.97678e-008,0.8885
1.98045e-008,0.8896
1.98412e-008,0.9143
1.98779e-008,0.9510
1.99145e-008,0.9866
1.99512e-008,1.0102
1.99879e-008,1.0173
2.00245e-008,1.0099
2.00612e-008,0.9943
2.00979e-008,0.9779
2.01346e-008,0.9673
2.01712e-008,0.9664
2.02079e-008,0.9767
2.02446e-008,0.9969
2.02813e-008,1.0215
2.03179e-008,1.0405
2.03546e-008,1.0401
2.03913e-008,1.0041
2.04280e-008,0.9262
2.04647e-008,0.8160
2.05013e-008,0.6912
2.05380e-008,0.5764
2.05747e-008,0.4960
2.06114e-008,0.4591
2.06480e-008,0.4575
2.06847e-008,0.4736
2.07214e-008,0.4881
2.07580e-008,0.4893
2.07947e-008,0.4760
2.08314e-008,0.4539
2.08681e-008,0.4326
2.09047e-008,0.4203
2.09414e-008,0.4196
2.09781e-008,0.4278
2.10148e-008,0.4390
2.10515e-008,0.4471
2.10881e-008,0.4491
2.11248e-008,0.4438
2.11615e-008,0.4314
2.11982e-008,0.4145
2.12348e-008,0.3969
2.12715e-008,0.3818
2.13082e-008,0.3720
2.13448e-008,0.3692
2.13815e-008,0.3716
2.14182e-008,0.3752
2.14549e-008,0.3747
2.14915e-008,0.3663
2.15282e-008,0.3496
2.15649e-008,0.3284
2.16016e-008,0.3089
2.16383e-008,0.2972
2.16749e-008,0.2961
2.17116e-008,0.3047
2.17483e-008,0.3184
2.17850e-008,0.3316
2.18216e-008,0.3394
2.18583e-008,0.3396
2.18950e-008,0.3333
2.19316e-008,0.3239
2.19683e-008,0.3154
2.20050e-008,0.3108
2.20417e-008,0.3108
2.20783e-008,0.3142
2.21150e-008,0.3195
2.21517e-008,0.3247
2.21884e-008,0.3289
2.22251e-008,0.3318
2.22617e-008,0.3335
2.22984e-008,0.3338
2.23351e-008,0.3332
2.23718e-008,0.3319
2.24084e-008,0.3306
2.24451e-008,0.3297
2.24818e-008,0.3290
2.25184e-008,0.3280
2.25551e-008,0.3262
2.25918e-008,0.3236
2.26285e-008,0.3209
2.26651e-008,0.3191
2.27018e-008,0.3192
2.27385e-008,0.3215
2.27752e-008,0.3253
2.28119e-008,0.3293
2.28485e-008,0.3321
2.28852e-008,0.3326
2.29219e-008,0.3308
2.29586e-008,0.3275
2.29952e-008,0.3240
2.30319e-008,0.3219
2.30686e-008,0.3218
2.31052e-008,0.3237
2.31419e-008,0.3266
2.31786e-008,0.3295
2.32153e-008,0.3312
2.32519e-008,0.3313
2.32886e-008,0.3301
2.33253e-008,0.3280
2.33620e-008,0.3261
2.33987e-008,0.3250
2.34353e-008,0.3249
2.34720e-008,0.3258
2.35087e-008,0.3273
2.35454e-008,0.3289
2.35820e-008,0.3299
2.36187e-008,0.3300
2.36554e-008,0.3290
2.36920e-008,0.3274
2.37287e-008,0.3257
2.37654e-008,0.3245
2.38021e-008,0.3244
2.38387e-008,0.3254
2.38754e-008,0.3271
2.39121e-008,0.3289
2.39488e-008,0.3300
2.39855e-008,0.3301
2.40221e-008,0.3291
2.40588e-008,0.3276
2.40955e-008,0.3261
2.41322e-008,0.3251
2.41688e-008,0.3250
2.42055e-008,0.3257
2.42422e-008,0.3269
2.42788e-008,0.3281
2.43155e-008,0.3290
2.43522e-008,0.3294
2.43889e-008,0.3292
2.44255e-008,0.3285
2.44622e-008,0.3276
2.44989e-008,0.3268
2.45356e-008,0.3264
2.45723e-008,0.3263
2.46089e-008,0.3266
2.46456e-008,0.3271
2.46823e-008,0.3276
2.47190e-008,0.3280
2.47556e-008,0.3282
2.47923e-008,0.3282
2.48290e-008,0.3280
2.48657e-008,0.3277
2.49023e-008,0.3279
2.49390e-008,0.3304
2.49757e-008,0.3395
2.50123e-008,0.3634
2.50490e-008,0.4115
2.50857e-008,0.4888
2.51224e-008,0.5918
2.51590e-008,0.7056
2.51957e-008,0.8109
2.52324e-008,0.8912
2.52691e-008,0.9365
2.53058e-008,0.9492
2.53424e-008,0.9431
2.53791e-008,0.9331
2.54158e-008,0.9300
2.54525e-008,0.9380
2.54891e-008,0.9538
2.55258e-008,0.9721
2.55625e-008,0.9878
2.55991e-008,0.9972
2.56358e-008,0.9999
2.56725e-008,0.9980
2.57092e-008,0.9942
2.57458e-008,0.9914
2.57825e-008,0.9918
2.58192e-008,0.9964
2.58559e-008,1.0062
2.58926e-008,1.0201
2.59292e-008,1.0323
2.59659e-008,1.0327
2.60026e-008,1.0067
2.60393e-008,0.9420
