.HEADER
..NAMES
Time,V U5.D7
.DATA
1.67030e-008,1.1709
1.67416e-008,1.1712
1.67801e-008,1.1710
1.68187e-008,1.1705
1.68573e-008,1.1699
1.68959e-008,1.1699
1.69344e-008,1.1701
1.69730e-008,1.1703
1.70116e-008,1.1712
1.70501e-008,1.1729
1.70887e-008,1.1740
1.71273e-008,1.1741
1.71659e-008,1.1746
1.72044e-008,1.1751
1.72430e-008,1.1748
1.72816e-008,1.1743
1.73202e-008,1.1745
1.73588e-008,1.1768
1.73973e-008,1.1799
1.74359e-008,1.1789
1.74745e-008,1.1611
1.75131e-008,1.1083
1.75516e-008,1.0168
1.75902e-008,0.9060
1.76288e-008,0.7935
1.76674e-008,0.6839
1.77059e-008,0.5818
1.77445e-008,0.4997
1.77831e-008,0.4437
1.78216e-008,0.4067
1.78602e-008,0.3800
1.78988e-008,0.3625
1.79374e-008,0.3531
1.79759e-008,0.3454
1.80145e-008,0.3359
1.80531e-008,0.3267
1.80917e-008,0.3210
1.81302e-008,0.3187
1.81688e-008,0.3187
1.82074e-008,0.3201
1.82460e-008,0.3221
1.82846e-008,0.3251
1.83231e-008,0.3316
1.83617e-008,0.3479
1.84003e-008,0.3851
1.84389e-008,0.4541
1.84774e-008,0.5560
1.85160e-008,0.6725
1.85546e-008,0.7782
1.85932e-008,0.8648
1.86317e-008,0.9398
1.86703e-008,1.0032
1.87089e-008,1.0483
1.87474e-008,1.0771
1.87860e-008,1.0977
1.88246e-008,1.1154
1.88632e-008,1.1290
1.89017e-008,1.1395
1.89403e-008,1.1506
1.89789e-008,1.1613
1.90175e-008,1.1679
1.90560e-008,1.1698
1.90946e-008,1.1695
1.91332e-008,1.1690
1.91718e-008,1.1692
1.92104e-008,1.1696
1.92489e-008,1.1697
1.92875e-008,1.1697
1.93261e-008,1.1706
1.93647e-008,1.1723
1.94032e-008,1.1735
1.94418e-008,1.1739
1.94804e-008,1.1742
1.95190e-008,1.1749
1.95575e-008,1.1749
1.95961e-008,1.1743
1.96347e-008,1.1742
1.96732e-008,1.1749
1.97118e-008,1.1753
1.97504e-008,1.1752
1.97890e-008,1.1752
1.98275e-008,1.1755
1.98661e-008,1.1757
1.99047e-008,1.1756
1.99433e-008,1.1755
1.99819e-008,1.1755
2.00204e-008,1.1755
2.00590e-008,1.1755
2.00976e-008,1.1755
2.01362e-008,1.1755
2.01747e-008,1.1756
2.02133e-008,1.1757
2.02519e-008,1.1757
2.02905e-008,1.1756
2.03290e-008,1.1756
2.03676e-008,1.1757
2.04062e-008,1.1758
2.04447e-008,1.1757
2.04833e-008,1.1757
2.05219e-008,1.1758
2.05605e-008,1.1758
2.05990e-008,1.1758
2.06376e-008,1.1758
2.06762e-008,1.1759
2.07148e-008,1.1759
2.07533e-008,1.1759
2.07919e-008,1.1759
2.08305e-008,1.1759
2.08691e-008,1.1759
2.09077e-008,1.1759
2.09462e-008,1.1760
2.09848e-008,1.1760
2.10234e-008,1.1760
2.10620e-008,1.1760
2.11005e-008,1.1760
2.11391e-008,1.1760
2.11777e-008,1.1760
2.12163e-008,1.1761
2.12548e-008,1.1761
2.12934e-008,1.1761
2.13320e-008,1.1761
2.13705e-008,1.1761
2.14091e-008,1.1761
2.14477e-008,1.1761
2.14863e-008,1.1761
2.15248e-008,1.1761
2.15634e-008,1.1761
2.16020e-008,1.1761
2.16406e-008,1.1761
2.16791e-008,1.1762
2.17177e-008,1.1762
2.17563e-008,1.1762
2.17949e-008,1.1762
2.18335e-008,1.1762
2.18720e-008,1.1762
2.19106e-008,1.1762
2.19492e-008,1.1762
2.19878e-008,1.1762
2.20263e-008,1.1762
2.20649e-008,1.1762
2.21035e-008,1.1762
2.21420e-008,1.1762
2.21806e-008,1.1762
2.22192e-008,1.1762
2.22578e-008,1.1762
2.22963e-008,1.1762
2.23349e-008,1.1762
2.23735e-008,1.1762
2.24121e-008,1.1762
2.24506e-008,1.1762
2.24892e-008,1.1764
2.25278e-008,1.1785
2.25664e-008,1.1814
2.26050e-008,1.1776
2.26435e-008,1.1520
2.26821e-008,1.0882
2.27207e-008,0.9893
2.27593e-008,0.8771
2.27978e-008,0.7655
2.28364e-008,0.6567
2.28750e-008,0.5588
2.29136e-008,0.4834
2.29521e-008,0.4330
2.29907e-008,0.3933
2.30293e-008,0.3694
2.30678e-008,0.3744
2.31064e-008,0.4137
2.31450e-008,0.4846
2.31836e-008,0.5853
2.32221e-008,0.6998
2.32607e-008,0.8056
2.32993e-008,0.8919
2.33379e-008,0.9657
2.33764e-008,1.0269
2.34150e-008,1.0682
2.34536e-008,1.0935
2.34922e-008,1.1124
2.35308e-008,1.1280
2.35693e-008,1.1385
2.36079e-008,1.1473
2.36465e-008,1.1578
2.36851e-008,1.1668
2.37236e-008,1.1708
2.37622e-008,1.1717
2.38008e-008,1.1720
2.38394e-008,1.1714
2.38779e-008,1.1705
2.39165e-008,1.1704
2.39551e-008,1.1708
2.39936e-008,1.1708
2.40322e-008,1.1714
2.40708e-008,1.1730
2.41094e-008,1.1744
2.41479e-008,1.1747
2.41865e-008,1.1750
2.42251e-008,1.1756
2.42637e-008,1.1756
2.43023e-008,1.1749
2.43408e-008,1.1750
2.43794e-008,1.1757
2.44180e-008,1.1759
2.44566e-008,1.1757
2.44951e-008,1.1758
2.45337e-008,1.1762
2.45723e-008,1.1762
2.46109e-008,1.1761
2.46494e-008,1.1761
2.46880e-008,1.1761
2.47266e-008,1.1760
2.47651e-008,1.1759
2.48037e-008,1.1760
2.48423e-008,1.1765
2.48809e-008,1.1789
2.49194e-008,1.1815
2.49580e-008,1.1747
2.49966e-008,1.1419
2.50352e-008,1.0696
2.50737e-008,0.9662
2.51123e-008,0.8534
2.51509e-008,0.7423
2.51895e-008,0.6348
2.52281e-008,0.5407
2.52666e-008,0.4710
2.53052e-008,0.4240
2.53438e-008,0.3868
2.53824e-008,0.3672
2.54209e-008,0.3800
2.54595e-008,0.4260
2.54981e-008,0.5032
2.55367e-008,0.6092
2.55752e-008,0.7233
2.56138e-008,0.8250
2.56524e-008,0.9084
2.56909e-008,0.9798
2.57295e-008,1.0371
2.57681e-008,1.0752
2.58067e-008,1.1126
2.58452e-008,1.1453
2.58838e-008,1.1596
2.59224e-008,1.1461
2.59610e-008,1.0986
2.59995e-008,1.0127
2.60381e-008,0.8984
2.60767e-008,0.7762
2.61153e-008,0.6640
2.61539e-008,0.5649
2.61924e-008,0.4836
2.62310e-008,0.4288
2.62696e-008,0.3963
2.63082e-008,0.3742
2.63467e-008,0.3581
2.63853e-008,0.3496
2.64239e-008,0.3433
2.64625e-008,0.3343
2.65010e-008,0.3247
2.65396e-008,0.3193
2.65782e-008,0.3175
2.66167e-008,0.3174
2.66553e-008,0.3191
2.66939e-008,0.3226
2.67325e-008,0.3265
2.67710e-008,0.3333
2.68096e-008,0.3519
2.68482e-008,0.3941
2.68868e-008,0.4678
2.69254e-008,0.5727
2.69639e-008,0.6891
2.70025e-008,0.7928
2.70411e-008,0.8768
2.70797e-008,0.9499
2.71182e-008,1.0114
2.71568e-008,1.0540
2.71954e-008,1.0907
2.72340e-008,1.1264
2.72725e-008,1.1537
2.73111e-008,1.1517
2.73497e-008,1.1208
2.73882e-008,1.0545
2.74268e-008,0.9497
2.74654e-008,0.8288
2.75040e-008,0.7123
2.75425e-008,0.6064
2.75811e-008,0.5161
2.76197e-008,0.4499
2.76583e-008,0.4065
2.76968e-008,0.3767
2.77354e-008,0.3629
2.77740e-008,0.3818
2.78126e-008,0.4342
2.78512e-008,0.5166
2.78897e-008,0.6258
2.79283e-008,0.7401
2.79669e-008,0.8392
2.80055e-008,0.9200
2.80440e-008,0.9898
2.80826e-008,1.0452
2.81212e-008,1.0807
2.81598e-008,1.1013
2.81983e-008,1.1184
2.82369e-008,1.1328
2.82755e-008,1.1418
2.83140e-008,1.1502
2.83526e-008,1.1605
2.83912e-008,1.1684
2.84298e-008,1.1710
2.84683e-008,1.1712
2.85069e-008,1.1711
2.85455e-008,1.1706
2.85841e-008,1.1699
2.86226e-008,1.1699
2.86612e-008,1.1702
2.86998e-008,1.1703
2.87384e-008,1.1712
2.87770e-008,1.1730
2.88155e-008,1.1741
2.88541e-008,1.1742
2.88927e-008,1.1747
2.89313e-008,1.1752
2.89698e-008,1.1749
2.90084e-008,1.1743
2.90470e-008,1.1746
2.90855e-008,1.1753
2.91241e-008,1.1754
2.91627e-008,1.1752
2.92013e-008,1.1755
2.92398e-008,1.1758
2.92784e-008,1.1758
2.93170e-008,1.1756
2.93556e-008,1.1757
2.93941e-008,1.1757
2.94327e-008,1.1756
2.94713e-008,1.1756
2.95099e-008,1.1757
2.95485e-008,1.1770
2.95870e-008,1.1800
2.96256e-008,1.1802
2.96642e-008,1.1650
2.97028e-008,1.1163
2.97413e-008,1.0285
2.97799e-008,0.9191
2.98185e-008,0.8063
2.98570e-008,0.6963
2.98956e-008,0.5928
2.99342e-008,0.5080
2.99728e-008,0.4492
3.00113e-008,0.4064
3.00499e-008,0.3761
3.00885e-008,0.3676
3.01271e-008,0.3950
3.01657e-008,0.4547
3.02042e-008,0.5444
3.02428e-008,0.6572
3.02814e-008,0.7683
3.03199e-008,0.8613
3.03585e-008,0.9395
3.03971e-008,1.0059
3.04357e-008,1.0547
3.04743e-008,1.0853
3.05128e-008,1.1054
3.05514e-008,1.1225
3.05900e-008,1.1349
3.06285e-008,1.1436
3.06671e-008,1.1535
3.07057e-008,1.1638
3.07443e-008,1.1696
3.07829e-008,1.1712
3.08214e-008,1.1718
3.08600e-008,1.1715
3.08986e-008,1.1705
3.09372e-008,1.1701
3.09757e-008,1.1704
3.10143e-008,1.1706
3.10529e-008,1.1708
3.10914e-008,1.1721
3.11300e-008,1.1738
3.11686e-008,1.1745
3.12072e-008,1.1745
3.12458e-008,1.1752
3.12843e-008,1.1755
3.13229e-008,1.1749
3.13615e-008,1.1746
3.14000e-008,1.1753
3.14386e-008,1.1778
3.14772e-008,1.1807
3.15158e-008,1.1770
3.15544e-008,1.1518
3.15929e-008,1.0883
3.16315e-008,0.9893
3.16701e-008,0.8771
3.17087e-008,0.7655
3.17472e-008,0.6566
3.17858e-008,0.5585
3.18244e-008,0.4832
3.18629e-008,0.4328
3.19015e-008,0.3930
3.19401e-008,0.3690
3.19787e-008,0.3740
3.20173e-008,0.4131
3.20558e-008,0.4838
3.20944e-008,0.5844
3.21330e-008,0.6991
3.21715e-008,0.8049
3.22101e-008,0.8912
3.22487e-008,0.9652
3.22873e-008,1.0264
3.23259e-008,1.0677
3.23644e-008,1.0931
3.24030e-008,1.1121
3.24416e-008,1.1277
3.24801e-008,1.1382
3.25187e-008,1.1470
3.25573e-008,1.1575
3.25959e-008,1.1666
3.26344e-008,1.1705
3.26730e-008,1.1714
3.27116e-008,1.1718
3.27502e-008,1.1712
3.27888e-008,1.1702
3.28273e-008,1.1702
3.28659e-008,1.1706
3.29045e-008,1.1706
3.29430e-008,1.1712
3.29816e-008,1.1729
3.30202e-008,1.1742
3.30588e-008,1.1745
3.30974e-008,1.1748
3.31359e-008,1.1755
3.31745e-008,1.1754
3.32131e-008,1.1747
