.HEADER
..NAMES
Time,V U2.G2
.DATA
1.24983e-008,0.7557
1.25369e-008,0.6491
1.25755e-008,0.5562
1.26140e-008,0.4847
1.26526e-008,0.4362
1.26912e-008,0.4031
1.27297e-008,0.3783
1.27683e-008,0.3624
1.28069e-008,0.3541
1.28455e-008,0.3495
1.28841e-008,0.3454
1.29226e-008,0.3388
1.29612e-008,0.3286
1.29998e-008,0.3205
1.30383e-008,0.3182
1.30769e-008,0.3179
1.31155e-008,0.3177
1.31541e-008,0.3185
1.31926e-008,0.3208
1.32312e-008,0.3236
1.32698e-008,0.3244
1.33084e-008,0.3241
1.33470e-008,0.3241
1.33855e-008,0.3243
1.34241e-008,0.3241
1.34627e-008,0.3232
1.35012e-008,0.3218
1.35398e-008,0.3210
1.35784e-008,0.3212
1.36170e-008,0.3226
1.36555e-008,0.3276
1.36941e-008,0.3438
1.37327e-008,0.3850
1.37713e-008,0.4632
1.38099e-008,0.5725
1.38484e-008,0.6941
1.38870e-008,0.7949
1.39256e-008,0.8748
1.39641e-008,0.9458
1.40027e-008,1.0052
1.40413e-008,1.0496
1.40799e-008,1.0796
1.41185e-008,1.1005
1.41570e-008,1.1162
1.41956e-008,1.1270
1.42342e-008,1.1348
1.42728e-008,1.1426
1.43113e-008,1.1522
1.43499e-008,1.1626
1.43885e-008,1.1717
1.44270e-008,1.1757
1.44656e-008,1.1741
1.45042e-008,1.1728
1.45428e-008,1.1740
1.45814e-008,1.1793
1.46199e-008,1.1834
1.46585e-008,1.1753
1.46971e-008,1.1419
1.47357e-008,1.0642
1.47742e-008,0.9530
1.48128e-008,0.8410
1.48514e-008,0.7321
1.48899e-008,0.6284
1.49285e-008,0.5399
1.49671e-008,0.4731
1.50057e-008,0.4273
1.50443e-008,0.3879
1.50828e-008,0.3666
1.51214e-008,0.3809
1.51600e-008,0.4259
1.51985e-008,0.5058
1.52371e-008,0.6132
1.52757e-008,0.7215
1.53143e-008,0.8074
1.53528e-008,0.8852
1.53914e-008,0.9576
1.54300e-008,1.0161
1.54686e-008,1.0568
1.55071e-008,1.0849
1.55457e-008,1.1075
1.55843e-008,1.1230
1.56229e-008,1.1312
1.56615e-008,1.1396
1.57000e-008,1.1492
1.57386e-008,1.1582
1.57772e-008,1.1669
1.58158e-008,1.1736
1.58543e-008,1.1749
1.58929e-008,1.1734
1.59315e-008,1.1738
1.59701e-008,1.1775
1.60086e-008,1.1835
1.60472e-008,1.1816
1.60858e-008,1.1624
1.61243e-008,1.1070
1.61629e-008,1.0070
1.62015e-008,0.8923
1.62401e-008,0.7833
1.62786e-008,0.6760
1.63172e-008,0.5792
1.63558e-008,0.5014
1.63944e-008,0.4469
1.64329e-008,0.4070
1.64715e-008,0.3724
1.65101e-008,0.3705
1.65487e-008,0.4003
1.65873e-008,0.4637
1.66258e-008,0.5596
1.66644e-008,0.6724
1.67030e-008,0.7687
1.67416e-008,0.8486
1.67801e-008,0.9244
1.68187e-008,0.9906
1.68573e-008,1.0395
1.68959e-008,1.0726
1.69344e-008,1.0973
1.69730e-008,1.1169
1.70116e-008,1.1280
1.70501e-008,1.1353
1.70887e-008,1.1446
1.71273e-008,1.1540
1.71659e-008,1.1628
1.72044e-008,1.1709
1.72430e-008,1.1750
1.72816e-008,1.1741
1.73202e-008,1.1733
1.73588e-008,1.1752
1.73973e-008,1.1811
1.74359e-008,1.1840
1.74745e-008,1.1746
1.75131e-008,1.1392
1.75516e-008,1.0588
1.75902e-008,0.9461
1.76288e-008,0.8347
1.76674e-008,0.7263
1.77059e-008,0.6232
1.77445e-008,0.5355
1.77831e-008,0.4700
1.78216e-008,0.4260
1.78602e-008,0.3950
1.78988e-008,0.3727
1.79374e-008,0.3599
1.79759e-008,0.3532
1.80145e-008,0.3483
1.80531e-008,0.3435
1.80917e-008,0.3361
1.81302e-008,0.3260
1.81688e-008,0.3195
1.82074e-008,0.3182
1.82460e-008,0.3180
1.82846e-008,0.3179
1.83231e-008,0.3190
1.83617e-008,0.3215
1.84003e-008,0.3239
1.84389e-008,0.3243
1.84774e-008,0.3242
1.85160e-008,0.3244
1.85546e-008,0.3244
1.85932e-008,0.3238
1.86317e-008,0.3228
1.86703e-008,0.3216
1.87089e-008,0.3210
1.87474e-008,0.3215
1.87860e-008,0.3234
1.88246e-008,0.3304
1.88632e-008,0.3514
1.89017e-008,0.4017
1.89403e-008,0.4892
1.89789e-008,0.6042
1.90175e-008,0.7234
1.90560e-008,0.8168
1.90946e-008,0.8942
1.91332e-008,0.9624
1.91718e-008,1.0182
1.92104e-008,1.0587
1.92489e-008,1.0932
1.92875e-008,1.1385
1.93261e-008,1.1522
1.93647e-008,1.1449
1.94032e-008,1.1095
1.94418e-008,1.0313
1.94804e-008,0.9285
1.95190e-008,0.8203
1.95575e-008,0.7087
1.95961e-008,0.6047
1.96347e-008,0.5171
1.96732e-008,0.4563
1.97118e-008,0.4174
1.97504e-008,0.3882
1.97890e-008,0.3669
1.98275e-008,0.3575
1.98661e-008,0.3527
1.99047e-008,0.3459
1.99433e-008,0.3401
1.99819e-008,0.3331
2.00204e-008,0.3251
2.00590e-008,0.3201
2.00976e-008,0.3176
2.01362e-008,0.3167
2.01747e-008,0.3170
2.02133e-008,0.3216
2.02519e-008,0.3390
2.02905e-008,0.3784
2.03290e-008,0.4500
2.03676e-008,0.5539
2.04062e-008,0.6754
2.04447e-008,0.7809
2.04833e-008,0.8614
2.05219e-008,0.9330
2.05605e-008,0.9942
2.05990e-008,1.0417
2.06376e-008,1.0764
2.06762e-008,1.1205
2.07148e-008,1.1506
2.07533e-008,1.1503
2.07919e-008,1.1321
2.08305e-008,1.0744
2.08691e-008,0.9789
2.09077e-008,0.8715
2.09462e-008,0.7604
2.09848e-008,0.6522
2.10234e-008,0.5552
2.10620e-008,0.4811
2.11005e-008,0.4336
2.11391e-008,0.4012
2.11777e-008,0.3756
2.12163e-008,0.3609
2.12548e-008,0.3553
2.12934e-008,0.3489
2.13320e-008,0.3427
2.13705e-008,0.3369
2.14091e-008,0.3288
2.14477e-008,0.3219
2.14863e-008,0.3183
2.15248e-008,0.3169
2.15634e-008,0.3167
2.16020e-008,0.3174
2.16406e-008,0.3203
2.16791e-008,0.3237
2.17177e-008,0.3245
2.17563e-008,0.3240
2.17949e-008,0.3244
2.18335e-008,0.3246
2.18720e-008,0.3237
2.19106e-008,0.3226
2.19492e-008,0.3219
2.19878e-008,0.3214
2.20263e-008,0.3214
2.20649e-008,0.3217
2.21035e-008,0.3221
2.21420e-008,0.3222
2.21806e-008,0.3222
2.22192e-008,0.3226
2.22578e-008,0.3225
2.22963e-008,0.3220
2.23349e-008,0.3218
2.23735e-008,0.3219
2.24121e-008,0.3220
2.24506e-008,0.3218
2.24892e-008,0.3217
2.25278e-008,0.3223
2.25664e-008,0.3271
2.26050e-008,0.3433
2.26435e-008,0.3845
2.26821e-008,0.4624
2.27207e-008,0.5719
2.27593e-008,0.6942
2.27978e-008,0.7953
2.28364e-008,0.8748
2.28750e-008,0.9455
2.29136e-008,1.0051
2.29521e-008,1.0498
2.29907e-008,1.0838
2.30293e-008,1.1298
2.30678e-008,1.1515
2.31064e-008,1.1484
2.31450e-008,1.1232
2.31836e-008,1.0561
2.32221e-008,0.9568
2.32607e-008,0.8495
2.32993e-008,0.7381
2.33379e-008,0.6314
2.33764e-008,0.5379
2.34150e-008,0.4696
2.34536e-008,0.4255
2.34922e-008,0.3867
2.35308e-008,0.3672
2.35693e-008,0.3848
2.36079e-008,0.4351
2.36465e-008,0.5162
2.36851e-008,0.6247
2.37236e-008,0.7325
2.37622e-008,0.8186
2.38008e-008,0.8958
2.38394e-008,0.9650
2.38779e-008,1.0206
2.39165e-008,1.0606
2.39551e-008,1.1055
2.39936e-008,1.1438
2.40322e-008,1.1505
2.40708e-008,1.1362
2.41094e-008,1.0854
2.41479e-008,0.9949
2.41865e-008,0.8871
2.42251e-008,0.7747
2.42637e-008,0.6658
2.43023e-008,0.5681
2.43408e-008,0.4908
2.43794e-008,0.4398
2.44180e-008,0.4058
2.44566e-008,0.3792
2.44951e-008,0.3624
2.45337e-008,0.3558
2.45723e-008,0.3501
2.46109e-008,0.3437
2.46494e-008,0.3377
2.46880e-008,0.3299
2.47266e-008,0.3227
2.47651e-008,0.3184
2.48037e-008,0.3166
2.48423e-008,0.3167
2.48809e-008,0.3175
2.49194e-008,0.3199
2.49580e-008,0.3232
