.HEADER
..NAMES
Time,V U3.C8
.DATA
1.46585e-008,0.4544
1.46971e-008,0.5662
1.47357e-008,0.6931
1.47742e-008,0.7994
1.48128e-008,0.8757
1.48514e-008,0.9414
1.48899e-008,0.9980
1.49285e-008,1.0435
1.49671e-008,1.0784
1.50057e-008,1.1273
1.50443e-008,1.1586
1.50828e-008,1.1539
1.51214e-008,1.1337
1.51600e-008,1.0707
1.51985e-008,0.9618
1.52371e-008,0.8393
1.52757e-008,0.7197
1.53143e-008,0.6129
1.53528e-008,0.5288
1.53914e-008,0.4685
1.54300e-008,0.4252
1.54686e-008,0.3974
1.55071e-008,0.3786
1.55457e-008,0.3596
1.55843e-008,0.3477
1.56229e-008,0.3402
1.56615e-008,0.3297
1.57000e-008,0.3206
1.57386e-008,0.3173
1.57772e-008,0.3169
1.58158e-008,0.3181
1.58543e-008,0.3208
1.58929e-008,0.3232
1.59315e-008,0.3243
1.59701e-008,0.3249
1.60086e-008,0.3237
1.60472e-008,0.3225
1.60858e-008,0.3228
1.61243e-008,0.3224
1.61629e-008,0.3211
1.62015e-008,0.3210
1.62401e-008,0.3213
1.62786e-008,0.3213
1.63172e-008,0.3214
1.63558e-008,0.3215
1.63944e-008,0.3213
1.64329e-008,0.3210
1.64715e-008,0.3207
1.65101e-008,0.3203
1.65487e-008,0.3205
1.65873e-008,0.3208
1.66258e-008,0.3206
1.66644e-008,0.3205
1.67030e-008,0.3207
1.67416e-008,0.3207
1.67801e-008,0.3207
1.68187e-008,0.3207
1.68573e-008,0.3207
1.68959e-008,0.3206
1.69344e-008,0.3206
1.69730e-008,0.3205
1.70116e-008,0.3206
1.70501e-008,0.3207
1.70887e-008,0.3206
1.71273e-008,0.3206
1.71659e-008,0.3206
1.72044e-008,0.3206
1.72430e-008,0.3206
1.72816e-008,0.3206
1.73202e-008,0.3206
1.73588e-008,0.3205
1.73973e-008,0.3205
1.74359e-008,0.3205
1.74745e-008,0.3205
1.75131e-008,0.3205
1.75516e-008,0.3205
1.75902e-008,0.3205
1.76288e-008,0.3205
1.76674e-008,0.3205
1.77059e-008,0.3205
1.77445e-008,0.3205
1.77831e-008,0.3205
1.78216e-008,0.3205
1.78602e-008,0.3205
1.78988e-008,0.3205
1.79374e-008,0.3205
1.79759e-008,0.3205
1.80145e-008,0.3205
1.80531e-008,0.3205
1.80917e-008,0.3204
1.81302e-008,0.3204
1.81688e-008,0.3204
1.82074e-008,0.3204
1.82460e-008,0.3205
1.82846e-008,0.3227
1.83231e-008,0.3330
1.83617e-008,0.3628
1.84003e-008,0.4283
1.84389e-008,0.5319
1.84774e-008,0.6583
1.85160e-008,0.7741
1.85546e-008,0.8556
1.85932e-008,0.9230
1.86317e-008,0.9823
1.86703e-008,1.0314
1.87089e-008,1.0677
1.87474e-008,1.0941
1.87860e-008,1.1127
1.88246e-008,1.1250
1.88632e-008,1.1361
1.89017e-008,1.1489
1.89403e-008,1.1621
1.89789e-008,1.1709
1.90175e-008,1.1708
1.90560e-008,1.1680
1.90946e-008,1.1685
1.91332e-008,1.1707
1.91718e-008,1.1723
1.92104e-008,1.1753
1.92489e-008,1.1827
1.92875e-008,1.1822
1.93261e-008,1.1618
1.93647e-008,1.1015
1.94032e-008,0.9941
1.94418e-008,0.8726
1.94804e-008,0.7601
1.95190e-008,0.6532
1.95575e-008,0.5618
1.95961e-008,0.4921
1.96347e-008,0.4432
1.96732e-008,0.4082
1.97118e-008,0.3833
1.97504e-008,0.3664
1.97890e-008,0.3550
1.98275e-008,0.3453
1.98661e-008,0.3327
1.99047e-008,0.3221
1.99433e-008,0.3190
1.99819e-008,0.3189
2.00204e-008,0.3189
2.00590e-008,0.3202
2.00976e-008,0.3225
2.01362e-008,0.3241
2.01747e-008,0.3277
2.02133e-008,0.3435
2.02519e-008,0.3854
