.HEADER
..NAMES
Time,V U4.F3&G3
.DATA
1.35398e-008,0.5672
1.35784e-008,0.6863
1.36170e-008,0.8014
1.36555e-008,0.9021
1.36941e-008,0.9858
1.37327e-008,1.0470
1.37713e-008,1.0846
1.38099e-008,1.1136
1.38484e-008,1.1426
1.38870e-008,1.1617
1.39256e-008,1.1612
1.39641e-008,1.1292
1.40027e-008,1.0549
1.40413e-008,0.9435
1.40799e-008,0.8167
1.41185e-008,0.6915
1.41570e-008,0.5771
1.41956e-008,0.4859
1.42342e-008,0.4259
1.42728e-008,0.3889
1.43113e-008,0.3663
1.43499e-008,0.3623
1.43885e-008,0.3851
1.44270e-008,0.4411
1.44656e-008,0.5322
1.45042e-008,0.6482
1.45428e-008,0.7664
1.45814e-008,0.8720
1.46199e-008,0.9615
1.46585e-008,1.0304
1.46971e-008,1.0746
1.47357e-008,1.1035
1.47742e-008,1.1325
1.48128e-008,1.1566
1.48514e-008,1.1638
1.48899e-008,1.1431
1.49285e-008,1.0826
1.49671e-008,0.9816
1.50057e-008,0.8575
1.50443e-008,0.7305
1.50828e-008,0.6113
1.51214e-008,0.5115
1.51600e-008,0.4417
1.51985e-008,0.3987
1.52371e-008,0.3717
1.52757e-008,0.3609
1.53143e-008,0.3746
1.53528e-008,0.4195
1.53914e-008,0.4997
1.54300e-008,0.6101
1.54686e-008,0.7300
1.55071e-008,0.8402
1.55457e-008,0.9350
1.55843e-008,1.0111
1.56229e-008,1.0632
1.56615e-008,1.0948
1.57000e-008,1.1234
1.57386e-008,1.1506
1.57772e-008,1.1640
1.58158e-008,1.1536
1.58543e-008,1.1066
1.58929e-008,1.0171
1.59315e-008,0.8978
1.59701e-008,0.7702
1.60086e-008,0.6476
1.60472e-008,0.5401
1.60858e-008,0.4603
1.61243e-008,0.4103
1.61629e-008,0.3787
1.62015e-008,0.3619
1.62401e-008,0.3671
1.62786e-008,0.4015
1.63172e-008,0.4704
1.63558e-008,0.5729
1.63944e-008,0.6925
1.64329e-008,0.8070
1.64715e-008,0.9068
1.65101e-008,0.9894
1.65487e-008,1.0495
1.65873e-008,1.0859
1.66258e-008,1.1144
1.66644e-008,1.1432
1.67030e-008,1.1619
1.67416e-008,1.1603
1.67801e-008,1.1262
1.68187e-008,1.0497
1.68573e-008,0.9373
1.68959e-008,0.8103
1.69344e-008,0.6853
1.69730e-008,0.5716
1.70116e-008,0.4820
1.70501e-008,0.4235
1.70887e-008,0.3871
1.71273e-008,0.3651
1.71659e-008,0.3625
1.72044e-008,0.3870
1.72430e-008,0.4447
1.72816e-008,0.5375
1.73202e-008,0.6544
1.73588e-008,0.7723
1.73973e-008,0.8770
1.74359e-008,0.9655
1.74745e-008,1.0333
1.75131e-008,1.0763
1.75516e-008,1.1055
1.75902e-008,1.1347
1.76288e-008,1.1579
1.76674e-008,1.1637
1.77059e-008,1.1414
1.77445e-008,1.0786
1.77831e-008,0.9756
1.78216e-008,0.8507
1.78602e-008,0.7241
1.78988e-008,0.6057
1.79374e-008,0.5071
1.79759e-008,0.4389
1.80145e-008,0.3973
1.80531e-008,0.3712
1.80917e-008,0.3613
1.81302e-008,0.3762
1.81688e-008,0.4229
1.82074e-008,0.5049
1.82460e-008,0.6162
1.82846e-008,0.7359
1.83231e-008,0.8455
1.83617e-008,0.9395
1.84003e-008,1.0145
1.84389e-008,1.0652
1.84774e-008,1.0966
1.85160e-008,1.1257
1.85546e-008,1.1523
1.85932e-008,1.1644
1.86317e-008,1.1524
1.86703e-008,1.1034
1.87089e-008,1.0117
1.87474e-008,0.8911
1.87860e-008,0.7637
1.88246e-008,0.6417
1.88632e-008,0.5354
1.89017e-008,0.4570
1.89403e-008,0.4084
1.89789e-008,0.3779
1.90175e-008,0.3620
1.90560e-008,0.3682
1.90946e-008,0.4043
1.91332e-008,0.4752
1.91718e-008,0.5789
1.92104e-008,0.6986
1.92489e-008,0.8124
1.92875e-008,0.9116
1.93261e-008,0.9932
1.93647e-008,1.0519
1.94032e-008,1.0876
1.94418e-008,1.1166
1.94804e-008,1.1452
1.95190e-008,1.1627
1.95575e-008,1.1596
1.95961e-008,1.1236
1.96347e-008,1.0449
1.96732e-008,0.9309
1.97118e-008,0.8037
1.97504e-008,0.6792
1.97890e-008,0.5665
1.98275e-008,0.4783
1.98661e-008,0.4213
1.99047e-008,0.3860
1.99433e-008,0.3649
1.99819e-008,0.3633
2.00204e-008,0.3893
2.00590e-008,0.4489
2.00976e-008,0.5433
2.01362e-008,0.6606
2.01747e-008,0.7779
2.02133e-008,0.8820
2.02519e-008,0.9696
2.02905e-008,1.0361
2.03290e-008,1.0780
2.03676e-008,1.1075
2.04062e-008,1.1369
2.04447e-008,1.1590
2.04833e-008,1.1635
2.05219e-008,1.1395
2.05605e-008,1.0745
2.05990e-008,0.9694
2.06376e-008,0.8440
2.06762e-008,0.7177
2.07148e-008,0.6001
2.07533e-008,0.5029
2.07919e-008,0.4362
2.08305e-008,0.3954
2.08691e-008,0.3698
2.09077e-008,0.3611
2.09462e-008,0.3776
2.09848e-008,0.4261
2.10234e-008,0.5099
2.10620e-008,0.6225
2.11005e-008,0.7420
2.11391e-008,0.8507
2.11777e-008,0.9439
2.12163e-008,1.0177
2.12548e-008,1.0671
2.12934e-008,1.0976
2.13320e-008,1.1264
2.13705e-008,1.1527
2.14091e-008,1.1642
2.14477e-008,1.1506
2.14863e-008,1.0993
2.15248e-008,1.0059
2.15634e-008,0.8848
2.16020e-008,0.7573
2.16406e-008,0.6357
2.16791e-008,0.5305
2.17177e-008,0.4539
2.17563e-008,0.4063
2.17949e-008,0.3763
2.18335e-008,0.3614
2.18720e-008,0.3692
2.19106e-008,0.4070
2.19492e-008,0.4795
2.19878e-008,0.5848
2.20263e-008,0.7048
2.20649e-008,0.8179
2.21035e-008,0.9161
2.21420e-008,0.9967
2.21806e-008,1.0542
2.22192e-008,1.0888
2.22578e-008,1.1173
2.22963e-008,1.1457
2.23349e-008,1.1628
2.23735e-008,1.1585
2.24121e-008,1.1203
2.24506e-008,1.0395
2.24892e-008,0.9246
2.25278e-008,0.7973
2.25664e-008,0.6730
2.26050e-008,0.5612
2.26435e-008,0.4746
2.26821e-008,0.4190
2.27207e-008,0.3842
2.27593e-008,0.3638
2.27978e-008,0.3637
2.28364e-008,0.3913
2.28750e-008,0.4526
2.29136e-008,0.5487
2.29521e-008,0.6668
2.29907e-008,0.7837
2.30293e-008,0.8868
2.30678e-008,0.9735
2.31064e-008,1.0388
2.31450e-008,1.0796
2.31836e-008,1.1084
2.32221e-008,1.1376
2.32607e-008,1.1594
2.32993e-008,1.1630
2.33379e-008,1.1369
2.33764e-008,1.0697
2.34150e-008,0.9634
2.34536e-008,0.8376
2.34922e-008,0.7114
2.35308e-008,0.5944
2.35693e-008,0.4986
2.36079e-008,0.4337
2.36465e-008,0.3940
2.36851e-008,0.3693
2.37236e-008,0.3615
2.37622e-008,0.3795
2.38008e-008,0.4297
2.38394e-008,0.5152
2.38779e-008,0.6285
2.39165e-008,0.7477
2.39551e-008,0.8558
2.39936e-008,0.9482
2.40322e-008,1.0208
2.40708e-008,1.0690
2.41094e-008,1.0995
2.41479e-008,1.1287
2.41865e-008,1.1543
2.42251e-008,1.1644
2.42637e-008,1.1492
2.43023e-008,1.0959
2.43408e-008,1.0003
2.43794e-008,0.8780
2.44180e-008,0.7508
2.44566e-008,0.6299
2.44951e-008,0.5259
2.45337e-008,0.4508
2.45723e-008,0.4046
2.46109e-008,0.3756
2.46494e-008,0.3615
2.46880e-008,0.3705
2.47266e-008,0.4100
2.47651e-008,0.4845
2.48037e-008,0.5909
2.48423e-008,0.7107
2.48809e-008,0.8233
2.49194e-008,0.9208
2.49580e-008,1.0003
2.49966e-008,1.0564
2.50352e-008,1.0905
2.50737e-008,1.1196
2.51123e-008,1.1477
2.51509e-008,1.1635
2.51895e-008,1.1577
2.52281e-008,1.1176
2.52666e-008,1.0345
2.53052e-008,0.9181
2.53438e-008,0.7907
2.53824e-008,0.6669
2.54209e-008,0.5561
2.54595e-008,0.4711
2.54981e-008,0.4169
2.55367e-008,0.3832
2.55752e-008,0.3637
2.56138e-008,0.3646
2.56524e-008,0.3938
2.56909e-008,0.4570
2.57295e-008,0.5546
2.57681e-008,0.6729
2.58067e-008,0.7893
2.58452e-008,0.8917
2.58838e-008,0.9775
2.59224e-008,1.0415
2.59610e-008,1.0812
2.59995e-008,1.1104
2.60381e-008,1.1397
2.60767e-008,1.1604
2.61153e-008,1.1626
2.61539e-008,1.1348
2.61924e-008,1.0654
2.62310e-008,0.9571
2.62696e-008,0.8309
2.63082e-008,0.7051
2.63467e-008,0.5890
2.63853e-008,0.4946
2.64239e-008,0.4311
2.64625e-008,0.3922
2.65010e-008,0.3680
2.65396e-008,0.3615
2.65782e-008,0.3810
2.66167e-008,0.4330
2.66553e-008,0.5204
2.66939e-008,0.6348
2.67325e-008,0.7538
2.67710e-008,0.8610
2.68096e-008,0.9524
2.68482e-008,1.0240
2.68868e-008,1.0708
2.69254e-008,1.1004
2.69639e-008,1.1294
2.70025e-008,1.1547
2.70411e-008,1.1642
2.70797e-008,1.1473
2.71182e-008,1.0916
2.71568e-008,0.9944
2.71954e-008,0.8717
2.72340e-008,0.7444
2.72725e-008,0.6239
2.73111e-008,0.5212
2.73497e-008,0.4479
2.73882e-008,0.4026
2.74268e-008,0.3740
2.74654e-008,0.3610
2.75040e-008,0.3716
2.75425e-008,0.4128
2.75811e-008,0.4890
2.76197e-008,0.5968
2.76583e-008,0.7169
2.76968e-008,0.8287
2.77354e-008,0.9253
2.77740e-008,1.0038
2.78126e-008,1.0586
2.78512e-008,1.0917
2.78897e-008,1.1203
2.79283e-008,1.1482
2.79669e-008,1.1635
2.80055e-008,1.1564
2.80440e-008,1.1140
2.80826e-008,1.0290
2.81212e-008,0.9118
2.81598e-008,0.7843
2.81983e-008,0.6607
2.82369e-008,0.5509
2.82755e-008,0.4676
2.83140e-008,0.4147
2.83526e-008,0.3815
2.83912e-008,0.3628
2.84298e-008,0.3651
2.84683e-008,0.3960
2.85069e-008,0.4609
2.85455e-008,0.5602
2.85841e-008,0.6792
2.86226e-008,0.7950
2.86612e-008,0.8965
2.86998e-008,0.9813
2.87384e-008,1.0441
2.87770e-008,1.0827
2.88155e-008,1.1113
2.88541e-008,1.1404
2.88927e-008,1.1607
2.89313e-008,1.1619
2.89698e-008,1.1320
2.90084e-008,1.0604
2.90470e-008,0.9510
2.90855e-008,0.8245
2.91241e-008,0.6989
2.91627e-008,0.5834
2.92013e-008,0.4905
2.92398e-008,0.4287
2.92784e-008,0.3909
2.93170e-008,0.3675
2.93556e-008,0.3621
2.93941e-008,0.3831
2.94327e-008,0.4369
2.94713e-008,0.5258
2.95099e-008,0.6408
2.95485e-008,0.7595
2.95870e-008,0.8660
2.96256e-008,0.9566
2.96642e-008,1.0270
2.97028e-008,1.0726
2.97413e-008,1.1024
2.97799e-008,1.1317
2.98185e-008,1.1561
2.98570e-008,1.1642
2.98956e-008,1.1457
2.99342e-008,1.0879
2.99728e-008,0.9886
3.00113e-008,0.8650
3.00499e-008,0.7380
3.00885e-008,0.6182
3.01271e-008,0.5168
3.01657e-008,0.4449
3.02042e-008,0.4010
3.02428e-008,0.3733
3.02814e-008,0.3612
3.03199e-008,0.3730
3.03585e-008,0.4160
3.03971e-008,0.4941
3.04357e-008,0.6029
3.04743e-008,0.7228
3.05128e-008,0.8340
3.05514e-008,0.9299
3.05900e-008,1.0073
3.06285e-008,1.0607
3.06671e-008,1.0935
3.07057e-008,1.1226
3.07443e-008,1.1500
3.07829e-008,1.1640
3.08214e-008,1.1553
3.08600e-008,1.1111
3.08986e-008,1.0238
3.09372e-008,0.9052
3.09757e-008,0.7777
3.10143e-008,0.6548
3.10529e-008,0.5460
3.10914e-008,0.4642
3.11300e-008,0.4127
3.11686e-008,0.3806
3.12072e-008,0.3627
3.12458e-008,0.3661
3.12843e-008,0.3986
3.13229e-008,0.4655
3.13615e-008,0.5661
3.14000e-008,0.6853
3.14386e-008,0.8005
3.14772e-008,0.9013
3.15158e-008,0.9851
3.15544e-008,1.0466
3.15929e-008,1.0843
3.16315e-008,1.1134
3.16701e-008,1.1425
3.17087e-008,1.1616
3.17472e-008,1.1614
3.17858e-008,1.1298
3.18244e-008,1.0558
3.18629e-008,0.9446
3.19015e-008,0.8179
3.19401e-008,0.6926
3.19787e-008,0.5781
3.20173e-008,0.4866
3.20558e-008,0.4263
3.20944e-008,0.3891
3.21330e-008,0.3664
3.21715e-008,0.3622
3.22101e-008,0.3848
3.22487e-008,0.4404
3.22873e-008,0.5312
3.23259e-008,0.6472
3.23644e-008,0.7654
3.24030e-008,0.8711
3.24416e-008,0.9608
3.24801e-008,1.0299
3.25187e-008,1.0743
3.25573e-008,1.1033
3.25959e-008,1.1323
3.26344e-008,1.1565
3.26730e-008,1.1638
3.27116e-008,1.1435
3.27502e-008,1.0834
3.27888e-008,0.9827
3.28273e-008,0.8586
3.28659e-008,0.7316
3.29045e-008,0.6123
3.29430e-008,0.5123
3.29816e-008,0.4422
3.30202e-008,0.3990
3.30588e-008,0.3718
3.30974e-008,0.3609
3.31359e-008,0.3743
3.31745e-008,0.4189
3.32131e-008,0.4988
3.32516e-008,0.6090
3.32902e-008,0.7290
3.33288e-008,0.8393
3.33674e-008,0.9342
3.34060e-008,1.0106
3.34445e-008,1.0628
3.34831e-008,1.0946
3.35217e-008,1.1233
3.35603e-008,1.1505
3.35988e-008,1.1640
3.36374e-008,1.1539
3.36760e-008,1.1073
3.37145e-008,1.0181
3.37531e-008,0.8989
3.37917e-008,0.7714
3.38303e-008,0.6487
3.38689e-008,0.5410
3.39074e-008,0.4608
3.39460e-008,0.4106
3.39846e-008,0.3789
3.40231e-008,0.3619
3.40617e-008,0.3669
3.41003e-008,0.4010
3.41389e-008,0.4696
3.41775e-008,0.5719
3.42160e-008,0.6915
3.42546e-008,0.8061
3.42932e-008,0.9060
3.43318e-008,0.9888
3.43703e-008,1.0491
3.44089e-008,1.0857
3.44475e-008,1.1142
3.44860e-008,1.1431
3.45246e-008,1.1619
3.45632e-008,1.1605
3.46018e-008,1.1267
3.46404e-008,1.0506
3.46789e-008,0.9385
3.47175e-008,0.8115
3.47561e-008,0.6864
3.47946e-008,0.5726
3.48332e-008,0.4827
3.48718e-008,0.4240
3.49104e-008,0.3879
3.49490e-008,0.3660
3.49875e-008,0.3629
3.50261e-008,0.3870
3.50647e-008,0.4444
3.51032e-008,0.5368
3.51418e-008,0.6532
3.51804e-008,0.7711
3.52190e-008,0.8761
3.52575e-008,0.9648
3.52961e-008,1.0328
3.53347e-008,1.0760
3.53733e-008,1.1053
3.54119e-008,1.1346
3.54504e-008,1.1578
3.54890e-008,1.1638
3.55276e-008,1.1418
3.55661e-008,1.0795
3.56047e-008,0.9767
3.56433e-008,0.8519
3.56819e-008,0.7253
3.57205e-008,0.6068
3.57590e-008,0.5079
3.57976e-008,0.4394
3.58362e-008,0.3976
3.58747e-008,0.3713
3.59133e-008,0.3612
3.59519e-008,0.3759
3.59905e-008,0.4223
3.60290e-008,0.5040
3.60676e-008,0.6151
3.61062e-008,0.7348
3.61448e-008,0.8445
3.61834e-008,0.9387
3.62219e-008,1.0139
3.62605e-008,1.0648
3.62991e-008,1.0964
3.63376e-008,1.1256
3.63762e-008,1.1522
3.64148e-008,1.1644
3.64534e-008,1.1527
3.64920e-008,1.1041
3.65305e-008,1.0127
3.65691e-008,0.8922
3.66077e-008,0.7648
3.66462e-008,0.6428
3.66848e-008,0.5362
3.67234e-008,0.4576
3.67620e-008,0.4087
3.68006e-008,0.3781
3.68391e-008,0.3620
3.68777e-008,0.3680
3.69163e-008,0.4038
3.69549e-008,0.4744
3.69934e-008,0.5779
3.70320e-008,0.6975
3.70706e-008,0.8115
3.71091e-008,0.9108
3.71477e-008,0.9926
3.71863e-008,1.0514
3.72249e-008,1.0873
3.72635e-008,1.1164
3.73020e-008,1.1451
3.73406e-008,1.1626
3.73792e-008,1.1598
3.74177e-008,1.1242
3.74563e-008,1.0458
3.74949e-008,0.9320
3.75335e-008,0.8048
3.75721e-008,0.6803
3.76106e-008,0.5674
3.76492e-008,0.4790
3.76878e-008,0.4217
3.77263e-008,0.3862
3.77649e-008,0.3649
3.78035e-008,0.3631
3.78421e-008,0.3889
3.78806e-008,0.4481
3.79192e-008,0.5423
3.79578e-008,0.6595
3.79964e-008,0.7770
3.80350e-008,0.8811
3.80735e-008,0.9689
3.81121e-008,1.0356
3.81507e-008,1.0776
3.81892e-008,1.1062
3.82278e-008,1.1352
3.82664e-008,1.1582
3.83050e-008,1.1633
3.83436e-008,1.1393
3.83821e-008,1.0748
3.84207e-008,0.9707
3.84593e-008,0.8455
3.84978e-008,0.7189
3.85364e-008,0.6010
3.85750e-008,0.5036
3.86136e-008,0.4368
3.86521e-008,0.3956
3.86907e-008,0.3698
3.87293e-008,0.3610
3.87679e-008,0.3774
3.88065e-008,0.4255
3.88450e-008,0.5089
3.88836e-008,0.6213
3.89222e-008,0.7409
3.89607e-008,0.8498
3.89993e-008,0.9430
3.90379e-008,1.0171
3.90765e-008,1.0668
3.91151e-008,1.0974
3.91536e-008,1.1263
3.91922e-008,1.1526
3.92308e-008,1.1643
3.92693e-008,1.1509
3.93079e-008,1.1000
3.93465e-008,1.0069
3.93851e-008,0.8859
3.94237e-008,0.7584
3.94622e-008,0.6367
3.95008e-008,0.5314
3.95394e-008,0.4545
3.95780e-008,0.4066
3.96165e-008,0.3764
3.96551e-008,0.3613
3.96937e-008,0.3689
3.97322e-008,0.4064
3.97708e-008,0.4787
3.98094e-008,0.5838
3.98480e-008,0.7037
3.98866e-008,0.8170
3.99251e-008,0.9154
3.99637e-008,0.9961
4.00023e-008,1.0538
4.00408e-008,1.0886
4.00794e-008,1.1172
4.01180e-008,1.1456
4.01566e-008,1.1628
4.01952e-008,1.1587
4.02337e-008,1.1209
4.02723e-008,1.0405
4.03109e-008,0.9258
4.03494e-008,0.7984
4.03880e-008,0.6741
4.04266e-008,0.5621
4.04652e-008,0.4753
4.05037e-008,0.4194
4.05423e-008,0.3844
4.05809e-008,0.3639
4.06195e-008,0.3635
4.06581e-008,0.3909
4.06966e-008,0.4519
4.07352e-008,0.5477
4.07738e-008,0.6658
4.08123e-008,0.7827
4.08509e-008,0.8860
4.08895e-008,0.9728
4.09281e-008,1.0383
4.09667e-008,1.0793
4.10052e-008,1.1082
4.10438e-008,1.1375
4.10824e-008,1.1593
4.11209e-008,1.1631
4.11595e-008,1.1374
4.11981e-008,1.0706
4.12367e-008,0.9645
4.12752e-008,0.8387
