.HEADER
..NAMES
Time,V U5.E7
.DATA
1.28069e-008,0.3224
1.28455e-008,0.3223
1.28841e-008,0.3222
1.29226e-008,0.3222
1.29612e-008,0.3221
1.29998e-008,0.3221
1.30383e-008,0.3220
1.30769e-008,0.3220
1.31155e-008,0.3221
1.31541e-008,0.3221
1.31926e-008,0.3220
1.32312e-008,0.3220
1.32698e-008,0.3220
1.33084e-008,0.3220
1.33470e-008,0.3220
1.33855e-008,0.3219
1.34241e-008,0.3219
1.34627e-008,0.3219
1.35012e-008,0.3219
1.35398e-008,0.3219
1.35784e-008,0.3218
1.36170e-008,0.3219
1.36555e-008,0.3246
1.36941e-008,0.3350
1.37327e-008,0.3641
1.37713e-008,0.4252
1.38099e-008,0.5192
1.38484e-008,0.6359
1.38870e-008,0.7454
1.39256e-008,0.8370
1.39641e-008,0.9175
1.40027e-008,0.9834
1.40413e-008,1.0324
1.40799e-008,1.0658
1.41185e-008,1.0900
1.41570e-008,1.1077
1.41956e-008,1.1205
1.42342e-008,1.1296
1.42728e-008,1.1376
1.43113e-008,1.1470
1.43499e-008,1.1571
1.43885e-008,1.1659
1.44270e-008,1.1722
1.44656e-008,1.1730
1.45042e-008,1.1716
1.45428e-008,1.1715
1.45814e-008,1.1717
1.46199e-008,1.1713
1.46585e-008,1.1705
1.46971e-008,1.1708
1.47357e-008,1.1716
1.47742e-008,1.1722
1.48128e-008,1.1725
1.48514e-008,1.1732
1.48899e-008,1.1745
1.49285e-008,1.1751
1.49671e-008,1.1751
1.50057e-008,1.1749
1.50443e-008,1.1753
1.50828e-008,1.1789
1.51214e-008,1.1790
1.51600e-008,1.1635
1.51985e-008,1.1133
1.52371e-008,1.0225
1.52757e-008,0.9155
1.53143e-008,0.8045
1.53528e-008,0.6913
1.53914e-008,0.5892
1.54300e-008,0.5078
1.54686e-008,0.4506
1.55071e-008,0.4085
1.55457e-008,0.3742
1.55843e-008,0.3719
1.56229e-008,0.3959
1.56615e-008,0.4539
1.57000e-008,0.5434
1.57386e-008,0.6532
1.57772e-008,0.7513
1.58158e-008,0.8384
1.58543e-008,0.9192
1.58929e-008,0.9862
1.59315e-008,1.0352
1.59701e-008,1.0692
1.60086e-008,1.0952
1.60472e-008,1.1152
1.60858e-008,1.1272
1.61243e-008,1.1344
1.61629e-008,1.1436
1.62015e-008,1.1532
1.62401e-008,1.1615
1.62786e-008,1.1687
1.63172e-008,1.1737
1.63558e-008,1.1738
1.63944e-008,1.1730
1.64329e-008,1.1736
1.64715e-008,1.1738
1.65101e-008,1.1729
1.65487e-008,1.1719
1.65873e-008,1.1723
1.66258e-008,1.1731
1.66644e-008,1.1730
1.67030e-008,1.1730
1.67416e-008,1.1744
1.67801e-008,1.1755
1.68187e-008,1.1756
1.68573e-008,1.1755
1.68959e-008,1.1754
1.69344e-008,1.1748
1.69730e-008,1.1747
1.70116e-008,1.1750
1.70501e-008,1.1752
1.70887e-008,1.1752
1.71273e-008,1.1751
1.71659e-008,1.1754
1.72044e-008,1.1756
1.72430e-008,1.1754
1.72816e-008,1.1754
1.73202e-008,1.1756
1.73588e-008,1.1757
1.73973e-008,1.1755
1.74359e-008,1.1754
1.74745e-008,1.1754
1.75131e-008,1.1754
1.75516e-008,1.1755
1.75902e-008,1.1756
1.76288e-008,1.1756
1.76674e-008,1.1756
1.77059e-008,1.1756
1.77445e-008,1.1756
1.77831e-008,1.1756
1.78216e-008,1.1756
1.78602e-008,1.1756
1.78988e-008,1.1757
1.79374e-008,1.1757
1.79759e-008,1.1756
1.80145e-008,1.1757
1.80531e-008,1.1757
1.80917e-008,1.1757
1.81302e-008,1.1757
1.81688e-008,1.1757
1.82074e-008,1.1758
1.82460e-008,1.1758
1.82846e-008,1.1758
1.83231e-008,1.1766
1.83617e-008,1.1804
1.84003e-008,1.1811
1.84389e-008,1.1676
1.84774e-008,1.1217
1.85160e-008,1.0342
1.85546e-008,0.9275
1.85932e-008,0.8171
1.86317e-008,0.7035
1.86703e-008,0.5999
1.87089e-008,0.5160
1.87474e-008,0.4563
1.87860e-008,0.4156
1.88246e-008,0.3874
1.88632e-008,0.3689
1.89017e-008,0.3587
1.89403e-008,0.3531
1.89789e-008,0.3478
1.90175e-008,0.3419
1.90560e-008,0.3337
1.90946e-008,0.3246
1.91332e-008,0.3197
1.91718e-008,0.3184
1.92104e-008,0.3178
1.92489e-008,0.3187
1.92875e-008,0.3240
1.93261e-008,0.3400
1.93647e-008,0.3757
1.94032e-008,0.4422
1.94418e-008,0.5389
1.94804e-008,0.6560
1.95190e-008,0.7619
1.95575e-008,0.8504
1.95961e-008,0.9279
1.96347e-008,0.9909
1.96732e-008,1.0377
1.97118e-008,1.0716
1.97504e-008,1.1172
1.97890e-008,1.1424
1.98275e-008,1.1483
1.98661e-008,1.1347
1.99047e-008,1.0824
1.99433e-008,0.9939
1.99819e-008,0.8892
2.00204e-008,0.7763
2.00590e-008,0.6644
2.00976e-008,0.5643
2.01362e-008,0.4866
2.01747e-008,0.4343
2.02133e-008,0.3996
2.02519e-008,0.3752
2.02905e-008,0.3604
2.03290e-008,0.3561
2.03676e-008,0.3498
2.04062e-008,0.3428
2.04447e-008,0.3369
2.04833e-008,0.3292
2.05219e-008,0.3220
2.05605e-008,0.3179
2.05990e-008,0.3164
2.06376e-008,0.3165
2.06762e-008,0.3188
2.07148e-008,0.3287
2.07533e-008,0.3546
2.07919e-008,0.4068
2.08305e-008,0.4900
2.08691e-008,0.5996
2.09077e-008,0.7152
2.09462e-008,0.8094
2.09848e-008,0.8923
2.10234e-008,0.9628
2.10620e-008,1.0175
2.11005e-008,1.0559
2.11391e-008,1.0918
2.11777e-008,1.1349
2.12163e-008,1.1460
2.12548e-008,1.1446
2.12934e-008,1.1121
2.13320e-008,1.0389
2.13705e-008,0.9400
2.14091e-008,0.8301
2.14477e-008,0.7162
2.14863e-008,0.6093
2.15248e-008,0.5198
2.15634e-008,0.4560
2.16020e-008,0.4113
2.16406e-008,0.3753
2.16791e-008,0.3690
2.17177e-008,0.3916
2.17563e-008,0.4474
2.17949e-008,0.5309
2.18335e-008,0.6400
2.18720e-008,0.7416
2.19106e-008,0.8309
2.19492e-008,0.9115
2.19878e-008,0.9791
2.20263e-008,1.0302
2.20649e-008,1.0656
2.21035e-008,1.0921
2.21420e-008,1.1128
2.21806e-008,1.1264
2.22192e-008,1.1343
2.22578e-008,1.1428
2.22963e-008,1.1525
2.23349e-008,1.1609
2.23735e-008,1.1676
2.24121e-008,1.1733
2.24506e-008,1.1741
2.24892e-008,1.1733
2.25278e-008,1.1736
2.25664e-008,1.1780
2.26050e-008,1.1807
2.26435e-008,1.1734
2.26821e-008,1.1431
2.27207e-008,1.0722
2.27593e-008,0.9698
2.27978e-008,0.8610
2.28364e-008,0.7486
2.28750e-008,0.6406
2.29136e-008,0.5475
2.29521e-008,0.4777
2.29907e-008,0.4298
2.30293e-008,0.3885
2.30678e-008,0.3691
2.31064e-008,0.3790
2.31450e-008,0.4193
2.31836e-008,0.4922
2.32221e-008,0.5938
2.32607e-008,0.7016
2.32993e-008,0.7931
2.33379e-008,0.8778
2.33764e-008,0.9529
2.34150e-008,1.0118
2.34536e-008,1.0530
2.34922e-008,1.0824
2.35308e-008,1.1054
2.35693e-008,1.1219
2.36079e-008,1.1306
2.36465e-008,1.1387
2.36851e-008,1.1483
2.37236e-008,1.1575
2.37622e-008,1.1650
2.38008e-008,1.1716
2.38394e-008,1.1744
2.38779e-008,1.1734
2.39165e-008,1.1733
2.39551e-008,1.1738
2.39936e-008,1.1736
2.40322e-008,1.1724
2.40708e-008,1.1720
2.41094e-008,1.1727
2.41479e-008,1.1732
2.41865e-008,1.1730
2.42251e-008,1.1736
2.42637e-008,1.1751
2.43023e-008,1.1757
2.43408e-008,1.1756
2.43794e-008,1.1756
2.44180e-008,1.1752
2.44566e-008,1.1748
2.44951e-008,1.1749
2.45337e-008,1.1752
2.45723e-008,1.1753
2.46109e-008,1.1752
2.46494e-008,1.1753
2.46880e-008,1.1756
2.47266e-008,1.1756
2.47651e-008,1.1754
2.48037e-008,1.1756
2.48423e-008,1.1758
2.48809e-008,1.1761
2.49194e-008,1.1792
2.49580e-008,1.1814
2.49966e-008,1.1721
2.50352e-008,1.1350
2.50737e-008,1.0555
2.51123e-008,0.9506
2.51509e-008,0.8412
2.51895e-008,0.7272
2.52281e-008,0.6206
2.52666e-008,0.5318
2.53052e-008,0.4670
2.53438e-008,0.4230
2.53824e-008,0.3923
2.54209e-008,0.3720
2.54595e-008,0.3601
2.54981e-008,0.3539
2.55367e-008,0.3488
2.55752e-008,0.3431
2.56138e-008,0.3355
2.56524e-008,0.3261
2.56909e-008,0.3202
2.57295e-008,0.3184
2.57681e-008,0.3177
2.58067e-008,0.3181
2.58452e-008,0.3202
2.58838e-008,0.3234
2.59224e-008,0.3258
2.59610e-008,0.3263
2.59995e-008,0.3260
2.60381e-008,0.3260
2.60767e-008,0.3258
2.61153e-008,0.3248
2.61539e-008,0.3236
2.61924e-008,0.3228
2.62310e-008,0.3223
2.62696e-008,0.3227
2.63082e-008,0.3248
2.63467e-008,0.3325
2.63853e-008,0.3551
2.64239e-008,0.4066
2.64625e-008,0.4921
2.65010e-008,0.6038
2.65396e-008,0.7181
2.65782e-008,0.8131
2.66167e-008,0.8973
2.66553e-008,0.9675
2.66939e-008,1.0212
2.67325e-008,1.0586
2.67710e-008,1.0964
2.68096e-008,1.1366
2.68482e-008,1.1460
2.68868e-008,1.1425
2.69254e-008,1.1058
2.69639e-008,1.0291
2.70025e-008,0.9294
2.70411e-008,0.8195
2.70797e-008,0.7057
2.71182e-008,0.5997
2.71568e-008,0.5127
2.71954e-008,0.4514
2.72340e-008,0.4071
2.72725e-008,0.3732
2.73111e-008,0.3696
2.73497e-008,0.3958
2.73882e-008,0.4544
2.74268e-008,0.5411
2.74654e-008,0.6513
2.75040e-008,0.7510
2.75425e-008,0.8395
2.75811e-008,0.9191
2.76197e-008,0.9852
2.76583e-008,1.0343
2.76968e-008,1.0726
2.77354e-008,1.1208
2.77740e-008,1.1416
2.78126e-008,1.1473
2.78512e-008,1.1245
2.78897e-008,1.0618
2.79283e-008,0.9679
2.79669e-008,0.8595
2.80055e-008,0.7440
2.80440e-008,0.6352
2.80826e-008,0.5411
2.81212e-008,0.4707
2.81598e-008,0.4232
2.81983e-008,0.3836
2.82369e-008,0.3696
2.82755e-008,0.3842
2.83140e-008,0.4327
2.83526e-008,0.5101
2.83912e-008,0.6156
2.84298e-008,0.7206
2.84683e-008,0.8117
2.85069e-008,0.8947
2.85455e-008,0.9654
2.85841e-008,1.0201
2.86226e-008,1.0588
2.86612e-008,1.0870
2.86998e-008,1.1087
2.87384e-008,1.1241
2.87770e-008,1.1326
2.88155e-008,1.1407
2.88541e-008,1.1503
2.88927e-008,1.1593
