.HEADER
..NAMES
Time,V U2.N3
.DATA
2.41688e-008,0.3924
2.42055e-008,0.3710
2.42422e-008,0.3494
2.42788e-008,0.3320
2.43155e-008,0.3217
2.43522e-008,0.3193
2.43889e-008,0.3236
2.44255e-008,0.3318
2.44622e-008,0.3398
2.44989e-008,0.3440
2.45356e-008,0.3428
2.45723e-008,0.3372
2.46089e-008,0.3301
2.46456e-008,0.3243
2.46823e-008,0.3216
2.47190e-008,0.3221
2.47556e-008,0.3249
2.47923e-008,0.3287
2.48290e-008,0.3320
2.48657e-008,0.3332
2.49023e-008,0.3313
2.49390e-008,0.3264
2.49757e-008,0.3197
2.50123e-008,0.3134
2.50490e-008,0.3094
2.50857e-008,0.3090
2.51224e-008,0.3120
2.51590e-008,0.3174
2.51957e-008,0.3240
2.52324e-008,0.3311
2.52691e-008,0.3394
2.53058e-008,0.3515
2.53424e-008,0.3711
2.53791e-008,0.4018
2.54158e-008,0.4468
2.54525e-008,0.5080
2.54891e-008,0.5850
2.55258e-008,0.6745
2.55625e-008,0.7694
2.55991e-008,0.8608
2.56358e-008,0.9400
2.56725e-008,1.0008
2.57092e-008,1.0400
2.57458e-008,1.0584
2.57825e-008,1.0603
2.58192e-008,1.0514
2.58559e-008,1.0388
2.58926e-008,1.0291
2.59292e-008,1.0272
2.59659e-008,1.0347
2.60026e-008,1.0495
2.60393e-008,1.0672
2.60759e-008,1.0834
2.61126e-008,1.0950
2.61493e-008,1.1008
2.61859e-008,1.1011
2.62226e-008,1.0961
2.62593e-008,1.0858
2.62960e-008,1.0690
2.63326e-008,1.0443
2.63693e-008,1.0100
2.64060e-008,0.9628
2.64427e-008,0.8987
2.64794e-008,0.8166
2.65160e-008,0.7208
2.65527e-008,0.6190
2.65894e-008,0.5213
2.66261e-008,0.4382
2.66627e-008,0.3771
2.66994e-008,0.3413
2.67361e-008,0.3302
2.67727e-008,0.3397
2.68094e-008,0.3622
2.68461e-008,0.3878
2.68828e-008,0.4068
2.69194e-008,0.4127
2.69561e-008,0.4048
2.69928e-008,0.3867
2.70295e-008,0.3645
2.70662e-008,0.3437
2.71028e-008,0.3282
2.71395e-008,0.3202
2.71762e-008,0.3200
2.72129e-008,0.3259
2.72495e-008,0.3345
2.72862e-008,0.3417
2.73229e-008,0.3444
2.73595e-008,0.3416
2.73962e-008,0.3351
2.74329e-008,0.3280
2.74696e-008,0.3229
2.75062e-008,0.3212
2.75429e-008,0.3226
