.HEADER
..NAMES
Time,V U5.L7
.DATA
1.25429e-008,0.9637
1.25795e-008,0.9671
1.26162e-008,0.9756
1.26529e-008,0.9854
1.26895e-008,0.9930
1.27262e-008,0.9985
1.27629e-008,1.0049
1.27996e-008,1.0120
1.28363e-008,1.0132
1.28729e-008,0.9947
1.29096e-008,0.9439
1.29463e-008,0.8614
1.29829e-008,0.7602
1.30196e-008,0.6585
1.30563e-008,0.5744
1.30930e-008,0.5174
1.31297e-008,0.4850
1.31663e-008,0.4691
1.32030e-008,0.4617
1.32397e-008,0.4573
1.32763e-008,0.4530
1.33130e-008,0.4488
1.33497e-008,0.4461
1.33864e-008,0.4454
1.34231e-008,0.4457
1.34597e-008,0.4454
1.34964e-008,0.4432
1.35331e-008,0.4393
1.35697e-008,0.4350
1.36064e-008,0.4319
1.36431e-008,0.4301
1.36798e-008,0.4280
1.37165e-008,0.4230
1.37531e-008,0.4146
1.37898e-008,0.4047
1.38265e-008,0.3958
1.38631e-008,0.3889
1.38998e-008,0.3825
1.39365e-008,0.3741
1.39732e-008,0.3625
1.40099e-008,0.3488
1.40465e-008,0.3360
1.40832e-008,0.3272
1.41199e-008,0.3239
1.41565e-008,0.3250
1.41932e-008,0.3278
1.42299e-008,0.3300
1.42666e-008,0.3298
1.43033e-008,0.3271
1.43399e-008,0.3232
1.43766e-008,0.3200
1.44133e-008,0.3187
1.44499e-008,0.3194
1.44866e-008,0.3210
1.45233e-008,0.3221
1.45600e-008,0.3222
1.45967e-008,0.3227
1.46333e-008,0.3280
1.46700e-008,0.3456
1.47067e-008,0.3861
1.47433e-008,0.4561
1.47800e-008,0.5532
1.48167e-008,0.6637
1.48534e-008,0.7658
1.48901e-008,0.8429
1.49267e-008,0.8891
1.49634e-008,0.9093
1.50001e-008,0.9163
1.50368e-008,0.9222
1.50734e-008,0.9325
1.51101e-008,0.9470
1.51468e-008,0.9624
1.51834e-008,0.9750
1.52201e-008,0.9819
1.52568e-008,0.9832
1.52935e-008,0.9812
1.53301e-008,0.9789
1.53668e-008,0.9788
1.54035e-008,0.9818
1.54402e-008,0.9874
1.54769e-008,0.9942
1.55135e-008,1.0010
1.55502e-008,1.0083
1.55869e-008,1.0162
1.56236e-008,1.0207
1.56602e-008,1.0119
1.56969e-008,0.9757
1.57336e-008,0.9048
1.57703e-008,0.8072
1.58069e-008,0.7006
1.58436e-008,0.6049
1.58803e-008,0.5353
1.59169e-008,0.4954
1.59536e-008,0.4772
1.59903e-008,0.4701
1.60270e-008,0.4663
1.60636e-008,0.4612
1.61003e-008,0.4543
1.61370e-008,0.4476
1.61737e-008,0.4436
1.62104e-008,0.4431
1.62470e-008,0.4448
1.62837e-008,0.4463
1.63204e-008,0.4457
1.63571e-008,0.4426
1.63937e-008,0.4379
1.64304e-008,0.4332
1.64671e-008,0.4291
1.65037e-008,0.4260
1.65404e-008,0.4277
1.65771e-008,0.4447
1.66138e-008,0.4912
1.66504e-008,0.5732
1.66871e-008,0.6807
1.67238e-008,0.7881
1.67605e-008,0.8712
1.67972e-008,0.9177
1.68338e-008,0.9312
1.68705e-008,0.9277
1.69072e-008,0.9252
1.69439e-008,0.9322
1.69805e-008,0.9476
1.70172e-008,0.9656
1.70539e-008,0.9796
1.70905e-008,0.9852
1.71272e-008,0.9822
1.71639e-008,0.9748
1.72006e-008,0.9685
1.72372e-008,0.9674
1.72739e-008,0.9719
1.73106e-008,0.9796
1.73473e-008,0.9870
1.73840e-008,0.9920
1.74206e-008,0.9962
1.74573e-008,1.0030
1.74940e-008,1.0115
1.75307e-008,1.0128
1.75673e-008,0.9914
1.76040e-008,0.9352
1.76407e-008,0.8470
1.76773e-008,0.7420
1.77140e-008,0.6402
1.77507e-008,0.5596
1.77874e-008,0.5080
1.78240e-008,0.4808
1.78607e-008,0.4686
1.78974e-008,0.4631
1.79341e-008,0.4588
1.79708e-008,0.4534
1.80074e-008,0.4480
1.80441e-008,0.4444
1.80808e-008,0.4435
1.81175e-008,0.4442
1.81541e-008,0.4445
1.81908e-008,0.4430
1.82275e-008,0.4397
1.82641e-008,0.4358
1.83008e-008,0.4328
1.83375e-008,0.4306
1.83742e-008,0.4286
1.84108e-008,0.4289
1.84475e-008,0.4411
1.84842e-008,0.4801
1.85209e-008,0.5553
1.85576e-008,0.6607
1.85942e-008,0.7719
1.86309e-008,0.8627
1.86676e-008,0.9173
1.87043e-008,0.9356
1.87409e-008,0.9324
1.87776e-008,0.9268
1.88143e-008,0.9302
1.88509e-008,0.9434
1.88876e-008,0.9615
1.89243e-008,0.9773
1.89610e-008,0.9855
1.89976e-008,0.9845
1.90343e-008,0.9776
1.90710e-008,0.9706
1.91077e-008,0.9679
1.91444e-008,0.9711
1.91810e-008,0.9781
1.92177e-008,0.9855
1.92544e-008,0.9908
1.92911e-008,0.9950
1.93277e-008,1.0014
1.93644e-008,1.0101
1.94011e-008,1.0136
1.94377e-008,0.9969
1.94744e-008,0.9460
1.95111e-008,0.8618
1.95478e-008,0.7582
1.95844e-008,0.6549
1.96211e-008,0.5706
1.96578e-008,0.5152
1.96945e-008,0.4852
1.97312e-008,0.4711
1.97678e-008,0.4644
1.98045e-008,0.4595
1.98412e-008,0.4537
1.98779e-008,0.4480
1.99145e-008,0.4442
1.99512e-008,0.4434
1.99879e-008,0.4445
2.00245e-008,0.4452
2.00612e-008,0.4440
2.00979e-008,0.4406
2.01346e-008,0.4363
2.01712e-008,0.4329
2.02079e-008,0.4306
2.02446e-008,0.4287
2.02813e-008,0.4285
2.03179e-008,0.4380
2.03546e-008,0.4721
2.03913e-008,0.5416
2.04280e-008,0.6435
2.04647e-008,0.7554
2.05013e-008,0.8507
2.05380e-008,0.9112
2.05747e-008,0.9346
2.06114e-008,0.9335
2.06480e-008,0.9274
2.06847e-008,0.9293
2.07214e-008,0.9413
2.07580e-008,0.9589
2.07947e-008,0.9754
2.08314e-008,0.9847
2.08681e-008,0.9849
2.09047e-008,0.9786
2.09414e-008,0.9713
2.09781e-008,0.9679
2.10148e-008,0.9705
2.10515e-008,0.9772
2.10881e-008,0.9847
2.11248e-008,0.9899
2.11615e-008,0.9932
2.11982e-008,0.9970
2.12348e-008,1.0035
2.12715e-008,1.0123
2.13082e-008,1.0212
2.13448e-008,1.0295
2.13815e-008,1.0387
2.14182e-008,1.0511
2.14549e-008,1.0671
2.14915e-008,1.0835
2.15282e-008,1.0956
2.15649e-008,1.1000
2.16016e-008,1.0968
2.16383e-008,1.0896
2.16749e-008,1.0836
2.17116e-008,1.0823
2.17483e-008,1.0864
2.17850e-008,1.0938
2.18216e-008,1.1012
2.18583e-008,1.1054
2.18950e-008,1.1050
2.19316e-008,1.1008
2.19683e-008,1.0957
2.20050e-008,1.0926
2.20417e-008,1.0933
2.20783e-008,1.0971
2.21150e-008,1.1018
2.21517e-008,1.1047
2.21884e-008,1.1015
2.22251e-008,1.0850
2.22617e-008,1.0439
2.22984e-008,0.9703
2.23351e-008,0.8685
2.23718e-008,0.7531
2.24084e-008,0.6442
2.24451e-008,0.5603
2.24818e-008,0.5097
2.25184e-008,0.4870
2.25551e-008,0.4803
2.25918e-008,0.4778
2.26285e-008,0.4720
2.26651e-008,0.4609
2.27018e-008,0.4477
2.27385e-008,0.4372
2.27752e-008,0.4326
2.28119e-008,0.4338
2.28485e-008,0.4380
2.28852e-008,0.4413
2.29219e-008,0.4408
2.29586e-008,0.4360
2.29952e-008,0.4289
2.30319e-008,0.4224
2.30686e-008,0.4201
2.31052e-008,0.4269
2.31419e-008,0.4527
2.31786e-008,0.5088
2.32153e-008,0.5981
2.32519e-008,0.7084
2.32886e-008,0.8140
2.33253e-008,0.8916
2.33620e-008,0.9308
2.33987e-008,0.9371
2.34353e-008,0.9283
2.34720e-008,0.9230
2.35087e-008,0.9297
2.35454e-008,0.9465
2.35820e-008,0.9664
2.36187e-008,0.9816
2.36554e-008,0.9870
2.36920e-008,0.9828
2.37287e-008,0.9736
2.37654e-008,0.9656
2.38021e-008,0.9637
2.38387e-008,0.9687
2.38754e-008,0.9781
2.39121e-008,0.9875
2.39488e-008,0.9938
2.39855e-008,0.9974
2.40221e-008,1.0010
2.40588e-008,1.0067
2.40955e-008,1.0144
2.41322e-008,1.0231
2.41688e-008,1.0328
2.42055e-008,1.0449
2.42422e-008,1.0601
2.42788e-008,1.0770
2.43155e-008,1.0915
2.43522e-008,1.0994
2.43889e-008,1.0992
2.44255e-008,1.0930
2.44622e-008,1.0856
2.44989e-008,1.0817
2.45356e-008,1.0835
2.45723e-008,1.0900
2.46089e-008,1.0982
2.46456e-008,1.1045
2.46823e-008,1.1064
2.47190e-008,1.1037
2.47556e-008,1.0983
2.47923e-008,1.0934
2.48290e-008,1.0916
2.48657e-008,1.0937
2.49023e-008,1.0984
2.49390e-008,1.1031
2.49757e-008,1.1048
2.50123e-008,1.0987
2.50490e-008,1.0764
