.HEADER
..NAMES
Time,V U3.R3
.DATA
1.51468e-008,0.3298
1.51834e-008,0.3178
1.52201e-008,0.3122
1.52568e-008,0.3138
1.52935e-008,0.3211
1.53301e-008,0.3310
1.53668e-008,0.3396
1.54035e-008,0.3437
1.54402e-008,0.3418
1.54769e-008,0.3344
1.55135e-008,0.3240
1.55502e-008,0.3140
1.55869e-008,0.3075
1.56236e-008,0.3063
1.56602e-008,0.3104
1.56969e-008,0.3181
1.57336e-008,0.3271
1.57703e-008,0.3345
1.58069e-008,0.3385
1.58436e-008,0.3385
1.58803e-008,0.3349
1.59169e-008,0.3293
1.59536e-008,0.3239
1.59903e-008,0.3206
1.60270e-008,0.3209
1.60636e-008,0.3247
1.61003e-008,0.3311
1.61370e-008,0.3379
1.61737e-008,0.3429
1.62104e-008,0.3447
1.62470e-008,0.3428
1.62837e-008,0.3378
1.63204e-008,0.3313
1.63571e-008,0.3252
1.63937e-008,0.3210
1.64304e-008,0.3199
1.64671e-008,0.3218
1.65037e-008,0.3263
1.65404e-008,0.3319
1.65771e-008,0.3370
1.66138e-008,0.3404
1.66504e-008,0.3410
1.66871e-008,0.3388
1.67238e-008,0.3348
1.67605e-008,0.3300
1.67972e-008,0.3261
1.68338e-008,0.3238
1.68705e-008,0.3237
1.69072e-008,0.3255
1.69439e-008,0.3286
1.69805e-008,0.3321
1.70172e-008,0.3349
1.70539e-008,0.3365
1.70905e-008,0.3365
1.71272e-008,0.3351
1.71639e-008,0.3327
1.72006e-008,0.3302
1.72372e-008,0.3282
1.72739e-008,0.3272
1.73106e-008,0.3275
1.73473e-008,0.3288
1.73840e-008,0.3307
1.74206e-008,0.3324
1.74573e-008,0.3336
1.74940e-008,0.3340
1.75307e-008,0.3334
1.75673e-008,0.3323
1.76040e-008,0.3309
1.76407e-008,0.3306
1.76773e-008,0.3336
1.77140e-008,0.3437
1.77507e-008,0.3655
1.77874e-008,0.4021
1.78240e-008,0.4549
1.78607e-008,0.5223
1.78974e-008,0.6016
1.79341e-008,0.6883
1.79708e-008,0.7750
1.80074e-008,0.8528
1.80441e-008,0.9147
1.80808e-008,0.9572
1.81175e-008,0.9792
1.81541e-008,0.9836
1.81908e-008,0.9775
1.82275e-008,0.9694
1.82641e-008,0.9663
1.83008e-008,0.9727
1.83375e-008,0.9895
1.83742e-008,1.0144
1.84108e-008,1.0434
1.84475e-008,1.0714
1.84842e-008,1.0926
1.85209e-008,1.1033
1.85576e-008,1.1027
1.85942e-008,1.0933
1.86309e-008,1.0795
1.86676e-008,1.0666
1.87043e-008,1.0591
1.87409e-008,1.0592
1.87776e-008,1.0662
1.88143e-008,1.0773
1.88509e-008,1.0890
1.88876e-008,1.0982
1.89243e-008,1.1029
1.89610e-008,1.1025
1.89976e-008,1.0981
1.90343e-008,1.0918
1.90710e-008,1.0861
1.91077e-008,1.0836
1.91444e-008,1.0854
1.91810e-008,1.0912
1.92177e-008,1.0991
1.92544e-008,1.1067
1.92911e-008,1.1114
1.93277e-008,1.1119
1.93644e-008,1.1085
1.94011e-008,1.1025
1.94377e-008,1.0961
1.94744e-008,1.0913
1.95111e-008,1.0897
1.95478e-008,1.0912
1.95844e-008,1.0936
1.96211e-008,1.0917
1.96578e-008,1.0788
1.96945e-008,1.0492
1.97312e-008,1.0005
1.97678e-008,0.9320
1.98045e-008,0.8450
1.98412e-008,0.7463
1.98779e-008,0.6470
1.99145e-008,0.5574
1.99512e-008,0.4855
1.99879e-008,0.4381
2.00245e-008,0.4171
2.00612e-008,0.4181
2.00979e-008,0.4325
2.01346e-008,0.4503
2.01712e-008,0.4617
2.02079e-008,0.4604
2.02446e-008,0.4447
2.02813e-008,0.4165
2.03179e-008,0.3809
2.03546e-008,0.3458
2.03913e-008,0.3187
2.04280e-008,0.3050
2.04647e-008,0.3070
2.05013e-008,0.3252
2.05380e-008,0.3586
2.05747e-008,0.4053
2.06114e-008,0.4627
2.06480e-008,0.5276
2.06847e-008,0.5976
2.07214e-008,0.6723
2.07580e-008,0.7500
2.07947e-008,0.8258
2.08314e-008,0.8928
2.08681e-008,0.9461
2.09047e-008,0.9822
2.09414e-008,0.9988
2.09781e-008,0.9982
2.10148e-008,0.9869
2.10515e-008,0.9730
2.10881e-008,0.9639
2.11248e-008,0.9649
2.11615e-008,0.9781
2.11982e-008,1.0025
2.12348e-008,1.0343
2.12715e-008,1.0673
2.13082e-008,1.0937
2.13448e-008,1.1078
2.13815e-008,1.1081
2.14182e-008,1.0969
2.14549e-008,1.0788
2.14915e-008,1.0573
2.15282e-008,1.0330
2.15649e-008,1.0037
2.16016e-008,0.9669
2.16383e-008,0.9194
