.HEADER
..NAMES
Time,V U5.T3
.DATA
1.64304e-008,0.4354
1.64671e-008,0.4330
1.65037e-008,0.4292
1.65404e-008,0.4301
1.65771e-008,0.4474
1.66138e-008,0.4944
1.66504e-008,0.5753
1.66871e-008,0.6802
1.67238e-008,0.7869
1.67605e-008,0.8761
1.67972e-008,0.9355
1.68338e-008,0.9605
1.68705e-008,0.9556
1.69072e-008,0.9370
1.69439e-008,0.9223
1.69805e-008,0.9219
1.70172e-008,0.9361
1.70539e-008,0.9582
1.70905e-008,0.9789
1.71272e-008,0.9911
1.71639e-008,0.9927
1.72006e-008,0.9858
1.72372e-008,0.9754
1.72739e-008,0.9669
1.73106e-008,0.9637
1.73473e-008,0.9669
1.73840e-008,0.9757
1.74206e-008,0.9884
1.74573e-008,1.0024
1.74940e-008,1.0143
1.75307e-008,1.0217
1.75673e-008,1.0246
1.76040e-008,1.0261
1.76407e-008,1.0298
1.76773e-008,1.0388
1.77140e-008,1.0540
1.77507e-008,1.0733
1.77874e-008,1.0922
1.78240e-008,1.1055
1.78607e-008,1.1104
1.78974e-008,1.1062
1.79341e-008,1.0957
1.79708e-008,1.0841
1.80074e-008,1.0773
1.80441e-008,1.0782
1.80808e-008,1.0859
1.81175e-008,1.0965
1.81541e-008,1.1056
1.81908e-008,1.1104
1.82275e-008,1.1100
1.82641e-008,1.1053
1.83008e-008,1.0983
1.83375e-008,1.0918
1.83742e-008,1.0876
1.84108e-008,1.0866
1.84475e-008,1.0883
1.84842e-008,1.0912
1.85209e-008,1.0935
1.85576e-008,1.0943
1.85942e-008,1.0931
1.86309e-008,1.0903
1.86676e-008,1.0872
1.87043e-008,1.0850
1.87409e-008,1.0848
1.87776e-008,1.0872
1.88143e-008,1.0916
1.88509e-008,1.0963
1.88876e-008,1.0995
1.89243e-008,1.0999
1.89610e-008,1.0976
1.89976e-008,1.0936
1.90343e-008,1.0897
1.90710e-008,1.0873
1.91077e-008,1.0874
1.91444e-008,1.0897
1.91810e-008,1.0929
1.92177e-008,1.0957
1.92544e-008,1.0969
1.92911e-008,1.0962
1.93277e-008,1.0939
1.93644e-008,1.0910
1.94011e-008,1.0887
1.94377e-008,1.0877
1.94744e-008,1.0882
1.95111e-008,1.0896
1.95478e-008,1.0912
1.95844e-008,1.0925
1.96211e-008,1.0931
1.96578e-008,1.0927
1.96945e-008,1.0915
1.97312e-008,1.0900
1.97678e-008,1.0889
1.98045e-008,1.0887
1.98412e-008,1.0893
1.98779e-008,1.0906
1.99145e-008,1.0920
1.99512e-008,1.0928
1.99879e-008,1.0929
2.00245e-008,1.0921
2.00612e-008,1.0909
2.00979e-008,1.0897
2.01346e-008,1.0890
2.01712e-008,1.0894
2.02079e-008,1.0909
2.02446e-008,1.0937
2.02813e-008,1.0971
2.03179e-008,1.0972
2.03546e-008,1.0864
2.03913e-008,1.0529
2.04280e-008,0.9887
2.04647e-008,0.8980
2.05013e-008,0.7916
2.05380e-008,0.6828
2.05747e-008,0.5875
2.06114e-008,0.5195
2.06480e-008,0.4822
2.06847e-008,0.4689
2.07214e-008,0.4690
2.07580e-008,0.4716
2.07947e-008,0.4697
2.08314e-008,0.4616
2.08681e-008,0.4500
2.09047e-008,0.4388
2.09414e-008,0.4313
2.09781e-008,0.4290
2.10148e-008,0.4305
2.10515e-008,0.4333
2.10881e-008,0.4352
2.11248e-008,0.4349
2.11615e-008,0.4315
2.11982e-008,0.4251
2.12348e-008,0.4167
2.12715e-008,0.4082
2.13082e-008,0.4018
2.13448e-008,0.3979
2.13815e-008,0.3959
2.14182e-008,0.3935
2.14549e-008,0.3881
2.14915e-008,0.3775
2.15282e-008,0.3624
2.15649e-008,0.3451
2.16016e-008,0.3288
2.16383e-008,0.3174
2.16749e-008,0.3131
2.17116e-008,0.3159
2.17483e-008,0.3230
2.17850e-008,0.3301
2.18216e-008,0.3337
2.18583e-008,0.3324
2.18950e-008,0.3273
2.19316e-008,0.3204
2.19683e-008,0.3145
2.20050e-008,0.3114
2.20417e-008,0.3118
2.20783e-008,0.3152
2.21150e-008,0.3220
2.21517e-008,0.3344
2.21884e-008,0.3590
2.22251e-008,0.4057
2.22617e-008,0.4789
2.22984e-008,0.5735
2.23351e-008,0.6758
2.23718e-008,0.7697
2.24084e-008,0.8448
2.24451e-008,0.8952
2.24818e-008,0.9206
2.25184e-008,0.9283
2.25551e-008,0.9297
2.25918e-008,0.9335
2.26285e-008,0.9419
2.26651e-008,0.9537
2.27018e-008,0.9656
2.27385e-008,0.9751
2.27752e-008,0.9812
2.28119e-008,0.9839
2.28485e-008,0.9844
2.28852e-008,0.9840
2.29219e-008,0.9842
2.29586e-008,0.9855
2.29952e-008,0.9886
2.30319e-008,0.9939
2.30686e-008,1.0015
2.31052e-008,1.0099
2.31419e-008,1.0171
2.31786e-008,1.0222
2.32153e-008,1.0259
2.32519e-008,1.0305
2.32886e-008,1.0380
2.33253e-008,1.0494
2.33620e-008,1.0642
2.33987e-008,1.0795
2.34353e-008,1.0921
2.34720e-008,1.0996
2.35087e-008,1.1011
2.35454e-008,1.0976
2.35820e-008,1.0917
2.36187e-008,1.0872
2.36554e-008,1.0867
2.36920e-008,1.0902
2.37287e-008,1.0960
2.37654e-008,1.1015
2.38021e-008,1.1052
2.38387e-008,1.1063
2.38754e-008,1.1051
2.39121e-008,1.1020
2.39488e-008,1.0981
2.39855e-008,1.0945
2.40221e-008,1.0921
2.40588e-008,1.0909
2.40955e-008,1.0909
2.41322e-008,1.0913
2.41688e-008,1.0916
2.42055e-008,1.0912
2.42422e-008,1.0901
2.42788e-008,1.0886
2.43155e-008,1.0872
2.43522e-008,1.0869
2.43889e-008,1.0880
2.44255e-008,1.0905
2.44622e-008,1.0936
2.44989e-008,1.0961
2.45356e-008,1.0971
2.45723e-008,1.0964
2.46089e-008,1.0942
2.46456e-008,1.0917
2.46823e-008,1.0898
2.47190e-008,1.0893
2.47556e-008,1.0901
2.47923e-008,1.0918
2.48290e-008,1.0935
2.48657e-008,1.0946
2.49023e-008,1.0946
2.49390e-008,1.0937
2.49757e-008,1.0923
2.50123e-008,1.0908
2.50490e-008,1.0899
2.50857e-008,1.0896
2.51224e-008,1.0899
2.51590e-008,1.0905
2.51957e-008,1.0912
2.52324e-008,1.0917
2.52691e-008,1.0918
2.53058e-008,1.0914
2.53424e-008,1.0907
2.53791e-008,1.0900
2.54158e-008,1.0896
2.54525e-008,1.0898
2.54891e-008,1.0904
2.55258e-008,1.0911
2.55625e-008,1.0918
2.55991e-008,1.0920
2.56358e-008,1.0918
2.56725e-008,1.0912
2.57092e-008,1.0905
2.57458e-008,1.0900
2.57825e-008,1.0899
2.58192e-008,1.0908
2.58559e-008,1.0924
2.58926e-008,1.0952
2.59292e-008,1.0972
2.59659e-008,1.0927
2.60026e-008,1.0715
2.60393e-008,1.0221
2.60759e-008,0.9429
2.61126e-008,0.8423
2.61493e-008,0.7327
2.61859e-008,0.6288
2.62226e-008,0.5467
2.62593e-008,0.4954
2.62960e-008,0.4722
2.63326e-008,0.4677
2.63693e-008,0.4706
2.64060e-008,0.4716
2.64427e-008,0.4664
2.64794e-008,0.4560
2.65160e-008,0.4440
2.65527e-008,0.4343
2.65894e-008,0.4294
2.66261e-008,0.4292
2.66627e-008,0.4317
2.66994e-008,0.4343
2.67361e-008,0.4354
2.67727e-008,0.4337
2.68094e-008,0.4297
