.HEADER
..NAMES
Time,V U2.A2
.DATA
1.31541e-008,0.3202
1.31926e-008,0.3202
1.32312e-008,0.3201
1.32698e-008,0.3200
1.33084e-008,0.3201
1.33470e-008,0.3202
1.33855e-008,0.3202
1.34241e-008,0.3201
1.34627e-008,0.3201
1.35012e-008,0.3201
1.35398e-008,0.3202
1.35784e-008,0.3201
1.36170e-008,0.3201
1.36555e-008,0.3201
1.36941e-008,0.3201
1.37327e-008,0.3202
1.37713e-008,0.3201
1.38099e-008,0.3201
1.38484e-008,0.3201
1.38870e-008,0.3201
1.39256e-008,0.3201
1.39641e-008,0.3201
1.40027e-008,0.3201
1.40413e-008,0.3201
1.40799e-008,0.3201
1.41185e-008,0.3201
1.41570e-008,0.3201
1.41956e-008,0.3201
1.42342e-008,0.3201
1.42728e-008,0.3201
1.43113e-008,0.3201
1.43499e-008,0.3201
1.43885e-008,0.3201
1.44270e-008,0.3201
1.44656e-008,0.3201
1.45042e-008,0.3204
1.45428e-008,0.3233
1.45814e-008,0.3350
1.46199e-008,0.3671
1.46585e-008,0.4336
1.46971e-008,0.5382
1.47357e-008,0.6658
1.47742e-008,0.7841
1.48128e-008,0.8706
1.48514e-008,0.9302
1.48899e-008,0.9785
1.49285e-008,1.0233
1.49671e-008,1.0664
1.50057e-008,1.1145
1.50443e-008,1.1549
1.50828e-008,1.1702
1.51214e-008,1.1506
1.51600e-008,1.0838
1.51985e-008,0.9708
1.52371e-008,0.8444
1.52757e-008,0.7272
1.53143e-008,0.6239
1.53528e-008,0.5408
1.53914e-008,0.4790
1.54300e-008,0.4331
1.54686e-008,0.4024
1.55071e-008,0.3806
1.55457e-008,0.3600
1.55843e-008,0.3432
1.56229e-008,0.3336
1.56615e-008,0.3269
1.57000e-008,0.3210
1.57386e-008,0.3169
1.57772e-008,0.3155
1.58158e-008,0.3173
1.58543e-008,0.3209
1.58929e-008,0.3231
1.59315e-008,0.3233
1.59701e-008,0.3235
1.60086e-008,0.3238
1.60472e-008,0.3232
1.60858e-008,0.3219
1.61243e-008,0.3211
1.61629e-008,0.3213
1.62015e-008,0.3217
1.62401e-008,0.3216
1.62786e-008,0.3208
1.63172e-008,0.3203
1.63558e-008,0.3206
1.63944e-008,0.3208
1.64329e-008,0.3205
1.64715e-008,0.3200
1.65101e-008,0.3199
1.65487e-008,0.3200
1.65873e-008,0.3201
1.66258e-008,0.3200
1.66644e-008,0.3199
1.67030e-008,0.3201
1.67416e-008,0.3203
1.67801e-008,0.3202
1.68187e-008,0.3200
1.68573e-008,0.3205
1.68959e-008,0.3247
1.69344e-008,0.3396
1.69730e-008,0.3779
