.HEADER
..NAMES
Time,V U5.C7&B7
.DATA
1.24983e-008,0.3638
1.25369e-008,0.3914
1.25755e-008,0.4571
1.26140e-008,0.5587
1.26526e-008,0.6784
1.26912e-008,0.7890
1.27297e-008,0.8805
1.27683e-008,0.9548
1.28069e-008,1.0161
1.28455e-008,1.0645
1.28841e-008,1.1048
1.29226e-008,1.1376
1.29612e-008,1.1576
1.29998e-008,1.1613
1.30383e-008,1.1358
1.30769e-008,1.0654
1.31155e-008,0.9612
1.31541e-008,0.8418
1.31926e-008,0.7187
1.32312e-008,0.6079
1.32698e-008,0.5172
1.33084e-008,0.4464
1.33470e-008,0.3993
1.33855e-008,0.3714
1.34241e-008,0.3618
1.34627e-008,0.3787
1.35012e-008,0.4321
1.35398e-008,0.5234
1.35784e-008,0.6404
1.36170e-008,0.7561
1.36555e-008,0.8536
1.36941e-008,0.9329
1.37327e-008,0.9980
1.37713e-008,1.0505
1.38099e-008,1.0926
1.38484e-008,1.1286
1.38870e-008,1.1530
1.39256e-008,1.1624
1.39641e-008,1.1484
1.40027e-008,1.0924
1.40413e-008,0.9964
1.40799e-008,0.8807
1.41185e-008,0.7570
1.41570e-008,0.6409
1.41956e-008,0.5437
1.42342e-008,0.4664
1.42728e-008,0.4118
1.43113e-008,0.3783
1.43499e-008,0.3624
1.43885e-008,0.3697
1.44270e-008,0.4110
1.44656e-008,0.4908
1.45042e-008,0.6021
1.45428e-008,0.7211
1.45814e-008,0.8249
1.46199e-008,0.9096
1.46585e-008,0.9788
1.46971e-008,1.0354
1.47357e-008,1.0795
1.47742e-008,1.1170
1.48128e-008,1.1457
1.48514e-008,1.1607
1.48899e-008,1.1562
1.49285e-008,1.1152
1.49671e-008,1.0297
1.50057e-008,0.9183
1.50443e-008,0.7962
1.50828e-008,0.6761
1.51214e-008,0.5723
1.51600e-008,0.4887
1.51985e-008,0.4263
1.52371e-008,0.3867
1.52757e-008,0.3653
1.53143e-008,0.3642
1.53528e-008,0.3936
1.53914e-008,0.4615
1.54300e-008,0.5647
1.54686e-008,0.6844
1.55071e-008,0.7942
1.55457e-008,0.8847
1.55843e-008,0.9582
1.56229e-008,1.0188
1.56615e-008,1.0666
1.57000e-008,1.1060
1.57386e-008,1.1382
1.57772e-008,1.1578
1.58158e-008,1.1606
1.58543e-008,1.1333
1.58929e-008,1.0607
1.59315e-008,0.9551
1.59701e-008,0.8354
1.60086e-008,0.7128
1.60472e-008,0.6028
1.60858e-008,0.5130
1.61243e-008,0.4434
1.61629e-008,0.3971
1.62015e-008,0.3701
1.62401e-008,0.3618
1.62786e-008,0.3803
1.63172e-008,0.4358
1.63558e-008,0.5289
1.63944e-008,0.6465
1.64329e-008,0.7616
1.64715e-008,0.8582
1.65101e-008,0.9365
1.65487e-008,1.0010
1.65873e-008,1.0529
1.66258e-008,1.0942
1.66644e-008,1.1294
1.67030e-008,1.1534
1.67416e-008,1.1621
1.67801e-008,1.1465
1.68187e-008,1.0884
1.68573e-008,0.9907
1.68959e-008,0.8742
1.69344e-008,0.7509
1.69730e-008,0.6355
1.70116e-008,0.5393
1.70501e-008,0.4630
1.70887e-008,0.4093
1.71273e-008,0.3766
1.71659e-008,0.3619
1.72044e-008,0.3707
1.72430e-008,0.4139
1.72816e-008,0.4957
1.73202e-008,0.6082
1.73588e-008,0.7269
1.73973e-008,0.8298
1.74359e-008,0.9136
1.74745e-008,0.9819
1.75131e-008,1.0379
1.75516e-008,1.0818
1.75902e-008,1.1195
1.76288e-008,1.1475
1.76674e-008,1.1614
1.77059e-008,1.1553
1.77445e-008,1.1119
1.77831e-008,1.0245
1.78216e-008,0.9124
1.78602e-008,0.7898
1.78988e-008,0.6701
1.79374e-008,0.5675
1.79759e-008,0.4849
1.80145e-008,0.4239
1.80531e-008,0.3856
1.80917e-008,0.3650
1.81302e-008,0.3651
1.81688e-008,0.3963
1.82074e-008,0.4660
1.82460e-008,0.5706
1.82846e-008,0.6905
1.83231e-008,0.7993
1.83617e-008,0.8888
1.84003e-008,0.9616
1.84389e-008,1.0216
1.84774e-008,1.0689
1.85160e-008,1.1085
1.85546e-008,1.1402
1.85932e-008,1.1588
1.86317e-008,1.1604
1.86703e-008,1.1307
1.87089e-008,1.0559
1.87474e-008,0.9495
1.87860e-008,0.8291
1.88246e-008,0.7066
1.88632e-008,0.5977
1.89017e-008,0.5090
1.89403e-008,0.4405
1.89789e-008,0.3956
1.90175e-008,0.3695
1.90560e-008,0.3621
1.90946e-008,0.3824
1.91332e-008,0.4398
1.91718e-008,0.5346
1.92104e-008,0.6527
1.92489e-008,0.7670
1.92875e-008,0.8625
1.93261e-008,0.9402
1.93647e-008,1.0040
1.94032e-008,1.0552
1.94418e-008,1.0967
1.94804e-008,1.1317
1.95190e-008,1.1547
1.95575e-008,1.1623
1.95961e-008,1.1448
1.96347e-008,1.0841
1.96732e-008,0.9852
1.97118e-008,0.8682
1.97504e-008,0.7445
1.97890e-008,0.6300
1.98275e-008,0.5349
1.98661e-008,0.4597
1.99047e-008,0.4075
1.99433e-008,0.3758
1.99819e-008,0.3619
2.00204e-008,0.3722
2.00590e-008,0.4174
2.00976e-008,0.5010
2.01362e-008,0.6145
2.01747e-008,0.7327
2.02133e-008,0.8344
2.02519e-008,0.9174
2.02905e-008,0.9852
2.03290e-008,1.0404
2.03676e-008,1.0841
2.04062e-008,1.1219
2.04447e-008,1.1491
2.04833e-008,1.1619
2.05219e-008,1.1544
2.05605e-008,1.1084
2.05990e-008,1.0193
2.06376e-008,0.9065
2.06762e-008,0.7834
2.07148e-008,0.6643
2.07533e-008,0.5628
2.07919e-008,0.4813
2.08305e-008,0.4214
2.08691e-008,0.3839
2.09077e-008,0.3640
2.09462e-008,0.3656
2.09848e-008,0.3989
2.10234e-008,0.4706
2.10620e-008,0.5766
2.11005e-008,0.6965
2.11391e-008,0.8044
2.11777e-008,0.8930
2.12163e-008,0.9651
2.12548e-008,1.0244
2.12934e-008,1.0708
2.13320e-008,1.1097
2.13705e-008,1.1408
2.14091e-008,1.1590
2.14477e-008,1.1596
2.14863e-008,1.1279
2.15248e-008,1.0510
2.15634e-008,0.9433
2.16020e-008,0.8227
2.16406e-008,0.7008
2.16791e-008,0.5927
2.17177e-008,0.5050
2.17563e-008,0.4376
2.17949e-008,0.3935
2.18335e-008,0.3683
2.18720e-008,0.3622
2.19106e-008,0.3842
2.19492e-008,0.4437
2.19878e-008,0.5403
2.20263e-008,0.6589
2.20649e-008,0.7724
2.21035e-008,0.8670
2.21420e-008,0.9437
2.21806e-008,1.0069
2.22192e-008,1.0574
2.22578e-008,1.0981
2.22963e-008,1.1324
2.23349e-008,1.1550
2.23735e-008,1.1619
2.24121e-008,1.1428
2.24506e-008,1.0798
2.24892e-008,0.9793
2.25278e-008,0.8617
2.25664e-008,0.7384
2.26050e-008,0.6247
2.26435e-008,0.5306
2.26821e-008,0.4564
2.27207e-008,0.4051
2.27593e-008,0.3742
2.27978e-008,0.3616
2.28364e-008,0.3734
2.28750e-008,0.4205
2.29136e-008,0.5062
2.29521e-008,0.6206
2.29907e-008,0.7383
2.30293e-008,0.8392
2.30678e-008,0.9212
2.31064e-008,0.9882
2.31450e-008,1.0429
2.31836e-008,1.0859
2.32221e-008,1.1228
2.32607e-008,1.1496
2.32993e-008,1.1619
2.33379e-008,1.1529
2.33764e-008,1.1048
2.34150e-008,1.0138
2.34536e-008,0.9001
2.34922e-008,0.7771
2.35308e-008,0.6587
2.35693e-008,0.5581
2.36079e-008,0.4776
2.36465e-008,0.4190
2.36851e-008,0.3827
2.37236e-008,0.3639
2.37622e-008,0.3667
2.38008e-008,0.4017
2.38394e-008,0.4753
2.38779e-008,0.5827
2.39165e-008,0.7025
2.39551e-008,0.8093
2.39936e-008,0.8970
2.40322e-008,0.9683
2.40708e-008,1.0271
2.41094e-008,1.0731
2.41479e-008,1.1122
2.41865e-008,1.1427
2.42251e-008,1.1598
2.42637e-008,1.1591
2.43023e-008,1.1252
2.43408e-008,1.0461
2.43794e-008,0.9376
2.44180e-008,0.8164
2.44566e-008,0.6946
2.44951e-008,0.5877
2.45337e-008,0.5010
2.45723e-008,0.4349
2.46109e-008,0.3922
2.46494e-008,0.3678
2.46880e-008,0.3627
2.47266e-008,0.3865
2.47651e-008,0.4479
2.48037e-008,0.5460
2.48423e-008,0.6651
2.48809e-008,0.7777
2.49194e-008,0.8713
2.49580e-008,0.9473
2.49966e-008,1.0099
2.50352e-008,1.0597
2.50737e-008,1.1006
2.51123e-008,1.1346
2.51509e-008,1.1562
2.51895e-008,1.1620
2.52281e-008,1.1408
2.52666e-008,1.0754
2.53052e-008,0.9738
2.53438e-008,0.8556
2.53824e-008,0.7321
2.54209e-008,0.6193
2.54595e-008,0.5263
2.54981e-008,0.4532
2.55367e-008,0.4035
2.55752e-008,0.3736
2.56138e-008,0.3617
2.56524e-008,0.3751
2.56909e-008,0.4242
2.57295e-008,0.5116
2.57681e-008,0.6269
2.58067e-008,0.7440
2.58452e-008,0.8438
2.58838e-008,0.9249
2.59224e-008,0.9914
2.59610e-008,1.0454
2.59995e-008,1.0883
2.60381e-008,1.1252
2.60767e-008,1.1511
2.61153e-008,1.1623
2.61539e-008,1.1517
2.61924e-008,1.1010
2.62310e-008,1.0085
2.62696e-008,0.8942
2.63082e-008,0.7708
2.63467e-008,0.6530
2.63853e-008,0.5536
2.64239e-008,0.4740
2.64625e-008,0.4167
2.65010e-008,0.3811
2.65396e-008,0.3631
2.65782e-008,0.3673
2.66167e-008,0.4044
2.66553e-008,0.4800
2.66939e-008,0.5888
2.67325e-008,0.7084
2.67710e-008,0.8143
2.68096e-008,0.9011
2.68482e-008,0.9717
2.68868e-008,1.0297
2.69254e-008,1.0750
2.69639e-008,1.1133
2.70025e-008,1.1433
2.70411e-008,1.1599
2.70797e-008,1.1582
2.71182e-008,1.1221
2.71568e-008,1.0410
2.71954e-008,0.9314
2.72340e-008,0.8100
2.72725e-008,0.6889
2.73111e-008,0.5828
2.73497e-008,0.4971
2.73882e-008,0.4320
2.74268e-008,0.3901
2.74654e-008,0.3667
2.75040e-008,0.3630
2.75425e-008,0.3885
2.75811e-008,0.4520
2.76197e-008,0.5518
2.76583e-008,0.6712
2.76968e-008,0.7830
2.77354e-008,0.8756
2.77740e-008,0.9507
2.78126e-008,1.0127
2.78512e-008,1.0619
2.78897e-008,1.1020
2.79283e-008,1.1353
2.79669e-008,1.1565
2.80055e-008,1.1615
2.80440e-008,1.1385
2.80826e-008,1.0709
2.81212e-008,0.9678
2.81598e-008,0.8491
2.81983e-008,0.7261
2.82369e-008,0.6141
2.82755e-008,0.5221
2.83140e-008,0.4500
2.83526e-008,0.4011
2.83912e-008,0.3721
2.84298e-008,0.3615
2.84683e-008,0.3765
2.85069e-008,0.4276
2.85455e-008,0.5169
2.85841e-008,0.6330
2.86226e-008,0.7496
2.86612e-008,0.8485
2.86998e-008,0.9287
2.87384e-008,0.9944
2.87770e-008,1.0478
2.88155e-008,1.0899
2.88541e-008,1.1261
2.88927e-008,1.1515
2.89313e-008,1.1621
2.89698e-008,1.1501
2.90084e-008,1.0972
2.90470e-008,1.0029
2.90855e-008,0.8878
2.91241e-008,0.7645
2.91627e-008,0.6475
2.92013e-008,0.5490
2.92398e-008,0.4705
2.92784e-008,0.4144
2.93170e-008,0.3800
2.93556e-008,0.3631
2.93941e-008,0.3686
2.94327e-008,0.4074
2.94713e-008,0.4850
