.HEADER
..NAMES
Time,V U4.M2
.DATA
2.34353e-008,1.0721
2.34720e-008,1.0687
2.35087e-008,1.0727
2.35454e-008,1.0827
2.35820e-008,1.0949
2.36187e-008,1.1046
2.36554e-008,1.1084
2.36920e-008,1.1059
2.37287e-008,1.0991
2.37654e-008,1.0915
2.38021e-008,1.0866
2.38387e-008,1.0868
2.38754e-008,1.0919
2.39121e-008,1.0996
2.39488e-008,1.1066
2.39855e-008,1.1103
2.40221e-008,1.1100
2.40588e-008,1.1067
2.40955e-008,1.1023
2.41322e-008,1.0984
2.41688e-008,1.0943
2.42055e-008,1.0848
2.42422e-008,1.0612
2.42788e-008,1.0153
2.43155e-008,0.9452
2.43522e-008,0.8539
2.43889e-008,0.7495
2.44255e-008,0.6461
2.44622e-008,0.5595
2.44989e-008,0.4994
2.45356e-008,0.4668
2.45723e-008,0.4574
2.46089e-008,0.4625
2.46456e-008,0.4713
2.46823e-008,0.4753
2.47190e-008,0.4710
2.47556e-008,0.4601
2.47923e-008,0.4471
2.48290e-008,0.4365
2.48657e-008,0.4307
2.49023e-008,0.4293
2.49390e-008,0.4294
2.49757e-008,0.4271
2.50123e-008,0.4186
2.50490e-008,0.4028
2.50857e-008,0.3810
2.51224e-008,0.3575
2.51590e-008,0.3377
2.51957e-008,0.3258
2.52324e-008,0.3235
2.52691e-008,0.3294
2.53058e-008,0.3397
2.53424e-008,0.3493
2.53791e-008,0.3537
2.54158e-008,0.3507
2.54525e-008,0.3414
2.54891e-008,0.3293
2.55258e-008,0.3187
2.55625e-008,0.3128
2.55991e-008,0.3129
2.56358e-008,0.3178
2.56725e-008,0.3247
2.57092e-008,0.3300
2.57458e-008,0.3314
2.57825e-008,0.3284
2.58192e-008,0.3226
2.58559e-008,0.3165
2.58926e-008,0.3125
2.59292e-008,0.3119
2.59659e-008,0.3150
2.60026e-008,0.3205
2.60393e-008,0.3265
2.60759e-008,0.3310
2.61126e-008,0.3330
2.61493e-008,0.3326
2.61859e-008,0.3305
2.62226e-008,0.3281
2.62593e-008,0.3266
2.62960e-008,0.3266
2.63326e-008,0.3281
2.63693e-008,0.3301
2.64060e-008,0.3317
2.64427e-008,0.3319
2.64794e-008,0.3306
2.65160e-008,0.3282
2.65527e-008,0.3255
2.65894e-008,0.3237
2.66261e-008,0.3234
2.66627e-008,0.3248
2.66994e-008,0.3272
2.67361e-008,0.3297
2.67727e-008,0.3314
2.68094e-008,0.3317
2.68461e-008,0.3308
2.68828e-008,0.3296
2.69194e-008,0.3299
2.69561e-008,0.3352
2.69928e-008,0.3512
2.70295e-008,0.3843
2.70662e-008,0.4389
2.71028e-008,0.5143
2.71395e-008,0.6039
2.71762e-008,0.6979
2.72129e-008,0.7856
2.72495e-008,0.8565
2.72862e-008,0.9043
2.73229e-008,0.9301
2.73595e-008,0.9407
2.73962e-008,0.9437
2.74329e-008,0.9452
2.74696e-008,0.9495
2.75062e-008,0.9578
2.75429e-008,0.9681
2.75796e-008,0.9772
2.76163e-008,0.9831
2.76530e-008,0.9861
2.76896e-008,0.9880
2.77263e-008,0.9916
2.77630e-008,0.9994
2.77997e-008,1.0122
2.78363e-008,1.0301
2.78730e-008,1.0512
2.79097e-008,1.0706
2.79463e-008,1.0801
2.79830e-008,1.0685
2.80197e-008,1.0270
2.80564e-008,0.9546
2.80930e-008,0.8581
2.81297e-008,0.7481
2.81664e-008,0.6398
2.82031e-008,0.5512
2.82398e-008,0.4934
2.82764e-008,0.4657
2.83131e-008,0.4602
2.83498e-008,0.4668
2.83865e-008,0.4753
2.84231e-008,0.4777
2.84598e-008,0.4716
2.84965e-008,0.4604
2.85331e-008,0.4495
2.85698e-008,0.4432
2.86065e-008,0.4423
2.86432e-008,0.4445
2.86798e-008,0.4460
2.87165e-008,0.4429
2.87532e-008,0.4323
2.87899e-008,0.4135
2.88266e-008,0.3887
2.88632e-008,0.3623
2.88999e-008,0.3400
2.89366e-008,0.3262
2.89733e-008,0.3223
2.90099e-008,0.3270
2.90466e-008,0.3367
2.90833e-008,0.3469
2.91199e-008,0.3527
2.91566e-008,0.3513
2.91933e-008,0.3433
2.92300e-008,0.3320
2.92666e-008,0.3217
2.93033e-008,0.3159
2.93400e-008,0.3157
2.93767e-008,0.3202
2.94133e-008,0.3265
2.94500e-008,0.3315
2.94867e-008,0.3325
2.95234e-008,0.3293
2.95601e-008,0.3234
2.95967e-008,0.3173
2.96334e-008,0.3134
2.96701e-008,0.3127
2.97068e-008,0.3159
2.97434e-008,0.3242
2.97801e-008,0.3403
2.98168e-008,0.3696
2.98534e-008,0.4176
2.98901e-008,0.4861
2.99268e-008,0.5717
2.99635e-008,0.6659
3.00002e-008,0.7580
3.00368e-008,0.8366
3.00735e-008,0.8929
3.01102e-008,0.9249
3.01469e-008,0.9379
3.01835e-008,0.9403
3.02202e-008,0.9393
3.02569e-008,0.9406
3.02935e-008,0.9470
3.03302e-008,0.9579
3.03669e-008,0.9697
3.04036e-008,0.9792
3.04403e-008,0.9851
3.04769e-008,0.9883
3.05136e-008,0.9911
3.05503e-008,0.9963
3.05869e-008,1.0059
3.06236e-008,1.0211
3.06603e-008,1.0411
3.06970e-008,1.0631
3.07336e-008,1.0805
3.07703e-008,1.0838
3.08070e-008,1.0619
3.08437e-008,1.0085
3.08804e-008,0.9263
3.09170e-008,0.8239
3.09537e-008,0.7134
3.09904e-008,0.6113
3.10270e-008,0.5340
3.10637e-008,0.4877
3.11004e-008,0.4678
3.11371e-008,0.4657
3.11738e-008,0.4718
3.12104e-008,0.4767
3.12471e-008,0.4747
3.12838e-008,0.4660
3.13205e-008,0.4550
3.13571e-008,0.4466
3.13938e-008,0.4434
3.14305e-008,0.4447
3.14671e-008,0.4473
3.15038e-008,0.4473
3.15405e-008,0.4412
3.15772e-008,0.4270
3.16139e-008,0.4051
3.16505e-008,0.3789
3.16872e-008,0.3534
3.17239e-008,0.3339
3.17605e-008,0.3240
3.17972e-008,0.3236
3.18339e-008,0.3307
3.18706e-008,0.3411
3.19072e-008,0.3500
3.19439e-008,0.3531
3.19806e-008,0.3490
3.20173e-008,0.3394
3.20540e-008,0.3282
3.20906e-008,0.3196
3.21273e-008,0.3160
3.21640e-008,0.3176
3.22006e-008,0.3229
3.22373e-008,0.3287
3.22740e-008,0.3320
3.23107e-008,0.3312
3.23474e-008,0.3268
3.23840e-008,0.3207
3.24207e-008,0.3156
3.24574e-008,0.3129
3.24941e-008,0.3135
3.25307e-008,0.3168
3.25674e-008,0.3218
3.26041e-008,0.3268
3.26407e-008,0.3304
3.26774e-008,0.3319
3.27141e-008,0.3318
3.27508e-008,0.3307
