.HEADER
..NAMES
Time,V U4.C3
.DATA
1.32312e-008,0.3207
1.32698e-008,0.3207
1.33084e-008,0.3207
1.33470e-008,0.3207
1.33855e-008,0.3207
1.34241e-008,0.3207
1.34627e-008,0.3207
1.35012e-008,0.3207
1.35398e-008,0.3207
1.35784e-008,0.3221
1.36170e-008,0.3299
1.36555e-008,0.3530
1.36941e-008,0.4062
1.37327e-008,0.4953
1.37713e-008,0.6104
1.38099e-008,0.7270
1.38484e-008,0.8191
1.38870e-008,0.8984
1.39256e-008,0.9668
1.39641e-008,1.0216
1.40027e-008,1.0614
1.40413e-008,1.1016
1.40799e-008,1.1467
1.41185e-008,1.1571
1.41570e-008,1.1549
1.41956e-008,1.1164
1.42342e-008,1.0248
1.42728e-008,0.9049
1.43113e-008,0.7875
1.43499e-008,0.6755
1.43885e-008,0.5776
1.44270e-008,0.4995
1.44656e-008,0.4429
1.45042e-008,0.4045
1.45428e-008,0.3708
1.45814e-008,0.3653
1.46199e-008,0.3898
1.46585e-008,0.4487
1.46971e-008,0.5445
1.47357e-008,0.6695
1.47742e-008,0.7806
1.48128e-008,0.8705
1.48514e-008,0.9475
1.48899e-008,1.0098
1.49285e-008,1.0559
1.49671e-008,1.0918
1.50057e-008,1.1384
1.50443e-008,1.1579
1.50828e-008,1.1601
1.51214e-008,1.1351
1.51600e-008,1.0616
1.51985e-008,0.9488
1.52371e-008,0.8291
1.52757e-008,0.7118
1.53143e-008,0.6070
1.53528e-008,0.5220
1.53914e-008,0.4582
1.54300e-008,0.4163
1.54686e-008,0.3886
1.55071e-008,0.3659
1.55457e-008,0.3509
1.55843e-008,0.3396
1.56229e-008,0.3275
1.56615e-008,0.3189
1.57000e-008,0.3171
1.57386e-008,0.3177
1.57772e-008,0.3192
1.58158e-008,0.3215
1.58543e-008,0.3235
1.58929e-008,0.3252
1.59315e-008,0.3267
1.59701e-008,0.3354
1.60086e-008,0.3637
1.60472e-008,0.4244
1.60858e-008,0.5197
1.61243e-008,0.6388
1.61629e-008,0.7518
1.62015e-008,0.8393
1.62401e-008,0.9156
1.62786e-008,0.9808
1.63172e-008,1.0318
1.63558e-008,1.0683
1.63944e-008,1.0948
1.64329e-008,1.1141
1.64715e-008,1.1300
1.65101e-008,1.1445
1.65487e-008,1.1569
1.65873e-008,1.1657
1.66258e-008,1.1674
1.66644e-008,1.1663
1.67030e-008,1.1674
1.67416e-008,1.1697
1.67801e-008,1.1709
1.68187e-008,1.1717
1.68573e-008,1.1747
1.68959e-008,1.1811
1.69344e-008,1.1809
1.69730e-008,1.1629
1.70116e-008,1.1068
1.70501e-008,1.0073
1.70887e-008,0.8943
1.71273e-008,0.7844
1.71659e-008,0.6755
1.72044e-008,0.5781
1.72430e-008,0.5006
1.72816e-008,0.4449
1.73202e-008,0.4068
1.73588e-008,0.3806
1.73973e-008,0.3621
1.74359e-008,0.3482
1.74745e-008,0.3347
1.75131e-008,0.3236
1.75516e-008,0.3197
1.75902e-008,0.3196
1.76288e-008,0.3194
1.76674e-008,0.3201
1.77059e-008,0.3221
1.77445e-008,0.3240
1.77831e-008,0.3251
1.78216e-008,0.3286
1.78602e-008,0.3433
1.78988e-008,0.3817
1.79374e-008,0.4555
1.79759e-008,0.5618
1.80145e-008,0.6837
1.80531e-008,0.7859
