.HEADER
..NAMES
Time,V U5.C2
.DATA
1.47742e-008,0.8331
1.48128e-008,0.7215
1.48514e-008,0.6220
1.48899e-008,0.5379
1.49285e-008,0.4741
1.49671e-008,0.4288
1.50057e-008,0.3920
1.50443e-008,0.3702
1.50828e-008,0.3755
1.51214e-008,0.4201
1.51600e-008,0.5056
1.51985e-008,0.6230
1.52371e-008,0.7414
1.52757e-008,0.8390
1.53143e-008,0.9157
1.53528e-008,0.9780
1.53914e-008,1.0266
1.54300e-008,1.0660
1.54686e-008,1.1105
1.55071e-008,1.1491
1.55457e-008,1.1676
1.55843e-008,1.1535
1.56229e-008,1.1012
1.56615e-008,1.0009
1.57000e-008,0.8786
1.57386e-008,0.7583
1.57772e-008,0.6486
1.58158e-008,0.5553
1.58543e-008,0.4875
1.58929e-008,0.4382
1.59315e-008,0.3978
1.59701e-008,0.3716
1.60086e-008,0.3685
1.60472e-008,0.3991
1.60858e-008,0.4680
1.61243e-008,0.5772
1.61629e-008,0.6998
1.62015e-008,0.8080
1.62401e-008,0.8918
1.62786e-008,0.9588
1.63172e-008,1.0111
1.63558e-008,1.0543
1.63944e-008,1.0879
1.64329e-008,1.1114
1.64715e-008,1.1277
1.65101e-008,1.1411
1.65487e-008,1.1503
1.65873e-008,1.1570
1.66258e-008,1.1645
1.66644e-008,1.1711
1.67030e-008,1.1731
1.67416e-008,1.1716
1.67801e-008,1.1699
1.68187e-008,1.1697
1.68573e-008,1.1724
1.68959e-008,1.1783
1.69344e-008,1.1823
1.69730e-008,1.1728
1.70116e-008,1.1328
1.70501e-008,1.0477
1.70887e-008,0.9300
1.71273e-008,0.8090
1.71659e-008,0.6999
1.72044e-008,0.6029
1.72430e-008,0.5231
1.72816e-008,0.4637
1.73202e-008,0.4227
1.73588e-008,0.3939
1.73973e-008,0.3718
1.74359e-008,0.3536
1.74745e-008,0.3423
1.75131e-008,0.3354
1.75516e-008,0.3282
1.75902e-008,0.3206
1.76288e-008,0.3176
1.76674e-008,0.3195
1.77059e-008,0.3224
1.77445e-008,0.3238
1.77831e-008,0.3246
1.78216e-008,0.3274
1.78602e-008,0.3378
1.78988e-008,0.3661
1.79374e-008,0.4259
1.79759e-008,0.5232
1.80145e-008,0.6468
1.80531e-008,0.7641
1.80917e-008,0.8534
1.81302e-008,0.9195
1.81688e-008,0.9763
1.82074e-008,1.0246
1.82460e-008,1.0643
1.82846e-008,1.1095
1.83231e-008,1.1487
1.83617e-008,1.1659
1.84003e-008,1.1495
1.84389e-008,1.0930
1.84774e-008,0.9896
1.85160e-008,0.8675
1.85546e-008,0.7501
1.85932e-008,0.6417
1.86317e-008,0.5497
1.86703e-008,0.4833
1.87089e-008,0.4362
1.87474e-008,0.4023
1.87860e-008,0.3790
1.88246e-008,0.3607
1.88632e-008,0.3461
1.89017e-008,0.3364
1.89403e-008,0.3294
1.89789e-008,0.3219
1.90175e-008,0.3174
1.90560e-008,0.3178
1.90946e-008,0.3204
1.91332e-008,0.3221
1.91718e-008,0.3240
1.92104e-008,0.3262
1.92489e-008,0.3315
1.92875e-008,0.3491
1.93261e-008,0.3927
1.93647e-008,0.4722
1.94032e-008,0.5862
1.94418e-008,0.7107
1.94804e-008,0.8146
1.95190e-008,0.8899
1.95575e-008,0.9506
1.95961e-008,1.0027
1.96347e-008,1.0457
1.96732e-008,1.0789
1.97118e-008,1.1040
1.97504e-008,1.1224
1.97890e-008,1.1368
1.98275e-008,1.1467
1.98661e-008,1.1539
1.99047e-008,1.1618
1.99433e-008,1.1694
1.99819e-008,1.1720
2.00204e-008,1.1699
2.00590e-008,1.1680
2.00976e-008,1.1690
2.01362e-008,1.1714
2.01747e-008,1.1732
2.02133e-008,1.1741
2.02519e-008,1.1747
2.02905e-008,1.1756
2.03290e-008,1.1760
2.03676e-008,1.1757
2.04062e-008,1.1759
2.04447e-008,1.1773
2.04833e-008,1.1781
2.05219e-008,1.1775
2.05605e-008,1.1770
2.05990e-008,1.1773
2.06376e-008,1.1780
2.06762e-008,1.1783
2.07148e-008,1.1782
2.07533e-008,1.1779
2.07919e-008,1.1780
2.08305e-008,1.1781
2.08691e-008,1.1780
2.09077e-008,1.1778
2.09462e-008,1.1781
2.09848e-008,1.1783
2.10234e-008,1.1782
2.10620e-008,1.1780
2.11005e-008,1.1780
2.11391e-008,1.1782
2.11777e-008,1.1783
2.12163e-008,1.1782
2.12548e-008,1.1781
2.12934e-008,1.1781
2.13320e-008,1.1782
2.13705e-008,1.1782
2.14091e-008,1.1781
2.14477e-008,1.1782
2.14863e-008,1.1783
2.15248e-008,1.1783
2.15634e-008,1.1798
2.16020e-008,1.1831
2.16406e-008,1.1825
2.16791e-008,1.1629
2.17177e-008,1.1049
2.17563e-008,1.0034
2.17949e-008,0.8817
2.18335e-008,0.7642
2.18720e-008,0.6589
2.19106e-008,0.5679
2.19492e-008,0.4968
2.19878e-008,0.4456
2.20263e-008,0.4056
2.20649e-008,0.3765
2.21035e-008,0.3695
2.21420e-008,0.3996
2.21806e-008,0.4696
2.22192e-008,0.5780
2.22578e-008,0.6992
2.22963e-008,0.8061
2.23349e-008,0.8891
2.23735e-008,0.9566
2.24121e-008,1.0097
2.24506e-008,1.0524
2.24892e-008,1.0860
2.25278e-008,1.1108
2.25664e-008,1.1275
2.26050e-008,1.1404
2.26435e-008,1.1498
2.26821e-008,1.1571
2.27207e-008,1.1648
2.27593e-008,1.1712
2.27978e-008,1.1731
2.28364e-008,1.1714
2.28750e-008,1.1700
2.29136e-008,1.1702
2.29521e-008,1.1715
2.29907e-008,1.1732
2.30293e-008,1.1745
2.30678e-008,1.1751
2.31064e-008,1.1758
2.31450e-008,1.1762
2.31836e-008,1.1762
2.32221e-008,1.1766
2.32607e-008,1.1777
2.32993e-008,1.1781
2.33379e-008,1.1777
2.33764e-008,1.1775
2.34150e-008,1.1777
2.34536e-008,1.1782
2.34922e-008,1.1785
2.35308e-008,1.1785
2.35693e-008,1.1783
2.36079e-008,1.1783
2.36465e-008,1.1783
2.36851e-008,1.1782
2.37236e-008,1.1781
2.37622e-008,1.1783
2.38008e-008,1.1785
2.38394e-008,1.1784
2.38779e-008,1.1784
2.39165e-008,1.1805
2.39551e-008,1.1838
2.39936e-008,1.1808
2.40322e-008,1.1546
2.40708e-008,1.0867
2.41094e-008,0.9785
2.41479e-008,0.8562
2.41865e-008,0.7410
2.42251e-008,0.6384
2.42637e-008,0.5513
2.43023e-008,0.4845
2.43408e-008,0.4369
2.43794e-008,0.3984
2.44180e-008,0.3729
2.44566e-008,0.3723
2.44951e-008,0.4109
2.45337e-008,0.4895
2.45723e-008,0.6033
2.46109e-008,0.7234
2.46494e-008,0.8252
2.46880e-008,0.9043
2.47266e-008,0.9688
2.47651e-008,1.0194
2.48037e-008,1.0602
2.48423e-008,1.1032
2.48809e-008,1.1439
2.49194e-008,1.1668
2.49580e-008,1.1581
2.49966e-008,1.1135
2.50352e-008,1.0197
2.50737e-008,0.8989
2.51123e-008,0.7770
2.51509e-008,0.6659
