.HEADER
..NAMES
Time,V U2.D3
.DATA
1.55843e-008,1.1589
1.56229e-008,1.1191
1.56615e-008,1.0332
1.57000e-008,0.9183
1.57386e-008,0.7984
1.57772e-008,0.6813
1.58158e-008,0.5796
1.58543e-008,0.5012
1.58929e-008,0.4436
1.59315e-008,0.3994
1.59701e-008,0.3730
1.60086e-008,0.3645
1.60472e-008,0.3854
1.60858e-008,0.4431
1.61243e-008,0.5404
1.61629e-008,0.6589
1.62015e-008,0.7727
1.62401e-008,0.8692
1.62786e-008,0.9475
1.63172e-008,1.0080
1.63558e-008,1.0539
1.63944e-008,1.0875
1.64329e-008,1.1097
1.64715e-008,1.1266
1.65101e-008,1.1409
1.65487e-008,1.1516
1.65873e-008,1.1596
1.66258e-008,1.1667
1.66644e-008,1.1706
1.67030e-008,1.1709
1.67416e-008,1.1696
1.67801e-008,1.1685
1.68187e-008,1.1687
1.68573e-008,1.1710
1.68959e-008,1.1758
1.69344e-008,1.1794
1.69730e-008,1.1731
1.70116e-008,1.1417
1.70501e-008,1.0706
1.70887e-008,0.9676
1.71273e-008,0.8537
1.71659e-008,0.7414
1.72044e-008,0.6357
1.72430e-008,0.5464
1.72816e-008,0.4773
1.73202e-008,0.4270
1.73588e-008,0.3891
1.73973e-008,0.3686
1.74359e-008,0.3754
1.74745e-008,0.4159
1.75131e-008,0.4968
1.75516e-008,0.6082
1.75902e-008,0.7253
1.76288e-008,0.8283
1.76674e-008,0.9140
1.77059e-008,0.9819
1.77445e-008,1.0334
1.77831e-008,1.0722
1.78216e-008,1.1002
1.78602e-008,1.1192
1.78988e-008,1.1347
1.79374e-008,1.1474
1.79759e-008,1.1564
1.80145e-008,1.1639
1.80531e-008,1.1694
1.80917e-008,1.1710
1.81302e-008,1.1701
1.81688e-008,1.1690
1.82074e-008,1.1687
1.82460e-008,1.1696
1.82846e-008,1.1712
1.83231e-008,1.1723
1.83617e-008,1.1731
1.84003e-008,1.1741
1.84389e-008,1.1750
1.84774e-008,1.1753
1.85160e-008,1.1755
1.85546e-008,1.1760
1.85932e-008,1.1763
1.86317e-008,1.1764
1.86703e-008,1.1767
1.87089e-008,1.1770
1.87474e-008,1.1774
1.87860e-008,1.1776
1.88246e-008,1.1775
1.88632e-008,1.1774
1.89017e-008,1.1774
1.89403e-008,1.1775
1.89789e-008,1.1775
1.90175e-008,1.1775
1.90560e-008,1.1776
1.90946e-008,1.1776
1.91332e-008,1.1776
