.HEADER
..NAMES
Time,V U3.H3
.DATA
1.58158e-008,0.3218
1.58543e-008,0.3245
1.58929e-008,0.3259
1.59315e-008,0.3263
1.59701e-008,0.3257
1.60086e-008,0.3244
1.60472e-008,0.3232
1.60858e-008,0.3227
1.61243e-008,0.3224
1.61629e-008,0.3223
1.62015e-008,0.3225
1.62401e-008,0.3224
1.62786e-008,0.3219
1.63172e-008,0.3215
1.63558e-008,0.3210
1.63944e-008,0.3207
1.64329e-008,0.3206
1.64715e-008,0.3206
1.65101e-008,0.3207
1.65487e-008,0.3208
1.65873e-008,0.3209
1.66258e-008,0.3209
1.66644e-008,0.3209
1.67030e-008,0.3209
1.67416e-008,0.3208
1.67801e-008,0.3208
1.68187e-008,0.3208
1.68573e-008,0.3208
1.68959e-008,0.3209
1.69344e-008,0.3209
1.69730e-008,0.3209
1.70116e-008,0.3209
1.70501e-008,0.3209
1.70887e-008,0.3209
1.71273e-008,0.3208
1.71659e-008,0.3209
1.72044e-008,0.3209
1.72430e-008,0.3209
1.72816e-008,0.3209
1.73202e-008,0.3215
1.73588e-008,0.3252
1.73973e-008,0.3383
1.74359e-008,0.3715
1.74745e-008,0.4356
1.75131e-008,0.5324
1.75516e-008,0.6485
1.75902e-008,0.7606
1.76288e-008,0.8552
1.76674e-008,0.9329
1.77059e-008,0.9949
1.77445e-008,1.0419
1.77831e-008,1.0765
1.78216e-008,1.1019
1.78602e-008,1.1214
1.78988e-008,1.1371
1.79374e-008,1.1493
1.79759e-008,1.1585
1.80145e-008,1.1650
1.80531e-008,1.1679
1.80917e-008,1.1677
1.81302e-008,1.1672
1.81688e-008,1.1678
1.82074e-008,1.1692
1.82460e-008,1.1706
1.82846e-008,1.1718
1.83231e-008,1.1729
1.83617e-008,1.1739
1.84003e-008,1.1747
1.84389e-008,1.1751
1.84774e-008,1.1753
1.85160e-008,1.1756
1.85546e-008,1.1758
1.85932e-008,1.1761
1.86317e-008,1.1766
1.86703e-008,1.1770
1.87089e-008,1.1772
1.87474e-008,1.1772
1.87860e-008,1.1771
1.88246e-008,1.1771
1.88632e-008,1.1771
1.89017e-008,1.1771
1.89403e-008,1.1770
1.89789e-008,1.1771
1.90175e-008,1.1771
1.90560e-008,1.1771
1.90946e-008,1.1771
1.91332e-008,1.1771
1.91718e-008,1.1772
1.92104e-008,1.1785
1.92489e-008,1.1810
1.92875e-008,1.1800
1.93261e-008,1.1637
1.93647e-008,1.1158
1.94032e-008,1.0306
1.94418e-008,0.9215
1.94804e-008,0.8046
1.95190e-008,0.6900
1.95575e-008,0.5874
1.95961e-008,0.5045
1.96347e-008,0.4438
1.96732e-008,0.3986
1.97118e-008,0.3697
1.97504e-008,0.3622
1.97890e-008,0.3859
1.98275e-008,0.4466
1.98661e-008,0.5457
1.99047e-008,0.6672
1.99433e-008,0.7843
1.99819e-008,0.8829
2.00204e-008,0.9610
2.00590e-008,1.0198
2.00976e-008,1.0627
2.01362e-008,1.0930
2.01747e-008,1.1137
2.02133e-008,1.1298
2.02519e-008,1.1436
2.02905e-008,1.1543
2.03290e-008,1.1624
2.03676e-008,1.1680
2.04062e-008,1.1699
2.04447e-008,1.1690
2.04833e-008,1.1678
2.05219e-008,1.1677
2.05605e-008,1.1688
2.05990e-008,1.1713
2.06376e-008,1.1757
2.06762e-008,1.1793
2.07148e-008,1.1730
2.07533e-008,1.1420
2.07919e-008,1.0732
2.08305e-008,0.9727
2.08691e-008,0.8579
2.09077e-008,0.7418
2.09462e-008,0.6327
2.09848e-008,0.5407
2.10234e-008,0.4700
2.10620e-008,0.4205
2.11005e-008,0.3874
2.11391e-008,0.3646
2.11777e-008,0.3486
2.12163e-008,0.3371
2.12548e-008,0.3277
2.12934e-008,0.3203
2.13320e-008,0.3169
2.13705e-008,0.3172
2.14091e-008,0.3191
2.14477e-008,0.3215
2.14863e-008,0.3236
2.15248e-008,0.3252
2.15634e-008,0.3259
2.16020e-008,0.3255
2.16406e-008,0.3244
2.16791e-008,0.3235
2.17177e-008,0.3229
2.17563e-008,0.3225
2.17949e-008,0.3223
2.18335e-008,0.3224
2.18720e-008,0.3223
2.19106e-008,0.3219
2.19492e-008,0.3214
2.19878e-008,0.3211
2.20263e-008,0.3209
2.20649e-008,0.3208
2.21035e-008,0.3207
2.21420e-008,0.3207
2.21806e-008,0.3208
2.22192e-008,0.3209
2.22578e-008,0.3209
2.22963e-008,0.3209
2.23349e-008,0.3209
2.23735e-008,0.3209
2.24121e-008,0.3208
2.24506e-008,0.3208
2.24892e-008,0.3209
2.25278e-008,0.3209
2.25664e-008,0.3209
2.26050e-008,0.3209
2.26435e-008,0.3209
2.26821e-008,0.3209
2.27207e-008,0.3209
2.27593e-008,0.3209
2.27978e-008,0.3209
2.28364e-008,0.3209
2.28750e-008,0.3209
2.29136e-008,0.3209
2.29521e-008,0.3217
2.29907e-008,0.3260
2.30293e-008,0.3406
2.30678e-008,0.3766
2.31064e-008,0.4441
2.31450e-008,0.5438
2.31836e-008,0.6604
2.32221e-008,0.7712
2.32607e-008,0.8638
2.32993e-008,0.9400
2.33379e-008,1.0003
2.33764e-008,1.0459
2.34150e-008,1.0794
2.34536e-008,1.1041
2.34922e-008,1.1232
2.35308e-008,1.1385
2.35693e-008,1.1504
2.36079e-008,1.1593
2.36465e-008,1.1654
2.36851e-008,1.1680
2.37236e-008,1.1677
2.37622e-008,1.1672
2.38008e-008,1.1680
2.38394e-008,1.1694
2.38779e-008,1.1715
2.39165e-008,1.1756
2.39551e-008,1.1794
2.39936e-008,1.1745
2.40322e-008,1.1469
2.40708e-008,1.0823
2.41094e-008,0.9844
2.41479e-008,0.8705
2.41865e-008,0.7542
2.42251e-008,0.6438
2.42637e-008,0.5496
2.43023e-008,0.4765
2.43408e-008,0.4237
2.43794e-008,0.3847
2.44180e-008,0.3631
2.44566e-008,0.3682
2.44951e-008,0.4062
2.45337e-008,0.4839
2.45723e-008,0.5955
2.46109e-008,0.7182
2.46494e-008,0.8284
2.46880e-008,0.9183
2.47266e-008,0.9879
2.47651e-008,1.0395
2.48037e-008,1.0779
2.48423e-008,1.1152
2.48809e-008,1.1468
2.49194e-008,1.1644
2.49580e-008,1.1587
2.49966e-008,1.1130
2.50352e-008,1.0224
2.50737e-008,0.9037
2.51123e-008,0.7796
2.51509e-008,0.6610
2.51895e-008,0.5610
2.52281e-008,0.4842
2.52666e-008,0.4293
2.53052e-008,0.3935
2.53438e-008,0.3704
2.53824e-008,0.3530
2.54209e-008,0.3397
2.54595e-008,0.3297
2.54981e-008,0.3211
2.55367e-008,0.3157
2.55752e-008,0.3152
2.56138e-008,0.3175
2.56524e-008,0.3207
2.56909e-008,0.3237
2.57295e-008,0.3256
2.57681e-008,0.3268
2.58067e-008,0.3309
2.58452e-008,0.3452
2.58838e-008,0.3820
2.59224e-008,0.4517
2.59610e-008,0.5535
2.59995e-008,0.6704
2.60381e-008,0.7800
2.60767e-008,0.8710
2.61153e-008,0.9452
2.61539e-008,1.0038
2.61924e-008,1.0479
2.62310e-008,1.0806
2.62696e-008,1.1048
2.63082e-008,1.1238
2.63467e-008,1.1391
2.63853e-008,1.1510
2.64239e-008,1.1599
2.64625e-008,1.1657
2.65010e-008,1.1679
2.65396e-008,1.1675
2.65782e-008,1.1671
2.66167e-008,1.1679
2.66553e-008,1.1694
2.66939e-008,1.1716
2.67325e-008,1.1758
2.67710e-008,1.1795
2.68096e-008,1.1739
2.68482e-008,1.1445
2.68868e-008,1.0779
2.69254e-008,0.9788
2.69639e-008,0.8645
2.70025e-008,0.7483
2.70411e-008,0.6385
2.70797e-008,0.5453
2.71182e-008,0.4734
2.71568e-008,0.4227
2.71954e-008,0.3888
2.72340e-008,0.3656
2.72725e-008,0.3493
2.73111e-008,0.3376
2.73497e-008,0.3282
2.73882e-008,0.3206
2.74268e-008,0.3169
2.74654e-008,0.3171
2.75040e-008,0.3190
2.75425e-008,0.3213
2.75811e-008,0.3235
2.76197e-008,0.3252
2.76583e-008,0.3274
2.76968e-008,0.3344
2.77354e-008,0.3556
2.77740e-008,0.4039
2.78126e-008,0.4860
2.78512e-008,0.5959
2.78897e-008,0.7121
2.79283e-008,0.8155
2.79669e-008,0.9001
2.80055e-008,0.9684
2.80440e-008,1.0217
2.80826e-008,1.0619
2.81212e-008,1.1027
2.81598e-008,1.1385
2.81983e-008,1.1604
2.82369e-008,1.1579
2.82755e-008,1.1171
2.83140e-008,1.0307
2.83526e-008,0.9143
2.83912e-008,0.7913
2.84298e-008,0.6728
2.84683e-008,0.5715
2.85069e-008,0.4928
2.85455e-008,0.4356
2.85841e-008,0.3974
2.86226e-008,0.3731
2.86612e-008,0.3549
2.86998e-008,0.3408
2.87384e-008,0.3305
2.87770e-008,0.3218
2.88155e-008,0.3161
2.88541e-008,0.3152
2.88927e-008,0.3174
2.89313e-008,0.3205
2.89698e-008,0.3235
2.90084e-008,0.3254
2.90470e-008,0.3265
2.90855e-008,0.3301
2.91241e-008,0.3428
2.91627e-008,0.3767
2.92013e-008,0.4426
2.92398e-008,0.5415
2.92784e-008,0.6580
2.93170e-008,0.7691
2.93556e-008,0.8621
2.93941e-008,0.9380
2.94327e-008,0.9982
2.94713e-008,1.0439
2.95099e-008,1.0838
2.95485e-008,1.1229
2.95870e-008,1.1541
2.96256e-008,1.1626
2.96642e-008,1.1428
2.97028e-008,1.0770
2.97413e-008,0.9715
2.97799e-008,0.8496
2.98185e-008,0.7276
2.98570e-008,0.6169
2.98956e-008,0.5274
2.99342e-008,0.4603
2.99728e-008,0.4133
3.00113e-008,0.3837
3.00499e-008,0.3630
3.00885e-008,0.3468
3.01271e-008,0.3350
3.01657e-008,0.3257
3.02042e-008,0.3182
3.02428e-008,0.3151
3.02814e-008,0.3162
3.03199e-008,0.3189
3.03585e-008,0.3221
3.03971e-008,0.3246
3.04357e-008,0.3258
3.04743e-008,0.3261
3.05128e-008,0.3255
3.05514e-008,0.3242
3.05900e-008,0.3231
3.06285e-008,0.3227
3.06671e-008,0.3224
3.07057e-008,0.3224
3.07443e-008,0.3225
3.07829e-008,0.3223
3.08214e-008,0.3219
3.08600e-008,0.3214
3.08986e-008,0.3210
3.09372e-008,0.3222
3.09757e-008,0.3288
3.10143e-008,0.3487
3.10529e-008,0.3940
3.10914e-008,0.4723
3.11300e-008,0.5798
3.11686e-008,0.6965
3.12072e-008,0.8022
3.12458e-008,0.8893
3.12843e-008,0.9604
3.13229e-008,1.0160
3.13615e-008,1.0578
3.14000e-008,1.0987
3.14386e-008,1.1353
3.14772e-008,1.1596
3.15158e-008,1.1597
3.15544e-008,1.1238
3.15929e-008,1.0418
3.16315e-008,0.9274
3.16701e-008,0.8046
3.17087e-008,0.6850
3.17472e-008,0.5814
3.17858e-008,0.5002
3.18244e-008,0.4408
3.18629e-008,0.4006
3.19015e-008,0.3753
3.19401e-008,0.3565
3.19787e-008,0.3420
3.20173e-008,0.3315
3.20558e-008,0.3226
3.20944e-008,0.3165
3.21330e-008,0.3151
3.21715e-008,0.3171
3.22101e-008,0.3201
3.22487e-008,0.3231
3.22873e-008,0.3252
3.23259e-008,0.3260
3.23644e-008,0.3260
3.24030e-008,0.3251
3.24416e-008,0.3237
3.24801e-008,0.3229
3.25187e-008,0.3226
3.25573e-008,0.3223
3.25959e-008,0.3224
3.26344e-008,0.3225
3.26730e-008,0.3222
3.27116e-008,0.3217
3.27502e-008,0.3212
3.27888e-008,0.3211
3.28273e-008,0.3237
3.28659e-008,0.3340
3.29045e-008,0.3618
3.29430e-008,0.4188
3.29816e-008,0.5091
3.30202e-008,0.6230
3.30588e-008,0.7374
3.30974e-008,0.8362
3.31359e-008,0.9173
3.31745e-008,0.9826
3.32131e-008,1.0328
3.32516e-008,1.0725
3.32902e-008,1.1133
3.33288e-008,1.1476
3.33674e-008,1.1624
3.34060e-008,1.1521
3.34445e-008,1.0987
3.34831e-008,1.0023
3.35217e-008,0.8824
3.35603e-008,0.7598
3.35988e-008,0.6445
3.36374e-008,0.5489
3.36760e-008,0.4760
3.37145e-008,0.4238
3.37531e-008,0.3901
3.37917e-008,0.3678
3.38303e-008,0.3506
3.38689e-008,0.3377
3.39074e-008,0.3281
3.39460e-008,0.3199
3.39846e-008,0.3154
3.40231e-008,0.3156
3.40617e-008,0.3181
3.41003e-008,0.3213
3.41389e-008,0.3241
3.41775e-008,0.3256
3.42160e-008,0.3261
3.42546e-008,0.3258
3.42932e-008,0.3246
3.43318e-008,0.3233
3.43703e-008,0.3228
3.44089e-008,0.3225
3.44475e-008,0.3223
3.44860e-008,0.3225
3.45246e-008,0.3224
3.45632e-008,0.3220
3.46018e-008,0.3215
3.46404e-008,0.3211
3.46789e-008,0.3207
3.47175e-008,0.3206
3.47561e-008,0.3206
3.47946e-008,0.3206
3.48332e-008,0.3208
3.48718e-008,0.3209
3.49104e-008,0.3209
3.49490e-008,0.3209
3.49875e-008,0.3209
3.50261e-008,0.3208
3.50647e-008,0.3208
3.51032e-008,0.3208
3.51418e-008,0.3214
3.51804e-008,0.3251
3.52190e-008,0.3381
3.52575e-008,0.3711
3.52961e-008,0.4348
3.53347e-008,0.5314
3.53733e-008,0.6474
3.54119e-008,0.7596
3.54504e-008,0.8544
3.54890e-008,0.9323
3.55276e-008,0.9944
