.HEADER
..NAMES
Time,V U2.A3
.DATA
1.84774e-008,1.0164
1.85160e-008,0.8959
1.85546e-008,0.7769
1.85932e-008,0.6697
1.86317e-008,0.5766
1.86703e-008,0.5029
1.87089e-008,0.4491
1.87474e-008,0.4120
1.87860e-008,0.3859
1.88246e-008,0.3655
1.88632e-008,0.3491
1.89017e-008,0.3388
1.89403e-008,0.3328
1.89789e-008,0.3265
1.90175e-008,0.3199
1.90560e-008,0.3165
1.90946e-008,0.3173
1.91332e-008,0.3201
1.91718e-008,0.3224
1.92104e-008,0.3236
1.92489e-008,0.3243
1.92875e-008,0.3249
1.93261e-008,0.3248
1.93647e-008,0.3237
1.94032e-008,0.3225
1.94418e-008,0.3224
1.94804e-008,0.3228
1.95190e-008,0.3224
1.95575e-008,0.3216
1.95961e-008,0.3214
1.96347e-008,0.3217
1.96732e-008,0.3219
1.97118e-008,0.3217
1.97504e-008,0.3212
1.97890e-008,0.3210
1.98275e-008,0.3210
1.98661e-008,0.3211
1.99047e-008,0.3209
1.99433e-008,0.3208
1.99819e-008,0.3211
2.00204e-008,0.3212
2.00590e-008,0.3211
2.00976e-008,0.3210
2.01362e-008,0.3211
2.01747e-008,0.3236
2.02133e-008,0.3337
2.02519e-008,0.3620
2.02905e-008,0.4220
2.03290e-008,0.5189
2.03676e-008,0.6407
2.04062e-008,0.7582
2.04447e-008,0.8499
2.04833e-008,0.9182
2.05219e-008,0.9751
2.05605e-008,1.0236
2.05990e-008,1.0625
2.06376e-008,1.0919
2.06762e-008,1.1132
2.07148e-008,1.1294
2.07533e-008,1.1424
2.07919e-008,1.1516
2.08305e-008,1.1582
2.08691e-008,1.1654
2.09077e-008,1.1717
2.09462e-008,1.1738
2.09848e-008,1.1721
2.10234e-008,1.1702
2.10620e-008,1.1706
2.11005e-008,1.1747
2.11391e-008,1.1808
2.11777e-008,1.1813
2.12163e-008,1.1623
2.12548e-008,1.1067
2.12934e-008,1.0079
2.13320e-008,0.8865
2.13705e-008,0.7682
2.14091e-008,0.6628
2.14477e-008,0.5715
2.14863e-008,0.4991
2.15248e-008,0.4458
2.15634e-008,0.4047
2.16020e-008,0.3761
2.16406e-008,0.3694
2.16791e-008,0.3960
2.17177e-008,0.4608
2.17563e-008,0.5654
2.17949e-008,0.6868
2.18335e-008,0.7946
2.18720e-008,0.8787
2.19106e-008,0.9479
2.19492e-008,1.0043
2.19878e-008,1.0485
2.20263e-008,1.0832
2.20649e-008,1.1086
2.21035e-008,1.1256
2.21420e-008,1.1393
2.21806e-008,1.1501
2.22192e-008,1.1569
2.22578e-008,1.1633
2.22963e-008,1.1706
2.23349e-008,1.1747
2.23735e-008,1.1741
2.24121e-008,1.1722
2.24506e-008,1.1713
2.24892e-008,1.1727
2.25278e-008,1.1779
2.25664e-008,1.1824
2.26050e-008,1.1747
2.26435e-008,1.1386
2.26821e-008,1.0596
2.27207e-008,0.9453
2.27593e-008,0.8231
2.27978e-008,0.7114
2.28364e-008,0.6129
2.28750e-008,0.5309
2.29136e-008,0.4689
2.29521e-008,0.4235
2.29907e-008,0.3879
2.30293e-008,0.3694
2.30678e-008,0.3788
2.31064e-008,0.4249
2.31450e-008,0.5118
2.31836e-008,0.6293
2.32221e-008,0.7466
2.32607e-008,0.8411
2.32993e-008,0.9165
2.33379e-008,0.9792
2.33764e-008,1.0290
2.34150e-008,1.0677
2.34536e-008,1.0978
2.34922e-008,1.1182
2.35308e-008,1.1331
2.35693e-008,1.1455
2.36079e-008,1.1540
2.36465e-008,1.1601
2.36851e-008,1.1673
2.37236e-008,1.1734
2.37622e-008,1.1748
2.38008e-008,1.1731
2.38394e-008,1.1716
2.38779e-008,1.1716
2.39165e-008,1.1752
2.39551e-008,1.1810
2.39936e-008,1.1809
2.40322e-008,1.1604
2.40708e-008,1.1027
2.41094e-008,1.0023
2.41479e-008,0.8804
2.41865e-008,0.7626
2.42251e-008,0.6579
2.42637e-008,0.5674
2.43023e-008,0.4959
2.43408e-008,0.4437
2.43794e-008,0.4034
2.44180e-008,0.3757
2.44566e-008,0.3701
2.44951e-008,0.3983
2.45337e-008,0.4654
2.45723e-008,0.5715
2.46109e-008,0.6929
2.46494e-008,0.7995
2.46880e-008,0.8824
2.47266e-008,0.9511
2.47651e-008,1.0069
2.48037e-008,1.0506
2.48423e-008,1.0921
2.48809e-008,1.1342
2.49194e-008,1.1618
2.49580e-008,1.1620
2.49966e-008,1.1285
2.50352e-008,1.0468
2.50737e-008,0.9302
2.51123e-008,0.8082
2.51509e-008,0.6955
2.51895e-008,0.5927
2.52281e-008,0.5124
2.52666e-008,0.4560
2.53052e-008,0.4130
