.HEADER
..NAMES
Time,V U5.N2
.DATA
1.34231e-008,1.0894
1.34597e-008,1.0990
1.34964e-008,1.1072
1.35331e-008,1.1114
1.35697e-008,1.1108
1.36064e-008,1.1061
1.36431e-008,1.0995
1.36798e-008,1.0941
1.37165e-008,1.0915
1.37531e-008,1.0884
1.37898e-008,1.0753
1.38265e-008,1.0391
1.38631e-008,0.9717
1.38998e-008,0.8779
1.39365e-008,0.7698
1.39732e-008,0.6610
1.40099e-008,0.5673
1.40465e-008,0.5023
1.40832e-008,0.4695
1.41199e-008,0.4619
1.41565e-008,0.4674
1.41932e-008,0.4745
1.42299e-008,0.4755
1.42666e-008,0.4683
1.43033e-008,0.4555
1.43399e-008,0.4415
1.43766e-008,0.4307
1.44133e-008,0.4255
1.44499e-008,0.4261
1.44866e-008,0.4304
1.45233e-008,0.4357
1.45600e-008,0.4392
1.45967e-008,0.4388
1.46333e-008,0.4359
1.46700e-008,0.4369
1.47067e-008,0.4547
1.47433e-008,0.5029
1.47800e-008,0.5854
1.48167e-008,0.6912
1.48534e-008,0.7982
1.48901e-008,0.8874
1.49267e-008,0.9464
1.49634e-008,0.9701
1.50001e-008,0.9635
1.50368e-008,0.9424
1.50734e-008,0.9243
1.51101e-008,0.9206
1.51468e-008,0.9327
1.51834e-008,0.9544
1.52201e-008,0.9760
1.52568e-008,0.9899
1.52935e-008,0.9933
1.53301e-008,0.9877
1.53668e-008,0.9775
1.54035e-008,0.9676
1.54402e-008,0.9618
1.54769e-008,0.9624
1.55135e-008,0.9697
1.55502e-008,0.9824
1.55869e-008,0.9975
1.56236e-008,1.0111
1.56602e-008,1.0202
1.56969e-008,1.0243
1.57336e-008,1.0258
1.57703e-008,1.0285
1.58069e-008,1.0360
1.58436e-008,1.0498
1.58803e-008,1.0690
1.59169e-008,1.0892
1.59536e-008,1.1052
1.59903e-008,1.1129
1.60270e-008,1.1108
1.60636e-008,1.1010
1.61003e-008,1.0884
1.61370e-008,1.0791
1.61737e-008,1.0772
1.62104e-008,1.0830
1.62470e-008,1.0935
1.62837e-008,1.1044
1.63204e-008,1.1120
1.63571e-008,1.1144
1.63937e-008,1.1118
1.64304e-008,1.1058
1.64671e-008,1.0991
1.65037e-008,1.0947
1.65404e-008,1.0932
1.65771e-008,1.0898
1.66138e-008,1.0738
1.66504e-008,1.0315
1.66871e-008,0.9570
1.67238e-008,0.8574
1.67605e-008,0.7459
1.67972e-008,0.6370
1.68338e-008,0.5472
1.68705e-008,0.4887
1.69072e-008,0.4630
1.69439e-008,0.4615
1.69805e-008,0.4710
1.70172e-008,0.4792
1.70539e-008,0.4787
1.70905e-008,0.4689
1.71272e-008,0.4534
1.71639e-008,0.4379
1.72006e-008,0.4269
1.72372e-008,0.4229
1.72739e-008,0.4252
1.73106e-008,0.4311
1.73473e-008,0.4372
1.73840e-008,0.4402
1.74206e-008,0.4387
1.74573e-008,0.4355
1.74940e-008,0.4388
1.75307e-008,0.4629
1.75673e-008,0.5197
1.76040e-008,0.6098
1.76407e-008,0.7186
1.76773e-008,0.8235
1.77140e-008,0.9068
1.77507e-008,0.9576
1.77874e-008,0.9727
1.78240e-008,0.9601
1.78607e-008,0.9373
1.78974e-008,0.9209
1.79341e-008,0.9204
1.79708e-008,0.9355
1.80074e-008,0.9587
1.80441e-008,0.9802
1.80808e-008,0.9927
