.HEADER
..NAMES
Time,V U2.B8
.DATA
1.50828e-008,1.1797
1.51214e-008,1.1531
1.51600e-008,1.0820
1.51985e-008,0.9660
1.52371e-008,0.8344
1.52757e-008,0.7139
1.53143e-008,0.6136
1.53528e-008,0.5350
1.53914e-008,0.4760
1.54300e-008,0.4329
1.54686e-008,0.4038
1.55071e-008,0.3808
1.55457e-008,0.3595
1.55843e-008,0.3440
1.56229e-008,0.3367
1.56615e-008,0.3321
1.57000e-008,0.3263
1.57386e-008,0.3199
1.57772e-008,0.3160
1.58158e-008,0.3167
1.58543e-008,0.3199
1.58929e-008,0.3219
1.59315e-008,0.3237
1.59701e-008,0.3310
1.60086e-008,0.3526
1.60472e-008,0.4015
1.60858e-008,0.4886
1.61243e-008,0.6102
1.61629e-008,0.7398
1.62015e-008,0.8445
1.62401e-008,0.9150
1.62786e-008,0.9650
1.63172e-008,1.0076
1.63558e-008,1.0470
1.63944e-008,1.0810
1.64329e-008,1.1068
1.64715e-008,1.1262
1.65101e-008,1.1406
1.65487e-008,1.1482
1.65873e-008,1.1521
1.66258e-008,1.1584
1.66644e-008,1.1673
1.67030e-008,1.1740
1.67416e-008,1.1752
1.67801e-008,1.1721
1.68187e-008,1.1695
1.68573e-008,1.1704
1.68959e-008,1.1727
1.69344e-008,1.1744
1.69730e-008,1.1757
1.70116e-008,1.1770
1.70501e-008,1.1774
1.70887e-008,1.1765
1.71273e-008,1.1756
1.71659e-008,1.1762
1.72044e-008,1.1778
1.72430e-008,1.1789
1.72816e-008,1.1784
1.73202e-008,1.1779
1.73588e-008,1.1803
1.73973e-008,1.1837
1.74359e-008,1.1775
1.74745e-008,1.1427
1.75131e-008,1.0618
1.75516e-008,0.9415
1.75902e-008,0.8114
1.76288e-008,0.6935
1.76674e-008,0.5956
1.77059e-008,0.5202
1.77445e-008,0.4655
1.77831e-008,0.4257
1.78216e-008,0.3932
1.78602e-008,0.3716
1.78988e-008,0.3770
1.79374e-008,0.4243
1.79759e-008,0.5168
1.80145e-008,0.6408
1.80531e-008,0.7617
1.80917e-008,0.8558
1.81302e-008,0.9251
1.81688e-008,0.9786
1.82074e-008,1.0225
1.82460e-008,1.0613
1.82846e-008,1.0934
1.83231e-008,1.1171
1.83617e-008,1.1345
1.84003e-008,1.1451
1.84389e-008,1.1498
1.84774e-008,1.1552
1.85160e-008,1.1637
1.85546e-008,1.1715
1.85932e-008,1.1754
1.86317e-008,1.1748
1.86703e-008,1.1719
1.87089e-008,1.1707
1.87474e-008,1.1741
1.87860e-008,1.1803
1.88246e-008,1.1817
1.88632e-008,1.1639
1.89017e-008,1.1058
1.89403e-008,0.9994
1.89789e-008,0.8689
1.90175e-008,0.7445
1.90560e-008,0.6384
1.90946e-008,0.5537
1.91332e-008,0.4897
1.91718e-008,0.4427
1.92104e-008,0.4067
1.92489e-008,0.3792
1.92875e-008,0.3701
1.93261e-008,0.3962
1.93647e-008,0.4679
1.94032e-008,0.5802
1.94418e-008,0.7068
1.94804e-008,0.8145
1.95190e-008,0.8941
1.95575e-008,0.9546
1.95961e-008,1.0029
1.96347e-008,1.0440
1.96732e-008,1.0793
1.97118e-008,1.1066
1.97504e-008,1.1267
1.97890e-008,1.1410
1.98275e-008,1.1480
1.98661e-008,1.1522
1.99047e-008,1.1594
1.99433e-008,1.1683
1.99819e-008,1.1742
2.00204e-008,1.1755
2.00590e-008,1.1732
2.00976e-008,1.1709
2.01362e-008,1.1720
2.01747e-008,1.1773
2.02133e-008,1.1822
2.02519e-008,1.1760
2.02905e-008,1.1396
2.03290e-008,1.0550
2.03676e-008,0.9316
2.04062e-008,0.8016
2.04447e-008,0.6861
2.04833e-008,0.5912
2.05219e-008,0.5177
2.05605e-008,0.4631
2.05990e-008,0.4242
2.06376e-008,0.3978
2.06762e-008,0.3751
2.07148e-008,0.3545
2.07533e-008,0.3414
2.07919e-008,0.3357
2.08305e-008,0.3308
2.08691e-008,0.3246
2.09077e-008,0.3185
2.09462e-008,0.3158
2.09848e-008,0.3176
2.10234e-008,0.3207
2.10620e-008,0.3221
2.11005e-008,0.3230
2.11391e-008,0.3242
2.11777e-008,0.3241
2.12163e-008,0.3224
2.12548e-008,0.3206
2.12934e-008,0.3204
2.13320e-008,0.3213
2.13705e-008,0.3219
2.14091e-008,0.3210
2.14477e-008,0.3199
2.14863e-008,0.3199
2.15248e-008,0.3205
2.15634e-008,0.3220
2.16020e-008,0.3290
2.16406e-008,0.3518
2.16791e-008,0.4049
2.17177e-008,0.4972
2.17563e-008,0.6211
2.17949e-008,0.7487
2.18335e-008,0.8499
2.18720e-008,0.9190
2.19106e-008,0.9692
2.19492e-008,1.0115
2.19878e-008,1.0497
2.20263e-008,1.0829
2.20649e-008,1.1086
2.21035e-008,1.1279
2.21420e-008,1.1415
2.21806e-008,1.1484
2.22192e-008,1.1527
2.22578e-008,1.1596
2.22963e-008,1.1683
2.23349e-008,1.1741
2.23735e-008,1.1747
2.24121e-008,1.1718
2.24506e-008,1.1698
2.24892e-008,1.1706
2.25278e-008,1.1728
2.25664e-008,1.1745
2.26050e-008,1.1759
2.26435e-008,1.1772
