.HEADER
..NAMES
Time,V U3.P2
.DATA
2.14549e-008,1.0420
2.14915e-008,1.0460
2.15282e-008,1.0574
2.15649e-008,1.0728
2.16016e-008,1.0877
2.16383e-008,1.0979
2.16749e-008,1.1007
2.17116e-008,1.0964
2.17483e-008,1.0882
2.17850e-008,1.0802
2.18216e-008,1.0762
2.18583e-008,1.0778
2.18950e-008,1.0846
2.19316e-008,1.0942
2.19683e-008,1.1035
2.20050e-008,1.1096
2.20417e-008,1.1107
2.20783e-008,1.1069
2.21150e-008,1.1004
2.21517e-008,1.0940
2.21884e-008,1.0901
2.22251e-008,1.0902
2.22617e-008,1.0939
2.22984e-008,1.0999
2.23351e-008,1.1061
2.23718e-008,1.1096
2.24084e-008,1.1072
2.24451e-008,1.0946
2.24818e-008,1.0679
2.25184e-008,1.0249
2.25551e-008,0.9659
2.25918e-008,0.8920
2.26285e-008,0.8053
2.26651e-008,0.7131
2.27018e-008,0.6263
2.27385e-008,0.5537
2.27752e-008,0.4997
2.28119e-008,0.4663
2.28485e-008,0.4528
2.28852e-008,0.4541
2.29219e-008,0.4620
2.29586e-008,0.4678
2.29952e-008,0.4653
2.30319e-008,0.4518
2.30686e-008,0.4293
2.31052e-008,0.4027
2.31419e-008,0.3771
2.31786e-008,0.3568
2.32153e-008,0.3449
2.32519e-008,0.3426
2.32886e-008,0.3484
2.33253e-008,0.3607
2.33620e-008,0.3801
2.33987e-008,0.4098
2.34353e-008,0.4528
2.34720e-008,0.5103
2.35087e-008,0.5823
2.35454e-008,0.6671
2.35820e-008,0.7584
2.36187e-008,0.8434
2.36554e-008,0.9100
2.36920e-008,0.9524
2.37287e-008,0.9710
2.37654e-008,0.9697
2.38021e-008,0.9555
2.38387e-008,0.9389
2.38754e-008,0.9306
2.39121e-008,0.9370
2.39488e-008,0.9585
2.39855e-008,0.9901
2.40221e-008,1.0230
2.40588e-008,1.0498
2.40955e-008,1.0661
2.41322e-008,1.0707
2.41688e-008,1.0652
2.42055e-008,1.0549
2.42422e-008,1.0465
2.42788e-008,1.0442
2.43155e-008,1.0456
2.43522e-008,1.0432
2.43889e-008,1.0281
2.44255e-008,0.9937
2.44622e-008,0.9354
2.44989e-008,0.8516
2.45356e-008,0.7492
2.45723e-008,0.6438
2.46089e-008,0.5524
2.46456e-008,0.4859
2.46823e-008,0.4486
2.47190e-008,0.4393
2.47556e-008,0.4508
2.47923e-008,0.4710
2.48290e-008,0.4872
2.48657e-008,0.4896
2.49023e-008,0.4748
2.49390e-008,0.4462
2.49757e-008,0.4123
2.50123e-008,0.3815
2.50490e-008,0.3597
2.50857e-008,0.3498
2.51224e-008,0.3515
2.51590e-008,0.3602
2.51957e-008,0.3689
2.52324e-008,0.3719
2.52691e-008,0.3670
2.53058e-008,0.3552
2.53424e-008,0.3399
2.53791e-008,0.3256
2.54158e-008,0.3167
2.54525e-008,0.3158
2.54891e-008,0.3222
2.55258e-008,0.3327
2.55625e-008,0.3424
2.55991e-008,0.3476
2.56358e-008,0.3463
2.56725e-008,0.3390
2.57092e-008,0.3283
2.57458e-008,0.3175
2.57825e-008,0.3098
2.58192e-008,0.3073
2.58559e-008,0.3103
2.58926e-008,0.3167
2.59292e-008,0.3237
2.59659e-008,0.3287
2.60026e-008,0.3299
2.60393e-008,0.3275
2.60759e-008,0.3226
2.61126e-008,0.3174
2.61493e-008,0.3140
2.61859e-008,0.3137
2.62226e-008,0.3166
2.62593e-008,0.3219
2.62960e-008,0.3280
2.63326e-008,0.3332
2.63693e-008,0.3362
2.64060e-008,0.3365
2.64427e-008,0.3344
2.64794e-008,0.3311
2.65160e-008,0.3279
2.65527e-008,0.3259
2.65894e-008,0.3254
2.66261e-008,0.3262
2.66627e-008,0.3276
2.66994e-008,0.3290
2.67361e-008,0.3298
2.67727e-008,0.3299
2.68094e-008,0.3294
2.68461e-008,0.3286
2.68828e-008,0.3280
