.HEADER
..NAMES
Time,V U5.K1
.DATA
1.17727e-008,0.3288
1.18093e-008,0.3289
1.18460e-008,0.3291
1.18827e-008,0.3292
1.19194e-008,0.3292
1.19561e-008,0.3292
1.19927e-008,0.3292
1.20294e-008,0.3291
1.20661e-008,0.3290
1.21027e-008,0.3290
1.21394e-008,0.3290
1.21761e-008,0.3290
1.22128e-008,0.3290
1.22495e-008,0.3290
1.22861e-008,0.3291
1.23228e-008,0.3291
1.23595e-008,0.3291
1.23961e-008,0.3291
1.24328e-008,0.3291
1.24695e-008,0.3291
1.25062e-008,0.3291
1.25429e-008,0.3291
1.25795e-008,0.3290
1.26162e-008,0.3290
1.26529e-008,0.3290
1.26895e-008,0.3291
1.27262e-008,0.3295
1.27629e-008,0.3325
1.27996e-008,0.3427
1.28363e-008,0.3689
1.28729e-008,0.4202
1.29096e-008,0.4994
1.29463e-008,0.6016
1.29829e-008,0.7113
1.30196e-008,0.8131
1.30563e-008,0.8936
1.30930e-008,0.9423
1.31297e-008,0.9582
1.31663e-008,0.9521
1.32030e-008,0.9384
1.32397e-008,0.9280
1.32763e-008,0.9281
1.33130e-008,0.9394
1.33497e-008,0.9572
1.33864e-008,0.9760
1.34231e-008,0.9911
1.34597e-008,1.0000
1.34964e-008,1.0025
1.35331e-008,1.0001
1.35697e-008,0.9950
1.36064e-008,0.9899
1.36431e-008,0.9880
1.36798e-008,0.9929
1.37165e-008,1.0053
1.37531e-008,1.0205
1.37898e-008,1.0274
1.38265e-008,1.0081
1.38631e-008,0.9479
1.38998e-008,0.8505
1.39365e-008,0.7309
1.39732e-008,0.6065
1.40099e-008,0.5013
1.40465e-008,0.4379
1.40832e-008,0.4212
1.41199e-008,0.4397
1.41565e-008,0.4745
1.41932e-008,0.5052
1.42299e-008,0.5168
1.42666e-008,0.5062
1.43033e-008,0.4799
1.43399e-008,0.4483
1.43766e-008,0.4221
1.44133e-008,0.4083
1.44499e-008,0.4078
1.44866e-008,0.4173
1.45233e-008,0.4329
1.45600e-008,0.4491
1.45967e-008,0.4583
1.46333e-008,0.4564
1.46700e-008,0.4429
1.47067e-008,0.4192
1.47433e-008,0.3902
1.47800e-008,0.3634
1.48167e-008,0.3456
1.48534e-008,0.3396
1.48901e-008,0.3438
1.49267e-008,0.3526
1.49634e-008,0.3590
1.50001e-008,0.3576
1.50368e-008,0.3464
1.50734e-008,0.3283
1.51101e-008,0.3098
1.51468e-008,0.2978
1.51834e-008,0.2966
1.52201e-008,0.3059
1.52568e-008,0.3216
1.52935e-008,0.3378
1.53301e-008,0.3490
1.53668e-008,0.3515
1.54035e-008,0.3452
1.54402e-008,0.3331
1.54769e-008,0.3192
1.55135e-008,0.3078
1.55502e-008,0.3024
1.55869e-008,0.3043
1.56236e-008,0.3126
1.56602e-008,0.3249
1.56969e-008,0.3378
1.57336e-008,0.3479
1.57703e-008,0.3526
1.58069e-008,0.3508
1.58436e-008,0.3434
1.58803e-008,0.3329
1.59169e-008,0.3228
1.59536e-008,0.3162
1.59903e-008,0.3145
1.60270e-008,0.3178
1.60636e-008,0.3239
1.61003e-008,0.3303
1.61370e-008,0.3345
1.61737e-008,0.3352
1.62104e-008,0.3329
1.62470e-008,0.3290
1.62837e-008,0.3254
1.63204e-008,0.3235
1.63571e-008,0.3239
1.63937e-008,0.3262
1.64304e-008,0.3291
1.64671e-008,0.3316
1.65037e-008,0.3328
1.65404e-008,0.3325
1.65771e-008,0.3311
1.66138e-008,0.3291
1.66504e-008,0.3274
1.66871e-008,0.3266
1.67238e-008,0.3269
1.67605e-008,0.3281
1.67972e-008,0.3298
1.68338e-008,0.3315
1.68705e-008,0.3325
1.69072e-008,0.3325
1.69439e-008,0.3314
1.69805e-008,0.3297
1.70172e-008,0.3279
1.70539e-008,0.3266
1.70905e-008,0.3263
1.71272e-008,0.3271
1.71639e-008,0.3287
