.HEADER
..NAMES
Time,V U5.G2
.DATA
1.27683e-008,1.1166
1.28069e-008,1.1281
1.28455e-008,1.1364
1.28841e-008,1.1430
1.29226e-008,1.1505
1.29612e-008,1.1596
1.29998e-008,1.1690
1.30383e-008,1.1754
1.30769e-008,1.1758
1.31155e-008,1.1735
1.31541e-008,1.1730
1.31926e-008,1.1740
1.32312e-008,1.1741
1.32698e-008,1.1735
1.33084e-008,1.1736
1.33470e-008,1.1742
1.33855e-008,1.1748
1.34241e-008,1.1751
1.34627e-008,1.1754
1.35012e-008,1.1760
1.35398e-008,1.1766
1.35784e-008,1.1773
1.36170e-008,1.1777
1.36555e-008,1.1797
1.36941e-008,1.1824
1.37327e-008,1.1760
1.37713e-008,1.1436
1.38099e-008,1.0664
1.38484e-008,0.9553
1.38870e-008,0.8422
1.39256e-008,0.7323
1.39641e-008,0.6281
1.40027e-008,0.5395
1.40413e-008,0.4742
1.40799e-008,0.4304
1.41185e-008,0.3999
1.41570e-008,0.3775
1.41956e-008,0.3621
1.42342e-008,0.3531
1.42728e-008,0.3483
1.43113e-008,0.3447
1.43499e-008,0.3402
1.43885e-008,0.3321
1.44270e-008,0.3230
1.44656e-008,0.3187
1.45042e-008,0.3182
1.45428e-008,0.3183
1.45814e-008,0.3187
1.46199e-008,0.3207
1.46585e-008,0.3235
1.46971e-008,0.3252
1.47357e-008,0.3252
1.47742e-008,0.3245
1.48128e-008,0.3243
1.48514e-008,0.3243
1.48899e-008,0.3239
1.49285e-008,0.3233
1.49671e-008,0.3225
1.50057e-008,0.3216
1.50443e-008,0.3227
1.50828e-008,0.3300
1.51214e-008,0.3506
1.51600e-008,0.3990
1.51985e-008,0.4842
1.52371e-008,0.5984
1.52757e-008,0.7183
1.53143e-008,0.8130
1.53528e-008,0.8903
1.53914e-008,0.9581
1.54300e-008,1.0139
1.54686e-008,1.0543
1.55071e-008,1.0892
1.55457e-008,1.1349
1.55843e-008,1.1505
1.56229e-008,1.1459
1.56615e-008,1.1125
1.57000e-008,1.0356
1.57386e-008,0.9304
1.57772e-008,0.8215
1.58158e-008,0.7133
1.58543e-008,0.6114
1.58929e-008,0.5249
1.59315e-008,0.4621
1.59701e-008,0.4207
1.60086e-008,0.3924
1.60472e-008,0.3707
1.60858e-008,0.3570
1.61243e-008,0.3524
1.61629e-008,0.3477
1.62015e-008,0.3416
1.62401e-008,0.3362
1.62786e-008,0.3290
1.63172e-008,0.3217
1.63558e-008,0.3181
1.63944e-008,0.3174
1.64329e-008,0.3174
1.64715e-008,0.3180
1.65101e-008,0.3202
1.65487e-008,0.3231
1.65873e-008,0.3248
1.66258e-008,0.3246
1.66644e-008,0.3240
1.67030e-008,0.3244
1.67416e-008,0.3242
1.67801e-008,0.3230
1.68187e-008,0.3224
1.68573e-008,0.3219
1.68959e-008,0.3215
1.69344e-008,0.3216
1.69730e-008,0.3221
1.70116e-008,0.3224
1.70501e-008,0.3223
1.70887e-008,0.3224
1.71273e-008,0.3225
1.71659e-008,0.3225
1.72044e-008,0.3221
1.72430e-008,0.3218
1.72816e-008,0.3219
1.73202e-008,0.3220
1.73588e-008,0.3219
1.73973e-008,0.3218
1.74359e-008,0.3219
1.74745e-008,0.3219
1.75131e-008,0.3219
1.75516e-008,0.3220
1.75902e-008,0.3220
1.76288e-008,0.3219
1.76674e-008,0.3219
1.77059e-008,0.3219
1.77445e-008,0.3219
1.77831e-008,0.3218
1.78216e-008,0.3218
1.78602e-008,0.3218
1.78988e-008,0.3219
1.79374e-008,0.3218
1.79759e-008,0.3218
1.80145e-008,0.3218
1.80531e-008,0.3218
1.80917e-008,0.3218
1.81302e-008,0.3218
1.81688e-008,0.3218
1.82074e-008,0.3218
1.82460e-008,0.3218
1.82846e-008,0.3218
1.83231e-008,0.3218
1.83617e-008,0.3217
1.84003e-008,0.3217
1.84389e-008,0.3217
1.84774e-008,0.3217
1.85160e-008,0.3217
1.85546e-008,0.3217
1.85932e-008,0.3217
1.86317e-008,0.3217
1.86703e-008,0.3217
1.87089e-008,0.3217
1.87474e-008,0.3217
1.87860e-008,0.3217
1.88246e-008,0.3217
1.88632e-008,0.3217
1.89017e-008,0.3217
1.89403e-008,0.3217
1.89789e-008,0.3217
1.90175e-008,0.3217
1.90560e-008,0.3217
1.90946e-008,0.3217
1.91332e-008,0.3217
1.91718e-008,0.3217
1.92104e-008,0.3217
1.92489e-008,0.3217
1.92875e-008,0.3217
1.93261e-008,0.3217
1.93647e-008,0.3217
1.94032e-008,0.3216
1.94418e-008,0.3216
1.94804e-008,0.3216
1.95190e-008,0.3216
1.95575e-008,0.3216
1.95961e-008,0.3216
1.96347e-008,0.3216
1.96732e-008,0.3216
1.97118e-008,0.3218
1.97504e-008,0.3243
1.97890e-008,0.3351
1.98275e-008,0.3653
1.98661e-008,0.4292
1.99047e-008,0.5286
1.99433e-008,0.6495
1.99819e-008,0.7613
2.00204e-008,0.8468
2.00590e-008,0.9202
2.00976e-008,0.9831
2.01362e-008,1.0324
2.01747e-008,1.0665
2.02133e-008,1.0906
2.02519e-008,1.1087
2.02905e-008,1.1221
2.03290e-008,1.1319
2.03676e-008,1.1389
2.04062e-008,1.1458
2.04447e-008,1.1542
2.04833e-008,1.1638
2.05219e-008,1.1723
2.05605e-008,1.1761
2.05990e-008,1.1744
2.06376e-008,1.1728
2.06762e-008,1.1757
2.07148e-008,1.1820
2.07533e-008,1.1796
2.07919e-008,1.1577
2.08305e-008,1.0975
2.08691e-008,0.9957
2.09077e-008,0.8814
2.09462e-008,0.7710
2.09848e-008,0.6637
2.10234e-008,0.5691
2.10620e-008,0.4954
2.11005e-008,0.4448
2.11391e-008,0.4061
2.11777e-008,0.3739
2.12163e-008,0.3735
2.12548e-008,0.4046
2.12934e-008,0.4723
2.13320e-008,0.5718
2.13705e-008,0.6864
2.14091e-008,0.7820
2.14477e-008,0.8589
2.14863e-008,0.9301
2.15248e-008,0.9929
2.15634e-008,1.0397
2.16020e-008,1.0716
2.16406e-008,1.0960
2.16791e-008,1.1159
2.17177e-008,1.1294
2.17563e-008,1.1367
2.17949e-008,1.1434
2.18335e-008,1.1517
2.18720e-008,1.1603
2.19106e-008,1.1685
2.19492e-008,1.1751
2.19878e-008,1.1764
2.20263e-008,1.1741
2.20649e-008,1.1743
2.21035e-008,1.1806
2.21420e-008,1.1839
2.21806e-008,1.1726
2.22192e-008,1.1323
2.22578e-008,1.0478
2.22963e-008,0.9350
2.23349e-008,0.8226
2.23735e-008,0.7132
2.24121e-008,0.6118
2.24506e-008,0.5274
2.24892e-008,0.4663
2.25278e-008,0.4254
2.25664e-008,0.3958
2.26050e-008,0.3737
2.26435e-008,0.3593
2.26821e-008,0.3522
2.27207e-008,0.3481
2.27593e-008,0.3440
2.27978e-008,0.3386
2.28364e-008,0.3303
2.28750e-008,0.3220
2.29136e-008,0.3184
2.29521e-008,0.3181
2.29907e-008,0.3183
2.30293e-008,0.3190
2.30678e-008,0.3212
2.31064e-008,0.3239
2.31450e-008,0.3252
2.31836e-008,0.3249
2.32221e-008,0.3243
2.32607e-008,0.3244
2.32993e-008,0.3245
2.33379e-008,0.3237
2.33764e-008,0.3230
2.34150e-008,0.3222
2.34536e-008,0.3216
2.34922e-008,0.3218
2.35308e-008,0.3225
2.35693e-008,0.3228
2.36079e-008,0.3226
2.36465e-008,0.3227
2.36851e-008,0.3228
2.37236e-008,0.3227
2.37622e-008,0.3223
2.38008e-008,0.3220
2.38394e-008,0.3221
2.38779e-008,0.3222
2.39165e-008,0.3222
2.39551e-008,0.3221
2.39936e-008,0.3220
2.40322e-008,0.3220
2.40708e-008,0.3221
2.41094e-008,0.3222
2.41479e-008,0.3222
2.41865e-008,0.3221
2.42251e-008,0.3220
2.42637e-008,0.3220
2.43023e-008,0.3220
2.43408e-008,0.3219
2.43794e-008,0.3219
2.44180e-008,0.3219
2.44566e-008,0.3220
2.44951e-008,0.3220
2.45337e-008,0.3219
2.45723e-008,0.3219
2.46109e-008,0.3219
2.46494e-008,0.3219
2.46880e-008,0.3219
2.47266e-008,0.3219
2.47651e-008,0.3218
2.48037e-008,0.3218
2.48423e-008,0.3218
2.48809e-008,0.3218
2.49194e-008,0.3218
2.49580e-008,0.3218
2.49966e-008,0.3218
2.50352e-008,0.3218
2.50737e-008,0.3218
2.51123e-008,0.3218
2.51509e-008,0.3217
2.51895e-008,0.3217
2.52281e-008,0.3217
2.52666e-008,0.3217
2.53052e-008,0.3217
2.53438e-008,0.3217
2.53824e-008,0.3217
2.54209e-008,0.3217
2.54595e-008,0.3217
2.54981e-008,0.3217
2.55367e-008,0.3217
2.55752e-008,0.3217
2.56138e-008,0.3217
2.56524e-008,0.3217
2.56909e-008,0.3217
2.57295e-008,0.3217
2.57681e-008,0.3217
2.58067e-008,0.3218
2.58452e-008,0.3240
2.58838e-008,0.3341
2.59224e-008,0.3628
2.59610e-008,0.4246
2.59995e-008,0.5222
2.60381e-008,0.6426
2.60767e-008,0.7559
2.61153e-008,0.8424
2.61539e-008,0.9163
2.61924e-008,0.9799
2.62310e-008,1.0301
2.62696e-008,1.0649
2.63082e-008,1.0894
2.63467e-008,1.1078
2.63853e-008,1.1215
2.64239e-008,1.1315
2.64625e-008,1.1386
2.65010e-008,1.1454
2.65396e-008,1.1537
2.65782e-008,1.1632
2.66167e-008,1.1720
2.66553e-008,1.1760
2.66939e-008,1.1746
2.67325e-008,1.1727
2.67710e-008,1.1730
2.68096e-008,1.1738
2.68482e-008,1.1736
2.68868e-008,1.1731
2.69254e-008,1.1735
2.69639e-008,1.1742
2.70025e-008,1.1747
2.70411e-008,1.1749
2.70797e-008,1.1754
2.71182e-008,1.1760
2.71568e-008,1.1767
2.71954e-008,1.1773
2.72340e-008,1.1771
2.72725e-008,1.1762
2.73111e-008,1.1757
2.73497e-008,1.1760
2.73882e-008,1.1765
2.74268e-008,1.1766
2.74654e-008,1.1765
2.75040e-008,1.1766
2.75425e-008,1.1768
2.75811e-008,1.1768
2.76197e-008,1.1767
2.76583e-008,1.1767
2.76968e-008,1.1768
2.77354e-008,1.1769
2.77740e-008,1.1770
2.78126e-008,1.1769
2.78512e-008,1.1768
2.78897e-008,1.1767
2.79283e-008,1.1769
2.79669e-008,1.1770
2.80055e-008,1.1770
2.80440e-008,1.1770
2.80826e-008,1.1770
2.81212e-008,1.1770
2.81598e-008,1.1771
2.81983e-008,1.1770
2.82369e-008,1.1770
2.82755e-008,1.1771
2.83140e-008,1.1771
2.83526e-008,1.1771
2.83912e-008,1.1771
2.84298e-008,1.1771
2.84683e-008,1.1771
2.85069e-008,1.1772
2.85455e-008,1.1772
2.85841e-008,1.1772
2.86226e-008,1.1774
2.86612e-008,1.1800
2.86998e-008,1.1836
2.87384e-008,1.1782
2.87770e-008,1.1473
2.88155e-008,1.0725
2.88541e-008,0.9624
2.88927e-008,0.8490
2.89313e-008,0.7390
2.89698e-008,0.6341
2.90084e-008,0.5445
2.90470e-008,0.4777
2.90855e-008,0.4329
2.91241e-008,0.4017
2.91627e-008,0.3789
2.92013e-008,0.3631
2.92398e-008,0.3539
2.92784e-008,0.3490
2.93170e-008,0.3454
2.93556e-008,0.3408
2.93941e-008,0.3329
2.94327e-008,0.3238
2.94713e-008,0.3191
2.95099e-008,0.3185
2.95485e-008,0.3185
2.95870e-008,0.3189
2.96256e-008,0.3208
2.96642e-008,0.3237
