.HEADER
..NAMES
Time,V U3.L2
.DATA
1.41932e-008,0.7796
1.42299e-008,0.8575
1.42666e-008,0.9246
1.43033e-008,0.9743
1.43399e-008,1.0019
1.43766e-008,1.0074
1.44133e-008,0.9969
1.44499e-008,0.9802
1.44866e-008,0.9669
1.45233e-008,0.9645
1.45600e-008,0.9766
1.45967e-008,1.0019
1.46333e-008,1.0357
1.46700e-008,1.0707
1.47067e-008,1.0984
1.47433e-008,1.1123
1.47800e-008,1.1105
1.48167e-008,1.0962
1.48534e-008,1.0762
1.48901e-008,1.0588
1.49267e-008,1.0507
1.49634e-008,1.0542
1.50001e-008,1.0676
1.50368e-008,1.0865
1.50734e-008,1.1055
1.51101e-008,1.1195
1.51468e-008,1.1254
1.51834e-008,1.1226
1.52201e-008,1.1130
1.52568e-008,1.1003
1.52935e-008,1.0889
1.53301e-008,1.0827
1.53668e-008,1.0835
1.54035e-008,1.0907
1.54402e-008,1.1011
1.54769e-008,1.1110
1.55135e-008,1.1171
1.55502e-008,1.1181
1.55869e-008,1.1144
1.56236e-008,1.1080
1.56602e-008,1.1008
1.56969e-008,1.0948
1.57336e-008,1.0909
1.57703e-008,1.0895
1.58069e-008,1.0900
1.58436e-008,1.0916
1.58803e-008,1.0931
1.59169e-008,1.0933
1.59536e-008,1.0918
1.59903e-008,1.0890
1.60270e-008,1.0860
1.60636e-008,1.0841
1.61003e-008,1.0841
1.61370e-008,1.0860
1.61737e-008,1.0891
1.62104e-008,1.0921
1.62470e-008,1.0943
1.62837e-008,1.0950
1.63204e-008,1.0943
1.63571e-008,1.0923
1.63937e-008,1.0897
1.64304e-008,1.0870
1.64671e-008,1.0849
1.65037e-008,1.0838
1.65404e-008,1.0841
1.65771e-008,1.0856
1.66138e-008,1.0878
1.66504e-008,1.0899
1.66871e-008,1.0913
1.67238e-008,1.0916
1.67605e-008,1.0906
1.67972e-008,1.0886
1.68338e-008,1.0858
1.68705e-008,1.0829
1.69072e-008,1.0801
1.69439e-008,1.0780
1.69805e-008,1.0771
1.70172e-008,1.0776
1.70539e-008,1.0796
1.70905e-008,1.0825
1.71272e-008,1.0856
1.71639e-008,1.0883
1.72006e-008,1.0898
1.72372e-008,1.0898
1.72739e-008,1.0884
1.73106e-008,1.0863
1.73473e-008,1.0841
1.73840e-008,1.0825
1.74206e-008,1.0818
1.74573e-008,1.0825
1.74940e-008,1.0842
1.75307e-008,1.0869
1.75673e-008,1.0898
1.76040e-008,1.0923
1.76407e-008,1.0940
1.76773e-008,1.0940
1.77140e-008,1.0902
1.77507e-008,1.0786
1.77874e-008,1.0542
1.78240e-008,1.0139
1.78607e-008,0.9560
1.78974e-008,0.8806
1.79341e-008,0.7903
1.79708e-008,0.6928
1.80074e-008,0.5977
1.80441e-008,0.5145
1.80808e-008,0.4517
1.81175e-008,0.4147
1.81541e-008,0.4030
1.81908e-008,0.4103
1.82275e-008,0.4273
1.82641e-008,0.4430
