.HEADER
..NAMES
Time,V U2.J7&K7
.DATA
1.48167e-008,0.0690
1.48534e-008,0.2309
1.48901e-008,0.3794
1.49267e-008,0.5035
1.49634e-008,0.5949
1.50001e-008,0.6486
1.50368e-008,0.6628
1.50734e-008,0.6387
1.51101e-008,0.5788
1.51468e-008,0.4868
1.51834e-008,0.3667
1.52201e-008,0.2237
1.52568e-008,0.0649
1.52935e-008,-0.1003
1.53301e-008,-0.2608
1.53668e-008,-0.4052
1.54035e-008,-0.5230
1.54402e-008,-0.6064
1.54769e-008,-0.6513
1.55135e-008,-0.6568
1.55502e-008,-0.6244
1.55869e-008,-0.5571
1.56236e-008,-0.4586
1.56602e-008,-0.3334
1.56969e-008,-0.1867
1.57336e-008,-0.0261
1.57703e-008,0.1384
1.58069e-008,0.2960
1.58436e-008,0.4353
1.58803e-008,0.5462
1.59169e-008,0.6220
1.59536e-008,0.6590
1.59903e-008,0.6567
1.60270e-008,0.6172
1.60636e-008,0.5434
1.61003e-008,0.4390
1.61370e-008,0.3086
1.61737e-008,0.1579
1.62104e-008,-0.0050
1.62470e-008,-0.1695
1.62837e-008,-0.3245
1.63204e-008,-0.4588
1.63571e-008,-0.5626
1.63937e-008,-0.6300
1.64304e-008,-0.6581
1.64671e-008,-0.6472
1.65037e-008,-0.5997
1.65404e-008,-0.5188
1.65771e-008,-0.4085
1.66138e-008,-0.2734
1.66504e-008,-0.1196
1.66871e-008,0.0441
1.67238e-008,0.2074
1.67605e-008,0.3588
1.67972e-008,0.4873
1.68338e-008,0.5840
1.68705e-008,0.6434
1.69072e-008,0.6633
1.69439e-008,0.6446
1.69805e-008,0.5898
1.70172e-008,0.5023
1.70539e-008,0.3862
1.70905e-008,0.2463
1.71272e-008,0.0893
1.71639e-008,-0.0756
1.72006e-008,-0.2376
1.72372e-008,-0.3854
1.72739e-008,-0.5078
1.73106e-008,-0.5968
1.73473e-008,-0.6476
1.73840e-008,-0.6588
1.74206e-008,-0.6318
1.74573e-008,-0.5694
1.74940e-008,-0.4753
1.75307e-008,-0.3538
1.75673e-008,-0.2100
1.76040e-008,-0.0510
1.76407e-008,0.1137
1.76773e-008,0.2731
1.77140e-008,0.4160
1.77507e-008,0.5319
1.77874e-008,0.6134
1.78240e-008,0.6563
1.78607e-008,0.6598
1.78974e-008,0.6256
1.79341e-008,0.5566
1.79708e-008,0.4565
1.80074e-008,0.3297
1.80441e-008,0.1816
1.80808e-008,0.0199
1.81175e-008,-0.1450
1.81541e-008,-0.3023
1.81908e-008,-0.4405
1.82275e-008,-0.5496
1.82641e-008,-0.6228
1.83008e-008,-0.6569
1.83375e-008,-0.6517
1.83742e-008,-0.6094
1.84108e-008,-0.5332
1.84475e-008,-0.4270
1.84842e-008,-0.2954
1.85209e-008,-0.1441
1.85576e-008,0.0186
1.85942e-008,0.1823
1.86309e-008,0.3362
1.86676e-008,0.4688
1.87043e-008,0.5709
1.87409e-008,0.6364
1.87776e-008,0.6626
1.88143e-008,0.6499
1.88509e-008,0.6005
1.88876e-008,0.5178
1.89243e-008,0.4057
1.89610e-008,0.2691
1.89976e-008,0.1141
1.90343e-008,-0.0503
1.90710e-008,-0.2134
1.91077e-008,-0.3639
1.91444e-008,-0.4907
1.91810e-008,-0.5851
1.92177e-008,-0.6420
1.92544e-008,-0.6594
1.92911e-008,-0.6382
1.93277e-008,-0.5811
1.93644e-008,-0.4917
1.94011e-008,-0.3742
1.94377e-008,-0.2334
1.94744e-008,-0.0761
1.95111e-008,0.0884
1.95478e-008,0.2493
1.95844e-008,0.3954
1.96211e-008,0.5159
1.96578e-008,0.6029
1.96945e-008,0.6519
1.97312e-008,0.6614
1.97678e-008,0.6329
1.98045e-008,0.5691
1.98412e-008,0.4736
1.98779e-008,0.3505
1.99145e-008,0.2052
1.99512e-008,0.0450
1.99879e-008,-0.1202
2.00245e-008,-0.2793
2.00612e-008,-0.4210
2.00979e-008,-0.5349
2.01346e-008,-0.6138
2.01712e-008,-0.6539
2.02079e-008,-0.6547
2.02446e-008,-0.6180
2.02813e-008,-0.5468
2.03179e-008,-0.4450
2.03546e-008,-0.3169
2.03913e-008,-0.1681
2.04280e-008,-0.0063
2.04647e-008,0.1583
2.05013e-008,0.3146
2.05380e-008,0.4512
2.05747e-008,0.5583
2.06114e-008,0.6294
2.06480e-008,0.6614
2.06847e-008,0.6542
2.07214e-008,0.6100
2.07580e-008,0.5320
2.07947e-008,0.4241
2.08314e-008,0.2908
2.08681e-008,0.1381
2.09047e-008,-0.0255
2.09414e-008,-0.1896
2.09781e-008,-0.3428
2.10148e-008,-0.4740
2.10515e-008,-0.5738
2.10881e-008,-0.6365
2.11248e-008,-0.6597
2.11615e-008,-0.6440
2.11982e-008,-0.5920
2.12348e-008,-0.5071
2.12715e-008,-0.3935
2.13082e-008,-0.2559
2.13448e-008,-0.1005
2.13815e-008,0.0635
2.14182e-008,0.2257
2.14549e-008,0.3749
2.14915e-008,0.5000
2.15282e-008,0.5925
2.15649e-008,0.6474
2.16016e-008,0.6628
2.16383e-008,0.6398
2.16749e-008,0.5810
2.17116e-008,0.4899
2.17483e-008,0.3706
2.17850e-008,0.2282
2.18216e-008,0.0697
2.18583e-008,-0.0954
2.18950e-008,-0.2562
2.19316e-008,-0.4014
2.19683e-008,-0.5201
2.20050e-008,-0.6047
2.20417e-008,-0.6508
2.20783e-008,-0.6574
2.21150e-008,-0.6261
2.21517e-008,-0.5598
2.21884e-008,-0.4623
2.22251e-008,-0.3379
2.22617e-008,-0.1919
2.22984e-008,-0.0317
2.23351e-008,0.1329
2.23718e-008,0.2909
2.24084e-008,0.4311
2.24451e-008,0.5432
2.24818e-008,0.6202
2.25184e-008,0.6584
2.25551e-008,0.6574
2.25918e-008,0.6189
2.26285e-008,0.5460
2.26651e-008,0.4424
2.27018e-008,0.3127
2.27385e-008,0.1625
2.27752e-008,-0.0001
2.28119e-008,-0.1647
2.28485e-008,-0.3203
2.28852e-008,-0.4554
2.29219e-008,-0.5604
2.29586e-008,-0.6291
2.29952e-008,-0.6584
2.30319e-008,-0.6487
2.30686e-008,-0.6022
2.31052e-008,-0.5222
2.31419e-008,-0.4127
2.31786e-008,-0.2784
2.32153e-008,-0.1252
2.32519e-008,0.0382
2.32886e-008,0.2013
2.33253e-008,0.3531
2.33620e-008,0.4824
2.33987e-008,0.5803
2.34353e-008,0.6412
2.34720e-008,0.6627
2.35087e-008,0.6455
2.35454e-008,0.5921
2.35820e-008,0.5057
2.36187e-008,0.3904
2.36554e-008,0.2512
2.36920e-008,0.0946
2.37287e-008,-0.0703
2.37654e-008,-0.2324
2.38021e-008,-0.3806
2.38387e-008,-0.5038
2.38754e-008,-0.5939
2.39121e-008,-0.6460
2.39488e-008,-0.6586
2.39855e-008,-0.6330
2.40221e-008,-0.5720
2.40588e-008,-0.4791
2.40955e-008,-0.3585
2.41322e-008,-0.2154
2.41688e-008,-0.0568
2.42055e-008,0.1078
2.42422e-008,0.2675
2.42788e-008,0.4111
2.43155e-008,0.5279
2.43522e-008,0.6106
2.43889e-008,0.6548
2.44255e-008,0.6597
2.44622e-008,0.6268
2.44989e-008,0.5591
2.45356e-008,0.4600
2.45723e-008,0.3339
2.46089e-008,0.1862
2.46456e-008,0.0247
2.46823e-008,-0.1406
2.47190e-008,-0.2984
2.47556e-008,-0.4375
2.47923e-008,-0.5475
2.48290e-008,-0.6218
2.48657e-008,-0.6569
2.49023e-008,-0.6527
2.49390e-008,-0.6114
2.49757e-008,-0.5361
2.50123e-008,-0.4308
2.50490e-008,-0.2999
2.50857e-008,-0.1492
2.51224e-008,0.0133
2.51590e-008,0.1773
2.51957e-008,0.3316
2.52324e-008,0.4652
2.52691e-008,0.5683
2.53058e-008,0.6350
2.53424e-008,0.6623
2.53791e-008,0.6507
2.54158e-008,0.6023
2.54525e-008,0.5206
2.54891e-008,0.4093
2.55258e-008,0.2734
2.55625e-008,0.1189
2.55991e-008,-0.0454
2.56358e-008,-0.2086
2.56725e-008,-0.3598
2.57092e-008,-0.4875
2.57458e-008,-0.5831
2.57825e-008,-0.6411
2.58192e-008,-0.6596
2.58559e-008,-0.6396
2.58926e-008,-0.5836
2.59292e-008,-0.4951
2.59659e-008,-0.3784
2.60026e-008,-0.2383
2.60393e-008,-0.0815
2.60759e-008,0.0829
2.61126e-008,0.2442
2.61493e-008,0.3910
2.61859e-008,0.5125
2.62226e-008,0.6008
