.HEADER
..NAMES
Time,V U2.T8
.DATA
1.52935e-008,0.3301
1.53301e-008,0.3291
1.53668e-008,0.3291
1.54035e-008,0.3299
1.54402e-008,0.3310
1.54769e-008,0.3319
1.55135e-008,0.3322
1.55502e-008,0.3318
1.55869e-008,0.3306
1.56236e-008,0.3288
1.56602e-008,0.3269
1.56969e-008,0.3253
1.57336e-008,0.3246
1.57703e-008,0.3250
1.58069e-008,0.3265
1.58436e-008,0.3288
1.58803e-008,0.3313
1.59169e-008,0.3333
1.59536e-008,0.3343
1.59903e-008,0.3338
1.60270e-008,0.3322
1.60636e-008,0.3297
1.61003e-008,0.3271
1.61370e-008,0.3251
1.61737e-008,0.3241
1.62104e-008,0.3243
1.62470e-008,0.3258
1.62837e-008,0.3280
1.63204e-008,0.3305
1.63571e-008,0.3327
1.63937e-008,0.3340
1.64304e-008,0.3342
1.64671e-008,0.3331
1.65037e-008,0.3312
1.65404e-008,0.3288
1.65771e-008,0.3267
1.66138e-008,0.3253
1.66504e-008,0.3249
1.66871e-008,0.3256
1.67238e-008,0.3271
1.67605e-008,0.3294
1.67972e-008,0.3331
1.68338e-008,0.3398
1.68705e-008,0.3525
1.69072e-008,0.3738
1.69439e-008,0.4053
1.69805e-008,0.4478
1.70172e-008,0.5028
1.70539e-008,0.5715
1.70905e-008,0.6521
1.71272e-008,0.7387
1.71639e-008,0.8236
1.72006e-008,0.9015
1.72372e-008,0.9682
1.72739e-008,1.0197
1.73106e-008,1.0528
1.73473e-008,1.0679
1.73840e-008,1.0684
1.74206e-008,1.0592
1.74573e-008,1.0457
1.74940e-008,1.0330
1.75307e-008,1.0254
1.75673e-008,1.0252
1.76040e-008,1.0331
1.76407e-008,1.0474
1.76773e-008,1.0649
1.77140e-008,1.0820
1.77507e-008,1.0955
1.77874e-008,1.1013
1.78240e-008,1.0953
1.78607e-008,1.0749
1.78974e-008,1.0409
1.79341e-008,0.9952
1.79708e-008,0.9371
1.80074e-008,0.8643
1.80441e-008,0.7793
1.80808e-008,0.6900
1.81175e-008,0.6032
1.81541e-008,0.5224
1.81908e-008,0.4509
1.82275e-008,0.3939
1.82641e-008,0.3557
1.83008e-008,0.3368
