.HEADER
..NAMES
Time,V U5.F7
.DATA
1.36170e-008,0.3461
1.36555e-008,0.3399
1.36941e-008,0.3314
1.37327e-008,0.3227
1.37713e-008,0.3182
1.38099e-008,0.3165
1.38484e-008,0.3162
1.38870e-008,0.3180
1.39256e-008,0.3263
1.39641e-008,0.3484
1.40027e-008,0.3941
1.40413e-008,0.4709
1.40799e-008,0.5753
1.41185e-008,0.6916
1.41570e-008,0.7914
1.41956e-008,0.8789
1.42342e-008,0.9524
1.42728e-008,1.0098
1.43113e-008,1.0510
1.43499e-008,1.0850
1.43885e-008,1.1288
1.44270e-008,1.1436
1.44656e-008,1.1465
1.45042e-008,1.1214
1.45428e-008,1.0564
1.45814e-008,0.9635
1.46199e-008,0.8555
1.46585e-008,0.7400
1.46971e-008,0.6311
1.47357e-008,0.5368
1.47742e-008,0.4661
1.48128e-008,0.4177
1.48514e-008,0.3789
1.48899e-008,0.3682
1.49285e-008,0.3830
1.49671e-008,0.4328
1.50057e-008,0.5110
1.50443e-008,0.6157
1.50828e-008,0.7204
1.51214e-008,0.8136
1.51600e-008,0.8973
1.51985e-008,0.9676
1.52371e-008,1.0216
1.52757e-008,1.0615
1.53143e-008,1.1076
1.53528e-008,1.1349
1.53914e-008,1.1469
1.54300e-008,1.1350
1.54686e-008,1.0853
1.55071e-008,1.0004
1.55457e-008,0.8974
1.55843e-008,0.7814
1.56229e-008,0.6686
1.56615e-008,0.5687
1.57000e-008,0.4893
1.57386e-008,0.4345
1.57772e-008,0.3908
1.58158e-008,0.3703
1.58543e-008,0.3755
1.58929e-008,0.4131
1.59315e-008,0.4824
1.59701e-008,0.5805
1.60086e-008,0.6883
1.60472e-008,0.7843
1.60858e-008,0.8713
1.61243e-008,0.9466
1.61629e-008,1.0059
1.62015e-008,1.0493
1.62401e-008,1.0927
1.62786e-008,1.1294
1.63172e-008,1.1447
1.63558e-008,1.1424
1.63944e-008,1.1057
1.64329e-008,1.0301
1.64715e-008,0.9317
1.65101e-008,0.8188
1.65487e-008,0.7035
1.65873e-008,0.5988
1.66258e-008,0.5118
1.66644e-008,0.4498
1.67030e-008,0.4087
1.67416e-008,0.3814
1.67801e-008,0.3638
1.68187e-008,0.3562
1.68573e-008,0.3521
1.68959e-008,0.3460
1.69344e-008,0.3402
1.69730e-008,0.3329
1.70116e-008,0.3248
1.70501e-008,0.3190
1.70887e-008,0.3155
1.71273e-008,0.3146
1.71659e-008,0.3160
1.72044e-008,0.3185
1.72430e-008,0.3218
1.72816e-008,0.3248
1.73202e-008,0.3259
1.73588e-008,0.3258
1.73973e-008,0.3259
1.74359e-008,0.3256
1.74745e-008,0.3241
1.75131e-008,0.3229
1.75516e-008,0.3223
1.75902e-008,0.3219
1.76288e-008,0.3221
1.76674e-008,0.3224
1.77059e-008,0.3228
1.77445e-008,0.3232
1.77831e-008,0.3233
1.78216e-008,0.3232
1.78602e-008,0.3231
1.78988e-008,0.3228
1.79374e-008,0.3224
1.79759e-008,0.3224
1.80145e-008,0.3224
1.80531e-008,0.3222
1.80917e-008,0.3224
1.81302e-008,0.3253
1.81688e-008,0.3360
1.82074e-008,0.3654
1.82460e-008,0.4260
1.82846e-008,0.5188
1.83231e-008,0.6344
1.83617e-008,0.7435
1.84003e-008,0.8379
1.84389e-008,0.9200
1.84774e-008,0.9860
1.85160e-008,1.0348
1.85546e-008,1.0682
1.85932e-008,1.0917
1.86317e-008,1.1089
1.86703e-008,1.1209
1.87089e-008,1.1295
1.87474e-008,1.1375
1.87860e-008,1.1466
1.88246e-008,1.1568
1.88632e-008,1.1658
1.89017e-008,1.1727
1.89403e-008,1.1746
1.89789e-008,1.1734
1.90175e-008,1.1729
1.90560e-008,1.1726
1.90946e-008,1.1719
1.91332e-008,1.1711
1.91718e-008,1.1709
1.92104e-008,1.1715
1.92489e-008,1.1721
1.92875e-008,1.1725
1.93261e-008,1.1733
1.93647e-008,1.1745
1.94032e-008,1.1752
1.94418e-008,1.1754
1.94804e-008,1.1751
1.95190e-008,1.1758
1.95575e-008,1.1788
1.95961e-008,1.1783
1.96347e-008,1.1624
1.96732e-008,1.1125
1.97118e-008,1.0238
1.97504e-008,0.9184
1.97890e-008,0.8061
1.98275e-008,0.6918
1.98661e-008,0.5890
1.99047e-008,0.5067
1.99433e-008,0.4486
1.99819e-008,0.4090
2.00204e-008,0.3819
2.00590e-008,0.3653
2.00976e-008,0.3567
2.01362e-008,0.3518
2.01747e-008,0.3471
2.02133e-008,0.3413
2.02519e-008,0.3333
2.02905e-008,0.3242
2.03290e-008,0.3186
2.03676e-008,0.3166
2.04062e-008,0.3160
2.04447e-008,0.3169
2.04833e-008,0.3195
2.05219e-008,0.3229
2.05605e-008,0.3253
2.05990e-008,0.3259
2.06376e-008,0.3258
2.06762e-008,0.3259
2.07148e-008,0.3256
2.07533e-008,0.3244
2.07919e-008,0.3231
2.08305e-008,0.3224
2.08691e-008,0.3219
2.09077e-008,0.3222
2.09462e-008,0.3228
2.09848e-008,0.3231
2.10234e-008,0.3232
2.10620e-008,0.3233
2.11005e-008,0.3233
2.11391e-008,0.3231
2.11777e-008,0.3227
2.12163e-008,0.3224
2.12548e-008,0.3225
2.12934e-008,0.3225
2.13320e-008,0.3223
2.13705e-008,0.3222
2.14091e-008,0.3223
2.14477e-008,0.3224
2.14863e-008,0.3225
2.15248e-008,0.3225
2.15634e-008,0.3225
2.16020e-008,0.3224
2.16406e-008,0.3223
2.16791e-008,0.3223
2.17177e-008,0.3223
2.17563e-008,0.3222
2.17949e-008,0.3222
2.18335e-008,0.3223
2.18720e-008,0.3223
2.19106e-008,0.3222
2.19492e-008,0.3222
2.19878e-008,0.3222
2.20263e-008,0.3222
2.20649e-008,0.3222
2.21035e-008,0.3222
2.21420e-008,0.3221
2.21806e-008,0.3221
2.22192e-008,0.3221
2.22578e-008,0.3221
2.22963e-008,0.3221
2.23349e-008,0.3232
2.23735e-008,0.3297
2.24121e-008,0.3494
2.24506e-008,0.3958
2.24892e-008,0.4757
2.25278e-008,0.5839
2.25664e-008,0.6999
2.26050e-008,0.7992
2.26435e-008,0.8871
2.26821e-008,0.9602
2.27207e-008,1.0162
2.27593e-008,1.0556
2.27978e-008,1.0921
2.28364e-008,1.1321
2.28750e-008,1.1438
2.29136e-008,1.1438
2.29521e-008,1.1131
2.29907e-008,1.0427
2.30293e-008,0.9477
2.30678e-008,0.8385
2.31064e-008,0.7236
2.31450e-008,0.6161
2.31836e-008,0.5245
2.32221e-008,0.4577
2.32607e-008,0.4135
2.32993e-008,0.3841
2.33379e-008,0.3647
2.33764e-008,0.3558
2.34150e-008,0.3526
2.34536e-008,0.3462
2.34922e-008,0.3403
2.35308e-008,0.3338
2.35693e-008,0.3257
2.36079e-008,0.3195
2.36465e-008,0.3157
2.36851e-008,0.3143
2.37236e-008,0.3154
2.37622e-008,0.3206
2.38008e-008,0.3373
2.38394e-008,0.3754
2.38779e-008,0.4435
2.39165e-008,0.5398
2.39551e-008,0.6557
2.39936e-008,0.7616
2.40322e-008,0.8521
2.40708e-008,0.9302
2.41094e-008,0.9931
2.41479e-008,1.0392
2.41865e-008,1.0727
2.42251e-008,1.1166
2.42637e-008,1.1398
2.43023e-008,1.1473
2.43408e-008,1.1333
2.43794e-008,1.0811
2.44180e-008,0.9950
2.44566e-008,0.8916
2.44951e-008,0.7766
2.45337e-008,0.6645
2.45723e-008,0.5644
2.46109e-008,0.4854
2.46494e-008,0.4315
2.46880e-008,0.3885
2.47266e-008,0.3685
2.47651e-008,0.3742
2.48037e-008,0.4131
2.48423e-008,0.4826
2.48809e-008,0.5803
2.49194e-008,0.6885
2.49580e-008,0.7846
