.HEADER
..NAMES
Time,V U5.C8
.DATA
1.38099e-008,1.1724
1.38484e-008,1.1714
1.38870e-008,1.1715
1.39256e-008,1.1730
1.39641e-008,1.1740
1.40027e-008,1.1743
1.40413e-008,1.1751
1.40799e-008,1.1758
1.41185e-008,1.1758
1.41570e-008,1.1762
1.41956e-008,1.1776
1.42342e-008,1.1784
1.42728e-008,1.1776
1.43113e-008,1.1768
1.43499e-008,1.1774
1.43885e-008,1.1801
1.44270e-008,1.1835
1.44656e-008,1.1800
1.45042e-008,1.1519
1.45428e-008,1.0796
1.45814e-008,0.9668
1.46199e-008,0.8431
1.46585e-008,0.7292
1.46971e-008,0.6270
1.47357e-008,0.5377
1.47742e-008,0.4715
1.48128e-008,0.4295
1.48514e-008,0.3941
1.48899e-008,0.3684
1.49285e-008,0.3729
1.49671e-008,0.4208
1.50057e-008,0.5040
1.50443e-008,0.6143
1.50828e-008,0.7316
1.51214e-008,0.8325
1.51600e-008,0.9088
1.51985e-008,0.9714
1.52371e-008,1.0255
1.52757e-008,1.0656
1.53143e-008,1.1050
1.53528e-008,1.1452
1.53914e-008,1.1672
1.54300e-008,1.1527
1.54686e-008,1.1023
1.55071e-008,1.0138
1.55457e-008,0.8956
1.55843e-008,0.7696
1.56229e-008,0.6578
1.56615e-008,0.5647
1.57000e-008,0.4888
1.57386e-008,0.4355
1.57772e-008,0.4005
1.58158e-008,0.3741
1.58543e-008,0.3673
1.58929e-008,0.3987
1.59315e-008,0.4695
1.59701e-008,0.5711
1.60086e-008,0.6892
1.60472e-008,0.8000
1.60858e-008,0.8853
1.61243e-008,0.9499
1.61629e-008,1.0068
1.62015e-008,1.0543
1.62401e-008,1.0930
1.62786e-008,1.1326
1.63172e-008,1.1625
1.63558e-008,1.1620
1.63944e-008,1.1233
1.64329e-008,1.0449
1.64715e-008,0.9339
1.65101e-008,0.8090
1.65487e-008,0.6919
1.65873e-008,0.5925
1.66258e-008,0.5105
1.66644e-008,0.4496
1.67030e-008,0.4109
1.67416e-008,0.3811
1.67801e-008,0.3661
1.68187e-008,0.3839
1.68573e-008,0.4432
1.68959e-008,0.5361
1.69344e-008,0.6515
1.69730e-008,0.7669
1.70116e-008,0.8609
1.70501e-008,0.9310
1.70887e-008,0.9897
1.71273e-008,1.0407
1.71659e-008,1.0793
1.72044e-008,1.1201
1.72430e-008,1.1553
1.72816e-008,1.1663
1.73202e-008,1.1396
1.73588e-008,1.0742
1.73973e-008,0.9718
1.74359e-008,0.8484
1.74745e-008,0.7269
1.75131e-008,0.6221
1.75516e-008,0.5344
1.75902e-008,0.4661
1.76288e-008,0.4219
1.76674e-008,0.3893
1.77059e-008,0.3680
1.77445e-008,0.3734
1.77831e-008,0.4204
1.78216e-008,0.5034
1.78602e-008,0.6139
1.78988e-008,0.7321
1.79374e-008,0.8342
1.79759e-008,0.9105
1.80145e-008,0.9717
1.80531e-008,1.0259
1.80917e-008,1.0672
1.81302e-008,1.0933
1.81688e-008,1.1130
1.82074e-008,1.1300
1.82460e-008,1.1404
1.82846e-008,1.1464
1.83231e-008,1.1548
1.83617e-008,1.1654
1.84003e-008,1.1721
1.84389e-008,1.1734
1.84774e-008,1.1727
