.HEADER
..NAMES
Time,V U3.N8
.DATA
1.37165e-008,0.3955
1.37531e-008,0.3693
1.37898e-008,0.3530
1.38265e-008,0.3481
1.38631e-008,0.3519
1.38998e-008,0.3590
1.39365e-008,0.3635
1.39732e-008,0.3623
1.40099e-008,0.3551
1.40465e-008,0.3442
1.40832e-008,0.3330
1.41199e-008,0.3254
1.41565e-008,0.3239
1.41932e-008,0.3283
1.42299e-008,0.3359
1.42666e-008,0.3431
1.43033e-008,0.3466
1.43399e-008,0.3449
1.43766e-008,0.3383
1.44133e-008,0.3290
1.44499e-008,0.3200
1.44866e-008,0.3139
1.45233e-008,0.3124
1.45600e-008,0.3151
1.45967e-008,0.3202
1.46333e-008,0.3255
1.46700e-008,0.3286
1.47067e-008,0.3287
1.47433e-008,0.3258
1.47800e-008,0.3213
1.48167e-008,0.3169
1.48534e-008,0.3144
1.48901e-008,0.3146
1.49267e-008,0.3171
1.49634e-008,0.3211
1.50001e-008,0.3253
1.50368e-008,0.3284
1.50734e-008,0.3298
1.51101e-008,0.3297
1.51468e-008,0.3290
1.51834e-008,0.3283
1.52201e-008,0.3282
1.52568e-008,0.3285
1.52935e-008,0.3293
1.53301e-008,0.3298
1.53668e-008,0.3294
1.54035e-008,0.3280
1.54402e-008,0.3261
1.54769e-008,0.3246
1.55135e-008,0.3240
1.55502e-008,0.3247
1.55869e-008,0.3265
1.56236e-008,0.3289
1.56602e-008,0.3312
1.56969e-008,0.3327
1.57336e-008,0.3334
1.57703e-008,0.3346
1.58069e-008,0.3397
1.58436e-008,0.3537
1.58803e-008,0.3819
1.59169e-008,0.4276
1.59536e-008,0.4914
1.59903e-008,0.5705
1.60270e-008,0.6591
1.60636e-008,0.7484
1.61003e-008,0.8278
1.61370e-008,0.8890
1.61737e-008,0.9290
1.62104e-008,0.9497
1.62470e-008,0.9560
1.62837e-008,0.9547
1.63204e-008,0.9533
1.63571e-008,0.9582
1.63937e-008,0.9720
1.64304e-008,0.9932
1.64671e-008,1.0178
1.65037e-008,1.0408
1.65404e-008,1.0588
1.65771e-008,1.0701
1.66138e-008,1.0748
1.66504e-008,1.0751
1.66871e-008,1.0741
1.67238e-008,1.0747
1.67605e-008,1.0767
1.67972e-008,1.0753
1.68338e-008,1.0629
1.68705e-008,1.0326
1.69072e-008,0.9805
1.69439e-008,0.9056
1.69805e-008,0.8109
1.70172e-008,0.7062
1.70539e-008,0.6065
1.70905e-008,0.5260
1.71272e-008,0.4719
1.71639e-008,0.4455
1.72006e-008,0.4432
1.72372e-008,0.4564
1.72739e-008,0.4736
1.73106e-008,0.4836
1.73473e-008,0.4797
1.73840e-008,0.4611
1.74206e-008,0.4325
1.74573e-008,0.4014
1.74940e-008,0.3745
1.75307e-008,0.3562
1.75673e-008,0.3485
1.76040e-008,0.3502
1.76407e-008,0.3564
1.76773e-008,0.3612
1.77140e-008,0.3607
1.77507e-008,0.3541
1.77874e-008,0.3427
1.78240e-008,0.3300
1.78607e-008,0.3196
1.78974e-008,0.3150
1.79341e-008,0.3171
1.79708e-008,0.3246
1.80074e-008,0.3338
1.80441e-008,0.3409
1.80808e-008,0.3431
1.81175e-008,0.3399
1.81541e-008,0.3323
1.81908e-008,0.3224
1.82275e-008,0.3134
1.82641e-008,0.3079
1.83008e-008,0.3074
1.83375e-008,0.3111
1.83742e-008,0.3169
1.84108e-008,0.3225
1.84475e-008,0.3260
1.84842e-008,0.3265
1.85209e-008,0.3245
