.HEADER
..NAMES
Time,V U3.F8
.DATA
1.83617e-008,0.4048
1.84003e-008,0.3741
1.84389e-008,0.3614
1.84774e-008,0.3826
1.85160e-008,0.4435
1.85546e-008,0.5460
1.85932e-008,0.6712
1.86317e-008,0.7873
1.86703e-008,0.8785
1.87089e-008,0.9483
1.87474e-008,1.0027
1.87860e-008,1.0479
1.88246e-008,1.0840
1.88632e-008,1.1097
1.89017e-008,1.1283
1.89403e-008,1.1419
1.89789e-008,1.1507
1.90175e-008,1.1577
1.90560e-008,1.1646
1.90946e-008,1.1691
1.91332e-008,1.1703
1.91718e-008,1.1690
1.92104e-008,1.1677
1.92489e-008,1.1688
1.92875e-008,1.1719
1.93261e-008,1.1770
1.93647e-008,1.1815
1.94032e-008,1.1765
1.94418e-008,1.1458
1.94804e-008,1.0734
1.95190e-008,0.9652
1.95575e-008,0.8457
1.95961e-008,0.7322
1.96347e-008,0.6306
1.96732e-008,0.5452
1.97118e-008,0.4779
1.97504e-008,0.4293
1.97890e-008,0.3908
1.98275e-008,0.3668
1.98661e-008,0.3703
1.99047e-008,0.4137
1.99433e-008,0.4987
1.99819e-008,0.6157
2.00204e-008,0.7370
2.00590e-008,0.8388
2.00976e-008,0.9177
2.01362e-008,0.9780
2.01747e-008,1.0269
2.02133e-008,1.0690
2.02519e-008,1.1136
2.02905e-008,1.1508
2.03290e-008,1.1698
2.03676e-008,1.1578
2.04062e-008,1.1038
2.04447e-008,1.0045
2.04833e-008,0.8826
2.05219e-008,0.7608
2.05605e-008,0.6505
2.05990e-008,0.5607
2.06376e-008,0.4901
2.06762e-008,0.4371
2.07148e-008,0.4018
2.07533e-008,0.3762
2.07919e-008,0.3554
2.08305e-008,0.3412
2.08691e-008,0.3315
2.09077e-008,0.3238
2.09462e-008,0.3192
2.09848e-008,0.3172
2.10234e-008,0.3183
2.10620e-008,0.3217
2.11005e-008,0.3239
2.11391e-008,0.3244
2.11777e-008,0.3248
2.12163e-008,0.3246
2.12548e-008,0.3237
2.12934e-008,0.3228
2.13320e-008,0.3223
2.13705e-008,0.3222
2.14091e-008,0.3222
2.14477e-008,0.3218
2.14863e-008,0.3212
2.15248e-008,0.3211
2.15634e-008,0.3210
2.16020e-008,0.3206
2.16406e-008,0.3202
2.16791e-008,0.3201
2.17177e-008,0.3201
2.17563e-008,0.3201
2.17949e-008,0.3201
2.18335e-008,0.3201
2.18720e-008,0.3202
2.19106e-008,0.3202
2.19492e-008,0.3201
2.19878e-008,0.3200
2.20263e-008,0.3201
2.20649e-008,0.3201
2.21035e-008,0.3204
2.21420e-008,0.3234
2.21806e-008,0.3349
2.22192e-008,0.3663
2.22578e-008,0.4301
2.22963e-008,0.5292
2.23349e-008,0.6503
2.23735e-008,0.7643
2.24121e-008,0.8536
2.24506e-008,0.9220
2.24892e-008,0.9790
2.25278e-008,1.0279
2.25664e-008,1.0706
2.26050e-008,1.1169
2.26435e-008,1.1534
2.26821e-008,1.1670
2.27207e-008,1.1475
2.27593e-008,1.0816
2.27978e-008,0.9757
2.28364e-008,0.8543
2.28750e-008,0.7354
2.29136e-008,0.6292
2.29521e-008,0.5444
2.29907e-008,0.4778
2.30293e-008,0.4283
2.30678e-008,0.3906
2.31064e-008,0.3659
2.31450e-008,0.3653
2.31836e-008,0.4029
2.32221e-008,0.4816
2.32607e-008,0.5972
2.32993e-008,0.7226
2.33379e-008,0.8289
2.33764e-008,0.9101
2.34150e-008,0.9724
2.34536e-008,1.0223
2.34922e-008,1.0647
2.35308e-008,1.1090
2.35693e-008,1.1471
2.36079e-008,1.1691
2.36465e-008,1.1608
2.36851e-008,1.1120
2.37236e-008,1.0164
2.37622e-008,0.8962
2.38008e-008,0.7739
2.38394e-008,0.6616
2.38779e-008,0.5690
2.39165e-008,0.4964
2.39551e-008,0.4416
2.39936e-008,0.4049
2.40322e-008,0.3785
2.40708e-008,0.3571
2.41094e-008,0.3424
2.41479e-008,0.3324
2.41865e-008,0.3244
2.42251e-008,0.3194
2.42637e-008,0.3172
2.43023e-008,0.3180
2.43408e-008,0.3213
2.43794e-008,0.3236
2.44180e-008,0.3243
2.44566e-008,0.3248
2.44951e-008,0.3247
2.45337e-008,0.3237
2.45723e-008,0.3228
2.46109e-008,0.3223
2.46494e-008,0.3221
2.46880e-008,0.3221
2.47266e-008,0.3218
2.47651e-008,0.3212
2.48037e-008,0.3211
2.48423e-008,0.3210
2.48809e-008,0.3206
2.49194e-008,0.3202
2.49580e-008,0.3201
2.49966e-008,0.3200
2.50352e-008,0.3201
2.50737e-008,0.3200
2.51123e-008,0.3200
2.51509e-008,0.3202
2.51895e-008,0.3202
2.52281e-008,0.3200
2.52666e-008,0.3200
2.53052e-008,0.3200
2.53438e-008,0.3201
2.53824e-008,0.3203
2.54209e-008,0.3228
2.54595e-008,0.3329
2.54981e-008,0.3615
2.55367e-008,0.4215
2.55752e-008,0.5172
2.56138e-008,0.6373
2.56524e-008,0.7533
2.56909e-008,0.8453
2.57295e-008,0.9154
2.57681e-008,0.9733
2.58067e-008,1.0231
2.58452e-008,1.0658
2.58838e-008,1.1124
2.59224e-008,1.1503
2.59610e-008,1.1672
2.59995e-008,1.1515
2.60381e-008,1.0910
2.60767e-008,0.9883
2.61153e-008,0.8674
2.61539e-008,0.7478
2.61924e-008,0.6397
2.62310e-008,0.5525
2.62696e-008,0.4841
2.63082e-008,0.4329
2.63467e-008,0.3940
2.63853e-008,0.3676
2.64239e-008,0.3636
2.64625e-008,0.3971
2.65010e-008,0.4712
2.65396e-008,0.5838
2.65782e-008,0.7098
2.66167e-008,0.8188
2.66553e-008,0.9025
2.66939e-008,0.9665
2.67325e-008,1.0174
2.67710e-008,1.0604
2.68096e-008,1.1044
2.68482e-008,1.1437
2.68868e-008,1.1682
2.69254e-008,1.1632
2.69639e-008,1.1197
2.70025e-008,1.0283
2.70411e-008,0.9095
2.70797e-008,0.7867
2.71182e-008,0.6728
2.71568e-008,0.5779
2.71954e-008,0.5034
2.72340e-008,0.4465
2.72725e-008,0.4048
2.73111e-008,0.3740
2.73497e-008,0.3613
2.73882e-008,0.3825
2.74268e-008,0.4432
2.74654e-008,0.5454
2.75040e-008,0.6706
2.75425e-008,0.7869
2.75811e-008,0.8783
2.76197e-008,0.9481
2.76583e-008,1.0024
2.76968e-008,1.0477
2.77354e-008,1.0839
2.77740e-008,1.1096
2.78126e-008,1.1282
2.78512e-008,1.1418
2.78897e-008,1.1506
2.79283e-008,1.1576
2.79669e-008,1.1645
2.80055e-008,1.1690
2.80440e-008,1.1702
2.80826e-008,1.1689
2.81212e-008,1.1676
2.81598e-008,1.1687
2.81983e-008,1.1711
2.82369e-008,1.1729
2.82755e-008,1.1740
2.83140e-008,1.1748
2.83526e-008,1.1751
2.83912e-008,1.1753
2.84298e-008,1.1756
2.84683e-008,1.1762
2.85069e-008,1.1771
2.85455e-008,1.1774
2.85841e-008,1.1772
2.86226e-008,1.1772
2.86612e-008,1.1776
2.86998e-008,1.1780
2.87384e-008,1.1780
2.87770e-008,1.1779
2.88155e-008,1.1778
2.88541e-008,1.1778
2.88927e-008,1.1778
2.89313e-008,1.1777
2.89698e-008,1.1779
2.90084e-008,1.1780
2.90470e-008,1.1779
2.90855e-008,1.1778
2.91241e-008,1.1779
2.91627e-008,1.1796
2.92013e-008,1.1827
2.92398e-008,1.1813
2.92784e-008,1.1612
2.93170e-008,1.1039
2.93556e-008,1.0054
2.93941e-008,0.8865
2.94327e-008,0.7688
2.94713e-008,0.6625
2.95099e-008,0.5713
2.95485e-008,0.4982
2.95870e-008,0.4437
2.96256e-008,0.4019
2.96642e-008,0.3722
2.97028e-008,0.3650
2.97413e-008,0.3957
2.97799e-008,0.4674
2.98185e-008,0.5767
2.98570e-008,0.6996
2.98956e-008,0.8087
2.99342e-008,0.8945
2.99728e-008,0.9602
3.00113e-008,1.0123
3.00499e-008,1.0561
3.00885e-008,1.0999
3.01271e-008,1.1406
3.01657e-008,1.1672
3.02042e-008,1.1651
3.02428e-008,1.1270
3.02814e-008,1.0401
3.03199e-008,0.9227
3.03585e-008,0.7992
3.03971e-008,0.6840
3.04357e-008,0.5872
3.04743e-008,0.5110
3.05128e-008,0.4521
3.05514e-008,0.4117
3.05900e-008,0.3839
3.06285e-008,0.3614
3.06671e-008,0.3451
3.07057e-008,0.3344
3.07443e-008,0.3260
3.07829e-008,0.3204
3.08214e-008,0.3176
3.08600e-008,0.3176
3.08986e-008,0.3206
3.09372e-008,0.3235
3.09757e-008,0.3243
3.10143e-008,0.3249
3.10529e-008,0.3275
3.10914e-008,0.3381
3.11300e-008,0.3689
3.11686e-008,0.4328
3.12072e-008,0.5326
3.12458e-008,0.6541
3.12843e-008,0.7675
3.13229e-008,0.8556
3.13615e-008,0.9233
3.14000e-008,0.9799
3.14386e-008,1.0284
3.14772e-008,1.0708
3.15158e-008,1.1170
3.15544e-008,1.1535
3.15929e-008,1.1672
3.16315e-008,1.1478
3.16701e-008,1.0821
3.17087e-008,0.9765
3.17472e-008,0.8550
3.17858e-008,0.7358
3.18244e-008,0.6295
3.18629e-008,0.5447
3.19015e-008,0.4782
3.19401e-008,0.4287
3.19787e-008,0.3908
3.20173e-008,0.3660
3.20558e-008,0.3653
3.20944e-008,0.4027
3.21330e-008,0.4811
3.21715e-008,0.5966
3.22101e-008,0.7221
3.22487e-008,0.8285
3.22873e-008,0.9098
3.23259e-008,0.9722
3.23644e-008,1.0221
