.HEADER
..NAMES
Time,V U2.E3
.DATA
1.53914e-008,1.0974
1.54300e-008,1.0123
1.54686e-008,0.9079
1.55071e-008,0.7937
1.55457e-008,0.6783
1.55843e-008,0.5742
1.56229e-008,0.4943
1.56615e-008,0.4397
1.57000e-008,0.3966
1.57386e-008,0.3691
1.57772e-008,0.3760
1.58158e-008,0.4075
1.58543e-008,0.4698
1.58929e-008,0.5673
1.59315e-008,0.6775
1.59701e-008,0.7743
1.60086e-008,0.8642
1.60472e-008,0.9432
1.60858e-008,1.0057
1.61243e-008,1.0505
1.61629e-008,1.0825
1.62015e-008,1.1065
1.62401e-008,1.1208
1.62786e-008,1.1301
1.63172e-008,1.1411
1.63558e-008,1.1507
1.63944e-008,1.1591
1.64329e-008,1.1677
1.64715e-008,1.1733
1.65101e-008,1.1738
1.65487e-008,1.1737
1.65873e-008,1.1743
1.66258e-008,1.1755
1.66644e-008,1.1797
1.67030e-008,1.1794
1.67416e-008,1.1673
1.67801e-008,1.1240
1.68187e-008,1.0395
1.68573e-008,0.9352
1.68959e-008,0.8254
1.69344e-008,0.7111
1.69730e-008,0.6065
1.70116e-008,0.5201
1.70501e-008,0.4572
1.70887e-008,0.4149
1.71273e-008,0.3864
1.71659e-008,0.3691
1.72044e-008,0.3594
1.72430e-008,0.3527
1.72816e-008,0.3466
1.73202e-008,0.3383
1.73588e-008,0.3281
1.73973e-008,0.3215
1.74359e-008,0.3191
1.74745e-008,0.3177
1.75131e-008,0.3178
1.75516e-008,0.3198
1.75902e-008,0.3254
1.76288e-008,0.3396
1.76674e-008,0.3718
1.77059e-008,0.4350
1.77445e-008,0.5294
1.77831e-008,0.6450
1.78216e-008,0.7526
1.78602e-008,0.8437
1.78988e-008,0.9237
1.79374e-008,0.9895
1.79759e-008,1.0387
1.80145e-008,1.0728
1.80531e-008,1.1142
1.80917e-008,1.1420
1.81302e-008,1.1479
1.81688e-008,1.1376
1.82074e-008,1.0893
1.82460e-008,1.0033
1.82846e-008,0.8992
1.83231e-008,0.7833
1.83617e-008,0.6677
1.84003e-008,0.5651
1.84389e-008,0.4876
1.84774e-008,0.4346
1.85160e-008,0.3918
1.85546e-008,0.3674
1.85932e-008,0.3763
1.86317e-008,0.4098
1.86703e-008,0.4745
1.87089e-008,0.5735
1.87474e-008,0.6829
1.87860e-008,0.7796
1.88246e-008,0.8691
1.88632e-008,0.9469
1.89017e-008,1.0083
1.89403e-008,1.0525
1.89789e-008,1.0938
1.90175e-008,1.1357
1.90560e-008,1.1467
1.90946e-008,1.1448
1.91332e-008,1.1131
1.91718e-008,1.0375
1.92104e-008,0.9363
1.92489e-008,0.8244
1.92875e-008,0.7080
1.93261e-008,0.5997
1.93647e-008,0.5127
1.94032e-008,0.4519
1.94418e-008,0.4106
1.94804e-008,0.3814
1.95190e-008,0.3660
1.95575e-008,0.3590
1.95961e-008,0.3505
1.96347e-008,0.3439
1.96732e-008,0.3372
1.97118e-008,0.3279
1.97504e-008,0.3208
1.97890e-008,0.3172
1.98275e-008,0.3160
1.98661e-008,0.3165
1.99047e-008,0.3191
1.99433e-008,0.3267
1.99819e-008,0.3443
2.00204e-008,0.3819
2.00590e-008,0.4525
2.00976e-008,0.5530
2.01362e-008,0.6693
2.01747e-008,0.7723
2.02133e-008,0.8618
2.02519e-008,0.9389
2.02905e-008,1.0008
2.03290e-008,1.0463
2.03676e-008,1.0794
2.04062e-008,1.1232
2.04447e-008,1.1436
2.04833e-008,1.1479
2.05219e-008,1.1310
2.05605e-008,1.0736
2.05990e-008,0.9823
2.06376e-008,0.8757
2.06762e-008,0.7584
2.07148e-008,0.6445
2.07533e-008,0.5466
2.07919e-008,0.4746
2.08305e-008,0.4254
2.08691e-008,0.3836
2.09077e-008,0.3671
2.09462e-008,0.3812
2.09848e-008,0.4204
2.10234e-008,0.4926
2.10620e-008,0.5968
2.11005e-008,0.7039
2.11391e-008,0.7989
2.11777e-008,0.8865
2.12163e-008,0.9612
2.12548e-008,1.0188
2.12934e-008,1.0601
2.13320e-008,1.1042
2.13705e-008,1.1395
2.14091e-008,1.1475
2.14477e-008,1.1413
2.14863e-008,1.1006
2.15248e-008,1.0174
2.15634e-008,0.9138
2.16020e-008,0.7999
2.16406e-008,0.6842
2.16791e-008,0.5793
2.17177e-008,0.4979
2.17563e-008,0.4420
2.17949e-008,0.4035
2.18335e-008,0.3769
2.18720e-008,0.3643
2.19106e-008,0.3572
2.19492e-008,0.3488
2.19878e-008,0.3427
2.20263e-008,0.3353
2.20649e-008,0.3261
2.21035e-008,0.3197
2.21420e-008,0.3168
2.21806e-008,0.3160
2.22192e-008,0.3167
2.22578e-008,0.3196
2.22963e-008,0.3235
2.23349e-008,0.3257
2.23735e-008,0.3259
2.24121e-008,0.3266
2.24506e-008,0.3265
2.24892e-008,0.3251
2.25278e-008,0.3242
2.25664e-008,0.3232
2.26050e-008,0.3224
2.26435e-008,0.3225
2.26821e-008,0.3229
2.27207e-008,0.3233
2.27593e-008,0.3235
2.27978e-008,0.3236
