.HEADER
..NAMES
Time,V U4.F8
.DATA
1.46585e-008,1.0318
1.46971e-008,0.9157
1.47357e-008,0.7977
1.47742e-008,0.6899
1.48128e-008,0.5953
1.48514e-008,0.5169
1.48899e-008,0.4563
1.49285e-008,0.4097
1.49671e-008,0.3738
1.50057e-008,0.3600
1.50443e-008,0.3837
1.50828e-008,0.4472
1.51214e-008,0.5524
1.51600e-008,0.6804
1.51985e-008,0.7972
1.52371e-008,0.8846
1.52757e-008,0.9482
1.53143e-008,1.0016
1.53528e-008,1.0491
1.53914e-008,1.0907
1.54300e-008,1.1346
1.54686e-008,1.1678
1.55071e-008,1.1720
1.55457e-008,1.1412
1.55843e-008,1.0600
1.56229e-008,0.9429
1.56615e-008,0.8172
1.57000e-008,0.7033
1.57386e-008,0.6082
1.57772e-008,0.5297
1.58158e-008,0.4663
1.58543e-008,0.4198
1.58929e-008,0.3872
1.59315e-008,0.3625
1.59701e-008,0.3447
1.60086e-008,0.3332
1.60472e-008,0.3249
1.60858e-008,0.3202
1.61243e-008,0.3200
1.61629e-008,0.3228
1.62015e-008,0.3259
1.62401e-008,0.3266
1.62786e-008,0.3258
1.63172e-008,0.3255
1.63558e-008,0.3263
1.63944e-008,0.3333
1.64329e-008,0.3578
1.64715e-008,0.4129
1.65101e-008,0.5039
1.65487e-008,0.6216
1.65873e-008,0.7384
1.66258e-008,0.8321
1.66644e-008,0.9027
1.67030e-008,0.9622
1.67416e-008,1.0155
1.67801e-008,1.0602
1.68187e-008,1.0938
1.68573e-008,1.1169
1.68959e-008,1.1328
1.69344e-008,1.1435
1.69730e-008,1.1520
1.70116e-008,1.1596
1.70501e-008,1.1635
1.70887e-008,1.1637
1.71273e-008,1.1634
1.71659e-008,1.1653
1.72044e-008,1.1686
1.72430e-008,1.1712
1.72816e-008,1.1743
1.73202e-008,1.1791
1.73588e-008,1.1807
1.73973e-008,1.1662
1.74359e-008,1.1178
1.74745e-008,1.0263
1.75131e-008,0.9092
1.75516e-008,0.7914
1.75902e-008,0.6844
1.76288e-008,0.5907
1.76674e-008,0.5130
1.77059e-008,0.4533
1.77445e-008,0.4111
1.77831e-008,0.3804
1.78216e-008,0.3582
1.78602e-008,0.3435
1.78988e-008,0.3327
1.79374e-008,0.3242
1.79759e-008,0.3202
1.80145e-008,0.3210
1.80531e-008,0.3238
1.80917e-008,0.3255
1.81302e-008,0.3256
1.81688e-008,0.3257
1.82074e-008,0.3256
1.82460e-008,0.3248
1.82846e-008,0.3240
1.83231e-008,0.3237
1.83617e-008,0.3233
1.84003e-008,0.3225
1.84389e-008,0.3221
1.84774e-008,0.3221
1.85160e-008,0.3219
1.85546e-008,0.3211
1.85932e-008,0.3204
1.86317e-008,0.3203
1.86703e-008,0.3204
1.87089e-008,0.3202
1.87474e-008,0.3202
1.87860e-008,0.3203
1.88246e-008,0.3203
1.88632e-008,0.3201
1.89017e-008,0.3201
1.89403e-008,0.3202
1.89789e-008,0.3203
1.90175e-008,0.3201
1.90560e-008,0.3201
1.90946e-008,0.3202
1.91332e-008,0.3202
1.91718e-008,0.3202
1.92104e-008,0.3201
1.92489e-008,0.3202
1.92875e-008,0.3201
1.93261e-008,0.3201
1.93647e-008,0.3201
1.94032e-008,0.3201
1.94418e-008,0.3201
1.94804e-008,0.3201
1.95190e-008,0.3201
1.95575e-008,0.3201
1.95961e-008,0.3201
1.96347e-008,0.3216
1.96732e-008,0.3287
1.97118e-008,0.3508
1.97504e-008,0.4015
1.97890e-008,0.4885
1.98275e-008,0.6051
1.98661e-008,0.7245
1.99047e-008,0.8218
1.99433e-008,0.8949
1.99819e-008,0.9560
2.00204e-008,1.0101
2.00590e-008,1.0557
2.00976e-008,1.1023
2.01362e-008,1.1450
2.01747e-008,1.1696
2.02133e-008,1.1593
2.02519e-008,1.1094
2.02905e-008,1.0124
2.03290e-008,0.8889
2.03676e-008,0.7682
2.04062e-008,0.6621
2.04447e-008,0.5749
2.04833e-008,0.5019
2.05219e-008,0.4441
2.05605e-008,0.4005
2.05990e-008,0.3679
2.06376e-008,0.3562
2.06762e-008,0.3827
2.07148e-008,0.4517
2.07533e-008,0.5634
2.07919e-008,0.6942
2.08305e-008,0.8088
2.08691e-008,0.8932
2.09077e-008,0.9550
2.09462e-008,1.0065
2.09848e-008,1.0524
2.10234e-008,1.0947
2.10620e-008,1.1384
2.11005e-008,1.1695
2.11391e-008,1.1698
2.11777e-008,1.1347
2.12163e-008,1.0492
2.12548e-008,0.9293
2.12934e-008,0.8040
2.13320e-008,0.6918
2.13705e-008,0.5990
2.14091e-008,0.5221
2.14477e-008,0.4602
2.14863e-008,0.4138
2.15248e-008,0.3763
2.15634e-008,0.3564
2.16020e-008,0.3701
2.16406e-008,0.4249
2.16791e-008,0.5246
2.17177e-008,0.6530
2.17563e-008,0.7763
2.17949e-008,0.8702
2.18335e-008,0.9373
2.18720e-008,0.9912
2.19106e-008,1.0390
2.19492e-008,1.0785
2.19878e-008,1.1071
2.20263e-008,1.1271
2.20649e-008,1.1409
2.21035e-008,1.1496
2.21420e-008,1.1566
2.21806e-008,1.1627
2.22192e-008,1.1651
2.22578e-008,1.1641
2.22963e-008,1.1632
2.23349e-008,1.1651
2.23735e-008,1.1689
2.24121e-008,1.1715
2.24506e-008,1.1726
2.24892e-008,1.1733
2.25278e-008,1.1737
2.25664e-008,1.1739
2.26050e-008,1.1747
2.26435e-008,1.1759
2.26821e-008,1.1765
2.27207e-008,1.1765
2.27593e-008,1.1768
2.27978e-008,1.1774
2.28364e-008,1.1779
2.28750e-008,1.1778
2.29136e-008,1.1776
2.29521e-008,1.1776
2.29907e-008,1.1776
2.30293e-008,1.1776
2.30678e-008,1.1778
2.31064e-008,1.1780
2.31450e-008,1.1779
2.31836e-008,1.1778
2.32221e-008,1.1777
2.32607e-008,1.1779
2.32993e-008,1.1779
2.33379e-008,1.1779
2.33764e-008,1.1788
2.34150e-008,1.1819
2.34536e-008,1.1832
2.34922e-008,1.1704
2.35308e-008,1.1242
2.35693e-008,1.0341
2.36079e-008,0.9170
2.36465e-008,0.7987
2.36851e-008,0.6910
2.37236e-008,0.5960
2.37622e-008,0.5170
2.38008e-008,0.4565
2.38394e-008,0.4136
2.38779e-008,0.3823
2.39165e-008,0.3596
2.39551e-008,0.3446
2.39936e-008,0.3336
2.40322e-008,0.3248
2.40708e-008,0.3204
2.41094e-008,0.3211
2.41479e-008,0.3240
2.41865e-008,0.3256
2.42251e-008,0.3259
2.42637e-008,0.3260
2.43023e-008,0.3259
2.43408e-008,0.3250
2.43794e-008,0.3242
2.44180e-008,0.3240
2.44566e-008,0.3236
2.44951e-008,0.3228
2.45337e-008,0.3223
2.45723e-008,0.3224
2.46109e-008,0.3222
2.46494e-008,0.3214
2.46880e-008,0.3206
2.47266e-008,0.3205
2.47651e-008,0.3206
2.48037e-008,0.3204
2.48423e-008,0.3204
2.48809e-008,0.3206
2.49194e-008,0.3205
2.49580e-008,0.3203
2.49966e-008,0.3203
2.50352e-008,0.3204
2.50737e-008,0.3204
2.51123e-008,0.3203
2.51509e-008,0.3203
2.51895e-008,0.3203
2.52281e-008,0.3204
2.52666e-008,0.3222
2.53052e-008,0.3303
2.53438e-008,0.3546
2.53824e-008,0.4089
2.54209e-008,0.4995
2.54595e-008,0.6179
2.54981e-008,0.7359
2.55367e-008,0.8304
2.55752e-008,0.9018
2.56138e-008,0.9620
2.56524e-008,1.0154
2.56909e-008,1.0598
2.57295e-008,1.0934
2.57681e-008,1.1167
2.58067e-008,1.1326
2.58452e-008,1.1432
2.58838e-008,1.1518
2.59224e-008,1.1595
2.59610e-008,1.1635
2.59995e-008,1.1636
2.60381e-008,1.1632
2.60767e-008,1.1651
2.61153e-008,1.1684
2.61539e-008,1.1709
2.61924e-008,1.1741
2.62310e-008,1.1790
2.62696e-008,1.1806
2.63082e-008,1.1661
2.63467e-008,1.1180
2.63853e-008,1.0267
2.64239e-008,0.9097
2.64625e-008,0.7918
2.65010e-008,0.6848
2.65396e-008,0.5910
2.65782e-008,0.5132
2.66167e-008,0.4534
2.66553e-008,0.4078
2.66939e-008,0.3728
2.67325e-008,0.3600
2.67710e-008,0.3854
2.68096e-008,0.4511
2.68482e-008,0.5580
2.68868e-008,0.6861
2.69254e-008,0.8017
2.69639e-008,0.8878
2.70025e-008,0.9508
2.70411e-008,1.0037
2.70797e-008,1.0508
2.71182e-008,1.0874
2.71568e-008,1.1130
2.71954e-008,1.1313
2.72340e-008,1.1436
2.72725e-008,1.1516
2.73111e-008,1.1583
2.73497e-008,1.1636
2.73882e-008,1.1652
2.74268e-008,1.1639
2.74654e-008,1.1636
2.75040e-008,1.1662
2.75425e-008,1.1699
2.75811e-008,1.1719
2.76197e-008,1.1727
2.76583e-008,1.1734
2.76968e-008,1.1738
2.77354e-008,1.1741
2.77740e-008,1.1751
2.78126e-008,1.1762
2.78512e-008,1.1766
2.78897e-008,1.1766
2.79283e-008,1.1769
2.79669e-008,1.1776
2.80055e-008,1.1780
2.80440e-008,1.1778
2.80826e-008,1.1776
2.81212e-008,1.1777
2.81598e-008,1.1777
2.81983e-008,1.1777
2.82369e-008,1.1779
2.82755e-008,1.1780
2.83140e-008,1.1779
2.83526e-008,1.1778
2.83912e-008,1.1778
2.84298e-008,1.1779
2.84683e-008,1.1780
2.85069e-008,1.1779
2.85455e-008,1.1796
2.85841e-008,1.1829
2.86226e-008,1.1820
2.86612e-008,1.1624
2.86998e-008,1.1049
2.87384e-008,1.0051
2.87770e-008,0.8856
2.88155e-008,0.7694
2.88541e-008,0.6649
2.88927e-008,0.5738
2.89313e-008,0.4994
2.89698e-008,0.4438
2.90084e-008,0.3998
2.90470e-008,0.3684
2.90855e-008,0.3624
2.91241e-008,0.3962
2.91627e-008,0.4708
2.92013e-008,0.5841
2.92398e-008,0.7126
2.92784e-008,0.8226
2.93170e-008,0.9028
2.93556e-008,0.9627
2.93941e-008,1.0144
2.94327e-008,1.0598
2.94713e-008,1.0939
2.95099e-008,1.1175
2.95485e-008,1.1347
2.95870e-008,1.1459
2.96256e-008,1.1533
2.96642e-008,1.1599
2.97028e-008,1.1646
2.97413e-008,1.1655
2.97799e-008,1.1640
2.98185e-008,1.1641
2.98570e-008,1.1673
2.98956e-008,1.1708
2.99342e-008,1.1724
2.99728e-008,1.1731
3.00113e-008,1.1738
3.00499e-008,1.1741
3.00885e-008,1.1745
3.01271e-008,1.1755
3.01657e-008,1.1766
3.02042e-008,1.1768
3.02428e-008,1.1768
3.02814e-008,1.1772
3.03199e-008,1.1779
3.03585e-008,1.1782
3.03971e-008,1.1779
3.04357e-008,1.1778
3.04743e-008,1.1779
3.05128e-008,1.1779
3.05514e-008,1.1779
3.05900e-008,1.1781
3.06285e-008,1.1782
3.06671e-008,1.1780
3.07057e-008,1.1779
3.07443e-008,1.1780
3.07829e-008,1.1781
3.08214e-008,1.1781
3.08600e-008,1.1780
3.08986e-008,1.1780
3.09372e-008,1.1781
3.09757e-008,1.1780
3.10143e-008,1.1780
3.10529e-008,1.1781
3.10914e-008,1.1781
3.11300e-008,1.1780
3.11686e-008,1.1780
3.12072e-008,1.1781
3.12458e-008,1.1781
3.12843e-008,1.1781
3.13229e-008,1.1780
3.13615e-008,1.1781
3.14000e-008,1.1781
3.14386e-008,1.1781
3.14772e-008,1.1781
3.15158e-008,1.1781
3.15544e-008,1.1781
3.15929e-008,1.1781
3.16315e-008,1.1781
3.16701e-008,1.1781
3.17087e-008,1.1781
3.17472e-008,1.1781
3.17858e-008,1.1781
3.18244e-008,1.1795
3.18629e-008,1.1827
3.19015e-008,1.1828
3.19401e-008,1.1662
3.19787e-008,1.1133
3.20173e-008,1.0173
3.20558e-008,0.8986
3.20944e-008,0.7815
3.21330e-008,0.6756
3.21715e-008,0.5829
3.22101e-008,0.5066
3.22487e-008,0.4490
3.22873e-008,0.4082
3.23259e-008,0.3784
3.23644e-008,0.3570
3.24030e-008,0.3430
3.24416e-008,0.3323
3.24801e-008,0.3239
3.25187e-008,0.3204
3.25573e-008,0.3217
3.25959e-008,0.3245
3.26344e-008,0.3259
3.26730e-008,0.3260
3.27116e-008,0.3261
3.27502e-008,0.3261
3.27888e-008,0.3286
3.28273e-008,0.3420
3.28659e-008,0.3793
3.29045e-008,0.4510
3.29430e-008,0.5566
3.29816e-008,0.6781
3.30202e-008,0.7861
3.30588e-008,0.8675
3.30974e-008,0.9316
3.31359e-008,0.9880
3.31745e-008,1.0380
3.32131e-008,1.0822
3.32516e-008,1.1292
3.32902e-008,1.1637
3.33288e-008,1.1678
3.33674e-008,1.1379
3.34060e-008,1.0586
3.34445e-008,0.9434
3.34831e-008,0.8189
3.35217e-008,0.7055
3.35603e-008,0.6108
3.35988e-008,0.5317
3.36374e-008,0.4671
3.36760e-008,0.4202
3.37145e-008,0.3876
3.37531e-008,0.3628
3.37917e-008,0.3447
3.38303e-008,0.3331
3.38689e-008,0.3250
3.39074e-008,0.3203
3.39460e-008,0.3199
3.39846e-008,0.3226
3.40231e-008,0.3258
3.40617e-008,0.3264
3.41003e-008,0.3255
3.41389e-008,0.3253
3.41775e-008,0.3250
3.42160e-008,0.3241
3.42546e-008,0.3236
3.42932e-008,0.3235
3.43318e-008,0.3230
3.43703e-008,0.3224
3.44089e-008,0.3220
3.44475e-008,0.3219
3.44860e-008,0.3215
3.45246e-008,0.3206
3.45632e-008,0.3201
3.46018e-008,0.3203
3.46404e-008,0.3217
3.46789e-008,0.3281
3.47175e-008,0.3490
3.47561e-008,0.3977
3.47946e-008,0.4825
3.48332e-008,0.5976
3.48718e-008,0.7177
3.49104e-008,0.8170
3.49490e-008,0.8912
3.49875e-008,0.9527
3.50261e-008,1.0072
3.50647e-008,1.0533
3.51032e-008,1.0887
3.51418e-008,1.1134
3.51804e-008,1.1304
3.52190e-008,1.1416
3.52575e-008,1.1504
3.52961e-008,1.1583
3.53347e-008,1.1632
3.53733e-008,1.1637
3.54119e-008,1.1631
3.54504e-008,1.1646
3.54890e-008,1.1678
3.55276e-008,1.1706
3.55661e-008,1.1733
3.56047e-008,1.1781
3.56433e-008,1.1810
3.56819e-008,1.1702
3.57205e-008,1.1288
3.57590e-008,1.0440
3.57976e-008,0.9293
3.58362e-008,0.8104
3.58747e-008,0.7013
3.59133e-008,0.6052
3.59519e-008,0.5247
3.59905e-008,0.4619
3.60290e-008,0.4171
3.60676e-008,0.3849
3.61062e-008,0.3612
3.61448e-008,0.3454
3.61834e-008,0.3342
3.62219e-008,0.3253
3.62605e-008,0.3204
3.62991e-008,0.3205
3.63376e-008,0.3232
3.63762e-008,0.3252
3.64148e-008,0.3255
3.64534e-008,0.3255
3.64920e-008,0.3256
3.65305e-008,0.3270
3.65691e-008,0.3363
3.66077e-008,0.3660
3.66462e-008,0.4281
3.66848e-008,0.5257
3.67234e-008,0.6460
3.67620e-008,0.7598
3.68006e-008,0.8480
3.68391e-008,0.9154
3.68777e-008,0.9733
3.69163e-008,1.0254
3.69549e-008,1.0690
3.69934e-008,1.1166
3.70320e-008,1.1554
3.70706e-008,1.1700
3.71091e-008,1.1499
3.71477e-008,1.0837
3.71863e-008,0.9761
3.72249e-008,0.8507
3.72635e-008,0.7339
3.73020e-008,0.6338
3.73406e-008,0.5512
3.73792e-008,0.4827
3.74177e-008,0.4306
3.74563e-008,0.3952
3.74949e-008,0.3686
3.75335e-008,0.3486
3.75721e-008,0.3357
3.76106e-008,0.3267
3.76492e-008,0.3209
3.76878e-008,0.3194
3.77263e-008,0.3216
3.77649e-008,0.3250
3.78035e-008,0.3264
3.78421e-008,0.3256
3.78806e-008,0.3252
3.79192e-008,0.3257
3.79578e-008,0.3301
3.79964e-008,0.3484
3.80350e-008,0.3941
3.80735e-008,0.4755
3.81121e-008,0.5880
3.81507e-008,0.7080
3.81892e-008,0.8091
3.82278e-008,0.8848
3.82664e-008,0.9466
3.83050e-008,1.0014
3.83436e-008,1.0489
3.83821e-008,1.0856
3.84207e-008,1.1112
3.84593e-008,1.1290
3.84978e-008,1.1407
3.85364e-008,1.1497
3.85750e-008,1.1576
3.86136e-008,1.1628
3.86521e-008,1.1638
3.86907e-008,1.1632
3.87293e-008,1.1644
3.87679e-008,1.1676
3.88065e-008,1.1705
3.88450e-008,1.1720
3.88836e-008,1.1727
3.89222e-008,1.1732
3.89607e-008,1.1735
3.89993e-008,1.1742
3.90379e-008,1.1754
3.90765e-008,1.1762
3.91151e-008,1.1763
3.91536e-008,1.1764
3.91922e-008,1.1770
3.92308e-008,1.1776
3.92693e-008,1.1777
3.93079e-008,1.1776
3.93465e-008,1.1775
3.93851e-008,1.1775
3.94237e-008,1.1775
3.94622e-008,1.1777
3.95008e-008,1.1778
3.95394e-008,1.1778
3.95780e-008,1.1777
3.96165e-008,1.1776
3.96551e-008,1.1777
3.96937e-008,1.1778
3.97322e-008,1.1778
3.97708e-008,1.1777
3.98094e-008,1.1778
3.98480e-008,1.1778
3.98866e-008,1.1778
3.99251e-008,1.1778
3.99637e-008,1.1779
4.00023e-008,1.1779
4.00408e-008,1.1778
4.00794e-008,1.1778
4.01180e-008,1.1779
4.01566e-008,1.1779
4.01952e-008,1.1779
4.02337e-008,1.1779
4.02723e-008,1.1779
4.03109e-008,1.1779
4.03494e-008,1.1779
4.03880e-008,1.1779
4.04266e-008,1.1780
4.04652e-008,1.1780
4.05037e-008,1.1780
4.05423e-008,1.1780
4.05809e-008,1.1780
4.06195e-008,1.1780
4.06581e-008,1.1780
4.06966e-008,1.1780
4.07352e-008,1.1794
4.07738e-008,1.1826
4.08123e-008,1.1828
4.08509e-008,1.1663
4.08895e-008,1.1136
4.09281e-008,1.0178
4.09667e-008,0.8992
4.10052e-008,0.7820
4.10438e-008,0.6760
4.10824e-008,0.5832
4.11209e-008,0.5069
4.11595e-008,0.4492
4.11981e-008,0.4043
4.12367e-008,0.3709
4.12752e-008,0.3612
4.13138e-008,0.3906
