.HEADER
..NAMES
Time,V U4.C2
.DATA
3.78035e-008,0.9602
3.78421e-008,1.0172
3.78806e-008,1.0604
3.79192e-008,1.0966
3.79578e-008,1.1443
3.79964e-008,1.1605
3.80350e-008,1.1550
3.80735e-008,1.1197
3.81121e-008,1.0336
3.81507e-008,0.9138
3.81892e-008,0.7924
3.82278e-008,0.6776
3.82664e-008,0.5800
3.83050e-008,0.5043
3.83436e-008,0.4487
3.83821e-008,0.4123
3.84207e-008,0.3883
3.84593e-008,0.3665
3.84978e-008,0.3519
3.85364e-008,0.3419
3.85750e-008,0.3297
3.86136e-008,0.3201
3.86521e-008,0.3174
3.86907e-008,0.3175
3.87293e-008,0.3189
3.87679e-008,0.3212
3.88065e-008,0.3230
3.88450e-008,0.3246
3.88836e-008,0.3272
3.89222e-008,0.3385
3.89607e-008,0.3739
3.89993e-008,0.4462
3.90379e-008,0.5530
3.90765e-008,0.6791
3.91151e-008,0.7887
3.91536e-008,0.8671
3.91922e-008,0.9345
3.92308e-008,0.9933
3.92693e-008,1.0405
3.93079e-008,1.0749
3.93465e-008,1.0994
3.93851e-008,1.1162
3.94237e-008,1.1297
3.94622e-008,1.1434
3.95008e-008,1.1569
3.95394e-008,1.1675
3.95780e-008,1.1699
3.96165e-008,1.1673
3.96551e-008,1.1674
3.96937e-008,1.1698
3.97322e-008,1.1718
3.97708e-008,1.1731
3.98094e-008,1.1739
3.98480e-008,1.1741
3.98866e-008,1.1745
3.99251e-008,1.1758
3.99637e-008,1.1774
4.00023e-008,1.1782
4.00408e-008,1.1772
4.00794e-008,1.1765
4.01180e-008,1.1772
4.01566e-008,1.1781
4.01952e-008,1.1784
4.02337e-008,1.1786
4.02723e-008,1.1799
4.03109e-008,1.1843
4.03494e-008,1.1838
4.03880e-008,1.1634
4.04266e-008,1.1017
4.04652e-008,0.9934
4.05037e-008,0.8735
4.05423e-008,0.7631
4.05809e-008,0.6574
4.06195e-008,0.5652
4.06581e-008,0.4934
4.06966e-008,0.4423
4.07352e-008,0.4026
4.07738e-008,0.3697
4.08123e-008,0.3723
4.08509e-008,0.4036
4.08895e-008,0.4673
4.09281e-008,0.5683
4.09667e-008,0.6966
4.10052e-008,0.8042
4.10438e-008,0.8846
4.10824e-008,0.9537
4.11209e-008,1.0119
4.11595e-008,1.0566
4.11981e-008,1.0866
4.12367e-008,1.1077
4.12752e-008,1.1252
4.13138e-008,1.1379
