.HEADER
..NAMES
Time,V U5.A3
.DATA
1.96347e-008,1.1720
1.96732e-008,1.1319
1.97118e-008,1.0467
1.97504e-008,0.9293
1.97890e-008,0.8093
1.98275e-008,0.7004
1.98661e-008,0.6033
1.99047e-008,0.5234
1.99433e-008,0.4636
1.99819e-008,0.4198
2.00204e-008,0.3848
2.00590e-008,0.3672
2.00976e-008,0.3806
2.01362e-008,0.4336
2.01747e-008,0.5266
2.02133e-008,0.6455
2.02519e-008,0.7612
2.02905e-008,0.8544
2.03290e-008,0.9282
2.03676e-008,0.9871
2.04062e-008,1.0343
2.04447e-008,1.0723
2.04833e-008,1.1013
2.05219e-008,1.1206
2.05605e-008,1.1349
2.05990e-008,1.1458
2.06376e-008,1.1539
2.06762e-008,1.1614
2.07148e-008,1.1684
2.07533e-008,1.1715
2.07919e-008,1.1707
2.08305e-008,1.1692
2.08691e-008,1.1689
2.09077e-008,1.1700
2.09462e-008,1.1719
2.09848e-008,1.1734
2.10234e-008,1.1741
2.10620e-008,1.1746
2.11005e-008,1.1751
2.11391e-008,1.1752
2.11777e-008,1.1756
2.12163e-008,1.1766
2.12548e-008,1.1771
2.12934e-008,1.1769
2.13320e-008,1.1767
2.13705e-008,1.1769
2.14091e-008,1.1787
2.14477e-008,1.1824
2.14863e-008,1.1822
2.15248e-008,1.1638
2.15634e-008,1.1079
2.16020e-008,1.0084
2.16406e-008,0.8871
2.16791e-008,0.7697
2.17177e-008,0.6644
2.17563e-008,0.5726
2.17949e-008,0.5000
2.18335e-008,0.4471
2.18720e-008,0.4058
2.19106e-008,0.3754
2.19492e-008,0.3674
2.19878e-008,0.3959
2.20263e-008,0.4636
2.20649e-008,0.5691
2.21035e-008,0.6902
2.21420e-008,0.7984
2.21806e-008,0.8832
2.22192e-008,0.9514
2.22578e-008,1.0056
2.22963e-008,1.0494
2.23349e-008,1.0844
2.23735e-008,1.1094
2.24121e-008,1.1263
2.24506e-008,1.1394
2.24892e-008,1.1492
