.HEADER
..NAMES
Time,V U3.C7&B7
.DATA
1.26526e-008,1.1457
1.26912e-008,1.0685
1.27297e-008,0.9512
1.27683e-008,0.8285
1.28069e-008,0.7028
1.28455e-008,0.5919
1.28841e-008,0.5069
1.29226e-008,0.4471
1.29612e-008,0.4061
1.29998e-008,0.3721
1.30383e-008,0.3623
1.30769e-008,0.3780
1.31155e-008,0.4272
1.31541e-008,0.5155
1.31926e-008,0.6398
1.32312e-008,0.7591
1.32698e-008,0.8575
1.33084e-008,0.9395
1.33470e-008,1.0005
1.33855e-008,1.0442
1.34241e-008,1.0820
1.34627e-008,1.1288
1.35012e-008,1.1612
1.35398e-008,1.1701
1.35784e-008,1.1580
1.36170e-008,1.0994
1.36555e-008,0.9894
1.36941e-008,0.8680
1.37327e-008,0.7420
1.37713e-008,0.6244
1.38099e-008,0.5308
1.38484e-008,0.4636
1.38870e-008,0.4178
1.39256e-008,0.3812
1.39641e-008,0.3623
1.40027e-008,0.3698
1.40413e-008,0.4078
1.40799e-008,0.4826
1.41185e-008,0.5990
1.41570e-008,0.7240
1.41956e-008,0.8281
1.42342e-008,0.9157
1.42728e-008,0.9835
1.43113e-008,1.0315
1.43499e-008,1.0701
1.43885e-008,1.1134
1.44270e-008,1.1550
1.44656e-008,1.1686
1.45042e-008,1.1656
1.45428e-008,1.1247
1.45814e-008,1.0271
1.46199e-008,0.9067
1.46585e-008,0.7820
1.46971e-008,0.6594
1.47357e-008,0.5575
1.47742e-008,0.4822
1.48128e-008,0.4305
1.48514e-008,0.3933
1.48899e-008,0.3653
1.49285e-008,0.3653
1.49671e-008,0.3923
1.50057e-008,0.4546
1.50443e-008,0.5587
1.50828e-008,0.6864
1.51214e-008,0.7973
1.51600e-008,0.8897
1.51985e-008,0.9645
1.52371e-008,1.0179
1.52757e-008,1.0584
1.53143e-008,1.0981
1.53528e-008,1.1455
1.53914e-008,1.1659
1.54300e-008,1.1696
1.54686e-008,1.1435
1.55071e-008,1.0629
1.55457e-008,0.9451
1.55843e-008,0.8222
1.56229e-008,0.6967
1.56615e-008,0.5869
1.57000e-008,0.5032
1.57386e-008,0.4446
1.57772e-008,0.4045
1.58158e-008,0.3713
1.58543e-008,0.3627
1.58929e-008,0.3800
1.59315e-008,0.4308
1.59701e-008,0.5212
1.60086e-008,0.6465
1.60472e-008,0.7647
1.60858e-008,0.8621
1.61243e-008,0.9432
1.61629e-008,1.0030
1.62015e-008,1.0463
1.62401e-008,1.0844
1.62786e-008,1.1325
1.63172e-008,1.1621
1.63558e-008,1.1706
1.63944e-008,1.1566
1.64329e-008,1.0947
1.64715e-008,0.9833
1.65101e-008,0.8618
1.65487e-008,0.7357
1.65873e-008,0.6190
1.66258e-008,0.5268
1.66644e-008,0.4608
1.67030e-008,0.4160
1.67416e-008,0.3802
1.67801e-008,0.3623
1.68187e-008,0.3712
1.68573e-008,0.4109
1.68959e-008,0.4876
1.69344e-008,0.6057
1.69730e-008,0.7299
1.70116e-008,0.8330
1.70501e-008,0.9197
1.70887e-008,0.9864
1.71273e-008,1.0336
1.71659e-008,1.0721
1.72044e-008,1.1171
1.72430e-008,1.1565
1.72816e-008,1.1693
1.73202e-008,1.1650
1.73588e-008,1.1210
1.73973e-008,1.0210
1.74359e-008,0.9006
1.74745e-008,0.7756
1.75131e-008,0.6536
1.75516e-008,0.5530
1.75902e-008,0.4791
1.76288e-008,0.4284
1.76674e-008,0.3909
1.77059e-008,0.3644
1.77445e-008,0.3657
1.77831e-008,0.3944
1.78216e-008,0.4586
1.78602e-008,0.5653
1.78988e-008,0.6927
1.79374e-008,0.8024
1.79759e-008,0.8941
1.80145e-008,0.9677
1.80531e-008,1.0202
1.80917e-008,1.0602
1.81302e-008,1.0997
1.81688e-008,1.1464
1.82074e-008,1.1662
1.82460e-008,1.1688
1.82846e-008,1.1407
1.83231e-008,1.0575
1.83617e-008,0.9387
1.84003e-008,0.8156
1.84389e-008,0.6905
1.84774e-008,0.5820
1.85160e-008,0.4997
1.85546e-008,0.4422
1.85932e-008,0.4023
1.86317e-008,0.3697
1.86703e-008,0.3627
1.87089e-008,0.3814
1.87474e-008,0.4343
1.87860e-008,0.5271
1.88246e-008,0.6530
1.88632e-008,0.7701
1.89017e-008,0.8667
1.89403e-008,0.9467
1.89789e-008,1.0056
1.90175e-008,1.0482
1.90560e-008,1.0861
1.90946e-008,1.1336
1.91332e-008,1.1627
1.91718e-008,1.1702
1.92104e-008,1.1546
1.92489e-008,1.0900
1.92875e-008,0.9771
1.93261e-008,0.8553
1.93647e-008,0.7292
1.94032e-008,0.6136
1.94418e-008,0.5228
1.94804e-008,0.4580
1.95190e-008,0.4139
1.95575e-008,0.3779
1.95961e-008,0.3621
1.96347e-008,0.3720
1.96732e-008,0.4137
1.97118e-008,0.4927
1.97504e-008,0.6122
1.97890e-008,0.7356
1.98275e-008,0.8378
1.98661e-008,0.9236
1.99047e-008,0.9892
1.99433e-008,1.0357
1.99819e-008,1.0739
2.00204e-008,1.1185
2.00590e-008,1.1573
2.00976e-008,1.1693
2.01362e-008,1.1636
2.01747e-008,1.1172
2.02133e-008,1.0150
2.02519e-008,0.8942
2.02905e-008,0.7690
2.03290e-008,0.6478
2.03676e-008,0.5486
2.04062e-008,0.4760
2.04447e-008,0.4263
2.04833e-008,0.3897
2.05219e-008,0.3641
2.05605e-008,0.3666
2.05990e-008,0.3970
2.06376e-008,0.4632
2.06762e-008,0.5715
2.07148e-008,0.6989
2.07533e-008,0.8074
2.07919e-008,0.8984
2.08305e-008,0.9709
2.08691e-008,1.0225
2.09077e-008,1.0622
2.09462e-008,1.1030
2.09848e-008,1.1490
2.10234e-008,1.1669
2.10620e-008,1.1687
2.11005e-008,1.1381
2.11391e-008,1.0517
2.11777e-008,0.9327
2.12163e-008,0.8093
2.12548e-008,0.6844
2.12934e-008,0.5771
2.13320e-008,0.4962
2.13705e-008,0.4398
2.14091e-008,0.4008
2.14477e-008,0.3690
2.14863e-008,0.3633
2.15248e-008,0.3835
2.15634e-008,0.4381
2.16020e-008,0.5329
2.16406e-008,0.6596
2.16791e-008,0.7755
2.17177e-008,0.8712
2.17563e-008,0.9503
2.17949e-008,1.0080
2.18335e-008,1.0502
2.18720e-008,1.0887
2.19106e-008,1.1371
2.19492e-008,1.1635
2.19878e-008,1.1706
2.20263e-008,1.1530
2.20649e-008,1.0849
2.21035e-008,0.9709
2.21420e-008,0.8491
2.21806e-008,0.7229
2.22192e-008,0.6084
2.22578e-008,0.5189
2.22963e-008,0.4553
2.23349e-008,0.4122
2.23735e-008,0.3770
2.24121e-008,0.3622
2.24506e-008,0.3737
2.24892e-008,0.4169
2.25278e-008,0.4980
2.25664e-008,0.6189
2.26050e-008,0.7415
2.26435e-008,0.8426
2.26821e-008,0.9275
2.27207e-008,0.9920
2.27593e-008,1.0378
2.27978e-008,1.0760
2.28364e-008,1.1222
2.28750e-008,1.1586
2.29136e-008,1.1699
2.29521e-008,1.1627
2.29907e-008,1.1132
2.30293e-008,1.0089
2.30678e-008,0.8882
2.31064e-008,0.7627
2.31450e-008,0.6422
2.31836e-008,0.5442
2.32221e-008,0.4729
2.32607e-008,0.4243
2.32993e-008,0.3873
2.33379e-008,0.3634
2.33764e-008,0.3672
2.34150e-008,0.3993
2.34536e-008,0.4675
2.34922e-008,0.5782
2.35308e-008,0.7050
2.35693e-008,0.8124
2.36079e-008,0.9026
2.36465e-008,0.9740
2.36851e-008,1.0246
2.37236e-008,1.0640
2.37622e-008,1.1045
2.38008e-008,1.1499
2.38394e-008,1.1671
2.38779e-008,1.1677
2.39165e-008,1.1350
2.39551e-008,1.0461
2.39936e-008,0.9263
2.40322e-008,0.8026
2.40708e-008,0.6783
2.41094e-008,0.5723
2.41479e-008,0.4928
2.41865e-008,0.4375
2.42251e-008,0.3986
2.42637e-008,0.3676
2.43023e-008,0.3634
2.43408e-008,0.3852
2.43794e-008,0.4418
2.44180e-008,0.5391
2.44566e-008,0.6660
2.44951e-008,0.7807
2.45337e-008,0.8758
2.45723e-008,0.9538
2.46109e-008,1.0105
2.46494e-008,1.0522
2.46880e-008,1.0903
2.47266e-008,1.1382
2.47651e-008,1.1640
2.48037e-008,1.1701
2.48423e-008,1.1507
2.48809e-008,1.0800
2.49194e-008,0.9647
2.49580e-008,0.8425
2.49966e-008,0.7165
2.50352e-008,0.6031
2.50737e-008,0.5150
2.51123e-008,0.4527
2.51509e-008,0.4101
2.51895e-008,0.3749
2.52281e-008,0.3621
2.52666e-008,0.3747
2.53052e-008,0.4199
2.53438e-008,0.5034
2.53824e-008,0.6255
2.54209e-008,0.7471
2.54595e-008,0.8473
2.54981e-008,0.9314
2.55367e-008,0.9947
2.55752e-008,1.0398
2.56138e-008,1.0778
2.56524e-008,1.1236
2.56909e-008,1.1593
2.57295e-008,1.1698
2.57681e-008,1.1612
2.58067e-008,1.1091
2.58452e-008,1.0028
2.58838e-008,0.8817
2.59224e-008,0.7561
2.59610e-008,0.6365
2.59995e-008,0.5399
2.60381e-008,0.4699
2.60767e-008,0.4222
2.61153e-008,0.3861
2.61539e-008,0.3632
2.61924e-008,0.3682
2.62310e-008,0.4022
2.62696e-008,0.4722
2.63082e-008,0.5845
2.63467e-008,0.7111
2.63853e-008,0.8174
2.64239e-008,0.9068
2.64625e-008,0.9771
2.65010e-008,1.0269
2.65396e-008,1.0660
2.65782e-008,1.1080
2.66167e-008,1.1521
2.66553e-008,1.1678
2.66939e-008,1.1674
2.67325e-008,1.1320
2.67710e-008,1.0401
2.68096e-008,0.9203
2.68482e-008,0.7963
2.68868e-008,0.6724
2.69254e-008,0.5676
2.69639e-008,0.4894
2.70025e-008,0.4352
2.70411e-008,0.3972
2.70797e-008,0.3670
2.71182e-008,0.3641
2.71568e-008,0.3875
2.71954e-008,0.4457
2.72340e-008,0.5451
2.72725e-008,0.6725
2.73111e-008,0.7860
2.73497e-008,0.8802
2.73882e-008,0.9572
2.74268e-008,1.0129
2.74654e-008,1.0542
2.75040e-008,1.0932
2.75425e-008,1.1414
2.75811e-008,1.1648
2.76197e-008,1.1703
2.76583e-008,1.1488
2.76968e-008,1.0746
2.77354e-008,0.9586
2.77740e-008,0.8363
2.78126e-008,0.7103
2.78512e-008,0.5980
2.78897e-008,0.5112
2.79283e-008,0.4501
2.79669e-008,0.4085
2.80055e-008,0.3740
2.80440e-008,0.3623
2.80826e-008,0.3765
2.81212e-008,0.4234
2.81598e-008,0.5089
2.81983e-008,0.6322
2.82369e-008,0.7527
2.82755e-008,0.8520
2.83140e-008,0.9352
2.83526e-008,0.9974
2.83912e-008,1.0419
2.84298e-008,1.0800
2.84683e-008,1.1273
2.85069e-008,1.1605
2.85455e-008,1.1704
2.85841e-008,1.1601
2.86226e-008,1.1047
2.86612e-008,0.9966
2.86998e-008,0.8756
2.87384e-008,0.7497
2.87770e-008,0.6309
2.88155e-008,0.5357
2.88541e-008,0.4670
2.88927e-008,0.4203
2.89313e-008,0.3838
2.89698e-008,0.3627
2.90084e-008,0.3689
2.90470e-008,0.4046
2.90855e-008,0.4768
2.91241e-008,0.5913
2.91627e-008,0.7171
2.92013e-008,0.8224
2.92398e-008,0.9109
2.92784e-008,0.9801
2.93170e-008,1.0290
2.93556e-008,1.0678
2.93941e-008,1.1094
2.94327e-008,1.1529
2.94713e-008,1.1679
2.95099e-008,1.1663
2.95485e-008,1.1286
2.95870e-008,1.0343
2.96256e-008,0.9139
2.96642e-008,0.7896
2.97028e-008,0.6664
2.97413e-008,0.5629
2.97799e-008,0.4862
2.98185e-008,0.4330
2.98570e-008,0.3948
2.98956e-008,0.3659
2.99342e-008,0.3643
2.99728e-008,0.3894
3.00113e-008,0.4497
3.00499e-008,0.5514
3.00885e-008,0.6788
3.01271e-008,0.7912
3.01657e-008,0.8846
3.02042e-008,0.9606
3.02428e-008,1.0152
3.02814e-008,1.0561
3.03199e-008,1.0948
3.03585e-008,1.1424
3.03971e-008,1.1651
3.04357e-008,1.1697
3.04743e-008,1.1462
3.05128e-008,1.0694
3.05514e-008,0.9523
3.05900e-008,0.8297
3.06285e-008,0.7040
3.06671e-008,0.5928
3.07057e-008,0.5076
3.07443e-008,0.4476
3.07829e-008,0.4063
3.08214e-008,0.3722
3.08600e-008,0.3623
3.08986e-008,0.3777
3.09372e-008,0.4266
3.09757e-008,0.5145
3.10143e-008,0.6387
3.10529e-008,0.7582
3.10914e-008,0.8567
3.11300e-008,0.9389
3.11686e-008,1.0000
3.12072e-008,1.0439
3.12458e-008,1.0817
3.12843e-008,1.1286
3.13229e-008,1.1611
3.13615e-008,1.1702
3.14000e-008,1.1583
3.14386e-008,1.1003
3.14772e-008,0.9905
3.15158e-008,0.8691
3.15544e-008,0.7432
3.15929e-008,0.6254
3.16315e-008,0.5316
3.16701e-008,0.4641
3.17087e-008,0.4183
3.17472e-008,0.3827
3.17858e-008,0.3627
3.18244e-008,0.3702
3.18629e-008,0.4077
3.19015e-008,0.4818
3.19401e-008,0.5977
3.19787e-008,0.7231
3.20173e-008,0.8273
3.20558e-008,0.9150
3.20944e-008,0.9830
3.21330e-008,1.0312
3.21715e-008,1.0698
3.22101e-008,1.1131
3.22487e-008,1.1548
3.22873e-008,1.1686
3.23259e-008,1.1658
3.23644e-008,1.1253
3.24030e-008,1.0283
3.24416e-008,0.9079
3.24801e-008,0.7832
3.25187e-008,0.6605
3.25573e-008,0.5583
3.25959e-008,0.4828
3.26344e-008,0.4309
3.26730e-008,0.3935
3.27116e-008,0.3654
3.27502e-008,0.3651
3.27888e-008,0.3918
3.28273e-008,0.4538
3.28659e-008,0.5576
3.29045e-008,0.6853
3.29430e-008,0.7964
3.29816e-008,0.8890
3.30202e-008,0.9639
3.30588e-008,1.0176
3.30974e-008,1.0580
3.31359e-008,1.0978
3.31745e-008,1.1453
3.32131e-008,1.1659
3.32516e-008,1.1697
