.HEADER
..NAMES
Time,V U2.F3&G3
.DATA
2.34150e-008,0.4019
2.34536e-008,0.3672
2.34922e-008,0.3579
2.35308e-008,0.3761
2.35693e-008,0.4243
2.36079e-008,0.5056
2.36465e-008,0.6123
2.36851e-008,0.7204
2.37236e-008,0.8213
2.37622e-008,0.9124
2.38008e-008,0.9885
2.38394e-008,1.0464
2.38779e-008,1.0877
2.39165e-008,1.1252
2.39551e-008,1.1489
2.39936e-008,1.1579
2.40322e-008,1.1479
2.40708e-008,1.1008
2.41094e-008,1.0126
2.41479e-008,0.9028
2.41865e-008,0.7813
2.42251e-008,0.6611
2.42637e-008,0.5566
2.43023e-008,0.4744
2.43408e-008,0.4162
2.43794e-008,0.3758
2.44180e-008,0.3578
2.44566e-008,0.3673
2.44951e-008,0.4054
2.45337e-008,0.4764
2.45723e-008,0.5772
2.46109e-008,0.6870
2.46494e-008,0.7903
2.46880e-008,0.8850
2.47266e-008,0.9663
2.47651e-008,1.0302
2.48037e-008,1.0755
2.48423e-008,1.1125
2.48809e-008,1.1426
2.49194e-008,1.1562
2.49580e-008,1.1538
2.49966e-008,1.1202
2.50352e-008,1.0436
2.50737e-008,0.9389
2.51123e-008,0.8206
2.51509e-008,0.6982
2.51895e-008,0.5875
2.52281e-008,0.4978
2.52666e-008,0.4321
2.53052e-008,0.3867
2.53438e-008,0.3604
2.53824e-008,0.3612
2.54209e-008,0.3899
2.54595e-008,0.4503
2.54981e-008,0.5430
2.55367e-008,0.6529
2.55752e-008,0.7584
2.56138e-008,0.8562
2.56524e-008,0.9423
2.56909e-008,1.0120
2.57295e-008,1.0629
2.57681e-008,1.1008
2.58067e-008,1.1353
2.58452e-008,1.1534
2.58838e-008,1.1570
2.59224e-008,1.1355
2.59610e-008,1.0721
2.59995e-008,0.9737
2.60381e-008,0.8591
2.60767e-008,0.7363
2.61153e-008,0.6205
2.61539e-008,0.5236
2.61924e-008,0.4502
2.62310e-008,0.3994
2.62696e-008,0.3657
2.63082e-008,0.3580
2.63467e-008,0.3775
2.63853e-008,0.4275
2.64239e-008,0.5106
2.64625e-008,0.6180
2.65010e-008,0.7258
2.65396e-008,0.8263
2.65782e-008,0.9167
2.66167e-008,0.9919
2.66553e-008,1.0489
2.66939e-008,1.0892
2.67325e-008,1.1261
2.67710e-008,1.1494
2.68096e-008,1.1578
2.68482e-008,1.1464
2.68868e-008,1.0970
2.69254e-008,1.0071
2.69639e-008,0.8968
2.70025e-008,0.7751
2.70411e-008,0.6554
2.70797e-008,0.5518
2.71182e-008,0.4707
2.71568e-008,0.4139
2.71954e-008,0.3746
2.72340e-008,0.3578
2.72725e-008,0.3686
2.73111e-008,0.4084
2.73497e-008,0.4810
2.73882e-008,0.5829
2.74268e-008,0.6925
2.74654e-008,0.7953
2.75040e-008,0.8895
2.75425e-008,0.9700
2.75811e-008,1.0329
2.76197e-008,1.0776
2.76583e-008,1.1152
2.76968e-008,1.1441
2.77354e-008,1.1568
2.77740e-008,1.1532
2.78126e-008,1.1176
2.78512e-008,1.0389
2.78897e-008,0.9332
2.79283e-008,0.8142
2.79669e-008,0.6920
2.80055e-008,0.5823
2.80440e-008,0.4938
2.80826e-008,0.4295
2.81212e-008,0.3852
2.81598e-008,0.3600
2.81983e-008,0.3622
2.82369e-008,0.3923
2.82755e-008,0.4544
2.83140e-008,0.5484
2.83526e-008,0.6585
2.83912e-008,0.7635
2.84298e-008,0.8609
2.84683e-008,0.9463
2.85069e-008,1.0151
2.85455e-008,1.0651
2.85841e-008,1.1035
2.86226e-008,1.1372
2.86612e-008,1.1542
2.86998e-008,1.1568
2.87384e-008,1.1336
2.87770e-008,1.0679
2.88155e-008,0.9683
2.88541e-008,0.8528
2.88927e-008,0.7299
2.89313e-008,0.6150
2.89698e-008,0.5193
2.90084e-008,0.4472
2.90470e-008,0.3975
2.90855e-008,0.3649
2.91241e-008,0.3586
2.91627e-008,0.3795
2.92013e-008,0.4311
2.92398e-008,0.5157
2.92784e-008,0.6237
2.93170e-008,0.7311
2.93556e-008,0.8312
2.93941e-008,0.9209
2.94327e-008,0.9953
2.94713e-008,1.0513
2.95099e-008,1.0916
2.95485e-008,1.1285
2.95870e-008,1.1504
2.96256e-008,1.1580
2.96642e-008,1.1451
2.97028e-008,1.0934
2.97413e-008,1.0020
2.97799e-008,0.8908
2.98185e-008,0.7687
2.98570e-008,0.6496
2.98956e-008,0.5472
2.99342e-008,0.4674
2.99728e-008,0.4114
3.00113e-008,0.3727
3.00499e-008,0.3576
3.00885e-008,0.3698
3.01271e-008,0.4111
3.01657e-008,0.4855
3.02042e-008,0.5886
3.02428e-008,0.6979
