.HEADER
..NAMES
Time,V U5.B8
.DATA
2.48423e-008,1.1425
2.48809e-008,1.1483
2.49194e-008,1.1579
2.49580e-008,1.1670
2.49966e-008,1.1735
2.50352e-008,1.1752
2.50737e-008,1.1729
2.51123e-008,1.1709
2.51509e-008,1.1723
2.51895e-008,1.1774
2.52281e-008,1.1812
2.52666e-008,1.1740
2.53052e-008,1.1358
2.53438e-008,1.0483
2.53824e-008,0.9225
2.54209e-008,0.7945
2.54595e-008,0.6838
2.54981e-008,0.5889
2.55367e-008,0.5107
2.55752e-008,0.4568
2.56138e-008,0.4233
2.56524e-008,0.3987
2.56909e-008,0.3757
2.57295e-008,0.3581
2.57681e-008,0.3485
2.58067e-008,0.3441
2.58452e-008,0.3392
2.58838e-008,0.3312
2.59224e-008,0.3225
2.59610e-008,0.3190
2.59995e-008,0.3207
2.60381e-008,0.3226
2.60767e-008,0.3229
2.61153e-008,0.3247
2.61539e-008,0.3280
2.61924e-008,0.3287
2.62310e-008,0.3260
2.62696e-008,0.3236
2.63082e-008,0.3240
2.63467e-008,0.3252
2.63853e-008,0.3248
2.64239e-008,0.3232
2.64625e-008,0.3223
2.65010e-008,0.3227
2.65396e-008,0.3235
2.65782e-008,0.3234
2.66167e-008,0.3227
2.66553e-008,0.3227
2.66939e-008,0.3234
2.67325e-008,0.3233
2.67710e-008,0.3222
2.68096e-008,0.3216
2.68482e-008,0.3223
2.68868e-008,0.3230
2.69254e-008,0.3227
2.69639e-008,0.3221
2.70025e-008,0.3221
2.70411e-008,0.3225
2.70797e-008,0.3226
2.71182e-008,0.3223
2.71568e-008,0.3220
2.71954e-008,0.3222
2.72340e-008,0.3224
2.72725e-008,0.3223
2.73111e-008,0.3220
2.73497e-008,0.3219
2.73882e-008,0.3222
2.74268e-008,0.3224
2.74654e-008,0.3222
2.75040e-008,0.3227
2.75425e-008,0.3276
2.75811e-008,0.3450
2.76197e-008,0.3888
2.76583e-008,0.4712
2.76968e-008,0.5900
2.77354e-008,0.7204
2.77740e-008,0.8284
2.78126e-008,0.9030
2.78512e-008,0.9582
2.78897e-008,1.0065
2.79283e-008,1.0454
2.79669e-008,1.0745
2.80055e-008,1.0979
2.80440e-008,1.1185
2.80826e-008,1.1332
2.81212e-008,1.1408
2.81598e-008,1.1456
2.81983e-008,1.1534
2.82369e-008,1.1638
2.82755e-008,1.1722
2.83140e-008,1.1741
2.83526e-008,1.1708
2.83912e-008,1.1685
2.84298e-008,1.1694
2.84683e-008,1.1708
2.85069e-008,1.1711
2.85455e-008,1.1722
2.85841e-008,1.1746
2.86226e-008,1.1760
2.86612e-008,1.1749
2.86998e-008,1.1736
2.87384e-008,1.1745
2.87770e-008,1.1766
2.88155e-008,1.1774
2.88541e-008,1.1767
2.88927e-008,1.1757
2.89313e-008,1.1756
2.89698e-008,1.1763
2.90084e-008,1.1766
2.90470e-008,1.1764
2.90855e-008,1.1765
2.91241e-008,1.1772
2.91627e-008,1.1774
2.92013e-008,1.1767
2.92398e-008,1.1762
2.92784e-008,1.1766
2.93170e-008,1.1773
2.93556e-008,1.1773
2.93941e-008,1.1787
2.94327e-008,1.1824
2.94713e-008,1.1814
2.95099e-008,1.1584
2.95485e-008,1.0920
2.95870e-008,0.9798
2.96256e-008,0.8506
2.96642e-008,0.7314
2.97028e-008,0.6281
2.97413e-008,0.5407
2.97799e-008,0.4765
2.98185e-008,0.4361
2.98570e-008,0.4100
2.98956e-008,0.3860
2.99342e-008,0.3649
2.99728e-008,0.3516
3.00113e-008,0.3458
3.00499e-008,0.3415
3.00885e-008,0.3346
3.01271e-008,0.3258
3.01657e-008,0.3203
3.02042e-008,0.3201
3.02428e-008,0.3218
3.02814e-008,0.3223
3.03199e-008,0.3236
3.03585e-008,0.3269
3.03971e-008,0.3290
3.04357e-008,0.3274
3.04743e-008,0.3243
3.05128e-008,0.3236
3.05514e-008,0.3248
3.05900e-008,0.3252
3.06285e-008,0.3238
3.06671e-008,0.3225
3.07057e-008,0.3226
3.07443e-008,0.3233
3.07829e-008,0.3240
3.08214e-008,0.3275
3.08600e-008,0.3426
3.08986e-008,0.3833
3.09372e-008,0.4614
3.09757e-008,0.5757
3.10143e-008,0.7058
3.10529e-008,0.8179
3.10914e-008,0.8969
3.11300e-008,0.9537
3.11686e-008,1.0020
3.12072e-008,1.0417
3.12458e-008,1.0765
3.12843e-008,1.1202
3.13229e-008,1.1575
3.13615e-008,1.1643
3.14000e-008,1.1290
3.14386e-008,1.0532
3.14772e-008,0.9382
3.15158e-008,0.8124
3.15544e-008,0.6967
3.15929e-008,0.5979
3.16315e-008,0.5147
3.16701e-008,0.4563
3.17087e-008,0.4204
3.17472e-008,0.3967
3.17858e-008,0.3741
3.18244e-008,0.3581
3.18629e-008,0.3505
3.19015e-008,0.3443
3.19401e-008,0.3359
3.19787e-008,0.3282
3.20173e-008,0.3223
3.20558e-008,0.3188
3.20944e-008,0.3189
3.21330e-008,0.3204
3.21715e-008,0.3220
3.22101e-008,0.3253
3.22487e-008,0.3368
3.22873e-008,0.3654
3.23259e-008,0.4239
3.23644e-008,0.5209
3.24030e-008,0.6487
3.24416e-008,0.7727
3.24801e-008,0.8646
3.25187e-008,0.9279
3.25573e-008,0.9802
3.25959e-008,1.0254
3.26344e-008,1.0598
3.26730e-008,1.0856
3.27116e-008,1.1078
3.27502e-008,1.1263
3.27888e-008,1.1375
3.28273e-008,1.1433
3.28659e-008,1.1486
3.29045e-008,1.1575
3.29430e-008,1.1678
3.29816e-008,1.1743
3.30202e-008,1.1732
3.30588e-008,1.1694
3.30974e-008,1.1687
3.31359e-008,1.1726
3.31745e-008,1.1782
3.32131e-008,1.1799
3.32516e-008,1.1655
3.32902e-008,1.1137
3.33288e-008,1.0118
3.33674e-008,0.8815
3.34060e-008,0.7572
3.34445e-008,0.6514
3.34831e-008,0.5618
3.35217e-008,0.4913
3.35603e-008,0.4440
3.35988e-008,0.4107
3.36374e-008,0.3824
3.36760e-008,0.3710
3.37145e-008,0.3967
3.37531e-008,0.4663
3.37917e-008,0.5722
3.38303e-008,0.6968
3.38689e-008,0.8055
3.39074e-008,0.8847
3.39460e-008,0.9461
3.39846e-008,1.0014
3.40231e-008,1.0439
3.40617e-008,1.0805
3.41003e-008,1.1242
3.41389e-008,1.1612
3.41775e-008,1.1656
3.42160e-008,1.1279
3.42546e-008,1.0511
3.42932e-008,0.9368
3.43318e-008,0.8106
3.43703e-008,0.6939
3.44089e-008,0.5952
3.44475e-008,0.5127
3.44860e-008,0.4555
3.45246e-008,0.4195
3.45632e-008,0.3897
3.46018e-008,0.3692
3.46404e-008,0.3828
3.46789e-008,0.4402
3.47175e-008,0.5311
3.47561e-008,0.6483
3.47946e-008,0.7669
3.48332e-008,0.8607
3.48718e-008,0.9270
3.49104e-008,0.9826
3.49490e-008,1.0298
3.49875e-008,1.0655
3.50261e-008,1.0916
3.50647e-008,1.1149
3.51032e-008,1.1324
3.51418e-008,1.1403
3.51804e-008,1.1452
3.52190e-008,1.1531
3.52575e-008,1.1622
